,Url,Description,Topics,Stars
0,https://github.com/mermaid-js/mermaid.git,Generation of diagram and flowchart from text in a similar manner as markdown,,35836
1,https://github.com/jgraph/drawio.git,Source to app.diagrams.net,,23287
2,https://github.com/excalidraw/excalidraw.git,Virtual whiteboard for sketching hand-drawn like diagrams,"productivity,collaboration,diagrams,drawing,whiteboard,hacktoberfest",20449
3,https://github.com/jgraph/drawio-desktop.git,Official electron build of diagrams.net,"javascript-applications,electron-app,graphics,diagram-editor",17240
4,https://github.com/mingrammer/diagrams.git,:art: Diagram as Code for prototyping cloud system architectures,"diagram,diagram-as-code,architecture,hacktoberfest,graphviz",13417
5,https://github.com/HarisIqbal88/PlotNeuralNet.git,Latex code for making neural networks diagrams,"latex,deep-neural-networks",12902
6,https://github.com/evolus/pencil.git,"{""The Pencil Project's unique mission is to build a free and opensource tool for making diagrams and GUI prototyping that everyone can use. ""}","pencil,nodejs,electron,sketching,ui-design,prototyping,javascript,mockup,drawing,wireframe",8032
7,https://github.com/adrai/flowchart.js.git,Draws simple SVG flow chart diagrams from textual representation of the diagram,"flowchart,diagram,javascript,svg",7436
8,https://github.com/bramp/js-sequence-diagrams.git,Draws simple SVG sequence diagrams from textual representation of the diagram,"sequence-diagram,svg,javascript",7289
9,https://github.com/hediet/vscode-drawio.git,This unofficial extension integrates Draw.io (also known as diagrams.net) into VS Code.,"hacktoberfest,vscode-extension,drawio,diagram",7181
10,https://github.com/jgraph/mxgraph.git,mxGraph is a fully client side JavaScript diagramming library,,6084
11,https://github.com/wbkd/react-flow.git,"Highly customizable library for building interactive node-based UIs, editors, flow charts and diagrams ","flowchart,nodebased,graph,typescript-library,react-library,react,typescript",6045
12,https://github.com/projectstorm/react-diagrams.git,"a super simple, no-nonsense diagramming library written in react that just works","react,demo,diagrams,web,typescript,flowchart,factories,diagram,drag,svg,visualization,canvas,modular,editing-diagrams,beta",5975
13,https://github.com/NorthwoodsSoftware/GoJS.git,"JavaScript diagramming library for interactive flowcharts, org charts, design tools, planning tools, visual languages.","html,diagram,flowchart,javascript,orgchart,layout,graph,typescript,interactive-diagrams,javascript-library,chart,visualization,data-visualization,es6,typescript-library,es6-modules,gojs",5218
14,https://github.com/xxv/android-lifecycle.git,A diagram of the Android Activity / Fragment lifecycle,,5051
15,https://github.com/penrose/penrose.git,Create beautiful diagrams just by typing mathematical notation in plain text.,"visualization,domain-specific-language,mathematics,diagrams,programming-language",4861
16,https://github.com/plantuml/plantuml.git,Generate UML diagram from textual description,,4105
17,https://github.com/soulmachine/machine-learning-cheat-sheet.git,Classical equations and diagrams in machine learning,,4019
18,https://github.com/staltz/rxmarbles.git, Interactive diagrams of Rx Observables,,3984
19,https://github.com/voormedia/rails-erd.git,Generate Entity-Relationship Diagrams for Rails applications,,3495
20,https://github.com/clientIO/joint.git,JavaScript diagramming library,"diagram,svg,javascript,html5",3401
21,https://github.com/blushft/go-diagrams.git,Create beautiful system diagrams with Go,,3090
22,https://github.com/wojtekmaj/react-lifecycle-methods-diagram.git,Interactive React Lifecycle Methods diagram.,"react,react-lifecycle,diagram,cheatsheet",3007
23,https://github.com/for-GET/http-decision-diagram.git,"An activity diagram to describe the resolution of HTTP response status codes, given various headers.",,3005
24,https://github.com/le5le-com/topology.git,"A diagram (topology, UML) framework uses canvas and typescript.  一个轻量（100k左右）、功能丰富的绘图工具（微服务架构图、拓扑图、流程图、类图等UML图、脑图，动画、视频支持）。 【在线使用】：","topology,canvas,typescript,diagrams",2812
25,https://github.com/ondras/wwwsqldesigner.git,"WWW SQL Designer, your online SQL diagramming tool",web-app,2407
26,https://github.com/ivanceras/svgbob.git,Convert your ascii diagram scribbles into happy little SVG,"svg,bob,diagram",2367
27,https://github.com/pgmodeler/pgmodeler.git,"{""pgModeler - PostgreSQL Database Modeler - is an open source data modeling tool designed for PostgreSQL. No more DDL commands written by hand let pgModeler do the job for you! This software reunites the concepts of entity-relationship diagrams and the features that PostgreSQL implements as extensions of SQL standards. Support this project by donate on project's official web site link:""}","c-plus-plus,entity-relationship-diagram,ddl-commands,sql-standards,pgmodeler",2229
28,https://github.com/beautifulinteractions/beautiful-react-diagrams.git,💎 A collection of lightweight React components and hooks to build diagrams with ease 💎,"react,diagram,hooks,javascript,flowcharts,flowchart-diagrams,diagrams",2180
29,https://github.com/unconed/MathBox.js.git,MathBox is a (work in progress) library for making presentation-quality math diagrams in WebGL.,,1931
30,https://github.com/antvis/X6.git,🚀 JavaScript diagramming library that uses SVG and HTML for rendering.,"diagramming,graph,chart,svg,html5,antv,graph-editor,layout,dag,flowchart,uml-diagram,erdiagram,diagram,erd,javascript-diagramming-library",1729
31,https://github.com/alibaba/butterfly.git,🦋Butterfly，A JavaScript/React/Vue2 Diagramming library which concentrate on flow layout field.    (基于JavaScript/React/Vue2的流程图组件),"dag,svg,flow,flow-dag,flow-layout,flowchart,bpmn,diagram,diagramming,connectivity,tree,treemap-diagram,mindmap,butterfly,edge,react,vue",1659
32,https://github.com/kymjs/TheMVP.git,An Android MVP Architecture Diagram Framwork. ,,1648
