,Url,Description,Topics,Stars
0,https://github.com/DSpace/DSpace.git,(Official) The DSpace digital asset management system that powers your Institutional Repository,"dspace,repository,java,open-access,open-source,rest-api",559
1,https://github.com/alchemy-fr/Phraseanet.git,Digital Asset Management PHP app,php,162
2,https://github.com/razuna/razuna.git,This is the source code for the famous open source digital asset management - Razuna,,144
3,https://github.com/Webreaper/Damselfly.git,"Damselfly is a server-based Digital Asset Management system for photographs. The goal of Damselfly is to index an extremely large collection of images, and allow easy search and retrieval of those images, using metadata such as the IPTC keyword tags, as well as the folder and file names.","photography,docker,image,image-processing,exif,iptc-metadata,blazor,efcore",107
4,https://github.com/thunderbit/thunderbit.git,A web application for digital assets management.,,44
5,https://github.com/rdogmartin/GalleryServer.git,Digital Asset Management web application written with ASP.NET/C#/WebForms.,"digital-asset-management,image-processing,media-management",28
6,https://github.com/boxproject/box-Staff-Manager.git,"Employee App is used for initialize transactions, user management, authorise flow so that enteripise digital assets can be managed by stakeholders and partners.","objective-c,blockchain-service,business-service,security-tools",26
7,https://github.com/aboma/shepherd-emberjs-client.git,Client rails/ember.js application for Shepherd Digital Asset Management API,,20
8,https://github.com/conwetlab/wstore.git,"WStore provides functionality for the monetization of different kind of digital assets, including the management of assets and offerings as well as support for acquisitions, charging, billing, and accounting of pay-per-use services.",,19
9,https://github.com/amisolution/ERC20-AMIS.git,"Asset Management Instrument Solution on the Ethereum, Bitshare, Waves blockchains :ledger: DLT.  This experimental project started with AMIS an ERC20 token :chart_with_upwards_trend: serving as a market condition sensor capable of inter-mediation functions, multi-purposes, multi-dimensional vehicle for the digital economy era. ","exchange,white-paper,wallet,ethereum,blockchain-technology,amis,dex,bitshares,waves,openledger,amis-delta,amisdex,erc20,token,crypto,ether,asset,saturn,tokenjar,bamboorelay",17
10,https://github.com/entando/entando-cms.git,The Entando Web Content Management System (WCMS) is a lightweight content and digital asset management system with support for headless operation. It allows management of widgets and html fragments so they can be placed within an Entando application.,"entando,entando-cms,cms,react,hacktoberfest",17
11,https://github.com/atrocore/atrodam.git,AtroDAM is an open-source digital asset management system (DAM) of a new generation.,"dam,digital-asset-management,digitalassetmanagement,digitalassets,digital-assets,mam,mediaassetmanagement,media-asset-management,spa,single-page-application,web-application",16
12,https://github.com/ualbertalib/jupiter.git,Jupiter is a University of Alberta Libraries-based initiative to create a sustainable and extensible digital asset management system. This is phase 2 (Digitization).,,16
13,https://github.com/nuxeo-archives/nuxeo-dam.git,Nuxeo Digital Asset Management,,13
14,https://github.com/hongxin/DAMCourse-2019.git,A Course of Digital Asset Management @ ZJU,"zhejiang-university,dam-course,digital-media,python,flask",10
15,https://github.com/dassi/mediaclue.git,Digital assets management / Digitale Mediendatenbank,,10
16,https://github.com/lasselehtinen/elvis.git,Laravel package for doing REST API queries against Woodwings Elvis DAM (Digital Asset Management),,10
17,https://github.com/wvulibraries/mfcs.git,Archival and Preservation Digital Asset Management System. ,,8
18,https://github.com/imloama/maxtoken.git,A free and feature-rich digital asset wallet enabling multi-chain(BTC\\ETH\\EOS\\XLM\\XRP) asset management like imToken,,8
19,https://github.com/manolodd/activae.git,"{""Activae is a web Digital Asset Management System. It's open source and was developed originally by CENATIC, the Spanish National Open Source Center. The project was discontinued and I recovered the source code to give it a second opportunity. ""}","dam,digital,asset,management,distributed",8
