,Url,Description,Topics,Stars
0,https://github.com/AchoArnold/discount-for-student-dev.git,"This is list of discounts on software (SaaS, PaaS, IaaS, etc.) and other offerings for developers who are students",,2044
1,https://github.com/dakshshah96/awesome-startup-credits.git,✨ A collection of awesome companies offering free/discounted plans for eligible startups,"awesome,awesome-list,startups,list,startup-credits",1894
2,https://github.com/leereilly/swot.git,:school: Identify email addresses or domains names that belong to colleges or universities. Help automate the process of approving or rejecting academic discounts.,,999
3,https://github.com/davidfstr/rdiscount.git,"{""Discount (For Ruby) Implementation of John Gruber's Markdown""}","markdown,markdown-parser",755
4,https://github.com/aspnetrun/run-aspnetcore-microservices.git,"Microservices on .Net platforms which used Asp.Net Web API, Docker, RabbitMQ, MassTransit, Grpc, Ocelot API Gateway, MongoDB, Redis, PostgreSQL, SqlServer, Dapper, Entity Framework Core, CQRS and Clean Architecture implementation. Also includes Cross-Cutting concerns like Implementing Centralized Distributed Logging with Elasticsearch, Kibana and SeriLog, use the HealthChecks with Watchdog, Implement Retry and Circuit Breaker patterns with Polly and so on.. See Microservices Architecture and Step by Step Implementation on .NET Course w/ discount->","aspnet-core,docker,ocelot-gateway,micorservices,aspnetcore-microservices,rabbitmq,mongodb,redis,sql-server,cqrs-pattern,clean-architecture,event-sourcing,eventbus,event-driven,microservices-architecture,aspnet-web-api,swagger,rest-api,api-gateway,mediator-pattern",518
5,https://github.com/OpenGenus/Best-student-discount-services.git,Best student discount services one should definitely try out! Contributions and translations are highly encouraged. ,"students,wiki,discounts,awesome-list,opengenus",341
6,https://github.com/techtanic/Discounted-Udemy-Course-Enroller.git,A script/software for automatically enrolling/joining 100% discounted Udemy courses for free. Get Paid Udemy courses for free with just a few clicks.,"free,exe,bot,automated,udemy,coupons,python,gui,software,udemy-course,udemy-paid-courses,free-courses,udemycourse,discount-coupons,udemy-account,auto-login,udemy-enroller,automatic-udemy-enroller,coupon-scraper,udemy-bot",291
7,https://github.com/OliverLetterer/GHMarkdownParser.git,A markdown parser for iOS based on discount.,,268
8,https://github.com/fnando/coupons.git,Coupons is a Rails engine for creating discount coupons.,,140
9,https://github.com/halessi/DCF.git,Basic Discounted Cash Flow library written in Python. Automatically fetches relevant financial documents for chosen company and calculates DCF based on specified parameters.,"discounted-cash-flows,investment,valuation,intrinsic-value,python,financialmodelingprep,finance,financial-modeling,multiples,multiples-valuation,absolute-valuation,dcf,visualization",84
10,https://github.com/tj/node-discount.git,"nodejs bindings for the C markdown ""discount"" library",,78
11,https://github.com/DonsetPG/narya.git,"The Narya API allows you track soccer player from camera inputs, and evaluate them with an Expected Discounted Goal (EDG) Agent. This repository contains the implementation of the flowing paper https://arxiv.org/abs/2101.05388. We also make available all of our pretrained agents, and the datasets we used as well.",,67
12,https://github.com/liampetti/DDPG.git,"Implementation of DDPG (Modified from the work of Patrick Emami) - Tensorflow (no TFLearn dependency), Ornstein Uhlenbeck noise function, reward discounting, works on discrete & continuous action spaces",,58
13,https://github.com/yusra-haider/Give_Back_COVID19.git,Curation of resources gone free / are discounted due to the COVID-19 pandemic,,57
14,https://github.com/ZonCon/Ecommerce-Retronight-Android.git,"Native Android Application for Ecommerce (online shopping). Features - Product Catalogue Builder, Product Categories & Product Items, Secure Shopping Cart, Payment Gateway, Comprehensive pricing, availability & taxation, Shipping Locations, Customer Accounts, Exhaustive Discounting & Couponing options, Email-based invoicing, Order Management & Tracking, Push notifications",,56
15,https://github.com/vdudouyt/mhddfs-nosegfault.git,"{""Mhddfs without a 'Transport endpoint is not connected' bug which was introduced in 0.1.39. This repository will be discounted as soon as I'll receive a response from maintainer.""}",,51
16,https://github.com/taoyimin/eshop-game-android.git,Search eshop game prices in different regions and remind when discounting. Use androidx library instead of android support library.,"kotlin,android,material-design,androidx,ktx,leakcanary,jetpack",51
17,https://github.com/huiyonghkw/ecshop_discount.git,The discount of ecshop for Laravel 5.4 & Vue 2.0,"laravel,vuejs2,element-ui,oauth2",50
18,https://github.com/kenticny/wechat-card.git,"💳 微信卡券API for NODEJS Wechat( Weixin ) Card, include coupon , discount, cash, gift, etc..","wechat,wechat-sdk,wechat-card",48
19,https://github.com/calumptrck/Studddent.git,✨ Curated online discounts for students. 🎒,,46
20,https://github.com/armanhakimsagar/billing_software.git,This is a billing software for any store.Its will calculate product price tax discounts & generate a receipt customer. No database need . ,,46
21,https://github.com/rg3/steam_discounts.git,Print Steam discounts to your terminal,,40
22,https://github.com/aspnetrun/run-aspnet-grpc.git,Using gRPC in Microservices for Building a high-performance Interservice Communication with .Net 5. See gRPC Microservices and Step by Step Implementation on .NET Course w/ discount->,"grpc,grpc-server,grpc-csharp,microservices,aspnet,dotnet,microservices-architecture,aspnetcore",40
23,https://github.com/bmihelac/django-shop-discounts.git,Configurable discounts for django-shop,,28
24,https://github.com/stuartduff/woocommerce-dynamic-pricing-table.git,WooCommerce dynamic pricing table adds a pricing discount table to WooCommerce products that are offering bulk discounts or special offer discounts and user role discount messages to WooCommerce sections via the WooCommerce Dynamic Pricing plugin.,,28
25,https://github.com/claudiosanches/woocommerce-payment-discounts.git,Adds discounts  for specific payment methods in WooCommerce.,,27
26,https://github.com/asb/lua-discount.git,Lua binding to the discount C implementation of the Markdown text-to-html markup system,,24
27,https://github.com/railsdog/spree-volume-pricing.git,Spree extension which supports sales volume based pricing (quantity discounts.),,23
28,https://github.com/indiejoseph/tf-rda-cell.git,Recurrent Discounted Attention unit (RDA) for Tensorflow,"tensorflow,attention,rnn,machine-learning,deep-learning",23
29,https://github.com/ShannonCanTech/Diversity-Scholarships.git,Comprehensive list of diversity scholarships including travel stipend opportunities and student discounts.,,22
30,https://github.com/crankycyclops/DiscountCodeUrl.git,Magento 2 module that applies a discount code automatically via URL,"magento,coupon,discount-codes,discount,magento2,magento2-module,magento2-extension,magento2-extension-free,coupon-code",22
31,https://github.com/civicrm/org.civicrm.module.cividiscount.git,Add discount codes and automatic discounts to CIviCRM events and memberships,,21
32,https://github.com/wordnik/awesome-nonprofit-discounts.git,a list of awesome companies who discount their software for nonprofit orgs,,21
33,https://github.com/zhemani/Finco..git,"Finco automates the process of generating financial documentation and valuations for companies traded on the NASDAQ and NYSE. Provides user with a live stock price index, current balance sheet, liquidity ratios, current income statement, and a projected discounted cash flow statement.",,21
34,https://github.com/asaaki/discount.ex.git,"Elixir NIF for discount, a Markdown parser",,20
35,https://github.com/mombrea/Javascript-Referral-Tracking.git,A light weight JavaScript cookie based affiliate or discount code system,,20
36,https://github.com/trapeze/python-discount.git,"A Python interface for Discount, the C Markdown parser",,20
37,https://github.com/drbenvincent/delay-discounting-analysis.git,Hierarchical Bayesian estimation and hypothesis testing for delay discounting tasks,"toolbox,discounting,delay-discounting,hypothesis-testing,psychology",19
38,https://github.com/prasanna08/SNInfluenceMaximization.git,"Implementation of Greedy, CELF++, SPIN, IV-Greedy, Degree Discount algorithms for influence maximization in social network and information diffusion models such as LT, IC and TR (Triggering Model)",,19
39,https://github.com/dharmeshpatel/shoppingcart.git,"It is a open source cart developed using Python language to manage cart in e-commerce applications. It includes Product option support, Multi discount support, Multi tax support(specific to product as well as general taxes), Multi currency support, tax exclude and Include total, shipping method and charge.",,18
40,https://github.com/ScienceSoft-Inc/DiscountsApp.git,Xamarin app (Android & iOS) listing and plotting on a map discount locations,,17
41,https://github.com/strangerstudios/pmpro-subscription-delays.git,"Adds a “delay” field to membership levels and discount codes, allowing you to set a variable-length period between your initial payment (if required) and recurring subscription payment.",,17
42,https://github.com/sumardi/OCDiscount.git,Discount Markdown Processor for iOS and OS X,,17
43,https://github.com/raszidzie/Price-Tracker-Application.git,Discount Tracker app with Python/Django,,16
44,https://github.com/mdbootstrap/black-friday-cyber-monday-2020.git,A list of Black Friday and Cyber Monday promotions and discounts for developers,"discounts,black-friday,cyber-monday",16
45,https://github.com/MoltenKhor/quarantine-courses.git,List of free or discounted online courses during quarantine ,,16
46,https://github.com/MyUNiDAYS/tech-placement-challenge.git,UNiDAYS Discounts Programming Challenge,,15
47,https://github.com/Wang-GY/IMP.git,"Influence maximize problem with IC model (degree discount IC , new Greedy) and LT model (SIMPATH)",,15
48,https://github.com/benchling/schoolbus.git,"A python library for checking if an email is issued by an academic institution. Useful for granting discounts, etc to academic users.",,14
49,https://github.com/HumanCompatibleAI/learning_biases.git,"Infer how suboptimal agents are suboptimal while planning, for example if they are hyperbolic time discounters.",,14
50,https://github.com/gaiterjones/magento-facebook-discount-for-likes.git,Social Media Marketing app that rewards Facebook page Likes with a Magento Discount Coupon Code.,,14
51,https://github.com/somewherewarm/woocommerce-product-bundles-bulk-discounts.git,Bulk discounts and dynamic pricing rules for WooCommerce Product Bundles.,,13
52,https://github.com/strangerstudios/pmpro-sponsored-members.git,Generate a discount code for a main account holder to distribute to sponsored members.,"wordpress,plugin,paid-memberships-pro,php",13
53,https://github.com/adriaanvanrossum/saasforcovid.com.git,Fight COVID-19 together with these discounted SaaS products,"covid-19,coronavirus,corona,saas,products,discounts",13
54,https://github.com/sonntagsgesicht/dcf.git,A Python library for generating discounted cashflows.,,13
55,https://github.com/peterj/ppp-gumroad-discounts.git,Create PPP discount codes in Gumroad,,13
56,https://github.com/kitpages/KitpagesShopBundle.git,"Symfony2 bundle used for an online shop : cart, order, invoice, shipping, discount,... (alpha state)",,13
57,https://github.com/craigbarnes/lua-discount.git,Moved to https://gitlab.com/craigbarnes/lua-discount,"lua,markdown,parser,converter,html,toc",12
58,https://github.com/sekimura/text-markdown-discount.git,Text::Markdown::Discount,,11
59,https://github.com/baz/libORCDiscount.git,Objective-C static library wrapping the discount library,,11
60,https://github.com/edwindvinas/shopping-cart-api.git,"Golang shopping cart with customizable REST API and support for rules on discounts, promos, bundles, and more",,11
61,https://github.com/railsdog/spree-promotions.git,"Promotions, Discounts and Coupons (Eventually will be integrated into Spree Core)",,11
62,https://github.com/MagestyApps/magento2-fix-discount-rules.git,"Fixes core Magento 2 issue related to ""Payment Method"" condition in discount rules","magento2,magento2-module,magento2-extension,bugfix,cart-price-rules,discount-rule",11
63,https://github.com/acdvs/isthereanydeal-lookup.git,A simple Discord bot for getting game discount info from isthereanydeal.com,"discord,bot,javascript,nodejs,game-deals,isthereanydeal,game-discount-info,discord-bot",11
64,https://github.com/ZonCon/Ecommerce-Morningmist-Android.git,"Native Android Application for Ecommerce (online shopping). Features - Product Catalogue Builder, Product Categories & Product Items, Secure Shopping Cart, Payment Gateway, Comprehensive pricing, availability & taxation, Shipping Locations, Customer Accounts, Exhaustive Discounting & Couponing options, Email-based invoicing, Order Management & Tracking, Push notifications",,11
65,https://github.com/quafzi/magento-discountPreview.git,This extension shows discounts (based on shopping cart rules) on Magento product page.,,10
66,https://github.com/pushmatrix/discount-roulette.git,A SparkAR roulette filter for showing discounts.,,10
67,https://github.com/cthurber/Dynamic_DCF.git,Simple JSON to Excel for SEC EDGAR data to Discounted Cash Flow models,,10
68,https://github.com/zgldh/discount-and-coupon.git,"The core logic about discount and coupon. Useful to manage discount campaign, defining coupon and calculate the final price.",,10
69,https://github.com/ykaitao/the-elements-of-reinforcement-learning.git,"Reinforcement Learning (RL) is believe to be a more general approach towards Artificial Intelligence (AI). RL is the foundation for many recent AI applications, e.g., Automated Driving, Automated Trading, Robotics, Gaming, Dynamic Decision, etc. With concrete examples, this repository tries introduce clearly the basic elements of Reinforcement Learning, e.g., Agent, Environment, State, State Transition, Policy, Action, Reward, Future Return, Discounted Future Return, Exploration & Exploitation, Markov Decision Processing, The Bellman Equation, Policy-based Learning, Value-based Learning, etc. ",,10
70,https://github.com/defunkt/ooc-markdown.git,A Discount binding for ooc,,9
71,https://github.com/cataphract/php-discount.git,PHP extension that wraps the discount Markdown library; PECL markdown package.,,9
72,https://github.com/losDaniel/spot-connect.git,Module that makes it easy to use AWS virtual machines at discount pricing,"aws,boto3,python",9
73,https://github.com/eduardonunesp/Anomade.git,Another Markdown Editor - The Markdown library come from https://github.com/Orc/discount,,9
74,https://github.com/ellensp/rrd-glcd-tester.git,"{""Simple arduino sketch to test a reprap discount GLCD's on a RAMPS 1.4""}",,9
75,https://github.com/ClevelandOnRails/rubyonrailsbook.git,Learn Ruby on Rails. Use coupon code GITHUB2013 on LeanPub for a discount!,,9
76,https://github.com/silvershop/silvershop-discounts.git,Adds Discount and Coupon support for SilverShop,,8
77,https://github.com/gfariap/discountify.git,Shopify app to preview discounts before checkout,,8
78,https://github.com/miyamot0/discountingtools.git,This is a R-based package for performing a range of delay discounting analyses and procedures.  ,,8
79,https://github.com/johnmyleswhite/IntertemporalChoiceHeuristics.git,"Analysis pipeline for Psychological Science paper called ""Money Earlier or Later? Simple Heuristics Explain Intertemporal Choices Better than Delay Discounting""",,8
80,https://github.com/SuperV1234/DiscountCpp.git,"[HEADER-ONLY] C++11 wrapper for the markdown library ""Discount""","cpp,cpp11,library,discount,markdown,html-string,c-plus-plus,wrapper",8
81,https://github.com/ManigandanKrishnakumar/point-of-sale-system.git,"React Based Point of Sale System which includes billing, taxing, discounts, Inventory Mangement, with future scope of adding sales report and customer marketing",,8
82,https://github.com/rammyblog/PriceTracker.git,Price Tracker Application with Django and React used to Track Discounts on Jumia & Konga,"python,django,reactjs,react,django-rest-framework,nextjs,antd",8
83,https://github.com/somasis/makedown.git,[mirror] Static website generator using `make` and `discount`.,,8
84,https://github.com/careys7/Magento-Weather-Sales.git,"{""Discount products and create shopping cart rules based on a customer's local weather conditions""}",,8
