,Url,Description,Topics,Stars
0,https://github.com/storybookjs/storybook.git,"📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!","storybook,styleguide,testing,components,webpack,ui,react,vue,react-native,design-systems,javascript,angular,polymer,svelte,ember,ui-components,documentation,web-components,typescript,html",61691
1,https://github.com/joshbuchea/HEAD.git,🗿 A list of everything that *could* go in the head of your document,"html5,head,meta-tags,reference,list,seo,web-development,frontend-development,html,twitter-cards,favicon",28264
2,https://github.com/alibaba/druid.git,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池,,23838
3,https://github.com/pedronauck/docz.git,✍ It has never been so easy to document your things!,"docs,documentation,js,react,zero-configuration,ui,design-system,gatsby,mdx,docz,theme",20141
4,https://github.com/nfl/react-helmet.git,A document head manager for React,"react,helmet,side-effect",15082
5,https://github.com/tc39/ecma262.git,"Status, process, and documents for ECMA-262","ecmascript,javascript",11967
6,https://github.com/RelaxedJS/ReLaXed.git,Create PDF documents using web technologies,"pdf-document,pug,converter,chromium,html,scss",11606
7,https://github.com/arangodb/arangodb.git,"🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.","multi-model,graph-database,document-database,key-value,database,distributed-database,arangodb,nosql,graphdb",11166
8,https://github.com/ether/etherpad-lite.git,Etherpad: A modern really-real-time collaborative document editor.,"etherpad,collaboration,web-editor,documents,collaborative,collaborative-editing,collaborative-framework,collaborative-writing,collaborative-research,document,word,libreoffice,microsoft,docx,pdf,pdf-generation,rich-text-editor,video-conferencing,video-conference",10737
9,https://github.com/WebAssembly/design.git,WebAssembly Design Documents,,10608
10,https://github.com/mxrch/GHunt.git,🕵️\u200d♂️ Investigate Google emails and documents.,"osint,google,hideandsec",9415
11,https://github.com/star7th/showdoc.git,ShowDoc is a tool greatly applicable for an IT team to share documents online一个非常适合IT团队的在线API文档、技术文档工具,"showdoc,api,document,documentation-tool",8919
12,https://github.com/the-paperless-project/paperless.git,"Scan, index, and archive all of your paper documents","documents,paper,ocr,archiving,search",7575
13,https://github.com/sbilly/awesome-security.git,"A collection of awesome software, libraries, documents, books, resources and cools stuffs about security.","security,awesome-list",6793
14,https://github.com/Bogdan-Lyashenko/js-code-to-svg-flowchart.git,js2flowchart - a visualization library to convert any JavaScript code into beautiful SVG flowchart. Learn other’s code. Design your code. Refactor code. Document code. Explain code.,"flowchart,svg-flowchart,ast,javascript,svg,visualisation,learning,es6,scheme",6072
15,https://github.com/mbdavid/LiteDB.git,LiteDB - A .NET NoSQL Document Store in a single data file - https://www.litedb.org,"nosql,database,dotnet,litedb",5723
16,https://github.com/PHPOffice/PHPWord.git,A pure PHP library for reading and writing word processing documents,"php,libreoffice-writer,msword,doc,docx,html,odt,pdf,rtf,office",5579
17,https://github.com/apache/zeppelin.git,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala and more.","scala,java,big-data,zeppelin,javascript,spark,flink,database,nosql",5246
18,https://github.com/TommyLemon/Android-ZBLibrary.git,"🔥Android MVP 快速开发框架，做国内 「示例最全面」「注释最详细」「使用最简单」「代码最严谨」的 Android 开源 UI 框架。                🔥An Android MVP Framework with many demos, detailed documents, simple usages and strict codes.","zxing,okhttp,fastjson,swipeback,glide,recyclerview,smartrefreshlayout",4874
19,https://github.com/mwouts/jupytext.git,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts","jupyter-notebook,jupyterlab-extension,version-control,knitr,rstudio,markdown,rmarkdown,python,hydrogen,notebooks,jupyterlab",4487
20,https://github.com/burtonator/polar-bookshelf.git,Polar is a personal knowledge repository for PDF and web content supporting incremental reading and document annotation.,"pdf,electron,ebooks,ebook-reader,chrome,annotation,react,anki,flashcards,notes",4325
21,https://github.com/Kozea/WeasyPrint.git,The awesome document factory,"python,css,pdf,html,converter,weasyprint",4314
22,https://github.com/orientechnologies/orientdb.git,"OrientDB is the most versatile DBMS supporting Graph, Document, Reactive, Full-Text, Geospatial and Key-Value models in one Multi-Model product. OrientDB can run distributed (Multi-Master), supports SQL, ACID Transactions, Full-Text indexing and Reactive Queries. OrientDB Community Edition is Open Source using a liberal Apache 2 license.","orientdb,graph-database,document-database,dbms,nosql,graph-store,multi-master,multi-model-dbms,database,performance,fast,sql",4291
23,https://github.com/msiemens/tinydb.git,TinyDB is a lightweight document oriented database optimized for your happiness :),"python,nosql,database,documentdb,json",4246
24,https://github.com/alibaba/AliSQL.git,AliSQL is a MySQL branch originated from Alibaba Group. Fetch document from Release Notes at bottom.,"database,mysql,alisql,tokudb",4245
25,https://github.com/Kinto/kinto.git,A generic JSON document store with sharing and synchronisation capabilities.,"api,storage,web,http,decentralisation",4085
26,https://github.com/kneath/kss.git,A methodology for documenting CSS and generating styleguides.,,4075
27,https://github.com/domaindrivendev/Swashbuckle.AspNetCore.git,"{""Swagger tools for documenting API's built on ASP.NET Core""}",,3881
28,https://github.com/natario1/CameraView.git,"📸 A well documented, high-level Android interface that makes capturing pictures and videos easy, addressing all of the common issues and needs. Real-time filters, gestures, watermarks, frame processing, RAW, output of any size.","android,camera,camera-api,high-level,android-library,opengl,camera-control,capture-video,picture,camera-preview,cameraview,camera2-api,camera2,watermarks,frame-processing,real-time-filter,filters,realtime-filter,raw,raw-image",3809
29,https://github.com/jung-kurt/gofpdf.git,"A PDF document generator with high level support for text, drawing and images",,3800
30,https://github.com/phiresky/ripgrep-all.git,"rga: ripgrep, but also search in PDFs, E-Books, Office documents, zip, tar.gz, etc.",,3738
31,https://github.com/MongoEngine/mongoengine.git,A Python Object-Document-Mapper for working with MongoDB,"python,mongodb,mongodb-orm,mongo,pymongo,orm,odm",3472
32,https://github.com/wangdahoo/vonic.git,"Mobile UI Components, based on Vue.js and ionic CSS. https://wangdahoo.github.io/vonic-documents","components,mobile,web-app,ionic,vue,vonic",3404
33,https://github.com/soffes/sstoolkit.git,A collection of well-documented iOS classes for making life easier,,3362
34,https://github.com/symfony/dom-crawler.git,The DomCrawler component eases DOM navigation for HTML and XML documents.,"php,symfony,component,symfony-component,crawler,dom-crawler",3326
35,https://github.com/LinusBorg/portal-vue.git,"A feature-rich Portal Plugin for Vue 2, for rendering DOM outside of a component, anywhere in your app or the entire document.","vuejs,portal",3268
36,https://github.com/NAalytics/Assemblies-of-putative-SARS-CoV2-spike-encoding-mRNA-sequences-for-vaccines-BNT-162b2-and-mRNA-1273.git,"RNA vaccines have become a key tool in moving forward through the challenges raised both in the current pandemic and in numerous other public health and medical challenges.  With the rollout of vaccines for COVID-19, these synthetic mRNAs have become broadly distributed RNA species in numerous human populations.  Despite their ubiquity, sequences are not always available for such RNAs.  Standard methods facilitate such sequencing.  In this note, we provide experimental sequence information for the RNA components of the initial Moderna (https://pubmed.ncbi.nlm.nih.gov/32756549/) and Pfizer/BioNTech (https://pubmed.ncbi.nlm.nih.gov/33301246/) COVID-19 vaccines, allowing a working assembly of the former and a confirmation of previously reported sequence information for the latter RNA.  Sharing of sequence information for broadly used therapeutics has the benefit of allowing any researchers or clinicians using sequencing approaches to rapidly identify such sequences as therapeutic-derived rather than host or infectious in origin.   For this work, RNAs were obtained as discards from the small portions of vaccine doses that remained in vials after immunization; such portions would have been required to be otherwise discarded and were analyzed under FDA authorization for research use.  To obtain the small amounts of RNA needed for characterization, vaccine remnants were phenol-chloroform extracted using TRIzol Reagent (Invitrogen), with intactness assessed by Agilent 2100 Bioanalyzer before and after extraction.    Although our analysis mainly focused on RNAs obtained as soon as possible following discard, we also analyzed samples which had been refrigerated (~4 ℃) for up to 42 days with and without the addition of EDTA.  Interestingly a substantial fraction of the RNA remained intact in these preparations.  We note that the formulation of the vaccines includes numerous key chemical components which are quite possibly unstable under these conditions-- so these data certainly do not suggest that the vaccine as a biological agent is stable.  But it is of interest that chemical stability of RNA itself is not sufficient to preclude eventual development of vaccines with a much less involved cold-chain storage and transportation.   For further analysis, the initial RNAs were fragmented by heating to 94℃, primed with a random hexamer-tailed adaptor, amplified through a template-switch protocol (Takara SMARTerer Stranded RNA-seq kit), and sequenced using a MiSeq instrument (Illumina) with paired end 78-per end sequencing.  As a reference material in specific assays, we included RNA of known concentration and sequence (from bacteriophage MS2).  From these data, we obtained partial information on strandedness and a set of segments that could be used for assembly.  This was particularly useful for the Moderna vaccine, for which the original vaccine RNA sequence was not available at the time our study was carried out.  Contigs encoding full-length spikes were assembled from the Moderna and Pfizer datasets.  The Pfizer/BioNTech data [Figure 1] verified the reported sequence for that vaccine (https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/), while the Moderna sequence [Figure 2] could not be checked against a published reference.   RNA preparations lacking dsRNA are desirable in generating vaccine formulations as these will minimize an otherwise dramatic biological (and nonspecific) response that vertebrates have to double stranded character in RNA (https://www.nature.com/articles/nrd.2017.243).  In the sequence data that we analyzed, we found that the vast majority of reads were from the expected sense strand.  In addition, the minority of antisense reads appeared different from sense reads in lacking the characteristic extensions expected from the template switching protocol.  Examining only the reads with an evident template switch (as an indicator for strand-of-origin), we observed that both vaccines overwhelmingly yielded sense reads (>99.99%).  Independent sequencing assays and other experimental measurements are ongoing and will be needed to determine whether this template-switched sense read fraction in the SmarterSeq protocol indeed represents the actual dsRNA content in the original material.  This work provides an initial assessment of two RNAs that are now a part of the human ecosystem and that are likely to appear in numerous other high throughput RNA-seq studies in which a fraction of the individuals may have previously been vaccinated.  ProtoAcknowledgements: Thanks to our colleagues for help and suggestions (Nimit Jain, Emily Greenwald, Lamia Wahba, William Wang, Amisha Kumar, Sameer Sundrani, David Lipman, Bijoyita Roy).  Figure 1: Spike-encoding contig assembled from BioNTech/Pfizer BNT-162b2 vaccine.  Although the full coding region is included, the nature of the methodology used for sequencing and assembly is such that the assembled contig could lack some sequence from the ends of the RNA.  Within the assembled sequence, this hypothetical sequence shows a perfect match to the corresponding sequence from documents available online derived from manufacturer communications with the World Health Organization [as reported by https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/].  The 5’ end for the assembly matches the start site noted in these documents, while the read-based assembly lacks an interrupted polyA tail (A30(GCATATGACT)A70) that is expected to be present in the mRNA. ",,3177
37,https://github.com/ocropus/ocropy.git,Python-based tools for document analysis and OCR,,3071
38,https://github.com/deanmalmgren/textract.git,extract text from any document. no muss. no fuss.,"python,natural-language-processing,data-mining,text-mining",2998
39,https://github.com/pmarsceill/just-the-docs.git,"A modern, high customizable, responsive Jekyll theme for documention with built-in search.","jekyll,jekyll-theme,documentation,github-pages",2929
40,https://github.com/tecnickcom/TCPDF.git,Official clone of PHP library to generate PDF documents and barcodes,,2883
41,https://github.com/kbandla/APTnotes.git,"Various public documents, whitepapers and articles about APT campaigns",,2867
42,https://github.com/unidoc/unioffice.git,"Pure go library for creating and processing Office Word (.docx), Excel (.xlsx) and Powerpoint (.pptx) documents","go,golang,ooxml,openoffice,docx,pptx,xlsx,ecma-376,spreadsheet,word,powerpoint,excel,g",2839
43,https://github.com/ravendb/ravendb.git,ACID Document Database,"ravendb,c-sharp,document-database,nosql,nosql-databases,nosql-data-storage,database",2695
44,https://github.com/Hopding/pdf-lib.git,Create and modify PDF documents in any JavaScript environment,"pdf-document,pdflib,javascript-environment,pdf-lib,pdf,document,create,modify,creation,modification,edit,editing,typescript,javascript,library,pdf-generation,umd,copy,copying",2636
45,https://github.com/axa-group/Parsr.git,"Transforms PDF, Documents and Images into Enriched Structured Data","parsr,pdf,images,extraction,data,typescript,python,ocr,document,nlp,hacktoberfest",2625
46,https://github.com/python-openxml/python-docx.git,Create and modify Word documents with Python,,2614
47,https://github.com/thecodingmachine/gotenberg.git,"A Docker-powered stateless API for converting HTML, Markdown and Office documents to PDF","api,pdf,html,wkhtmltopdf,unoconv,docker,markdown,google-chrome,docx,txt,rtf,odt,pptx,ppt,odp,conversion,go,php,puppeteer,pdftk",2613
48,https://github.com/HouzuoGuo/tiedot.git,A rudimentary implementation of a basic document (NoSQL) database in Go,"nosql,database,db,go,golang,tiedot,document-database",2588
49,https://github.com/mangini/gdocs2md.git,"Convert a Google Drive Document to the Markdown format, suitable for publishing.",,2585
50,https://github.com/randym/axlsx.git,"{""    xlsx generation with charts, images, automated column width, customizable styles and full schema validation. Axlsx excels at helping you generate beautiful Office Open XML Spreadsheet documents without having to understand the entire ECMA specification. Check out the README for some examples of how easy it is. Best of all, you can validate your xlsx file before serialization so you know for sure that anything generated is going to load on your client's machine.""}",,2573
51,https://github.com/miso-belica/sumy.git,Module for automatic summarization of text documents and HTML pages.,"python,lsa,textteaser,html-page,summarizer,pagerank-algorithm,reduction,text-extraction,html-extraction,html-extractor,sumy,summarization,summary,nlp",2572
52,https://github.com/zhoubear/open-paperless.git," Scan, index, and archive all of your paper documents (acquired by Mayan EDMS)","paperless,office,groupware,pdf,ocr,scanner,documents",2514
53,https://github.com/golang/proposal.git,Go Project Design Documents,,2508
54,https://github.com/noirbizarre/flask-restplus.git,"Fully featured framework for fast, easy and documented API development with Flask","python,api,swagger,flask,rest,json,restful,restplus",2508
55,https://github.com/cirosantilli/linux-kernel-module-cheat.git,"The perfect emulation setup to study and develop the Linux kernel v5.4.3, kernel modules, QEMU, gem5 and x86_64, ARMv7 and ARMv8 userland and baremetal assembly, ANSI C, C++ and POSIX. GDB step debug and KGDB just work. Powered by Buildroot and crosstool-NG. Highly automated. Thoroughly documented. Automated tests. ""Tested"" in an Ubuntu 19.10 host.完美的仿真设置，可用于研究和开发Linux内核v5.4.3，内核模块，QEMU，gem5和x86_64，ARMv7和ARMv8用户界面以及裸机装配，ANSI C，C ++和POSIX。 GDB步骤调试和KGDB可以正常工作。 由Buildroot和crosstool-NG支持。 高度自动化。 彻底记录。 自动化测试。 在Ubuntu 19.10主机中经过“测试”。","buildroot,linux-kernel,qemu,gdb,kgdb,linux-kernel-module",2491
56,https://github.com/Bogdan-Lyashenko/codecrumbs.git,"Learn, design or document codebase by putting breadcrumbs in source code. Live updates, multi-language support and more.","javascript,java,typescript,python,php,cpp,software-architecture,code,documentation-tool,learning",2487
57,https://github.com/arturadib/strapdown.git,Instant and elegant Markdown documents in the browser,,2484
58,https://github.com/xiaoymin/swagger-bootstrap-ui.git,"Swagger-bootstrap-ui is the Swagger front-end UI implementation, the purpose is to replace the Swagger default UI implementation Swagger-UI, make the document more friendly....","swagger,swagger-ui,springfox-swagger2,knife4j",2463
59,https://github.com/rstudio/bookdown.git,Authoring Books and Technical Documents with R Markdown,"bookdown,book,gitbook,latex,html,epub,rmarkdown",2459
60,https://github.com/DroidNinja/Android-FilePicker.git,Photopicker and document picker for android,"photopicker,android-filepicker,demo,videopicker,video,android,whatsapp-like-picker",2389
61,https://github.com/openpaperwork/paperwork.git,"{""Personal document manager (Linux/Windows) -- Moved to Gnome's Gitlab""}","document-management,personal-document-system,dms,edms,python,python3,ocr,indexing,gtk,gtk3,sane,pdf,scanner,paperwork",2384
62,https://github.com/hail2u/html-best-practices.git,For writing maintainable and scalable HTML documents,,2313
63,https://github.com/WeTransfer/WeScan.git,Document Scanning Made Easy for iOS,"ios,swift,scanner",2292
