,Url,Description,Topics,Stars
0,https://github.com/blueimp/jQuery-File-Upload.git,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",,31030
1,https://github.com/nothings/stb.git,stb single-file public domain libraries for C/C++,,15547
2,https://github.com/mockery/mockery.git,"Mockery is a simple yet flexible PHP mock object framework for use in unit testing with PHPUnit, PHPSpec or any other testing framework. Its core goal is to offer a test double framework with a succinct API capable of clearly defining all possible object operations and interactions using a human readable Domain Specific Language (DSL).","mockery,phpunit,php,stub,mock,mocking,test-doubles",9805
3,https://github.com/typicode/hotel.git,🏩 A simple process manager for developers. Start apps from your browser and access them using local domains,"process-manager,front-end,devtools,https,local,local-domain,proxy",9633
4,https://github.com/heynickc/awesome-ddd.git,"A curated list of Domain-Driven Design (DDD), Command Query Responsibility Segregation (CQRS), Event Sourcing, and Event Storming resources","awesome,awesome-list,list",7226
5,https://github.com/jindongwang/transferlearning.git,Everything about Transfer Learning and Domain Adaptation--迁移学习,"transferlearning,domainadaptation,domain-adaptation,transfer-learning,survey,deep-learning,generalization,few-shot,tutorial-code,theory,papers,shot",7007
6,https://github.com/BloodHoundAD/BloodHound.git,Six Degrees of Domain Admin,,5455
7,https://github.com/lancopku/pkuseg-python.git,pkuseg多领域中文分词工具; The pkuseg toolkit for multi-domain Chinese word segmentation,chinese-word-segmentation,5406
8,https://github.com/davidjbradshaw/iframe-resizer.git,"Keep same and cross domain iFrames sized to their content with support for window/content resizing, in page links, nesting and multiple iFrames","iframe,cross-domain-iframes,iframed-page,resize",5274
9,https://github.com/kgrzybek/modular-monolith-with-ddd.git,Full Modular Monolith application with Domain-Driven Design approach.,"ddd,ddd-architecture,cqrs,architecture,rest-api,dotnet,dotnetcore,clean-architecture,clean-code,domain-driven-design,ddd-cqrs,design-patterns,software-architecture,rest,ddd-example,entity-framework-core,design-systems,modularity,monolith,event-sourcing",5109
10,https://github.com/django-oscar/django-oscar.git,Domain-driven e-commerce for Django,"django,ecommerce,django-oscar,oscar",4895
11,https://github.com/niderhoff/nlp-datasets.git,Alphabetical list of free/public domain datasets with text data for use in Natural Language Processing (NLP),,4634
12,https://github.com/jmdugan/blocklists.git,Shared lists of problem domains people may want to block with hosts files,,4302
13,https://github.com/michenriksen/aquatone.git,A Tool for Domain Flyovers,"security,osint,golang,chrome-headless,reconnaissance,chromium",4093
14,https://github.com/facebookresearch/DrQA.git,Reading Wikipedia to Answer Open-Domain Questions,,4046
15,https://github.com/cjhutto/vaderSentiment.git,"VADER Sentiment Analysis. VADER (Valence Aware Dictionary and sEntiment Reasoner) is a lexicon and rule-based sentiment analysis tool that is specifically attuned to sentiments expressed in social media, and works well on texts from other domains. ",,2976
16,https://github.com/elceef/dnstwist.git,"Domain name permutation engine for detecting homograph phishing attacks, typo squatting, and brand impersonation","phishing,typosquatting,domains,dns,osint,idn,fuzzing,threat-hunting,homograph-attack,scanner,threat-intelligence",2847
17,https://github.com/VaughnVernon/IDDD_Samples.git,"These are the sample Bounded Contexts from the book ""Implementing Domain-Driven Design"" by Vaughn Vernon:  http://vaughnvernon.co/?page_id=168",,2656
18,https://github.com/anudeepND/whitelist.git,A simple tool to add commonly white listed domains to your Pi-Hole setup. ,"pi-hole,ad-blocker,shell,raspberry-pi,whitelist,slickdeals,customization,pihole,adblock,pi-hole-setup,python3,docker-installation,adblocker,adguard,adguardhome",2602
19,https://github.com/EdOverflow/can-i-take-over-xyz.git,"""Can I take over XYZ?"" — a list of services and how to claim (sub)domains with dangling DNS records.","security,infosec,bugbounty,list,subdomain,subdomain-takeovers",2425
20,https://github.com/lijiejie/subDomainsBrute.git,A fast sub domain brute tool for pentesters,,2373
21,https://github.com/ddd-by-examples/library.git,A comprehensive Domain-Driven Design example with problem space strategic analysis and various tactical patterns.,"domain-driven-design,ddd,ddd-architecture,c4,hexagonal-architecture,ports-and-adapters,crud,aggregate,aggregate-root,functions,vavr,archunit,spring,event-storming,events",2302
22,https://github.com/tenancy/multi-tenant.git,"Run multiple websites using the same Laravel installation while keeping tenant specific data separated for fully independent multi-domain setups, previously github.com/hyn/multi-tenant","laravel,multi-tenancy,multi-domain,tenancy,multi-tenant,tenant,saas,hacktoberfest",2227
23,https://github.com/Sairyss/domain-driven-hexagon.git,"Guide on Domain-Driven Design, Hexagonal architecture, best practices etc.","domain-driven-design,hexagonal-architecture,clean-architecture,typescript,best-practices,javascript,solid-principles,architecture,architectural-patterns,secure-by-design,onion-architecture,typeorm,nestjs,design-patterns,system-design,nodejs",2207
24,https://github.com/facebookresearch/demucs.git,Code for the paper Music Source Separation in the Waveform Domain,,2057
25,https://github.com/sindresorhus/guides.git,A collection of succinct guides - Public Domain,,2050
26,https://github.com/zendesk/cross-storage.git,"Cross domain local storage, with permissions",,2012
27,https://github.com/Findomain/Findomain.git,"The complete solution for domain recognition. Supports screenshoting, port scan, HTTP check, data import from other tools, subdomain monitoring, alerts via Discord, Slack and Telegram, multiple API Keys for sources and much more.","subdomain-scanner,subdomains-monitoring,subdomains-enumeration,discovered-subdomains,findomain,resolved-subdomains,monitoring-automation",1913
28,https://github.com/pirate/sites-using-cloudflare.git,:broken_heart: Archived list of domains using Cloudflare DNS at the time of the CloudBleed announcement.,"security,ssl,https,cloudflare,passwords,dns,cdn",1911
29,https://github.com/forwardemail/free-email-forwarding.git,The best free email forwarding for custom domains.  Visit our website to get started (SMTP server),"email-forwarding,email,forward,forwarding,mail,proxy,gmail,smtp,nodemailer,node,javascript,sendmailer,postfix,sendmail,mta,proxy-server,encrypted,secure,custom,domains",1873
30,https://github.com/intelowlproject/IntelOwl.git,"Intel Owl: analyze files, domains, IPs in multiple ways from a single API at scale","security-tools,python,threat-intelligence,free-software,observable,ioc,incident-response,cyber-threat-intelligence,enrichment,honeynet,osint,osint-python,threatintel,malware-analysis,malware-analyzer,intel-owl,threat-hunting,hacktoberfest",1833
31,https://github.com/winshining/nginx-http-flv-module.git,"Media streaming server based on nginx-rtmp-module. In addtion to the features nginx-rtmp-module provides, HTTP-FLV, GOP cache and VHOST (one IP for multi domain names) are supported now.","rtmp,http-flv,gop-cache,media-server,nginx-rtmp,virtual-hosts,nginx-http-flv,chunked-transmission,live-streaming,h264,aac,flvjs,dynamic-module,nginx,live,vhost",1804
32,https://github.com/dafthack/MailSniper.git,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used as a non-administrative user to search their own email, or by an administrator to search the mailboxes of every user in a domain.",,1750
33,https://github.com/cloudkj/scar.git,"Deploy static websites in seconds - with HTTPS, a global CDN, and custom domains.","static-site,serverless,aws,s3,cloudfront,route53,cloudformation",1714
34,https://github.com/facebookresearch/TensorComprehensions.git,A domain specific language to express machine learning workloads.,"machine-learning,domain-specific-language",1702
35,https://github.com/eldraco/domain_analyzer.git,Analyze the security of any domain by finding all the information possible. Made in python.,,1643
36,https://github.com/krakenjs/zoid.git,Cross domain components,"component,angular,react,popup,iframe,iframes,ember,cross-domain,hacktoberfest",1547
37,https://github.com/youyuge34/PI-REC.git,:fire: PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain. :fire: 图像翻译，条件GAN，AI绘画,"gan,image-to-image-translation,cgan,auto-painting,edge-to-image-translation,image,image-reconstruction,ai-painting",1529
38,https://github.com/google/nomulus.git,Top-level domain name registry service on Google App Engine,,1500
39,https://github.com/NVlabs/FUNIT.git,Translate images to unseen domains in the test time with few example images.,,1418
40,https://github.com/joebew42/study-path.git,"An organized learning path about Clean Code, Test-Driven Development, Legacy Code, Refactoring, Domain-Driven Design and Microservice Architecture","clean-code,clean-architecture,hexagonal-architecture,solid-principles,tdd,refactoring,legacy-code,microservice-architecture,cqrs-es,learning,study-path,agile,domain-driven-design,software-development",1413
41,https://github.com/tomnomnom/httprobe.git,Take a list of domains and probe for working HTTP and HTTPS servers,,1407
42,https://github.com/artix41/awesome-transfer-learning.git,"Best transfer learning and domain adaptation resources (papers, tutorials, datasets, etc.)","transfer-learning,domain-adaptation,unsupervised-learning,paper,awesome-list",1377
43,https://github.com/thephpleague/event.git,Event package for your app and domain,,1377
44,https://github.com/luolongfei/freenom.git,Freenom域名自动续期。Freenom domain name renews automatically.,"php,phpmailer,freenom",1349
45,https://github.com/john-kurkowski/tldextract.git,"Accurately separate the TLD from the registered domain and subdomains of a URL, using the Public Suffix List.","python,tldextract,country-codes,suffix,tld",1334
46,https://github.com/ring04h/wydomain.git,to discover subdomains of your target domain,,1282
47,https://github.com/mjansson/rpmalloc.git,Public domain cross platform lock free thread caching 16-byte aligned memory allocator implemented in C,"concurrency,thread,memory,allocator",1273
48,https://github.com/tomnomnom/assetfinder.git,Find domains and subdomains related to a given domain,,1267
49,https://github.com/byt3bl33d3r/DeathStar.git,"{""Uses Empire's (https://github.com/BC-SECURITY/Empire) RESTful API to automate gaining Domain and/or Enterprise Admin rights in Active Directory environments using some of the most common offensive TTPs.""}","active-directory,security,pentesting,python",1240
50,https://github.com/tomnomnom/waybackurls.git,Fetch all the URLs that the Wayback Machine knows about for a domain,,1192
51,https://github.com/six2dez/reconftw.git,reconFTW is a tool designed to perform automated recon on a target domain by running the best set of tools to perform scanning and finding out vulnerabilities,"bugbounty,hacking,recon,pentest,subdomain,dorks,nuclei,xss,raspberry,ssrf,vulnerabilities,scanner,sqli,ssti,lfi,fuzzing",1174
52,https://github.com/BonzaiThePenguin/WikiSort.git,Fast and stable sort algorithm that uses O(1) memory. Public domain.,,1162
53,https://github.com/itteco/iframely.git,"oEmbed proxy. Supports over 1800 domains via custom parsers, oEmbed, Twitter Cards and Open Graph","embeds,oembed,twitter-cards,open-graph,responsive",1158
54,https://github.com/nvkelso/natural-earth-vector.git,"A global, public domain map dataset available at three scales and featuring tightly integrated vector and raster data.","naturalearthdata,gis,map,dataset",1156
55,https://github.com/zkavtaskin/Domain-Driven-Design-Example.git,Domain Driven Design Example C#,,1114
56,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete.git,"Firefox and Chrome WebExtension that deletes cookies and other browsing site data as soon as the tab closes, domain changes, browser restarts, or a combination of those events.","webextension,firefox,chrome,cookie,deleting-cookies,cookies,google-chrome,cookie-autodelete,mozilla-firefox",1061
57,https://github.com/pmjones/adr.git,Action-Domain-Responder: a web-specific alternative to Model-View-Controller.,,1048
58,https://github.com/valignatev/ddd-dynamic.git,"Domain Driven Design in Python, Ruby and other dynamic languages resources","ddd,python,ruby,php,cleanarchitecture,architecture,domain-driven-design",1022
59,https://github.com/ivolo/disposable-email-domains.git,A list of disposable email domains,,1008
60,https://github.com/threatexpress/domainhunter.git,Checks expired domains for categorization/reputation and Archive.org history to determine good candidates for phishing and C2 domain names,,1008
61,https://github.com/micmro/performance-bookmarklet.git,"Performance-Bookmarklet helps to analyze the current page through the Resource Timing API, Navigation Timing API and User-Timing - requests by type, domain, load times, marks and more. Sort of a light live WebPageTest.","webperf,bookmarklet,navigation-timing,resource-timing,analyzer,performance,waterfall,requests,performance-metrics,user-timing,browser-extension",1006
62,https://github.com/ddd-by-examples/factory.git,"The missing, complete example of Domain-Driven Design enterprise application backed by Spring stack","domain-driven-design,domain-model,ports-and-adapters,domain-events,aggregate,cqrs,invariants,enterprise-applications,domain-knowledge,crud,hexagon,event-storming",1000
63,https://github.com/leereilly/swot.git,:school: Identify email addresses or domains names that belong to colleges or universities. Help automate the process of approving or rejecting academic discounts.,,999
64,https://github.com/banq/jdonframework.git,Domain-Driven-Design Pub/Sub Domain-Events  framework,"ddd-architecture,cqrs,concurrency,single-writer,domain-driven-design,distributed-transaction,microservices,workflow,lmax-disruptor,pubsub,asynchronous,transaction,hexagonal-architecture,eventsourcing,reactive,saga,saga-libraries,saga-process,domainevents,ddd-events",991
65,https://github.com/carpedm20/DiscoGAN-pytorch.git,"PyTorch implementation of ""Learning to Discover Cross-Domain Relations with Generative Adversarial Networks""","gan,generative-model,unsupervised-learning,pytorch",968
66,https://github.com/adafruit/Adafruit-Eagle-Library.git,"{""Slowly building up a collection of parts we use here ... This file includes some library parts from microbuilder.eu Most of 'em are either Eagle parts that I've changed a little to make them easier to solder, some are 'handmade' and a few are from microbuilder.eu  Its released into the Public Domain - that means you can do whatever you want. We'd like it if you kept the author email/url in the part description, just so we can be alerted if there are errors.  Enjoy! ""}",,958
67,https://github.com/jiqizhixin/Artificial-Intelligence-Terminology.git,The English-Chinese paired terminologies in Artificial Intelligence Domain,,940
68,https://github.com/tenancy/tenancy.git,Run multiple websites using the same Laravel installation while keeping tenant specific data separated for fully independent multi-domain setups.,"laravel,tenancy,multi-tenant,saas,php,hacktoberfest",937
69,https://github.com/juand-r/entity-recognition-datasets.git,"A collection of corpora for named entity recognition (NER) and entity recognition tasks. These annotated datasets cover a variety of languages, domains and entity types.","entity-extraction,named-entity-recognition,ner,datasets,entity-recognition,nlp-resources,nlp,corpora,natural-language-processing,annotations",930
70,https://github.com/Screetsec/Sudomy.git,Sudomy is a subdomain enumeration tool to collect subdomains and analyzing domains performing automated reconnaissance (recon) for bug hunting / pentesting,"bugbounty,subdomain-enumeration,scanner,enumeration,reconnaissance,pentesting,hackerone,bugcrowd,kali,kali-linux,bash,httprobe,sublist3r,subfinder,collected-subdomains,subdomain-scanner,subdomain-finder,recon-subdomain,framework",926
71,https://github.com/disposable-email-domains/disposable-email-domains.git,a list of disposable and temporary email address domains,"disposable,email,domain,blocklist,filter,allowlist,pypi",903
72,https://github.com/PhpFriendsOfDdd/state-of-the-union.git,Describes various php Domain Driven Development initiatives all around the universe,,873
73,https://github.com/yunjey/domain-transfer-network.git,TensorFlow Implementation of Unsupervised Cross-Domain Image Generation ,"tensorflow,domain-transfer,unsupervised-learning,image-generation",853
74,https://github.com/jeremykendall/php-domain-parser.git,Public Suffix List based domain parsing implemented in PHP,,844
75,https://github.com/rsmudge/Malleable-C2-Profiles.git,"{""Malleable C2 is a domain specific language to redefine indicators in Beacon's communication. This repository is a collection of Malleable C2 profiles that you may use. These profiles work with Cobalt Strike 3.x.""}",,823
76,https://github.com/dafthack/DomainPasswordSpray.git,DomainPasswordSpray is a tool written in PowerShell to perform a password spray attack against users of a domain. By default it will automatically generate the userlist from the domain. BE VERY CAREFUL NOT TO LOCKOUT ACCOUNTS!,,822
77,https://github.com/TimothyYe/godns.git,"A dynamic DNS client tool supports AliDNS, Cloudflare, Google Domains, DNSPod, HE.net & DuckDNS & DreamHost, etc, written in Go.","dns,dnspod,ddns,dyndns,dynamic-dns,duckdns,cloudflare,alidns,godns,dreamhost,googledomains-dynamic-dns",810
78,https://github.com/flotwig/the-one-cert.git,One cert to rule them all: SSL cert that is valid for any and all domains + all levels of subdomains,,810
79,https://github.com/mattiasgustavsson/libs.git,Single-file public domain libraries for C/C++,,807
80,https://github.com/FeeiCN/ESD.git,Enumeration sub domains(枚举子域名),"subdomain-scanner,subdomain-brute,security-scanner,security-tools,brute-force",800
81,https://github.com/amplify-education/serverless-domain-manager.git,Serverless plugin for managing custom domains with API Gateways.,"serverless,certificate,lambda,amazon-certificate-manager,api-gateway,route53,cloudformation",796
82,https://github.com/cbeuw/GoQuiet.git,A Shadowsocks obfuscation plugin utilising domain fronting to evade deep packet inspection,,796
83,https://github.com/vincentcox/bypass-firewalls-by-DNS-history.git,Firewall bypass script based on DNS history records. This script will search for DNS A history records and check if the server replies for that domain. Handy for bugbounty hunters.,"bypassing,bugbounty,dns-record,security-tools,security,network-security",783
84,https://github.com/thuml/Transfer-Learning-Library.git,Transfer Learning Library for Domain Adaptation and Finetune.,"domain-adaptation,transfer-learning,finetune,open-set-domain-adaptation,partial-domain-adaptation,unsupervised-domain-adaptation,semantic-segmentation,keypoint-detection,dann,cyclegan-pytorch,image-translation,adversarial-learning",780
85,https://github.com/ternarylabs/porthole.git,A proxy to safely communicate to cross-domain iframes in javascript,,776
86,https://github.com/ChromeDevTools/debugger-protocol-viewer.git,"DevTools Protocol API docs—its domains, methods, and events","chrome-debugging-protocol,chrome-devtools",768
87,https://github.com/dirkjanm/PrivExchange.git,Exchange your privileges for Domain Admin privs by abusing Exchange,,762
88,https://github.com/hectorm/hblock.git,"Improve your security and privacy by blocking ads, tracking and malware domains.","ad-blocker,adblock,adblocker,ads,advertisements,blocker,dns,dnsmasq,hosts,hostsfile,malware,privacy,protection,ransomware,security,shell,trackers,tracking,trojans,unified-hosts",760
89,https://github.com/analyticalmonk/awesome-neuroscience.git,"A curated list of awesome neuroscience libraries, software and any content related to the domain.","neuroscience,mooc,brain,awesome-list,matlab,python,intelligence,awesome,list,hacktoberfest",760
90,https://github.com/factbook/factbook.json.git,World Factbook Country Profiles in JSON  - Free Open Public Domain Data - No API Key Required ;-),"factbook,opendata,world,countries,publicdomain,json,europe,africa,asia,america,oceania,economy,government,people,religion",754
91,https://github.com/VaughnVernon/IDDD_Samples_NET.git,"These are the sample Bounded Contexts for C#.NET from the book ""Implementing Domain-Driven Design"" by Vaughn Vernon:  http://vaughnvernon.co/?page_id=168",,749
92,https://github.com/EdwinVW/pitstop.git,"This repo contains a sample application based on a Garage Management System for Pitstop - a fictitious garage. The primary goal of this sample is to demonstrate several software-architecture concepts like: Microservices, CQRS, Event Sourcing, Domain Driven Design (DDD), Eventual Consistency.","microservices-architecture,cqrs,event-driven,event-sourcing,ddd,sample-app,message-broker,netcore,docker,docker-compose,rabbitmq,web-api,asp-net-core-mvc,eventual-consistency,kubernetes,istio,service-mesh,linkerd,microservices",744
93,https://github.com/nicklockwood/CountryPicker.git,"CountryPicker is a custom UIPickerView subclass that provides an iOS control allowing a user to select a country from a list. It can optionally display a flag next to each country name, and the library includes a set of 249 high-quality, public domain flag images from FAMFAMFAM (http://www.famfamfam.com/lab/icons/flags/) that have been painstakingly re-named by country code to work with the library.",,744
94,https://github.com/dharmafly/noodle.git,A node server and module which allows for cross-domain page scraping on web documents with JSONP or POST.,,739
