,Url,Description,Topics,Stars
0,https://github.com/maxwellito/vivus.git,JavaScript library to make drawing animation on SVG,,13648
1,https://github.com/jacomyal/sigma.js.git,A JavaScript library dedicated to graph drawing,,9381
2,https://github.com/cyanharlow/purecss-francine.git,HTML/CSS drawing in the style of an 18th-century oil painting. Hand-coded entirely in HTML & CSS.,,7554
3,https://github.com/jonobr1/two.js.git,A renderer agnostic two-dimensional drawing api for the web.,"svg,webgl,javascript,canvas,scenegraph,renderer",7116
4,https://github.com/szimek/signature_pad.git,HTML5 canvas based smooth signature drawing,"signature,signature-pad,canvas,javascript,drawing",6989
5,https://github.com/corkami/pics.git,"Posters, drawings...","poster,patreon",5201
6,https://github.com/google/skia.git,"Skia is a complete 2D graphic library for drawing Text, Geometries, and Images.",,5007
7,https://github.com/memononen/nanovg.git,Antialiased 2D vector drawing library on top of OpenGL for UI and visualizations.,,3958
8,https://github.com/konvajs/react-konva.git,React + Canvas = Love. JavaScript library for drawing complex canvas graphics using React.,"konva,draw-graphics,react,canvas,konva-framework,visualization",3936
9,https://github.com/jung-kurt/gofpdf.git,"A PDF document generator with high level support for text, drawing and images",,3800
10,https://github.com/pfnet/PaintsChainer.git,line drawing colorization using chainer,,3561
11,https://github.com/css-doodle/css-doodle.git,🎨 A web component for drawing patterns with CSS.,"css,patterns,web-component,css-doodle,generative-art",3535
12,https://github.com/anvaka/VivaGraphJS.git,Graph drawing library for JavaScript,"graph-drawing,layout-algorithm,visualization,ngraph,graph,graph-algorithms,webgl,vivagraph",3359
13,https://github.com/jvalen/pixel-art-react.git,Pixel art animation and drawing web app powered by React,"pixel-art,animation,react,css,redux,draw,javascript",3022
14,https://github.com/bradley/Blotter.git,A JavaScript API for drawing unconventional text effects on the web.,"webgl,glsl,glsl-shaders,javascript,typography,text,css,animation,design,creative-coding,lsd",2787
15,https://github.com/weixin/Miaow.git,"A set of plugins for Sketch include drawing links & marks, UI Kit & Color sync, font & text replacing.","wechat,sketch,plugin,extension,design",2526
16,https://github.com/gcacace/android-signaturepad.git,A custom Android View for drawing smooth signatures,,2422
17,https://github.com/JimBobSquarePants/ImageProcessor.git,:camera: A fluent wrapper around System.Drawing for the processing of image files.,"image-processor,c-sharp,jpeg,gif,png,bmp,tiff,webp,aspnet",2412
18,https://github.com/Leimi/drawingboard.js.git,A canvas based drawing app that you can integrate easily on your website.,"canvas,drawingboard,drawing,paint",2012
19,https://github.com/reactjs/react-art.git,React Bridge to the ART Drawing Library,,1972
20,https://github.com/anopara/genetic-drawing.git,A genetic algorithm toy project for drawing,,1919
21,https://github.com/jaredrummler/AnimatedSvgView.git,Animated SVG Drawing for Android,"android,animation,svg,vector-drawable,path-tracer",1902
22,https://github.com/mypaint/mypaint.git,MyPaint is a simple drawing and painting program that works well with Wacom-style graphics tablets.,"painting,drawing,art,mypaint,python,libmypaint,graphics-tablet,brushes,distraction-free,infinite-scroll,creative",1881
23,https://github.com/toorshia/justgage.git,JustGage is a handy JavaScript plugin for generating and animating nice & clean dashboard gauges. It is based on Raphaël library for vector drawing.,,1782
24,https://github.com/IFTTT/jot.git,An iOS framework for easily adding drawings and text to images.,,1776
25,https://github.com/Leaflet/Leaflet.draw.git,Vector drawing and editing plugin for Leaflet,,1646
26,https://github.com/graphsketcher/GraphSketcher.git,"A fast, simple graph drawing and data plotting app for OS X and iPad.",,1626
27,https://github.com/steveruizok/perfect-arrows.git,A set of minimal functions for drawing perfect arrows between points and shapes.,"perfect-arrows,arrow-heads,draw,angles,arc",1590
