,Url,Description,Topics,Stars
0,https://github.com/drone/drone.git,"Drone is a Container-Native, Continuous Delivery Platform","continuous-delivery,continuous-integration,go,build-pipelines,build-automation,docker,ci,ci-cd",23073
1,https://github.com/hybridgroup/gobot.git,"Golang framework for robotics, drones, and the Internet of Things (IoT)","robotics,iot,drone,go,robot,uav,arduino,raspberry-pi,beaglebone,beaglebone-black,intel-joule,sphero,bluetooth,gpio,i2c,internet-of-things,intel-edison,hardware,mqtt,bluetooth-le",7147
2,https://github.com/hybridgroup/cylon.git,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)","javascript,arduino,beaglebone-black,raspberry-pi,gpio,i2c,sphero,chip,iot,internet-of-things,intel-joule,intel-edison,bluetooth-low-energy,robotics,drones",3800
3,https://github.com/OpenDroneMap/ODM.git,"A command line toolkit to generate maps, point clouds, 3D models and DEMs from drone, balloon or kite images. 📷","point-cloud,photogrammetry,drone,uas,structure-from-motion,aerial-imagery",3070
4,https://github.com/mavlink/qgroundcontrol.git,"Cross-platform ground control station for drones (Android, iOS, Mac OS, Linux, Windows)","mavlink,qt,px4,drone,uav,uas,pixhawk,ardupilot",1817
5,https://github.com/felixge/node-ar-drone.git,A node.js client for controlling Parrot AR Drone 2.0 quad-copters.,,1706
6,https://github.com/hybridgroup/artoo.git,"Ruby framework for robotics, drones, and the Internet of Things (IoT)",,1536
7,https://github.com/samyk/skyjack.git,"A drone engineered to autonomously seek out, hack, and wirelessly take full control over any other Parrot or 3DR drones within wireless or flying distance, creating an army of zombie drones under your control.",,1410
8,https://github.com/generalized-intelligence/GAAS.git,"Generalized Aviation: Open source autonomous aviation software platform, designed for fully autonomous drones and flying cars.","drone,drones,autonomous-quadcoptor,autonomous,flying-car,aviation,flight-controller,flight,uav",1400
9,https://github.com/mavlink/mavlink.git,Marshalling / communication library for drones.,,1001
10,https://github.com/dji-sdk/Tello-Python.git,This is a collection of python modules that interact with the Ryze Tello drone.,,879
11,https://github.com/dronekit/dronekit-python.git,DroneKit-Python library for communicating with Drones via MAVLink.,,868
12,https://github.com/amov-lab/Prometheus.git,Open source software for autonomous drones.,"gazebo,px4,slam,mavros,control",569
13,https://github.com/avem-labs/Avem.git,🚁 轻量级无人机飞控-[Drone]-[STM32]-[PID]-[BLDC],"drones,freertos,stm32,hardware,pcb-layout,imu,flight-controller,arm,kicad",536
14,https://github.com/hanyazou/TelloPy.git,DJI Tello drone controller python package,,511
15,https://github.com/dhondta/dronesploit.git,Drone pentesting framework console,"python,cli,console,drone,hacking,pentest-tools,security-tools,tinyscript",490
16,https://github.com/qzq1111/flask-restful-example.git,flask后端开发接口示例，利用Flask开发后端API接口。包含基本的项目配置、统一响应、MySQL和Redis数据库操作、定时任务、图片生成、项目部署、用户权限认证、报表输出、无限层级生成目录树、阿里云手机验证码验证、微信授权、Celery、单元测试、Drone等模块。,"python3,flask,flask-restful,docker,office,docker-compose,flask-api,flask-celery,drone,flask-yaml,unittest",464
17,https://github.com/damiafuentes/DJITelloPy.git,DJI Tello drone python interface using the official Tello SDK. Feel free to contribute! ,,430
