,Url,Description,Topics,Stars
0,https://github.com/frappe/erpnext.git,"{""World's best free and open source ERP.""}","manufacturing,integrations,agriculture,erpnext,trademarks,python,localization,healthcare,support,asset-management,accounting,distribution,retail,crm,frappe,hrms,project-management,procurement,erp,profit",8353
1,https://github.com/grocy/grocy.git,ERP beyond your fridge - grocy is a web-based self-hosted groceries & household management solution for your home,"self-hosted,food,home,erp,groceries,ownyourdata,grocy",3175
2,https://github.com/Dolibarr/dolibarr.git,"{""Dolibarr ERP CRM is a modern software package to manage your company or foundation activity (contacts, suppliers, invoices, orders, stocks, agenda, accounting, ...).It's opensource software (wrote with PHP language) designed for small and medium companies, foundation and freelances. You can freely install, use and distribute it as a standalone application or as a web application to use it from every internet access and media.""}","erp,crm,accounting,quotations,invoicing,stocks,agenda,human-resource-managment,php,mysql,postgresql,suppliers,orders,proposal,sales,purchase,invoice,stock,hacktoberfest,invoices",2466
3,https://github.com/osbzr/gooderp_addons.git,可能是中国用户数最多的开源ERP,"odoo,china,fork,erp,python,scm,finance,accounting,project",1311
4,https://github.com/megagao/production_ssm.git,这是一个SSM（Spring+SpringMVC+Mybatis）+jQuery EasyUI开发的ERP系统。,,983
5,https://github.com/zhuinfo/Django-ERP.git,Django-ERP是一款基于Django开发的ERP管理软件，包含常用的销售管理、采购管理、库存管理、组织管理等，支持按项目归集费用，支持工作流审批，支持采购单、报价单的批量导入。,,947
6,https://github.com/metasfresh/metasfresh.git,"We do Open Source ERP - Fast, Flexible & Free Software to scale your Business.","metasfresh,javascript,react,java,management,business,erp,manufacturing,accounting,crm,docker-image,spring-boot,postgresql,hacktoberfest",852
7,https://github.com/jishenghua/jshERP.git,华夏ERP基于SpringBoot框架和SaaS模式，立志为中小企业提供开源好用的ERP软件，目前专注进销存+财务功能。主要模块有零售管理、采购管理、销售管理、仓库管理、财务管理、报表查询、系统管理等。支持预付款、收入支出、仓库调拨、组装拆卸、订单等特色功能。拥有库存状况、出入库统计等报表。同时对角色和权限进行了细致全面控制，精确到每个按钮和菜单。,erp,794
8,https://github.com/WebVella/WebVella-ERP.git,"Free and open-source pluggable ERP and CRM software based on ASP.NET Core 5, RazorPages and PostgreSQL 13. Targets Linux or Windows as host OS. ",,647
9,https://github.com/adempiere/adempiere.git,"ADempiere Business Suite ERP/CRM/MFG/SCM/POS done the Bazaar way in an open and unabated fashion. Focus is on the Community that includes Subject Matter Specialists, Implementors and End-Users.",,564
10,https://github.com/inoerp/inoERP.git,"inoERP is a PHP-based open source enterprise management system that can be used with several databases - such as Oracle 12c, MariaDB, MySQL. The ERP system contains all the functionalities required for running any manufacturing, service or distribution organization. The features are very similar to Oracle R12/ Fusion Application and SAP. It also contains a lightweight CMS, which seamlessly integrates with the ERP system",,546
