,Url,Description,Topics,Stars
0,https://github.com/udacity/ud843-QuakeReport.git,Discover earthquake activity around the world.,,340
1,https://github.com/geodynamics/specfem3d.git,"SPECFEM3D_Cartesian simulates acoustic (fluid), elastic (solid), coupled acoustic/elastic, poroelastic or seismic wave propagation in any type of conforming mesh of hexahedra (structured or not). It can for instance model seismic waves propagating in sedimentary basins or any other regional geological model following earthquakes. It can also be used for non destructive testing or for ocean acoustics.",,198
2,https://github.com/tperol/ConvNetQuake.git,Convolutional Neural Network for Earthquake detection and location,,150
3,https://github.com/bkhezry/earthquake.git,:globe_with_meridians: Earthquake app with USGS Earthquakes API,"android,kotlin,kotlin-android,earthquakes,usgs-api",145
4,https://github.com/llSourcell/Kaggle_Earthquake_challenge.git,This is the code for the Kaggle Earthquake Challenge by Siraj Raval on Youtube,,130
5,https://github.com/SeisSol/SeisSol.git,A scientific software for the numerical simulation of seismic wave phenomena and earthquake dynamics,"hpc,earthquakes,simulation,dynamic-rupture",125
6,https://github.com/eqcorrscan/EQcorrscan.git,Earthquake detection and analysis in Python.,"cross-correlation,seismology,earthquakes,subspace,python,template-matching,repeating-earthquakes,detection,earthquake-detection,matched-filtering",117
7,https://github.com/stanford-futuredata/FAST.git,End-to-end earthquake detection pipeline via efficient time series similarity search,"minhash-lsh-algorithm,time-series,earthquakes,similarity-search",116
8,https://github.com/openeew/openeew.git,"Introduction to OpenEEW, an open-source Earthquake Early-Warning toolkit","openeew,earthquakes,eew,grillo,early-warning-systems,call-for-code,linux-foundation",108
9,https://github.com/smousavi05/EQTransformer.git,"EQTransformer, a python package for earthquake signal detection and phase picking using AI.","earthquakes,detection,phase-picking,deep-learning,neural-network,lstm-neural-networks,attention-mechanism,transformer,multi-task-learning,global,stead",101
10,https://github.com/hvasbath/beat.git,Bayesian Earthquake Analysis Tool,"geodesy,seismology,waveform-inversion,earthquakes,bayesian-inference",80
11,https://github.com/smousavi05/STEAD.git,STanford EArthquake Dataset (STEAD):A Global Data Set of Seismic Signals for AI,"deep-learning,dataset,earthquake,stanford,stead",79
12,https://github.com/QuakeMigrate/QuakeMigrate.git,A Python package for automatic earthquake detection and location using waveform migration and stacking.,"python,seismology,seismic,volcanology,signal-processing,earthquake,detection,location,research,passive,volcano-seismology",70
13,https://github.com/ahotovec/REDPy.git,Repeating Earthquake Detector (Python),"python,repeating-earthquakes,volcanology,seismology",48
14,https://github.com/Vettejeep/MSDS696-Masters-Final-Project.git,Earthquake Prediction Challenge with LightGBM and XGBoost,"kaggle,earthquake,prediction,machine,learning,lightgbm,xgboost,python",44
15,https://github.com/pyrocko/kite.git,InSAR unwrapped surface displacement processing for earthquake modelling.,"insar,earthquake,displacement-data,modelling",44
16,https://github.com/sefagurel/LastEarthquakes.git,Last Earthquakes,,43
17,https://github.com/veetaw/quake.git,Material Design earthquakes,"earthquakes,ingv,flutter,android,earthquake,play-store,dart,material-design",40
18,https://github.com/Gaket/Earthquakes.git,Demo application showing alerts about Earthquakes. Built using Clean Architecture and MVP approach.,"mvp,android,earthquakes-alert,clean-architecture",35
19,https://github.com/Dal-mzhang/REAL.git,Rapid Earthquake Association and Location,,34
20,https://github.com/ydluo/qdyn.git,A Quasi-DYNamic earthquake simulator,,33
21,https://github.com/pnavarrc/earthquake.git,Earthquakes in Chile,"earthquakes,chile,d3,mapbox,d3-geo,mapping,earthquake-data",32
22,https://github.com/bakerjw/CS_Selection.git,Software for selecting earthquake ground motions to match a target conditional spectrum,,31
23,https://github.com/jackdbd/dash-earthquakes.git,A Plotly Dash application showing earthquake data from the USGS website,"plotly,dashboard,dash,usgs,mapbox",31
24,https://github.com/openeew/openeew-detection.git,Earthquake detection for OpenEEW sensors,"openeew,earthquake-detection,kubernetes,containers,docker,mqtt,postgresql",29
25,https://github.com/exxamalte/python-georss-ingv-centro-nazionale-terremoti-client.git,Library for convenient access to the INGV Centro Nazionale Terremoti (Earthquakes) feed.,georss,29
26,https://github.com/lumios/shake.git,緊急地震速報プログラム – Desktop Earthquake Warnings,"deprecated,beta",27
27,https://github.com/orhanayd/kandilli-rasathanesi-api.git,Kandilli rasathanesinin son dakika depremler ve tarihe göre deprem listesi için ara API (last minute earthquakes in turkey),"deprem,api,earthquake,earthquake-api,earthquake-data,minute-earthquakes,turkey,earthquake-source,deprem-api,depremler",26
