,Url,Description,Topics,Stars
0,https://github.com/ossu/computer-science.git,:mortar_board: Path to a free self-taught education in Computer Science!,"computer-science,awesome-list,courses,curriculum",84030
1,https://github.com/ossu/data-science.git,:bar_chart: Path to a free self-taught education in Data Science!,,11399
2,https://github.com/microsoft/ai-edu.git,"AI education materials for Chinese students, teachers and IT professionals.",,9176
3,https://github.com/oppia/oppia.git,"A free, online learning platform to make quality education accessible for all.","education,interactive,learning,python,appengine,tutor,web,javascript,nonprofit,angularjs,angular,tutorials,teaching",4170
4,https://github.com/loiane/javascript-datastructures-algorithms.git,:books: collection of JavaScript and TypeScript data structures and algorithms for education purposes. Source code bundle of JavaScript algorithms and data structures book,"javascript-algorithms,algorithm,data-structures,typescript,typescript-algorithms,stack,queue,deque,priority-queue,linked-list,set,tree,sorting-algorithms,dictionary,binary-tree,avl-tree,quicksort,graph,graph-algorithms,dijkstra-algorithm",2865
5,https://github.com/missing-semester/missing-semester.git,The Missing Semester of Your CS Education 📚,,2016
6,https://github.com/ossu/bioinformatics.git,:microscope: Path to a free self-taught education in Bioinformatics!,,1939
7,https://github.com/bugcrowd/bugcrowd_university.git,Open source education content for the researcher community,,1742
8,https://github.com/stypr/clubhouse-py.git,Clubhouse API written in Python. Standalone client included. For reference and education purposes only.,"clubhouse,clubhouse-api,clubhouseapi,voice-chat,clubhouse-lib,clubhouse-client",1661
9,https://github.com/fossasia/libregraphics.asia.git,LibreGraphics.asia is a collection of freely licensed photos from Indonesia collected during an environmental IT education contest,,1385
10,https://github.com/fossasia/pslab-expeyes.git,PSLab for ExpEYES - Science Experiments and Data Acquisition for Physics Education https://pslab.io,,1382
11,https://github.com/dunnousername/yanderifier.git,"First-Order-Wrapper (formerly known as Yanderify) is a front-end tool for first-order-motion. It aims to make using first-order-motion face animation accessible to everyone, for education and entertainment.",,1352
12,https://github.com/PetoiCamp/OpenCat-Old.git,A programmable and highly maneuverable robotic cat for STEM education and AI-enhanced services.,"robotics,quadruped,legged,walking",1343
13,https://github.com/zero-to-mastery/start-here-guidelines.git,"{""Lets Git started in the world of opensource, starting in the Zero To Mastery's opensource playground. Especially designed for education and practical experience purposes.""}","getting-started,giting-started,opensource-intro",1297
14,https://github.com/chrisdickinson/git-rs.git,"git, implemented in rust, for fun and education :crab:",,1248
15,https://github.com/TEAMMATES/teammates.git,This is the project website for the TEAMMATES feedback management tool for education,"java,javascript,teammates,universities,students,peer-evaluations,teachers,educators,angular,hacktoberfest,feedback-systems,gae",1132
16,https://github.com/roncoo/roncoo-education.git,领课教育系统（roncoo-education）是基于领课网络多年的在线教育平台开发和运营经验打造出来的产品，致力于打造一个各行业都适用的分布式在线教育系统。系统采用前后端分离模式，前台采用vue.js为核心框架，后台采用Spring Cloud为核心框架。系统目前主要功能有课程点播功能，支持多家视频云的接入，课程附件管理功能，支持多家存储云的接入，讲师管理功能，支持讲师入驻功能，可以帮助个人或者企业快速搭建一个轻量级的在线教育平台。,"roncoo,spring-cloud,roncoo-education,spring-boot-2",801
17,https://github.com/smgorelik/Windows-RCE-exploits.git,"The exploit samples database is a repository for **RCE** (remote code execution) exploits and Proof-of-Concepts for **WINDOWS**, the samples are uploaded for education purposes for red and blue teams.",,681
18,https://github.com/karpathy/pytorch-normalizing-flows.git,Normalizing flows in PyTorch. Current intended use is education not production.,,658
19,https://github.com/microsoft/AI-System.git,System for AI Education Resource.,,627
20,https://github.com/quobit/awesome-python-in-education.git,A curated list about Python in Education :snake: :mortar_board:,"learning-python,computer-science,awesome-list,python,education,awesome",566
