,Url,Description,Topics,Stars
0,https://github.com/esig/dss.git,"Digital Signature Service : creation, extension and validation of advanced electronic signatures","xades,cades,pades,asic,signature,esignature,validation,java,jades",437
1,https://github.com/WangShayne/vue-signature.git,Electronic signature,,159
2,https://github.com/Turksat/ESign.git,Electronic Signature (Elektronik İmza),,18
3,https://github.com/GregoireHebert/docusign-bundle.git,Symfony bundle to create electronic signatures with DocuSign,"docusign,docusign-bundle,flysystem-bundle,symfony-bundle,electronic-signatures,hacktoberfest",18
4,https://github.com/PeculiarVentures/CAdES.js.git,CAdESjs is an implementation of CAdES (CMS Advanced Electronic Signatures)in pure Javascript. ,"cms,pkcs7,javascript,webcrypto,cades",14
5,https://github.com/seresistvanandras/evoting.git,A remote electronic voting protocol implementation on Ethereum using ECC blind signatures,"ethereum,voting-application,evoting,blockchain-voting,blockchain",13
6,https://github.com/keensoft/alfresco-firma-pdf.git,Electronic Signature Action for Alfresco Share,,8
7,https://github.com/jaeheng/vue-signature-simple.git,A electronic signature component by Vue.js,,8
8,https://github.com/stm32-rs/stm32-device-signature.git,"{""Device electronic signature 'driver' for STM32 microcontrollers""}",,7
9,https://github.com/jpylephilalegal/docassemble-electronicsignaturels.git,Integrating Legal Server with docassemble for purposes of gathering e-signatures on documents that are then stored in Legal Server.,,7
10,https://github.com/OpenICP-BR/libICP.git,A Golang library for CAdES (CMS Advanced Electronic Signatures) for the Brazilian Public Key Infrastructure,"digital-signature,electronic-signatures,golang-library,cades,brazil",7
11,https://github.com/Advanon/pdf-signatures.git,Nodejs package to sign pdfs with external electronic signatures (PKCS7),,5
12,https://github.com/octosign/desktop.git,Desktop electronic signature software,,5
13,https://github.com/Vauxoo/cfdilib.git,Electronic document signature -- lib,,4
14,https://github.com/giosil/xades.git,Utility .net class to sign xml width XAdES-BES (XML Advanced Electronic Signatures) digital signature.,"xades,digital-signature,electronic-signatures,xml",3
15,https://github.com/Primechain/primechain-api-docs.git,"Primechain APIs make it very simple for developers to add blockchain power to their code - smart asset lifecycle management, electronic signatures, encrypted data storage & more.",,3
16,https://github.com/shrink/actions-document-sign.git,:octocat: Create an Electronic Signature for a commit or tag (and publish with shrink/actions-document-publish),"actions,document-management,signature,electronic-signatures,document-sign",3
17,https://github.com/darekm/xades4fpc.git,Advanced Electronic Signatures for freepascal,,2
18,https://github.com/linagora/linsign.git,[ARCHIVED] LinSign – Electronic signature application,,2
19,https://github.com/sevenninhlee/DA-Signature.git,Electronic Signature Site | Laravel & Vue.Js,,2
20,https://github.com/telecastg/esignature-field-and-documents-for-espocrm.git,Module to allow the use of electronic signature as a field and to  generate documents that incorporate the electronic signature,,2
21,https://github.com/BarshisLab/AstrangiaPoculata-Thermal-Performance.git,"Electronic notebook for ""Adaptive signatures in thermal performance of the temperate coral Astrangia poculata (Ellis & Solander, 1786)""",,2
22,https://github.com/maaleman/sigpad.git,Simple Electronic Signature Generator using HTML5 canvas. Code was derived from sample-sketch-pad,,1
23,https://github.com/WangShayne/vue3-signature.git,Electronic signature for Vue3,,1
24,https://github.com/dcwq/esign.git,Electronic Signatures Checker,,1
25,https://github.com/papsign/PapSign-API.git,PapSign electronic signature API,,1
26,https://github.com/cimox/sipvs-fiit.git,SIPVS FIIT electronic signature agony,,1
27,https://github.com/jozefzatko/sipvs.git,SIPVS project - Advanced Electronic Signature,,1
28,https://github.com/dmarkdevin/electronic_signature.git,"E-Signature, jQuery, PHP, AJAX, html2canvas.js",,1
29,https://github.com/mkysoft/XmlXAdESValidator.git,XML Advanced Electronic Signatures (XAdES) Validator,"xades,xml,electronic-signatures",1
30,https://github.com/soonthana/XAdES.git,XAdES (XML Advanced Electronic Signatures) for .NET,,1
31,https://github.com/RecursionSpace/django-esign.git,Process electronic/digital signatures from humans,"django,esign,django-esign,e-signature,esignature,digitalsignature,digital-signature,e-sign",1
32,https://github.com/papsign/PapSign-SDK-Java.git,PapSign electronic signature and cryptography SDK.,"esign,esignature,esignatures,cryptography,java",1
33,https://github.com/ton9q/ElectronicDigitalSignatureTester.git,Client-Server application. 2 encryption algorithm (manually): RSA and DSA. Sending a hash and a signature with the keys. Server check (Course work),,1
34,https://github.com/fpartl/Electronic-Signature-Example.git,"Electronic signature (RSA, SHA1) code implemented in PHP as a web demo.",,1
35,https://github.com/zengsang/OnlineSignature.git,A comprehensive service platform to provide electronic signature,,1
36,https://github.com/huwan/SignPDF.git,Add an electronic signature to a PDF document using LaTeX,,1
37,https://github.com/KovaliovNA/e-signature.git,University project 2017. Electronic digital signature of any files with simple web UI.,,1
38,https://github.com/DamianJMurphy/PrescriptionSignatureVerifier.git,Windows application to verify digital signatures for NHS Electronic Prescription Service release 2 and later.,,1
39,https://github.com/jaysonlong/ethereum-anonymous-auction.git,An anonymous electronic auction system using ring signature based on ethereum blockchain.,,1
