,Url,Description,Topics,Stars
0,https://github.com/adam-p/markdown-here.git,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",,51531
1,https://github.com/xkcoding/spring-boot-demo.git,该项目已成功集成 actuator(监控)、admin(可视化监控)、logback(日志)、aopLog(通过AOP记录web请求日志)、统一异常处理(json级别和页面级别)、freemarker(模板引擎)、thymeleaf(模板引擎)、Beetl(模板引擎)、Enjoy(模板引擎)、JdbcTemplate(通用JDBC操作数据库)、JPA(强大的ORM框架)、mybatis(强大的ORM框架)、通用Mapper(快速操作Mybatis)、PageHelper(通用的Mybatis分页插件)、mybatis-plus(快速操作Mybatis)、BeetlSQL(强大的ORM框架)、upload(本地文件上传和七牛云文件上传)、redis(缓存)、ehcache(缓存)、email(发送各种类型邮件)、task(基础定时任务)、quartz(动态管理定时任务)、xxl-job(分布式定时任务)、swagger(API接口管理测试)、security(基于RBAC的动态权限认证)、SpringSession(Session共享)、Zookeeper(结合AOP实现分布式锁)、RabbitMQ(消息队列)、Kafka(消息队列)、websocket(服务端推送监控服务器运行信息)、socket.io(聊天室)、ureport2(中国式报表)、打包成war文件、集成 ElasticSearch(基本操作和高级查询)、Async(异步任务)、集成Dubbo(采用官方的starter)、MongoDB(文档数据库)、neo4j(图数据库)、docker(容器化)、JPA多数据源、Mybatis多数据源、代码生成器、GrayLog(日志收集)、JustAuth(第三方登录)、LDAP(增删改查)、动态添加/切换数据源、单机限流(AOP + Guava RateLimiter)、分布式限流(AOP + Redis + Lua)、ElasticSearch 7.x(使用官方 Rest High Level Client)、HTTPS、Flyway(数据库初始化)、UReport2(中国式复杂报表)。,"java,in-action,demo,web,spring,spring-boot,spring-boot-2,spring-boot-demo,xkcoding",21831
2,https://github.com/PHPMailer/PHPMailer.git,The classic email sending library for PHP,"php,smtp,php-library,email,xoauth2,tls-support,phpmailer,attachment,hacktoberfest",16626
3,https://github.com/mjmlio/mjml.git,MJML: the only framework that makes responsive-email easy,"mjml,email,email-boilerplate,responsive-email,email-campaigns,responsive",12056
4,https://github.com/leemunroe/responsive-html-email-template.git,A free simple responsive HTML email template,"email-template,email,responsive,html-emails,html,email-marketing,email-templates",10197
5,https://github.com/mail-in-a-box/mailinabox.git,"Mail-in-a-Box helps individuals take back control of their email by defining a one-click, easy-to-deploy SMTP+everything else server: a mail server in a box.","smtp,email,mail,server",10132
6,https://github.com/egulias/EmailValidator.git,PHP Email address validator,"emailvalidator,email,validator,php",10046
7,https://github.com/sovereign/sovereign.git,"A set of Ansible playbooks to build and maintain your own private cloud: email, calendar, contacts, file sync, IRC bouncer, VPN, and more.",,10006
8,https://github.com/mxrch/GHunt.git,🕵️\u200d♂️ Investigate Google emails and documents.,"osint,google,hideandsec",9415
9,https://github.com/mailpile/Mailpile.git,"A free & open modern, fast email client with user-friendly encryption and privacy features","e-mail,security,pgp,search-engine,tags,imap-client,smtp-client",8397
10,https://github.com/mailcheck/mailcheck.git,Reduce misspelled email addresses in your web apps.,,7788
11,https://github.com/foundation/foundation-emails.git,Quickly create responsive HTML emails that work on any device and client. Even Outlook.,,7463
12,https://github.com/mailchimp/email-blueprints.git,Email Blueprints is a collection of HTML email templates that can serve as a solid foundation and starting point for the design of emails,,6789
13,https://github.com/mailgun/transactional-email-templates.git,Responsive transactional HTML email templates,,6591
14,https://github.com/k9mail/k-9.git,K-9 Mail – Open Source Email App for Android,"android,email,communication",5809
15,https://github.com/tijsverkoyen/CssToInlineStyles.git,"{""CssToInlineStyles is a class that enables you to convert HTML-pages/files into HTML-pages/files with inline styles. This is very usefull when you're sending emails.""}",,5425
16,https://github.com/SparkPost/heml.git,HEML is an open source markup language for building responsive email.,"email,markup-language,framework,sparkpost,responsive-email",4238
17,https://github.com/TedGoas/Cerberus.git,"A few simple, but solid patterns for responsive HTML email templates and newsletters. Even in Outlook and Gmail.","responsive-email,html-email,newsletter,email,email-boilerplate,email-template,hybrid-email,cerberus",4238
18,https://github.com/tutao/tutanota.git,Tutanota is an email client with a strong focus on security and privacy that lets you encrypt emails on all your devices.,"javascript,mithril,encryption,email,tutanota,security,privacy",3938
19,https://github.com/freeCodeCamp/mail-for-good.git,An open source email campaign management tool for nonprofits,"email-campaigns,email,opensourceforgood",3831
20,https://github.com/seanpowell/Email-Boilerplate.git,The email boilerplate for sending out nicely formatted messages.,,3707
21,https://github.com/InterNations/antwort.git,Beautiful responsive email templates with code as beautiful as email templates can be,,3555
22,https://github.com/RainLoop/rainloop-webmail.git,"Simple, modern & fast web-based email client","webmail,rainloop,php,js,javascript,imap,smtp,mail",3476
23,https://github.com/thoughtbot/clearance.git,Rails authentication with email & password.,"clearance,ruby,thoughtbot,rails,rails-authentication,rubygem",3402
24,https://github.com/go-gomail/gomail.git,The best way to send emails in Go.,,3226
25,https://github.com/forwardemail/email-templates.git,":mailbox: Create, preview, and send custom email templates for Node.js. Highly configurable and supports automatic inline CSS, stylesheets, embedded images and fonts, and much more!","nodejs,email,templates,template-engine,juice,pug,ejs,custom,node,inline,css,inline-css,responsive,template,nodemailer,postmark,mandrill,sendgrid,mailchimp,webresource",3125
26,https://github.com/leemunroe/grunt-email-workflow.git,A Grunt workflow for designing and testing responsive HTML email templates with SCSS.,"litmus,grunt,css,transactional-emails,email,template,mailgun,responsive",2981
27,https://github.com/ProtonMail/WebClient.git,Official AngularJS web client for the ProtonMail secure email service.,"webmail,pgp,protonmail,angularjs",2884
28,https://github.com/unlayer/react-email-editor.git,Drag-n-Drop Email Editor Component for React.js,"email-template,email-marketing,html-email,html-emails,drag-and-drop,react-component,builder,email-builder,template,email,email-editor",2829
29,https://github.com/maildev/maildev.git,:mailbox: SMTP Server + Web Interface for viewing and testing emails during development.,"maildev,smtp,nodemailer,docker,smtp-server,mailcatcher,testing,development,developer-tools,nodejs",2810
30,https://github.com/0x4447/0x4447_product_s3_email.git,📫 A serverless email server on AWS using S3 and SES,"0x4447,s3,s3-bucket,aws,aws-lambda,aws-s3,aws-ses,email,email-sender,free,free-email,codepipeline,s3-email,0x4447-product-s3-email,0x4447-products",2805
31,https://github.com/2factorauth/twofactorauth.git,"List of sites with two factor auth support which includes SMS, email, phone calls, hardware, and software.","twofactorauth,two-factor,security,authentication",2716
32,https://github.com/Mailu/Mailu.git,Insular email distribution - mail server as Docker images,"docker,email,imap,pop3,webmail,mailserver,mail,smtp,docker-compose,dkim,dmarc,fetchmail,letsencrypt",2658
33,https://github.com/jeremykenedy/laravel-auth.git,"Laravel 8 with user authentication, registration with email confirmation, social media authentication, password recovery, and captcha protection. Uses offical [Bootstrap 4](http://getbootstrap.com). This also makes full use of Controllers for the routes, templates for the views, and makes use of middleware for routing. The project can be stood up in minutes.","laravel,socialite,socialite-logins,social-authentication,registration,laravel-framework,user-profile,authentication,two-step-authentication,gravatar-api,users,user-management,google-maps,roles,localization,dropzonejs",2575
34,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server.git,":email: An Example of using an HTML form (e.g: ""Contact Us"" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data. ","email,html-form,google-spreadsheet,no-server,ajax,tutorial,howto,static-site,example,form",2523
35,https://github.com/sdushantha/tmpmail.git,A temporary email right from your terminal written in POSIX sh,"temporary-email,disposable-email,commandline,tmpmail,1secmail,bash,linux,macos,aur,receive-emails,posix,posix-sh",2196
36,https://github.com/neomutt/neomutt.git,:email: Teaching an Old Dog New Tricks -- IRC: #neomutt on irc.freenode.net,"mail,mutt,mua,cli,ncurses,notmuch,imap,smtp,mbox,maildir,pop3,mime,pgp,nntp,neomutt,c",2163
37,https://github.com/wildbit/postmark-templates.git,Rock-solid transactional email templates for applications.,,2136
38,https://github.com/premailer/premailer.git,Preflight for HTML email,"premailer,nokogiri,css,ruby,mail,inline",2131
39,https://github.com/M66B/FairEmail.git,"Fully featured, open source, privacy friendly email app for Android","email,privacy,security,android,app",2041
40,https://github.com/helpyio/helpy.git,"Helpy is a modern, open source helpdesk customer support application. Features include knowledgebase, community discussions and support tickets integrated with email.","helpdesk,knowledge-base,forum,support,ticketing",2041
41,https://github.com/kootenpv/yagmail.git,Send email in Python conveniently for gmail using yagmail,"email,mime-types,smtp,yagmail,python,magic",2014
42,https://github.com/eleith/emailjs.git,html emails and attachments to any smtp server with nodejs,,1928
43,https://github.com/leelance/spring-boot-all.git,"spring-boot,mybatis,activemq,redis,email, freemarker,shiro,websocket,sitemesh,ehcache,easyui,kindeditor,quartz,springfox,swagger,jpa,hibernate,querydsl,netty",,1907
44,https://github.com/Flolagale/mailin.git,Artisanal inbound emails for every web app,,1876
45,https://github.com/forwardemail/free-email-forwarding.git,The best free email forwarding for custom domains.  Visit our website to get started (SMTP server),"email-forwarding,email,forward,forwarding,mail,proxy,gmail,smtp,nodemailer,node,javascript,sendmailer,postfix,sendmail,mta,proxy-server,encrypted,secure,custom,domains",1873
46,https://github.com/ChangemakerStudios/Papercut-SMTP.git,Papercut SMTP -- The Simple Desktop Email Server,"papercut,smtp-server,smtp,testing,server,wpf,email,development,development-tools",1870
47,https://github.com/dafthack/MailSniper.git,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used as a non-administrative user to search their own email, or by an administrator to search the mailboxes of every user in a domain.",,1750
48,https://github.com/khast3x/h8mail.git,"Email OSINT & Password breach hunting tool, locally or using premium services. Supports chasing down related email","osint,email,kali,theharvester,password,leak,hibp,haveibeenpwned,breach,breach-compilation,hacking,recon",1735
49,https://github.com/jordan-wright/email.git,Robust and flexible email library for Go,,1731
50,https://github.com/sendwithus/templates.git,Sendwithus Open Source Email Templates,,1723
51,https://github.com/MoonMail/MoonMail.git,Email marketing platform for bulk emailing via Amazon SES (Google Cloud Platform and Azure coming soon),"serverless,moonmail,email-marketing,lambda,aws,marketing-automation,email-campaigns,liquid,email-validation,email-verification,serverless-architectures,serverless-examples,serverless-applications,microapps,zapier,shopify",1711
52,https://github.com/baijunyao/thinkphp-bjyadmin.git,thinkphp 整合 Auth 权限管理、支付宝、微信支付、阿里 oss 、友盟推送、融云即时通讯、云通讯短信、Email 、Excel 、PDF 等等；基于 thinkphp 扩展了大量的功能；而不改动 thinkphp 核心；非常方便的升级、移植和使用；,"thinkphp,php,admin",1708
53,https://github.com/lavabit/magma.git,"The magma server daemon, is an encrypted email system with support for SMTP, POP, IMAP, HTTP and MOLTEN,. Additional support for DMTP and DMAP is currently in active development.","magma,webmail,imap,smtp,pop,http,encryption,encrypted-message-protocol,communications,dark-mail,dime,email,mail-server,mail-transport-agent,mail-delivery-agent,messaging,server",1707
54,https://github.com/thoughtbot/bamboo.git,"Testable, composable, and adapter based Elixir email library for devs that love piping.","elixir,email,elixir-phoenix,bamboo",1647
55,https://github.com/lukencode/FluentEmail.git,"All in one email sender for .NET. Supports popular senders (SendGrid, MailGun, etc) and Razor templates.","c-sharp,email,dotnet,dotnetcore,sendgrid,mailgun,smtp",1635
56,https://github.com/g13nn/Email-Framework.git,Responsive HTML Email Framework,,1530
57,https://github.com/laravolt/avatar.git,"Plug n play avatar, turn name, email, and any other string into beautiful avatar (or gravatar), effortless. ","avatar,php,laravel-package,initials,profile-picture,php-library,gravatar",1468
58,https://github.com/mailgun/flanker.git,Python email address and Mime parsing library,,1459
