,Url,Description,Topics,Stars
0,https://github.com/Jasonchenlijian/FastBle.git,"Android Bluetooth Low Energy (BLE) Fast Development Framework. It uses simple ways to filter, scan, connect, read ,write, notify, readRssi, setMTU, and multiConnection.","android,bluetooth,ble,blue",4149
1,https://github.com/noble/noble.git,A Node.js BLE (Bluetooth Low Energy) central module ,,3053
2,https://github.com/Polidea/RxAndroidBle.git,An Android Bluetooth Low Energy (BLE) Library with RxJava2 interface,"ble,bluetooth-low-energy,bluetooth-le,android-bluetooth,rxjava,rxjava2",2903
3,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials.git,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.","machine-learning,deep-learning,tensorflow,python,pytorch,keras,lua,matplotlib,aws,kaggle,pandas,scikit-learn,torch,artificial-intelligence,neural-network,convolutional-neural-networks,tensorflow-tutorials,python-data,ipython-notebook,capsule-network",2766
4,https://github.com/SuperMonster003/Ant-Forest.git,基于Auto.js的蚂蚁森林能量智能收取脚本  Auto.js-based alipay ant forest energy intelligent collection script,"autojs,javascript,automation",2209
5,https://github.com/jameslyons/python_speech_features.git,This library provides common speech features for ASR including MFCCs and filterbank energies.,,1896
6,https://github.com/noble/bleno.git,A Node.js module for implementing BLE (Bluetooth Low Energy) peripherals,,1896
7,https://github.com/virtualabs/btlejack.git,Bluetooth Low Energy Swiss-army knife,,1474
8,https://github.com/emoncms/emoncms.git,"Web-app for processing, logging and visualising energy, temperature and other environmental data","emoncms,php,openenergymonitor,energy-monitor,dashboards,sustainability",982
9,https://github.com/paypal/gatt.git,Gatt is a Go package for building Bluetooth Low Energy peripherals,,977
10,https://github.com/AppliedEnergistics/Applied-Energistics-2.git,"A Minecraft Mod about Matter, Energy and using them to conquer the world..","minecraft,minecraft-mod,appliedenergistics,applied-energistics,forge,java",850
11,https://github.com/don/cordova-plugin-ble-central.git,Bluetooth Low Energy (BLE) Central plugin for Apache Cordova (aka PhoneGap),"bluetooth-low-energy,cordova-plugin",835
12,https://github.com/NordicSemiconductor/Android-nRF-Toolbox.git,The nRF Toolbox is a container app that stores your Nordic Semiconductor apps for Bluetooth Low Energy in one location.,,831
13,https://github.com/randdusing/cordova-plugin-bluetoothle.git,Bluetooth Low Energy Phonegap Plugin,,745
14,https://github.com/h1st-ai/h1st.git,"The AI Application Platform We All Need. Human AND Machine Intelligence. Based on experience building AI solutions at Panasonic: robotics predictive maintenance, cold-chain energy optimization, Gigafactory battery mfg, avionics, automotive cybersecurity, and more.","data-science,explainability,home-automation,time-series,collaboration,cybersecurity,cold-start,autonomous-vehicles,automl,avionics,human-in-the-loop,predictive-maintenance,ensemble-machine-learning,datascience-environment,industrial-iot,trustworthy-datascience,energy-optimization,hacktoberfest",718
15,https://github.com/protontypes/open-sustainable-technology.git,"Listing of worldwide open technology projects preserving a stable climate, energy supply and vital natural resources.  https://opensustain.tech/","sustainability,photovoltaic,energy-storage,energy-consumption,energy,wind-turbine,clean-energy,battery,mobility,ocean,carbon-footprint,renewable-energy,carbon-emissions,electric-vehicles,soil,awesome,awesome-list,environmental-technology,climate,climate-change",685
16,https://github.com/NREL/EnergyPlus.git,"EnergyPlus™ is a whole building energy simulation program that engineers, architects, and researchers use to model both energy consumption and water use in buildings.",,592
17,https://github.com/kickingvegas/YmsCoreBluetooth.git,"A block-based framework for building Bluetooth 4.0 Low Energy (aka Smart or LE) iOS and OS X applications using the CoreBluetooth API. Includes Deanna and DeannaMac, applications to communicate with a TI SensorTag for iOS and OS X respectively.",,524
18,https://github.com/pvlib/pvlib-python.git,A set of documented functions for simulating the performance of photovoltaic energy systems.,"solar-energy,python,renewable-energy,renewables,photovoltaic",515
