,Url,Description,Topics,Stars
0,https://github.com/Automattic/mongoose.git,MongoDB object modeling designed to work in an asynchronous environment.,,22627
1,https://github.com/hashicorp/vagrant.git,Vagrant is a tool for building and distributing development environments.,"vagrant,ruby,automation,virtualization,hacktoberfest",21928
2,https://github.com/dotnet-architecture/eShopOnContainers.git,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 5, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.","docker,netcore,windowscontainers,xamarin,spa,microservices,ddd,ddd-patterns",17500
3,https://github.com/adobe-fonts/source-code-pro.git,Monospaced font family for user interface and coding environments,"opentype-fonts,otf,afdko,ttf-fonts,fonts,variable-fonts",17265
4,https://github.com/buger/goreplay.git,"GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your system with real data. It can be used to increase confidence in code deployments, configuration changes and infrastructure changes.","go,testing,testing-tools,devops,qa",14132
5,https://github.com/motdotla/dotenv.git,Loads environment variables from .env for nodejs projects.,,13436
6,https://github.com/rbenv/rbenv.git,Groom your app’s Ruby environment,"ruby-installation,ruby-versions,ruby",13345
7,https://github.com/eclipse/deeplearning4j.git,"Model import deployment framework for retraining models (pytorch, tensorflow,keras) deploying in JVM Micro service environments, mobile devices, iot, and Apache Spark","java,gpu,deeplearning,neural-nets,deeplearning4j,dl4j,hadoop,spark,intellij,artificial-intelligence,python,scala,clojure,linear-algebra,matrix-library",12040
8,https://github.com/vlucas/phpdotenv.git,"Loads environment variables from `.env` to `getenv()`, `$_ENV` and `$_SERVER` automagically.",,11246
9,https://github.com/jupyterlab/jupyterlab.git,JupyterLab computational environment.,"jupyterlab,jupyter",11071
10,https://github.com/kusti8/proton-native.git,A React environment for cross platform desktop apps,"react,js,desktop,cross-platform,native",10713
11,https://github.com/laradock/laradock.git,Full PHP development environment for Docker.,"docker,php-container,php-environment,docker-environment,php-docker,php-docker-image,laradock,docker-images,laravel-docker,php-docker-images,docker-container,docker-compose-template,docker-compose,laravel-docker-compose,docker-laravel,docker-symfony,docker-wordpress,php,docker-nginx-php,docker-drupal",10556
12,https://github.com/styleguidist/react-styleguidist.git,Isolated React component development environment with a living style guide,"react,styleguide,documentation,hacktoberfest",9773
13,https://github.com/serbanghita/Mobile-Detect.git,Mobile_Detect is a lightweight PHP class for detecting mobile devices (including tablets). It uses the User-Agent string combined with specific HTTP headers to detect the mobile environment.,"mobile-detect,device-detection,user-agents,php,mobile-redirects",9733
14,https://github.com/tmux-plugins/tmux-resurrect.git,Persists tmux environment across system restarts.,,8023
15,https://github.com/termux/termux-app.git,Android terminal and Linux environment - app repository.,"android,terminal,termux,linux",7797
16,https://github.com/dnschneid/crouton.git,Chromium OS Universal Chroot Environment,"chroot,shell,crouton,minecraft,ubuntu,debian,kali,linux,chromeos",7753
17,https://github.com/vulhub/vulhub.git,Pre-Built Vulnerable Environments Based on Docker-Compose,"docker,vulnerability-environment,docker-compose,vulhub",7682
18,https://github.com/deepmind/pysc2.git,StarCraft II Learning Environment,"reinforcement-learning,machine-learning,starcraft-ii,starcraft-ii-replays,deepmind,blizzard-api",7257
19,https://github.com/bencodezen/vue-enterprise-boilerplate.git,"An ever-evolving, very opinionated architecture and dev environment for new Vue SPA projects using Vue CLI.","vue,javascript,frontend,boilerplate",6954
20,https://github.com/Compass/compass.git,Compass is no longer actively maintained. Compass is a Stylesheet Authoring Environment that makes your website design simpler to implement and easier to maintain.,,6854
21,https://github.com/chef/chef.git,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale","chef,devops,cfgmgt,infrastructure,automation,deployment,hacktoberfest",6568
22,https://github.com/sb2nov/mac-setup.git,Installing Development environment on macOS,"mac-osx,gitbook,setup,install,guide,guidebook,macos,fresh-installs,mac,installation,hacktoberfest",6323
23,https://github.com/spyder-ide/spyder.git,Official repository for Spyder - The Scientific Python Development Environment,"spyder,python,pyqt5,anaconda,anaconda-distribution,winpython,qt,language-server-protocol",6285
24,https://github.com/ufoym/deepo.git,Set up deep learning environment in a single command line.,"deep-learning,jupyter,lasagne,caffe,tensorflow,sonnet,keras,theano,chainer,torch,pytorch,mxnet,cntk,dockerfile-generator,docker-image,caffe2,onnx",5985
25,https://github.com/node-formidable/formidable.git,"The most used, flexible, fast and streaming parser for multipart form data. Supports uploading to serverless environments, AWS S3, Azure, GCP or the filesystem. Used in production.","form,multipart-formdata,multipart-parser,incomingform,querystring-parser,formdata,formidable,file-upload,aws-s3,aws-lambda,azure,azure-storage,serverless,multipart",5880
26,https://github.com/processing/processing.git,Source code for the Processing Core and Development Environment (PDE),"art,design,learning,education,java,pde,processing",5838
27,https://github.com/cheat-engine/cheat-engine.git,Cheat Engine. A development environment focused on modding,,5826
28,https://github.com/bkeepers/dotenv.git,A Ruby gem to load environment variables from `.env`. ,"dotenv,ruby",5814
29,https://github.com/faisalman/ua-parser-js.git,"UAParser.js - Detect Browser, Engine, OS, CPU, and Device type/model from User-Agent data. Supports browser & node.js environment.","user-agent-parser,browser-detection,os-detection,device-detection,jquery-plugin,user-agent,cpu-detection,engine-detection,javascript-library,gpu-detection",5424
30,https://github.com/donnemartin/dev-setup.git,"macOS development environment setup:  Easy-to-understand instructions with automated setup scripts for developer tools like Vim, Sublime Text, Bash, iTerm, Python data analysis, Spark, Hadoop MapReduce, AWS, Heroku, JavaScript web development, Android development, common data stores, and dev-based OS X defaults.","macos,mac,vim,sublime-text,bash,iterm2,python,spark,aws,cloud,android-development,cli,git,mysql,postgresql,mongodb,redis,elasticsearch,nodejs,linux",5412
31,https://github.com/lambci/docker-lambda.git,Docker images and test runners that replicate the live AWS Lambda environment,,5397
32,https://github.com/kentcdodds/cross-env.git,🔀 Cross platform setting of environment scripts,"environment,variables,cross-platform,windows,unix,macos,cross-env",5396
33,https://github.com/dahlbyk/posh-git.git,A PowerShell environment for Git,"powershell,powershell-profile,powershell-gallery,git,profile-script,psgallery,chocolatey,prompt,powershell-module,powershell-profile-script,powershell-prompt",5321
34,https://github.com/nicolashery/mac-dev-setup.git,"{""A beginner's guide to setting up a development environment on macOS""}",,5108
35,https://github.com/termux/termux-packages.git,Android terminal and Linux environment - packages repository.,"android,linux,termux,packages,linux-distribution",5064
36,https://github.com/99designs/aws-vault.git,A vault for securely storing and accessing AWS credentials in development environments,"aws,iam,temporary-credentials,keychain,credentials,cli,mfa,aws-vault",4847
