,Url,Description,Topics,Stars
0,https://github.com/ReactiveX/RxJava.git,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,"java,rxjava,flow,reactive-streams",44597
1,https://github.com/JetBrains/kotlin.git,The Kotlin Programming Language. Join Kotlin release event: https://kotl.in/15-event,"kotlin,programming-language,compiler,gradle-plugin,maven-plugin,kotlin-library,intellij-plugin",36425
2,https://github.com/jashkenas/backbone.git,"Give your JS App some Backbone with Models, Views, Collections, and Events",,27773
3,https://github.com/netty/netty.git,Netty project - an event-driven asynchronous network application framework,,26650
4,https://github.com/greenrobot/EventBus.git,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",,23349
5,https://github.com/hasura/graphql-engine.git,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.","graphql,graphql-server,postgres,hasura,access-control,automatic-api,hacktoberfest",21665
6,https://github.com/influxdata/influxdb.git,"Scalable datastore for metrics, events, and real-time analytics","influxdb,monitoring,database,time-series,metrics,go,react",21410
7,https://github.com/nefe/You-Dont-Need-jQuery.git,"Examples of how to do query, style, dom, ajax, event etc like jQuery with plain javascript.",,19731
8,https://github.com/fullcalendar/fullcalendar.git,Full-sized drag & drop event calendar,,13831
9,https://github.com/dapr/dapr.git,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.","microservices,microservice,kubernetes,sidecar,state-management,event-driven,pubsub,serverless,containers",13127
10,https://github.com/elastic/logstash.git,"Logstash - transport and process your logs, events, or other data","etl-framework,streaming,logging,java,jruby,real-time-processing",12149
11,https://github.com/node-red/node-red.git,Low-code programming for event-driven applications,"node-red,javascript,low-code,openjs-foundation",12088
12,https://github.com/ksoichiro/Android-ObservableScrollView.git,Android library to observe scroll events on scrollable views.,"android,android-library,android-ui,material-design",9617
13,https://github.com/chenshuo/muduo.git,Event-driven network library for multi-threaded Linux server in C++11,,9539
