,Url,Description,Topics,Stars
0,https://github.com/StreisandEffect/streisand.git,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists.","vpn,ansible,openvpn,wireguard,openconnect,anyconnect,shadowsocks,stunnel,tor,ssh,streisand,censorship",22368
1,https://github.com/adobe-fonts/source-code-pro.git,Monospaced font family for user interface and coding environments,"opentype-fonts,otf,afdko,ttf-fonts,fonts,variable-fonts",17265
2,https://github.com/monicahq/monica.git,"Personal CRM. Remember everything about your friends, family and business relationships.","laravel,crm,friends,family,social,prm,php,hacktoberfest",12856
3,https://github.com/rsms/inter.git,The Inter font family,"typeface,font,design",12467
4,https://github.com/qmk/qmk_firmware.git,Open-source keyboard firmware for Atmel AVR and Arm USB families,"keyboard-firmware,c,olkb,ergodox-ez,clueboard,qmk,keyboard-support,c-plus-plus,atmel-avr,hacktoberfest",9569
5,https://github.com/schollz/howmanypeoplearearound.git,Count the number of people around you :family_man_man_boy: by monitoring wifi signals :satellite:,"tshark,wifi,location,sensor",6454
6,https://github.com/belluzj/fantasque-sans.git,A font family with a great monospaced variant for programmers.,"font,monospace-font",5491
7,https://github.com/googlefonts/roboto.git,The Roboto family of fonts,,3587
8,https://github.com/adobe-fonts/source-sans.git,Sans serif font family for user interface environments,"opentype-fonts,otf,afdko,ttf-fonts,fonts,variable-fonts",2958
9,https://github.com/LukyVj/family.scss.git,"{""Family.scss is a set of Sass mixins which will help you to manage the style of :nth-child'ified elements, in an easy way.""}","sass,css,nth-order",2311
10,https://github.com/Caligatio/jsSHA.git,"A JavaScript/TypeScript implementation of the complete Secure Hash Standard (SHA) family (SHA-1, SHA-224/256/384/512, SHA3-224/256/384/512, SHAKE128/256, cSHAKE128/256, and KMAC128/256) with HMAC.","sha,sha-1,sha-2,sha-3,sha-224,sha-256,sha-384,sha-512,sha3-224,sha3-256,sha3-384,sha3-512,hmac,javascript,hash,typescript,kmac,shake,cshake,cryptography",2037
11,https://github.com/arrowtype/recursive.git,Recursive Mono & Sans is a variable font family for code & UI,"font,variable-font,type-design,fonttools,fontmake,google-fonts",1871
12,https://github.com/a0rtega/pafish.git,Pafish is a demonstration tool that employs several techniques to detect sandboxes and analysis environments in the same way as malware families do.,"malware,reverse-engineering,virtual-machine,malware-families,analysis-environments,sandbox",1812
13,https://github.com/RedHatOfficial/Overpass.git,Overpass open source web font family — Sponsored by Red Hat,,1699
14,https://github.com/floriankarsten/space-grotesk.git,Space Grotesk: a proportional variant of the original fixed-width Space Mono family,"typeface,font,sans-serif,latin,open-font-license",1063
15,https://github.com/google-research/dex-lang.git,Research language for array processing in the Haskell/ML family,,965
16,https://github.com/greg7mdp/parallel-hashmap.git,"A family of header-only, very fast and memory-friendly hashmap and btree containers.","hash,tables,unordered-map,unordered-set,hash-container,parallel,multi-thread,memory-footprint,parallel-programming,concurrency",915
17,https://github.com/lensh/vue-qq.git,"🎨  Vue family bucket with socket.io and express/koa2 , create a web version of mobile QQ, supporting real-time group chat, real-time private chat, special care, shielding chat,  smart IP geographic location, real-time display  temperature  and other QQ core functions","vue2,vuex,vue-router,axios,koa2,socket-io,es6,es7,webpack2,node,async-await,mysql,express,html5,css3,es8",870
18,https://github.com/welai/glow-sans.git,SHSans-derived CJK font family with a more concise & modern look. 未来荧黑·未來熒黑·ヒカリ角ゴ：基于思源黑体改造，拥有粗度和宽度系列，更加简明现代的超大字体家族。,"font,cjk,source-han,otf",790
19,https://github.com/phosphor-icons/phosphor-home.git,"The homepage of Phosphor Icons, a flexible icon family for everyone","phosphor,icons,icon-pack,icon-font,svgs",758
20,https://github.com/Ultimate-Hosts-Blacklist/Ultimate.Hosts.Blacklist.git,"The Ultimate Unified Hosts file for protecting your network, computer, smartphones and Wi-Fi devices against millions of bad web sites. Protect your children and family from gaining access to bad web sites and protect your devices and pc from being infected with Malware or Ransomware.","hosts,hostsfile,child-protection,pc-protection,malware,porn,ransomware,violence,drugs,alcohol,blocker,block-sites,safe-browsing,petya,adware,ad-blocker,hosts-deny,clickjacking,ultimate-hosts,family",637
21,https://github.com/vladotesanovic/angular2-express-starter.git,Angular 8 and Express :family: ( Heroku ready ),"redux,typescript,expressjs,angular2,angular-cli,aot",565
22,https://github.com/hay-kot/mealie.git,Mealie is a self hosted recipe manager and meal planner with a RestAPI backend and a reactive frontend application built in Vue for a pleasant user experience for the whole family. Easily add recipes into your database by providing the url and mealie will automatically import the relevant data or add a family recipe with the UI editor,"meal-plans,self-hosted,recipe-manager",547
23,https://github.com/worldveil/photomosaic.git,"Creating fun photomosaics, GIFs, and murals from your family pictures using ML & similarity search",,544
