,Url,Description,Topics,Stars
0,https://github.com/zalandoresearch/fashion-mnist.git,A MNIST-like fashion product database. Benchmark :point_down: ,"mnist,deep-learning,benchmark,machine-learning,dataset,computer-vision,fashion,fashion-mnist,gan,zalando,convolutional-neural-networks",9088
1,https://github.com/carsonxyz/CNPPopupController.git,*DEPRECATED* CNPPopupController is a simple and versatile class for presenting a custom popup in a variety of fashions. It includes a many options for controlling how your popup appears and behaves.,,1670
2,https://github.com/TGMPA/TGM-Plugin-Activation.git,"TGM Plugin Activation is a PHP library that allows you to easily require or recommend plugins for your WordPress themes (and plugins). It allows your users to install, update and even automatically activate plugins in singular or bulk fashion using native WordPress classes, functions and interfaces. You can reference bundled plugins, plugins from the WordPress Plugin Repository or even plugins hosted elsewhere on the internet.",,1642
3,https://github.com/nahamsec/lazyrecon.git,This script is intended to automate your reconnaissance process in an organized fashion,,1339
4,https://github.com/jrendel/SwiftKeychainWrapper.git,A simple wrapper for the iOS Keychain to allow you to use it in a similar fashion to User Defaults. Written in Swift.,,1330
5,https://github.com/OpnTec/fashionmaker.git,Fashion Robot,,1228
6,https://github.com/locationtech/geomesa.git,GeoMesa is a suite of tools for working with big geo-spatial data in a distributed fashion.,,1079
7,https://github.com/ayushidalmia/awesome-fashion-ai.git,A repository to curate and summarise research papers related to fashion and e-commerce,"fashion,machine-learning,deeplearning,research-paper,awesome-list,awesome-lists",809
8,https://github.com/zalando/zalando-howto-open-source.git,"{""Open Source guidance from Zalando, Europe's largest online fashion platform""}","zalando,guidelines,documentation,readme,readme-template,howto,company-culture,innersource,product-design",770
9,https://github.com/open-mmlab/mmfashion.git,Open-source toolbox for visual fashion analysis based on PyTorch,"visual-fashion-analysis,fashion-ai,attribute-prediction,clothes-retrieval,landmark-detection,deep-learning",734
10,https://github.com/Flangvik/SharpCollection.git,"Nightly builds of common C# offensive tools, fresh from their respective master branches built and released in a CDI fashion using Azure DevOps release pipelines.",,670
11,https://github.com/square/pollexor.git,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,608
12,https://github.com/jpr5/ngrep.git,"{""ngrep is like GNU grep applied to the network layer. It's a PCAP-based tool that allows you to specify an extended regular or hexadecimal expression to match against data payloads of packets. It understands many kinds of protocols, including IPv4/6, TCP, UDP, ICMPv4/6, IGMP and Raw, across a wide variety of interface types, and understands BPF filter logic in the same fashion as more common packet sniffing tools, such as tcpdump and snoop.""}","sniffer,grepping",569
13,https://github.com/adempiere/adempiere.git,"ADempiere Business Suite ERP/CRM/MFG/SCM/POS done the Bazaar way in an open and unabated fashion. Focus is on the Community that includes Subject Matter Specialists, Implementors and End-Users.",,564
14,https://github.com/zhunzhong07/Random-Erasing.git,"Random Erasing Data Augmentation. Experiments on CIFAR10, CIFAR100 and Fashion-MNIST","data-augmentation,image-classification,object-detection,person-re-identification,pytorch,aaai2020",535
15,https://github.com/ClaudiuGeorgiu/Obfuscapk.git,"An automatic obfuscation tool for Android apps that works in a black-box fashion, supports advanced obfuscation features and has a modular architecture easily extensible with new techniques","android,application,app,apk,obfuscation,black-box,apktool,smali,obfuscapk",493
16,https://github.com/TheLarkInn/artsy-webpack-tour.git,Annotations on webpack source code in a pseudo-guided fashion.,"webpack,webpack-tutorial,tutorial",488
17,https://github.com/gousiosg/github-mirror.git,Scripts to mirror Github in a cloudy fashion,"ghtorrent,github-api,ruby",484
18,https://github.com/lzhbrian/Cool-Fashion-Papers.git,"👔👗🕶️🎩 Cool resources about Fashion + AI! (papers, datasets, workshops, companies, ...) (constantly updating)","fashion,gan,deep-learning,artificial-intelligence,neural-network,generative-adversarial-network,curated-list,collection,papers,machine-learning,awesome-list,research-paper",475
19,https://github.com/amirassov/kaggle-imaterialist.git,The First Place Solution of Kaggle iMaterialist (Fashion) 2019 at FGVC6,"computer-vision,mmdetection,kaggle,object-detection,instance-segmentation,deep-learning,pytorch,kaggle-imaterialist,hybrid-task-cascade,imaterialist",454
20,https://github.com/liuziwei7/fashion-detection.git,Fashion Detection in the Wild (Deep Clothes Detector),"computer-vision,deep-learning,clothes-detection,clothes-detector,vision-for-fashion",425
21,https://github.com/stovmascript/react-native-version.git,:1234: Version your React Native or Expo app in a `npm version` fashion.,"react-native,semantic-versioning,semver,npm-version,expo,create-react-native-app,hooks,cli,versioning,release",425
22,https://github.com/codrops/Baraja.git,"Baraja is a jQuery plugin that allows to move elements in a card-like fashion and spread them like one would spread a deck of cards on a table. It uses CSS transforms for rotating and translating the items. There are several options available that will create various spreading possibilities of the items, for example, moving the items laterally or rotating them in a fan-like way.",,395
23,https://github.com/devrandom/gitian-builder.git,Build packages in a secure deterministic fashion inside a VM,,371
24,https://github.com/JakeWharton/gradle-android-test-plugin.git,"{""[DEPRECATED] A Gradle plugin which enables good 'ol fashioned unit tests for Android builds.""}",,331
