,Url,Description,Topics,Stars
0,https://github.com/magento/magento2.git,"All Submissions you make to Magento Inc. (""Magento"") through GitHub are subject to the following terms and conditions: (1) You grant Magento a perpetual, worldwide, non-exclusive, no charge, royalty free, irrevocable license under your applicable copyrights and patents to reproduce, prepare derivative works of, display, publically perform, sublicense and distribute any feedback, ideas, code, or other information (“Submission"") you submit through GitHub. (2) Your Submission is an original work of authorship and you are the owner or are legally entitled to grant the license stated above. (3) You agree to the Contributor License Agreement found here:  https://github.com/magento/magento2/blob/master/CONTRIBUTOR_LICENSE_AGREEMENT.html","magento,magento2,php,ecommerce-platform,ecommerce,hacktoberfest",9423
1,https://github.com/ogaclejapan/SmartTabLayout.git,A custom ViewPager title strip which gives continuous feedback to the user when scrolling,"smarttablayout,android,viewpager",6893
2,https://github.com/dsxNiubility/SXNews.git,"High imitation Neteasy News. (include list,detail,photoset,weather,feedback)",,3622
3,https://github.com/lab-ml/annotated_deep_learning_paper_implementations.git,"🧠 Implementations/tutorials of deep learning papers with side-by-side notes; including transformers (original, xl, switch, feedback), optimizers(adam, radam, adabelief), gans(dcgan, cyclegan), reinforcement learning (ppo, dqn), capsnet, sketch-rnn, etc.","deep-learning,deep-learning-tutorial,pytorch,gan,transformers,reinforcement-learning,optimizers,neural-networks",2773
4,https://github.com/benfred/implicit.git,Fast Python Collaborative Filtering for Implicit Feedback Datasets,"collaborative-filtering,machine-learning,matrix-factorization,recommender-system",2344
5,https://github.com/google/honggfuzz.git,"Security oriented software fuzzer. Supports evolutionary, feedback-driven fuzzing based on code coverage (SW and HW based)","fuzzing,security,c",2223
6,https://github.com/apex/gh-polls.git,Polls for user feedback in GitHub issues,"polls,github,issues,votes,voting,feedback,poll,vote,up",1714
7,https://github.com/Snipaste/feedback.git,Feedback & wiki for Snipaste https://snipaste.com,"qt,qt5,snip,paste,clipboard,snipaste,feedback",1693
8,https://github.com/getfider/fider.git,Open platform to collect and prioritize product feedback,"feedback,customer,suggestions,ideas,feature-request",1549
9,https://github.com/code-mc/loadtoast.git,Pretty material design toasts with feedback animations,,1528
10,https://github.com/niw/HapticKey.git,A simple utility application to trigger haptic feedback when tapping Touch Bar.,"macos,touchbar,objective-c",1433
11,https://github.com/immobiliare/ApnsPHP.git,ApnsPHP: Apple Push Notification & Feedback Provider,,1407
12,https://github.com/replit-archive/repl.it.git,https://repl.it/feedback Online REPL for 15+ languages.,,1365
13,https://github.com/aladdinpersson/Machine-Learning-Collection.git,"A resource for learning about ML, DL, PyTorch and TensorFlow. Feedback always appreciated :)","pytorch,pytorch-implementation,pytorch-tutorial,pytorch-gan,pytorch-examples,tensorflow2,tensorflow-tutorials,tensorflow-examples,machine-learning,machine-learning-algorithms,pytorch-tutorials",1292
14,https://github.com/TEAMMATES/teammates.git,This is the project website for the TEAMMATES feedback management tool for education,"java,javascript,teammates,universities,students,peer-evaluations,teachers,educators,angular,hacktoberfest,feedback-systems,gae",1132
15,https://github.com/Lickability/PinpointKit.git,Send better feedback,"feedback,cocoapods,carthage,ios,swift",1127
16,https://github.com/yingDev/Tickeys.git,Instant audio feedback for typing. macOS version. (Rust) ,"rust,macos",1099
17,https://github.com/LappleApple/feedmereadmes.git,Free README editing+feedback to make your open-source projects grow. See the README maturity model to help you keep going.,"documentation,readme,readme-first,user-friendly,writer,feedback,docs,project-manager,product-development",1064
18,https://github.com/ivanvorobei/SPAlert.git,"Native alert from Apple Music & Feedback. Contains Done, Heart & Message and other presets.","alert,popup,swift,apple,native,applemusic,appstore,feedback,animated,ui,ui-components,uikit,apple-music,alert-controller,ios",1060
19,https://github.com/BishopFox/GitGot.git,"Semi-automated, feedback-driven tool to rapidly search through troves of public data on GitHub for sensitive secrets.","security-tools,security,security-scanner,github-api,fuzzy-matching,python,sensitive-data-exposure,osint,reconnaissance,recon,gists,gist-search",978
20,https://github.com/gogcom/galaxy-integrations-python-api.git,NOTE: Please report here only issues related to the python API. Issues and general feedback regarding the Galaxy Client 2.0 shall be sent via Galaxy Client menu,,950
21,https://github.com/riggraz/astuto.git,"A free, open source, self-hosted customer feedback tool 🦊","customer-feedback,self-hosted,ruby-on-rails,react,docker,feedback,roadmap,boards",900
