,Url,Description,Topics,Stars
0,https://github.com/hashicorp/terraform.git,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.","graph,infrastructure-as-code,terraform,cloud,cloud-management",26630
1,https://github.com/StreisandEffect/streisand.git,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists.","vpn,ansible,openvpn,wireguard,openconnect,anyconnect,shadowsocks,stunnel,tor,ssh,streisand,censorship",22368
2,https://github.com/ShareX/ShareX.git,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.","screen-capture,screen-recorder,file-sharing,file-upload,url-shortener,color-picker,region-capture,imgur,dropbox,gif,gif-recorder,ocr,productivity,image-annotation,ftp,share,screenshot,sharex,capture,csharp",15971
3,https://github.com/mozilla/send.git,"Simple, private file sharing from the makers of Firefox",,13177
4,https://github.com/dutchcoders/transfer.sh.git,Easy and fast file sharing from the command-line.,"golang,transfer,docker,share,transfersh",10385
5,https://github.com/haiwen/seafile.git,"High performance file syncing and sharing, with also Markdown WYSIWYG editing, Wiki, file label and other knowledge management features.","cloud-storage,file-sync,file-sharing,wiki,markdown,knowledge-management,document-management",8635
6,https://github.com/RobinLinus/snapdrop.git,A Progressive Web App for local file sharing ,"webrtc,pwa,snapdrop",8329
7,https://github.com/datproject/dat.git,:floppy_disk: peer-to-peer sharing & live syncronization of files via command line,"dat,dat-protocol,command-line,dat-node",8163
8,https://github.com/andreafabrizi/Dropbox-Uploader.git,"Dropbox Uploader is a BASH script which can be used to upload, download, list or delete files from Dropbox, an online file sharing, synchronization and backup service.",,6244
9,https://github.com/timvisee/ffsend.git,:mailbox_with_mail: Easily and securely share files from the command line. A fully featured Firefox Send client.,"firefox-send,cli,file-sharing,file-upload,encryption,rust,hacktoberfest",5217
10,https://github.com/micahflee/onionshare.git,"Securely and anonymously share files, host websites, and chat with friends using the Tor network","tor,file-sharing,onionshare,onion-service,tor-onion-service,security,python,cross-platform,open-source",4516
11,https://github.com/jmdugan/blocklists.git,Shared lists of problem domains people may want to block with hosts files,,4302
12,https://github.com/charted-co/charted.git,"A charting tool that produces automatic, shareable charts from any data file",,2747
13,https://github.com/muaz-khan/RTCMultiConnection.git,"RTCMultiConnection is a WebRTC JavaScript library for peer-to-peer applications (screen sharing, audio/video conferencing, file sharing, media streaming etc.)","webrtc,webrtc-experiments,webrtc-demos,rtcmulticonnection,webrtc-javascript-library,webrtc-libraries",2047
14,https://github.com/EddyVerbruggen/SocialSharing-PhoneGap-Plugin.git,"👨\u200d❤️\u200d💋\u200d👨 Cordova plugin to share text, a file (image/PDF/..), or a URL (or all three) via the native sharing widget",,1745
15,https://github.com/Peer5/ShareFest.git,Web based p2p file sharing built on WebRTC Data Channels API,,1645
16,https://github.com/ggerganov/wave-share.git,"Serverless, peer-to-peer, local file sharing through sound","data-over-sound,webrtc,fsk,p2p,webrtc-signaling,file-sharing,data-transfer,modem,ultrasonic",1573
17,https://github.com/YouTransfer/YouTransfer.git,The simple but elegant self-hosted file transfer & sharing solution,"elegant,self-hosted,file-sharing,file-transfer,simple",1477
18,https://github.com/sqlsec/clover.git,Share some hackintosh Clover files 分享一些黑苹果clover配置文件,"hackintosh,clover-efi",1197
19,https://github.com/andreimarcu/linx-server.git,Self-hosted file/code/media sharing website. ~~~~~~~~~~~~~~~~~~~ Demo: https://demo.linx-server.net/,"file-upload,file-sharing,upload,upload-file,upload-videos,upload-pictures,pastebin,pastebin-service",1075
20,https://github.com/hydrusnetwork/hydrus.git,A personal booru-style media tagger that can import files and tags from your hard drive and popular websites. Content can be shared with other users via user-run servers.,,1055
21,https://github.com/blenderskool/blaze.git,⚡ File sharing progressive web app built using WebTorrent and WebSockets,"frontend,backend,webrtc,websockets,file-transfer,sharing,node,pwa-app,hacktoberfest,webtorrent,preact",1040
22,https://github.com/kgretzky/pwndrop.git,"Self-deployable file hosting service for red teamers, allowing to easily upload and share payloads over HTTP and WebDAV.","file-manager,self-hosted,file-sharing,http-server,webdav-server,redteam,payloads",995
23,https://github.com/atmoz/sftp.git,Securely share your files,"docker,sftp,openssh",926
24,https://github.com/Chuyu-Team/VC-LTL.git,Shared to msvcrt.dll and optimize the C/C++ application file size.,,885
25,https://github.com/muaz-khan/Chrome-Extensions.git,"WebRTC chrome extensions for screen sharing, screen recording, file sharing, youtube+audio sharing, etc.","chrome-extension,webrtc,google-chrome,chrome",815
26,https://github.com/Zuikyo/iOS-System-Symbols.git,"{""Share iOS system framework's symbol files. Useful for symbolicating iOS crash report.""}","symbol-files,ios-crash,crash-reports,symbolicatecrash,symbolicate",809
27,https://github.com/psi-4ward/psitransfer.git,Simple open source self-hosted file sharing solution.  ,"upload,file-sharing,transfer-files,pastebin",789
28,https://github.com/alembic/alembic.git,"Alembic is an open framework for storing and sharing scene data that includes a C++ library, a file format, and client plugins and applications.",,748
29,https://github.com/trebleshot/android.git,"An Open-Source Android application that allows you to send and receive files over available connections, and offers unique features like sharing over HTTP, pausing and resuming transfers","share,file,android,wireless,send,application,wifi",738
30,https://github.com/wallix/PEPS.git,Innovative Open source Email + File sharing,,719
31,https://github.com/projectsend/projectsend.git,"ProjectSend is a free, open source software that lets you share files with your clients, focused on ease of use and privacy. It supports clients groups, system users roles, statistics, multiple languages, detailed logs... and much more!","projectsend,file-sharing,clients-oriented,php,free-software,open-source,self-hosted",691
32,https://github.com/ohhsodead/FileMasta.git,"A search application to explore, discover and share online files","search-engine,videos,torrents,archives,subtitles,apps,internet,web,crawler,database,json,files,software,games,books,indexing,file-search,music,search,file",577
33,https://github.com/zhimengzhe/iBarn.git,"{""iBarn SkyDrive provides file network backup, synchronization and sharing service. This system can resume upload and down file and if someone uploads one file when you upload it too, it needn't upload any more, directly upload success. You can choose file download to local or online collection. The recycle bin function to prevent users from accidentally deleted data. While providing customized services, and the two development. the intention to contact by email fanyalei@aliyun.com or QQ 451802973.iBarn网盘，功能强大，堪比百度网盘""}",,567
34,https://github.com/pomf/pomf.git,Simple file uploading and sharing,"pomf,file-upload,files,upload,file-sharing,file,hosting",562
35,https://github.com/music4kid/AirSandbox.git,"view iOS app sandbox file system on real device, share files via airdrop",,553
36,https://github.com/jhaals/yopass.git,"Secure sharing for secrets, passwords and files ","sharing-secrets,encryption-decryption,hacktoberfest,password-sharing",547
