,Url,Description,Topics,Stars
0,https://github.com/jzyong/game-server.git,"Distributed Java game server, including cluster management server, gateway server, hall server, game logic server, background monitoring server and a running web version of fishing. State machine, behavior tree, A* pathfinding, navigation mesh and other AI tools","java,game,server,distributed,chess,gate,fish,mina,netty,behavior-tree,rpg,navmesh,astar-algorithm,ai,mmo,mmorpg-server,quad-tree",930
1,https://github.com/go-playground/webhooks.git,":fishing_pole_and_fish: Webhook receiver for GitHub, Bitbucket, GitLab, Gogs","webhooks,bitbucket,github,gitlab",618
2,https://github.com/Karmenzind/dotfiles-and-scripts.git,:fishing_pole_and_fish: Dotfiles and scripts providing cumbersome configure details and other senseless stuff. 一些无聊的脚本和配置文件,"vim,archlinux,arch,tmux,youcompleteme,ycm,python",145
3,https://github.com/kermitt2/entity-fishing.git,A machine learning tool for fishing entities,"entity-disambiguation,wikidata,machine-learning,wikipedia,knowledge-engineering",128
4,https://github.com/MrKinau/FishingBot.git,1.8 - 1.16.5 Fishing bot for Minecraft,"minecraft,bot,minecraft-client,minecraft-1-8,minecraft-1-9-4,minecraft-1-10-2,minecraft-1-10,minecraft-1-11-2,minecraft-1-12,minecraft-1-12-2,minecraft-1-13,minecraft-1-8-9,minecraft-1-14,minecraft-1-14-1,minecraft-1-14-2,minecraft-1-14-3,minecraft-1-14-4,minecraft-1-15,java,minecraft-1-16",124
5,https://github.com/julianperrott/FishingFun.git,"WOW Fishing Bot, World of Warcraft Fishing Bot - No DLL injection or memory watching, just screen capture and mouse and keyboard clicking.","bot,bots,fishing,world-of-warcraft,wow,pixelbot",117
6,https://github.com/EvandroLG/selecting.git,:fishing_pole_and_fish: A library that allows you to access the text selected by the user,"javascript,selecting",78
7,https://github.com/robphoenix/trawl.git,:boat: A strong fishing net for dragging along the sea bottom to collect IP addresses and similar flotsam & jetsam,"go,ip,networking,interfaces",75
8,https://github.com/TheKingOfDuck/XSS-Fishing2-CS.git,鱼儿在cs上线后自动收杆|Automatically stop fishing in javascript after the fish is hooked,,72
9,https://github.com/nezz0746/react-redux-hooks-starter.git,React-redux boilerplate using hooks :fishing_pole_and_fish:,"react,react-redux,redux,redux-saga,hooks,react-hooks,styled-components,react-boilerplate,starter,starter-kit,react-starter-kit",69
10,https://github.com/offbi/pre-commit-dbt.git,:fishing_pole_and_fish: List of `pre-commit` hooks to ensure the quality of your `dbt` projects.,"dbt,pre-commit,pre-commit-hook,business-intelligence,sql,snowflake,bigquery,quality-assurance",68
11,https://github.com/Symb1OS/blackdesert-fishbot.git,Fishing bot for Black Desert Online with a block to bypass the protection of the game from keyboard and mouse emulation.,"blackdesertonline,fishbot,keyboard-emulation,bdo,bot,blackdesert,arduino,captcha-recognition",52
12,https://github.com/darkb1rd/DarkGld.git,A tool for quickly generating fishing Trojan horse.,,48
13,https://github.com/Vairous7x/V7x-Fishing2.git,"V7x Fishing Tool, The Most Powerful Tool For All",,45
14,https://github.com/coolfishstudio/game-fishing-single.git,Using canvas to write the single version of fishing Master［完成］,,42
15,https://github.com/reggi/evalmd.git,:fishing_pole_and_fish: Evaluates javascript code blocks from markdown files.,,42
16,https://github.com/buttercup/buttercup-importer.git,:fishing_pole_and_fish: 3rd-party archive importer for Buttercup,"buttercup,import,importer,lastpass,1password,keepass,keepassx,password,password-manager,csv",37
17,https://github.com/kioltk/wow-fishipy.git,Fishing bot on python. Not recommended for use on official.,,35
18,https://github.com/NH1900/Instrument-Classification.git,":fishing_pole_and_fish: Classify Flute, Clarinet and Trumpet",,31
19,https://github.com/fishyboteso/fishyboteso.git,Fishing bot for Elder Scrolls Online,,29
20,https://github.com/KevinTyrrell/FishingBot.git,"{""World of Warcraft automatic fishing program. Fishes by using the mouse and searching pixel colors around the cursor to detect 'splashes' in-game.""}",,27
21,https://github.com/tiemonl/Bit-Heroes-Fishing-Bot.git,Fisher program that automates the fishing task in Bit Heroes,"bit-heroes,bitheroes,game-automation",25
22,https://github.com/tc39/Function-prototype-toString-revision.git,:fishing_pole_and_fish: ECMA-262 proposal to update Function.prototype.toString,,25
23,https://github.com/GlobalFishingWatch/training-data.git,Training data detecting fishing behaviour in vessel movement patterns,,24
24,https://github.com/rsamf/wow-fishing-bot.git,A fishing bot for World of Warcraft that uses template matching from OpenCV. No GPU,,24
25,https://github.com/phpcoderme/vkFishing.git,VK Fishing,,21
26,https://github.com/GlobalFishingWatch/map-client.git,"Track commercial fishing activity worldwide on the free, user-friendly, interactive Global Fishing Watch map.",,20
27,https://github.com/Vairous7x/V7x-Fishing.git,V7x Fishing Tool,,18
28,https://github.com/woodyn1002/more-fish.git,A Bukkit Plugin that makes your fishing more fun.,,18
29,https://github.com/stephencelis/dotfiles.git,gone fishing,,18
30,https://github.com/opendata/Hunting-and-Fishing.git,Rendering hunting and fishing regulations as open data. [RETIRED],,16
31,https://github.com/AlgoLab/shark.git,Mapping-free software for fishing relevant reads in an RNA-Seq sample,"bioinformatics,rna-seq,alignment-free,filtering",15
32,https://github.com/Zord0n/WoW_Fishing_Bot.git,Fishing bot written in Python3.6,"python,python-3-6,opencv-python",14
33,https://github.com/dingjiecn/FishingJoy.git,fishing game,,13
34,https://github.com/Serlopal/wow_fishing_bot.git,a simple bot that automatically plays the fishing game at World of Warcraft,,13
35,https://github.com/PurityWasHere/Fisherman.git,An Albion online fishing bot,"bot,albiononline,python",12
36,https://github.com/hacksong2016/Sea-fishing-club.git,3630 sea-fishing-club,,12
37,https://github.com/mr-feek/LaravelGitHooks.git,":boom: A package for running artisan commands as git hooks in your laravel projects. Ships with phpunit, phpcs, and eslint :fishing_pole_and_fish:","php,laravel,laravel-5-package,git,hooks,hook-manager,githook,githooks-plugin",12
38,https://github.com/MinetestForFun/fishing.git,Minetest fishing mod,"minetest,minetest-mod,formspec,fish,lua",11
39,https://github.com/krystianity/rust-ms.git,:fishing_pole_and_fish: Secure High Performance Microservice Skeleton,"rust,microservice,rust-lang,redis,orm,config,json,logger,skeleton",10
40,https://github.com/onmyway133/LighterAppDelegate.git,:fishing_pole_and_fish: Lighter AppDelegate by dispatching events,"appdegate,service,protocol",10
41,https://github.com/fishing/fishing.github.com.git,A Guide to Fishing (Written in Markdown),,10
42,https://github.com/FrontMage/wowAutoFishing.git,wow auto fishing,,9
43,https://github.com/spencerjpotts/Ark-FisherMan.git,Ark Fishing Script | Ark Survival Evolved,"ark,survival,game,fishing,script,auto,free,fast,ark-fisherman,fisherman,working,resolution",9
44,https://github.com/benda95280/MyFish.git,Fishing plugin for PocketMine,,9
45,https://github.com/class-ideas/cyclejs-hangman.git,:fishing_pole_and_fish: Hangman game built with Cycle.js,,9
46,https://github.com/coadler/fishy.git,text based fishing simulator as a microservice ¯\\_(ツ)_/¯,"go,microservice,tatsu",9
47,https://github.com/michaelyuen89/fishyapp.git,A MERN stack web application geared toward fishing enthusiasts,,9
48,https://github.com/chesko256/ArtOfTheCatch.git,Art of the Catch is a complete fishing experience for Skyrim.,,9
49,https://github.com/Nevcairiel/GatherMate2.git,"GatherMate2 is an addon to collect and track herbs, mines, fishing pools, gas clouds, archaelogy finds and treasures for World of Warcraft",,9
50,https://github.com/WowDevs/Fishbot-1.12.1.git,World of Warcraft 1.12.1 Fishing Bot,,8
51,https://github.com/class-ideas/react-hangman.git,:fishing_pole_and_fish: Hangman game built with React.js,,8
52,https://github.com/phanx-wow/GoFish.git,WoW AddOn — Click-cast fishing and enhanced fishing sounds.,"world-of-warcraft,lua",8
53,https://github.com/acidburn974/WoWBotVaniilla.git,"Bot tool for World Of Warcraft 1.12.1 (Vanilla) with Fishing, Grinding and Gathering engine.",,8
54,https://github.com/GlobalFishingWatch/paper-dark-fishing-fleets-in-north-korea.git,"This repository contains the codes and figures used in the paper ""Illuminating Dark Fishing Fleets in North Korea"", published in Science Advances on July 22, 2020.",,8
55,https://github.com/GinaE/Detecting-fishing-activity.git,"{""Project aimed to detect possible fishing activity in the ocean from vessel's trajectories.""}",,8
56,https://github.com/CodeForAfrica/sensors.AFRICA.git,"The sensors.AFRICA website showcasing work from across the continent to use hardware to track air quality, blast fishing, and water pollution. Accessible at https://sensors.africa","sensors-africa,sensors,sensor-data-collection,air-quality,air-quality-sensor,air-quality-measurements,africa,nairobi,kenya,dar-es-salaam,tanzania,lagos,nigeria,abuja,kampala,uganda",8
57,https://github.com/Elijahscriptdev/Buzz_me.git,"{""This is part of Capstone project in Microverse's rails curriculum, to build a Ruby on Rails application where people can write articles. This is a website with articles about books, wedding business, fishing equipment, mushrooms - anything that you can write an article.""}","ruby-on-rails,bootstrap,html-css-javascript,cloudinary,postgresql",8
58,https://github.com/disarmyouwitha/bobber_bot.git,WoW (Classic) fishing bot.. for funzies,,7
59,https://github.com/ulfgebhardt/autoit_wowfishingbot.git,"Simple Autoit-Fishing Bot for WoW Classic, BC, WOTLK, ...",,7
