,Url,Description,Topics,Stars
0,https://github.com/cpfair/tapiriik.git,tapiriik keeps your fitness in sync,"tapiriik,fitness,sync,health",1570
1,https://github.com/wger-project/wger.git,"Self hosted FLOSS fitness/workout, nutrition and weight tracker written with Django","python,django,fitness,gym,self-hosted,workout",1446
2,https://github.com/thomaschampagne/elevate.git,"Browser extension for strava. ""Elevate"" tracks your fitness and progressions over time. Analyse deeper your activities & segments. And more... https://thomaschampagne.github.io/elevate/ (formerly named stravistix)","chrome,strava,cycling,running,swim,webextension,typescript,angular,git-flow,opera",854
3,https://github.com/mazurio/bodyweight-fitness-android.git,Bodyweight Fitness (Android),"java,android,fitness,mobile,app,kotlin,bodyweight",298
4,https://github.com/patloew/RxFit.git,🏃Reactive Fitness API Library for Android and RxJava,"android,google-play-services,rxjava,rxjava2,fit,google-fit,googleapiclient",218
5,https://github.com/dwyl/home.git,"🏡 👩\u200d💻 💡 home is where you can [learn to] build the future surrounded by like-minded creative, friendly and [intrinsically] motivated people focussed on health, fitness and making things people and the world need!","affordable,housing,creative,technology,organic,health,healthy,house",210
6,https://github.com/curtpw/nRF5x-device-reverse-engineering.git,nRF52/nRF51 Fitness Trackers & Smartwatches Reverse Engineered for use as a Wearable Device Development Platform,,205
7,https://github.com/LiamConnell/deep-algotrading.git,A resource for learning about deep learning techniques from regression to LSTM and Reinforcement Learning using financial data and the fitness functions of algorithmic trading,"neural-network,deep-learning,policy-gradient,lstm,tensorflow,reinforcement-learning",176
8,https://github.com/Yalantis/FitTrack.git,Concept of a fitness app.,"ios,swift,cocoapods,animation,yalantis,concept",165
9,https://github.com/brodeurlv/fastnfitness.git,"FastNFitness Android app: Body, Cardio and Fitness tracking.","fitness-app,fitness,fitness-tracker,fitness-goals,weightlifting,weight-tracking,bodybuilding",118
10,https://github.com/mazurio/bodyweight-fitness-ios.git,Bodyweight Fitness (iOS),"ios,app,bodyweight,fitness,swift,mobile",116
11,https://github.com/TechieBlossom/FitnessApp.git,Fitness App mock from Dribbble,,108
12,https://github.com/mahtab-ali/fitness_app_ui.git,"Flutter tutorial explaining to create a fitness application UI incorporating use of custom fonts, vertical lists & custom widgets",,107
13,https://github.com/timfraedrich/OutRun.git,"OutRun is an open-source, privacy oriented, outdoor fitness tracker.","ios,swift,fitness",102
14,https://github.com/rahulmaddineni/Stayfit.git,":iphone: :runner: :apple: Fitness application that’s used to keep track of your physical fitness data, daily calorie count, invite friends to work out together and ultimately get healthy.","fitness-app,fitness,food,restaurant,restaurant-menu,food-classification,food-products,voice-recognition,voice-to-text,search,animation,wasabeef,calories,calories-tracker,calorie-calculator,calorie-counter,sensors,maps,sms,android",97
15,https://github.com/jonniechow/RogueStockBot.git,Tracks and updates user whenever Rogue Fitness equipment inventory changes,,89
16,https://github.com/krokyze/FitKit.git,Flutter plugin for reading health and fitness data. Wraps HealthKit on iOS and GoogleFit on Android.,,88
17,https://github.com/karthironald/BodyProgress.git,Simple workout and progress tracking app for fitness freaks with Widget support.,"exercise,workouts,swiftui,swift,widgetkit,coredata",86
18,https://github.com/jrobchin/phormatics.git,Using A.I. and computer vision to build a virtual personal fitness trainer. (Most Startup-Viable Hack - HackNYU2018),"computer-vision,fitness,python,opencv,tensorflow,pose,estimation,human,model,webrtc,camera,keras,recognition,classification,artificial-intelligence,neural-network,data-science,flask",82
