,Url,Description,Topics,Stars
0,https://github.com/FortAwesome/Font-Awesome.git,"The iconic SVG, font, and CSS toolkit","fontawesome,icons,webfont,font,css,svg-icons,svg-sprites",65524
1,https://github.com/tonsky/FiraCode.git,Free monospaced font with programming ligatures,"programming-ligatures,font,ligatures",55906
2,https://github.com/ryanoasis/nerd-fonts.git,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more","fonts,patched-fonts,powerline,shell,statusline,python,iconic-fonts,patcher,font-awesome,octicons,font,icon-font",27941
3,https://github.com/powerline/fonts.git,Patched fonts for Powerline users.,,21609
4,https://github.com/adobe-fonts/source-code-pro.git,Monospaced font family for user interface and coding environments,"opentype-fonts,otf,afdko,ttf-fonts,fonts,variable-fonts",17265
5,https://github.com/microsoft/cascadia-code.git,"This is a fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal.",,16413
6,https://github.com/google/fonts.git,"Font files available from Google Fonts, and a public issue tracker for all things Google Fonts",,14263
7,https://github.com/rsms/inter.git,The Inter font family,"typeface,font,design",12469
8,https://github.com/typekit/webfontloader.git,Web Font Loader gives you added control when using linked fonts via @font-face.,,8667
9,https://github.com/chrisjenx/Calligraphy.git,Custom fonts in Android the easy way...,,8617
10,https://github.com/majodev/google-webfonts-helper.git,"A Hassle-Free Way to Self-Host Google Fonts. Get eot, ttf, svg, woff and woff2 files + CSS snippets",,8103
11,https://github.com/mac-cain13/R.swift.git,"Strong typed, autocompleted resources like images, fonts and segues in Swift projects","swift,ios,watchos,tvos,code-generator,autocompletion,xcode,resources",8027
12,https://github.com/akveo/eva-icons.git,"A pack of more than 480 beautifully crafted Open Source icons. SVG, Sketch, Web Font and Animations support.","icons,icon,icon-font,icon-pack",7908
13,https://github.com/larsenwork/monoid.git,"Customisable coding font with alternates, ligatures and contextual positioning. Crazy crisp at 12px/9pt. http://larsenwork.com/monoid/",,7000
14,https://github.com/fontello/fontello.git,Iconic fonts scissors,,6555
15,https://github.com/snowie2000/mactype.git,Better font rendering for Windows.,"mactype,directwrite,font-rendering,font",5862
16,https://github.com/belluzj/fantasque-sans.git,A font family with a great monospaced variant for programmers.,"font,monospace-font",5491
17,https://github.com/i-tu/Hasklig.git,Hasklig - a code font with monospaced ligatures,"font,ligatures,hasklig,otf,afdko",4996
18,https://github.com/mikepenz/Android-Iconics.git,"Android-Iconics - Use any icon font, or vector (.svg) as drawable in your application.","icon-font,java,mikepenz,android-icon,android,android-library,android-development,material-design,material,material-ui,material-components,material-icons,google-material,weather-icons,foundation-icons,meteocons,fontawesome,google-material-icons,android-compose,compose",4802
19,https://github.com/simplefocus/FlowType.JS.git,Web typography at its finest: font-size and line-height based on element width.,,4618
20,https://github.com/joypixels/emojione.git,"{""[Archived] The world's largest independent emoji font. Maintained at https://github.com/joypixels/emoji-toolkit.""}",,4480
21,https://github.com/ecomfe/fontmin.git,Minify font seamlessly,"font,fontmin,subset,icon-font",4131
22,https://github.com/saeedalipoor/icono.git,"One tag One icon, no font or svg, Pure CSS","iconsets,css3,purecss,icono,css",3998
23,https://github.com/fontforge/fontforge.git,"Free (libre) font editor for Windows, Mac OS X and GNU+Linux",,3757
24,https://github.com/athityakumar/colorls.git,"{""A Ruby gem that beautifies the terminal's ls command, with color and font-awesome icons. :tada:""}","color,icons,ls,terminal,ruby,cli,gem,eye-candy",3616
25,https://github.com/googlefonts/roboto.git,The Roboto family of fonts,,3587
26,https://github.com/FortAwesome/react-fontawesome.git,Font Awesome 5 React component,"fontawesome,react,javascript,frontend",3369
27,https://github.com/opentypejs/opentype.js.git,Read and write OpenType fonts using JavaScript.,"opentype,javascript,truetype,font,kerning,opentypejs,glyphs,nodejs,otf",3193
28,https://github.com/forwardemail/email-templates.git,":mailbox: Create, preview, and send custom email templates for Node.js. Highly configurable and supports automatic inline CSS, stylesheets, embedded images and fonts, and much more!","nodejs,email,templates,template-engine,juice,pug,ejs,custom,node,inline,css,inline-css,responsive,template,nodemailer,postmark,mandrill,sendgrid,mailchimp,webresource",3124
29,https://github.com/Rush/Font-Awesome-SVG-PNG.git,Font Awesome split to individual SVG and PNG files of different sizes along with Node.JS based generator,,3090
30,https://github.com/adobe-fonts/source-sans.git,Sans serif font family for user interface environments,"opentype-fonts,otf,afdko,ttf-fonts,fonts,variable-fonts",2958
