,Url,Description,Topics,Stars
0,https://github.com/KunMinX/Linkage-RecyclerView.git,"{""即使不用饿了么订餐，也请务必收藏好该库！🔥  一行代码即可接入，二级联动订餐列表 - Even if you don't order food by PrubHub, be sure to collect this library, please! 🔥 This secondary linkage list widget can be accessed by only one line of code. Supporting by RecyclerView & AndroidX.""}","linkage,eleme,recyclerview,androidx,mvp,mvp-architecture,mvp-android,meituan,android-library",2701
1,https://github.com/wesdoyle/design-patterns-explained-with-food.git,"GoF Design Patterns with ""Real-World"" examples involving Food-Related Businesses and mock dependencies","design-patterns,gang-of-four,dotnet,object-oriented-design",2036
2,https://github.com/PatilShreyas/Foodium.git," 🍲Foodium is a sample food blog Android application 📱 built to demonstrate the use of Modern Android development tools - (Kotlin, Coroutines, Flow, Dagger 2/Hilt, Architecture Components, MVVM, Room, Retrofit, Moshi, Material Components).","kotlin,kotlin-android,mvvm,mvvm-android,android-architecture-components,livedata,livedata-viewmodel,viewbinding,room,room-persistence-library,coroutines-android,coroutines,flow,dagger2-android,moshi,retrofit2,material-components,android,hilt-android,hacktoberfest",1771
3,https://github.com/ahertel/Amazon-Fresh-Whole-Foods-delivery-slot-finder.git,"{""A Mac tool that finds available delivery slots for Amazon's Whole Foods delivery and Amazon Fresh services""}","applescript,amazon,whole-foods,automation,script,apple,mac,coronavirus,grocery-delivery,amazon-fresh,wholefoods,foods-delivery,delivery-slots,amazon-fresh-services,delivery-window-finder,scpt,notification",1045
4,https://github.com/stratospark/food-101-keras.git,Food Classification with Deep Learning in Keras / Tensorflow,"deep-learning,image-classification,ai,machine-learning,food-classification,keras,tensorflow",647
5,https://github.com/openfoodfacts/openfoodfacts-androidapp.git,Native version of Open Food Facts on Android - Coders & Decoders welcome 🤳🥫 ,"android,food,crowdsourcing,nutrition,java,gsoc,hacktoberfest,environment,openfoodfacts,kotlin-android,kotlin",574
6,https://github.com/Tarikul711/flutter-food-delivery-app-ui.git,The food ordering & delivery application designed based on the real-life scenario. Anyone can use this code on their own purpose. If you are interested please make your contribution to the code.,"flutter,flutter-examples,flutter-apps,flutter-ui,food-ordering,food-delivery-application,ecommerce-application,ecommerce,ecommerce-shopping-solution,food-products,food-delivery,foodpanda,foodpanda-mcdonald,dominos,mcdonald,mcdonalds",524
7,https://github.com/exceptionnotfound/DesignPatterns.git,"Come learn about all the Gang of Four patterns (e.g. Adapter, Facade, Strategy, Mediator, Command and more) with C# and food examples!",,520
8,https://github.com/facebookresearch/inversecooking.git,Recipe Generation from Food Images,,516
