,Url,Description,Topics,Stars
0,https://github.com/vuejs/vue.git,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.","vue,javascript,frontend,framework",183234
0,https://github.com/tensorflow/tensorflow.git,An Open Source Machine Learning Framework for Everyone,"tensorflow,machine-learning,python,deep-learning,deep-neural-networks,neural-network,ml,distributed",155733
0,https://github.com/twbs/bootstrap.git,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","css,bootstrap,javascript,html,scss,css-framework,sass",150001
0,https://github.com/ohmyzsh/ohmyzsh.git,"🙃   A delightful community-driven (with 1800+ contributors) framework for managing your zsh configuration. Includes nearly 300 optional plugins (rails, git, OSX, hub, docker, homebrew, node, php, python, etc), over 140 themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.","shell,zsh-configuration,theme,terminal,productivity,hacktoberfest",127623
0,https://github.com/vinta/awesome-python.git,"A curated list of awesome Python frameworks, libraries, software and resources","awesome,python,collections,python-library,python-framework,python-resources",97652
0,https://github.com/facebook/react-native.git,A framework for building native apps with React.,,95306
0,https://github.com/angular/angular.git,One framework. Mobile & desktop.,"angular,typescript,web,javascript,pwa,web-framework,web-performance",73114
0,https://github.com/vercel/next.js.git,The React Framework,"react,server-rendering,universal,node,components,browser,nextjs,vercel,static-site-generator,hybrid,ssg,static-site-generation,static,blog,compiler,tooling,toolbox",66873
0,https://github.com/laravel/laravel.git,A PHP framework for web artisans.,"php,framework,laravel",65119
0,https://github.com/avelino/awesome-go.git,"A curated list of awesome Go frameworks, libraries and software","golang,golang-library,go,awesome,awesome-list,hacktoberfest",64193
0,https://github.com/django/django.git,The Web framework for perfectionists with deadlines.,"python,django,web,framework,orm,templates,models,views,apps",57360
0,https://github.com/hakimel/reveal.js.git,The HTML Presentation Framework,"presentations,slides,slideshow",56236
0,https://github.com/pallets/flask.git,The Python micro framework for building web applications.,"python,flask,wsgi,web-framework,werkzeug,jinja,pallets",54922
0,https://github.com/socketio/socket.io.git,Realtime application framework (Node.JS server),,53335
0,https://github.com/expressjs/express.git,"Fast, unopinionated, minimalist web framework for node.","javascript,nodejs,express,server",53027
0,https://github.com/gohugoio/hugo.git,The world’s fastest framework for building websites.,"go,hugo,static-site-generator,blog-engine,cms,content-management-system,documentation-tool,hacktoberfest",51809
0,https://github.com/josephmisiti/awesome-machine-learning.git,"A curated list of awesome Machine Learning frameworks, libraries and software.",,50077
0,https://github.com/Semantic-Org/Semantic-UI.git,Semantic is a UI component framework based around useful principles from natural language.,"ui,ui-components,flexbox,css-framework,dropdown,button,popup,sidebar,tooltip,semantic",49231
0,https://github.com/gin-gonic/gin.git,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.","server,middleware,framework,go,router,performance,gin",47975
0,https://github.com/jgthms/bulma.git,Modern CSS framework based on Flexbox,"css,html,flexbox,css-framework,design",43458
0,https://github.com/spring-projects/spring-framework.git,Spring Framework,"framework,spring,spring-framework",42735
0,https://github.com/tailwindlabs/tailwindcss.git,A utility-first CSS framework for rapid UI development.,"tailwindcss,css,css-framework,postcss,functional-css,utility-classes,responsive",41501
0,https://github.com/scrapy/scrapy.git,"Scrapy, a fast high-level web crawling & scraping framework for Python.","python,scraping,crawling,framework,crawler,hacktoberfest",40586
0,https://github.com/serverless/serverless.git,"⚡ Serverless Framework – Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure Functions, Google CloudFunctions & more! – ","serverless,serverless-framework,serverless-architectures,aws-lambda,google-cloud-functions,azure-functions,aws,microservice,aws-dynamodb",39692
0,https://github.com/Dogfalo/materialize.git,"Materialize, a CSS Framework based on Material Design","design,css,framework,javascript,material-design,material,css-framework",38470
0,https://github.com/nestjs/nest.git,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀","nest,javascript,typescript,nodejs,framework,nodejs-framework,typescript-framework,javascript-framework,microservices,websockets,node,nestjs",36941
0,https://github.com/impress/impress.js.git,"{""It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.""}",,36265
0,https://github.com/nuxt/nuxt.js.git,The Intuitive Vue Framework,"framework,isomorphic,universal,vue,ssr,nuxt,web-app,vuex,vue-router,server-rendering",36085
0,https://github.com/apache/dubbo.git,"Apache Dubbo is a high-performance, java based, open source RPC framework.",dubbo,35206
0,https://github.com/AFNetworking/AFNetworking.git,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",,33130
0,https://github.com/hexojs/hexo.git,"A fast, simple & powerful blog framework, powered by Node.js.","hexo,javascript,nodejs,static-site-generator",32718
0,https://github.com/BVLC/caffe.git,Caffe: a fast open framework for deep learning.,"deep-learning,machine-learning,vision",31621
0,https://github.com/fffaraz/awesome-cpp.git,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.","cpp,cppcon,awesome,programming-tutorial,libraries,c-plus-plus,c,cpp-library,awesome-list,list,resources,lists",31321
0,https://github.com/tiangolo/fastapi.git,"FastAPI framework, high performance, easy to learn, fast to code, ready for production","python,json,swagger-ui,redoc,starlette,openapi,api,openapi3,framework,async,asyncio,uvicorn,python3,python-types,pydantic,json-schema,fastapi,swagger,rest,web",30937
0,https://github.com/vuetifyjs/vuetify.git,🐉 Material Component Framework for Vue,"vue,vuejs,vue-components,material-design,material,material-theme,material-components,javascript,semantic,vue-material,vuetify,vuetifyjs,ui,ui-components,ui-kit,typescript,hacktoberfest,vuejs3,ui-design",30775
0,https://github.com/photonstorm/phaser.git,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.","phaser,phaserjs,javascript,html5-game-development,webgl,game-frameworks,game-development,gamedev,canvas,phaser-development,facebook-instant-games",29575
0,https://github.com/foundation/foundation-sites.git,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,,29022
0,https://github.com/akullpp/awesome-java.git,"A curated list of awesome frameworks, libraries and software for the Java programming language.","awesome,awesome-list",28620
0,https://github.com/bradtraversy/design-resources-for-developers.git,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",,28010
0,https://github.com/tastejs/todomvc.git,"Helping you select an MV* framework - Todo apps for React.js, Ember.js, Angular, and many more",,27313
0,https://github.com/netty/netty.git,Netty project - an event-driven asynchronous network application framework,,26652
0,https://github.com/NationalSecurityAgency/ghidra.git,Ghidra is a software reverse engineering (SRE) framework,"software-analysis,disassembler,reverse-engineering",26401
0,https://github.com/beego/beego.git,"beego is an open-source, high-performance web framework for the Go programming language.","go,beego",26348
0,https://github.com/symfony/symfony.git,The Symfony PHP framework,"framework,php,symfony,symfony-bundle,bundle,php-framework,hacktoberfest",25196
0,https://github.com/laravel/framework.git,The Laravel Framework.,"php,framework,laravel",23995
0,https://github.com/rapid7/metasploit-framework.git,Metasploit Framework,hacktoberfest,23931
0,https://github.com/vuejs/vue-next.git,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",,22305
0,https://github.com/dotnet/aspnetcore.git,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.","dotnet,aspnetcore,hacktoberfest",22142
0,https://github.com/google/googletest.git,GoogleTest - Google Testing and Mocking Framework,,21982
0,https://github.com/balderdashy/sails.git,Realtime MVC Framework for Node.js,,21933
0,https://github.com/emberjs/ember.js.git,Ember.js - A JavaScript framework for creating ambitious web applications,"ember,javascript,javascript-framework,hacktoberfest",21846
0,https://github.com/alebcay/awesome-shell.git,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php.","awesome-list,awesome,list,zsh,fish,bash,cli,shell",21394
0,https://github.com/dimsemenov/PhotoSwipe.git,"JavaScript image gallery for mobile and desktop, modular, framework independent",,21008
0,https://github.com/SeleniumHQ/selenium.git,A browser automation framework and ecosystem.,"selenium,webdriver,java,ruby,python,javascript,dotnet",20768
0,https://github.com/ianstormtaylor/slate.git,A completely customizable framework for building rich text editors. (Currently in beta.),"editor,browser,react,rich-text,framework,slate,javascript,text-editor",20543
0,https://github.com/kataras/iris.git,"The fastest HTTP/2 Go Web Framework. AWS Lambda, gRPC, MVC, Unique Router, Websockets, Sessions, Test suite, Dependency Injection and more. A true successor of expressjs and laravel | 谢谢 https://github.com/kataras/iris/issues/1329 |","go,framework,server,middleware,router,performance,iris,web-framework,mvc,golang,expressjs,laravel",20541
0,https://github.com/mochajs/mocha.git,"☕️ simple, flexible, fun javascript test framework for node.js & the browser","mocha,javascript,testing,tdd,bdd,browser,nodejs,mochajs,node,test,test-framework,testing-tools",20503
0,https://github.com/vapor/vapor.git,💧 A server-side Swift web framework.,"vapor,swift,server-side-swift,web-framework,server,framework",20324
0,https://github.com/facebook/draft-js.git,A React framework for building text editors.,,20266
0,https://github.com/tornadoweb/tornado.git,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.","python,asynchronous",19986
0,https://github.com/ReactiveCocoa/ReactiveCocoa.git,Cocoa framework and Obj-C dynamism bindings for ReactiveSwift.,"reactiveswift,reactivecocoa,swift",19965
0,https://github.com/labstack/echo.git,"High performance, minimalist Go web framework","go,echo,web,middleware,microservice,websocket,ssl,letsencrypt,micro-framework,https,http2,web-framework,labstack-echo",19790
0,https://github.com/BradLarson/GPUImage.git,An open source iOS framework for GPU-based image and video processing,,19733
0,https://github.com/LeCoupa/awesome-cheatsheets.git,"👩\u200d💻👨\u200d💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.","cheatsheets,javascript,bash,nodejs,cheatsheet,database,language,frontend,backend,feathersjs,redis,vuejs,vim,django,programming-language,xcode,php,docker,kubernetes,sailsjs",19665
0,https://github.com/fastify/fastify.git,"Fast and low overhead web framework, for Node.js","webframework,performance,speed,nodejs",18773
0,https://github.com/jorgebucaran/hyperapp.git,The tiny framework for building hypertext applications.,"framework,javascript,web,vdom",18530
0,https://github.com/quasarframework/quasar.git,Quasar Framework - Build high-performance VueJS user interfaces in record time,"quasar-framework,vuejs,vuejs2,vue,vue-component,javascript,ios,android,electron,material,vue-components,material-theme,material-design,material-components,vue2,pwa,ssr,server-side-rendering,browser-extension",18458
0,https://github.com/libgdx/libgdx.git,Desktop/Android/HTML5/iOS Java game development framework,"libgdx,java,game,cross-platform,android,ios,html5,windows,linux,macosx,2d,3d,framework",18416
0,https://github.com/xuxueli/xxl-job.git,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,"xxl-job,job,quartz,glue,task,schedule,scheduler,java,distributed,restful",18158
0,https://github.com/bcit-ci/CodeIgniter.git,Open Source PHP Framework (originally from EllisLab),php,18138
0,https://github.com/sebastianbergmann/phpunit.git,The PHP Unit Testing framework.,"php,phpunit,testing-tools",17568
0,https://github.com/alibaba/weex.git,A framework for building Mobile cross-platform UI,"mobile,android,ios,weex,web,sdk",17536
0,https://github.com/nostalgic-css/NES.css.git,NES-style CSS Framework | ファミコン風CSSフレームワーク,"css,css-framework,nes,scss,8bit",17459
0,https://github.com/InterviewMap/CS-Interview-Knowledge-Map.git,"Build the best interview map. The current content includes JS, network, browser related, performance optimization, security, framework, Git, data structure, algorithm, etc.","javascript,blog,interview,react,vue,algorithms",17031
0,https://github.com/eggjs/egg.git,🥚 Born to build better enterprise frameworks and apps with Node.js & Koa,"egg,framework,koa,koa2,koa-middleware,nodejs,node-framework,enterprise,eggjs",16952
0,https://github.com/uikit/uikit.git,A lightweight and modular front-end framework for developing fast and powerful web interfaces,,16823
0,https://github.com/marmelab/react-admin.git,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6, React and Material Design","material-ui,react,frontend-framework,rest,admin,admin-dashboard,single-page-app,admin-on-rest,react-admin",16790
0,https://github.com/alibaba/ice.git,🚀 The Progressive Framework Based On React（基于 React 的渐进式研发框架）https://ice.work,"react,react-router,typescript,webpack,framework,icejs,iceworks,ssr,hooks,mpa,serverless",16293
0,https://github.com/framework7io/framework7.git,Full featured HTML framework for building iOS & Android apps,"framework,ios,material,material-design,android,cordova,phonegap,mobile,touch,components,library",16165
0,https://github.com/apollographql/apollo-client.git,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server","graphql,graphql-client,typescript,apollo-client,apollographql",16095
0,https://github.com/alpinejs/alpine.git,"A rugged, minimal framework for composing JavaScript behavior in your markup.",,16012
0,https://github.com/asim/go-micro.git,Go Micro is a framework for distributed systems development,"go,golang,micro,microservices,rpc,distributed-systems",15964
0,https://github.com/ray-project/ray.git,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged with RLlib, a scalable reinforcement learning library, and Tune, a scalable hyperparameter tuning library.","ray,distributed,parallel,machine-learning,reinforcement-learning,deep-learning,python,rllib,hyperparameter-search,optimization,data-science,automl,hyperparameter-optimization,model-selection,java,serving,deployment",15900
0,https://github.com/yewstack/yew.git,Rust / Wasm framework for building client web apps,"rust,web,gui,jsx,elm,web-framework,wasm,asmjs,emscripten,concurrency,multithreading,webworkers",15727
0,https://github.com/facebook/relay.git,Relay is a JavaScript framework for building data-driven React applications.,,15669
0,https://github.com/dvajs/dva.git,"🌱 React and redux based, lightweight and elm-style framework. (Inspired by elm and choo)","dva,redux,redux-saga,framework,elm",15602
0,https://github.com/mybatis/mybatis-3.git,MyBatis SQL mapper framework for Java,"sql,mybatis,java",15587
0,https://github.com/PaddlePaddle/Paddle.git,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,"paddlepaddle,deep-learning,scalability,machine-learning,neural-network,python,efficiency,distributed-training",15112
0,https://github.com/jasmine/jasmine.git,Simple JavaScript testing framework for browsers and node.js,"jasmine,javascript,tdd,testing",15111
0,https://github.com/sanic-org/sanic.git,Async Python 3.7+ web server/framework | Build fast. Run fast.,"python,framework,asyncio,api-server,web,web-server,web-framework,asgi,sanic",14956
