,Url,Description,Topics,Stars
0,https://github.com/gogo/protobuf.git,[Looking for new ownership] Protocol Buffers for Go with Gadgets,"protocol-buffers,golang,go,protobuf,grpc",4578
0,https://github.com/Freeyourgadget/Gadgetbridge.git,"{""We are on codeberg.org now! https://codeberg.org/Freeyourgadget/Gadgetbridge -  Gadgetbridge - A free and cloudless replacement for your gadget vendors' closed source Android applications. Supports Pebble, Mi Band, Liveview, HPlus and more.""}","pebble,pebble-smartwatch,mi-band,sexy,android-application,amazfit,hplus,teclast",3708
0,https://github.com/JonathanSalwan/ROPgadget.git,"This tool lets you search your gadgets on your binaries to facilitate your ROP exploitation. ROPgadget supports ELF, PE and Mach-O format on x86, x64, ARM, ARM64, PowerPC, SPARC and MIPS architectures. ","reverse-engineering,rop,rop-exploitation,rop-gadgets,binary-exploitation",2692
0,https://github.com/yadox666/The-Hackers-Hardware-Toolkit.git,"{""The best hacker's gadgets for Red Team pentesters and security researchers.""}",,1750
0,https://github.com/david942j/one_gadget.git,The best tool for finding one gadget RCE in libc.so.6,"ctf,pwnable,pwn,glibc,one-gadget-rce,shell,exploit,gadget,libc",1348
0,https://github.com/sashs/Ropper.git,"Display information about files in different file formats and find gadgets to build rop chains for different architectures (x86/x86_64, ARM/ARM64, MIPS, PowerPC, SPARC64). For disassembly ropper uses the awesome Capstone Framework. ","rop,exploitation,binary,gadget-finder,gadgets,rop-chains",1247
0,https://github.com/toblum/McLighting.git,The ESP8266 based multi-client lighting gadget,"strip,websockets,esp,ws2812b,esp8266,animation,mood-light,siri,mqtt",991
0,https://github.com/kinvolk/inspektor-gadget.git,Collection of gadgets for debugging and introspecting Kubernetes applications using BPF,"kinvolk,kubernetes,bpf-programs,bpf,inspektor-gadget",630
0,https://github.com/JackOfMostTrades/gadgetinspector.git,A byte code analyzer for finding deserialization gadget chains in Java applications,,550
0,https://github.com/BlackFan/client-side-prototype-pollution.git,Prototype Pollution and useful Script Gadgets,,488
