,Url,Description,Topics,Stars
0,https://github.com/photonstorm/phaser.git,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.","phaser,phaserjs,javascript,html5-game-development,webgl,game-frameworks,game-development,gamedev,canvas,phaser-development,facebook-instant-games",29577
0,https://github.com/leereilly/games.git,":video_game: A list of popular/awesome video games, add-ons, maps, etc. hosted on GitHub. Any genre. Any platform. Any engine.","game-engine,platform-game,html5-games,strategy-game,puzzle-game,sandbox-game,gamedev,games,game,game-development",17691
0,https://github.com/OpenRA/OpenRA.git,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.","game-engine,strategy-game-engine,csharp,cross-platform,dotnet,openra,game,engine,real-time-strategy,command-and-conquer,red-alert,tiberian-dawn,dune-2000,rts,hacktoberfest",9306
0,https://github.com/boardgameio/boardgame.io.git,State Management for Turn-Based Games,"boardgames,game-engine,tabletop,react,react-native,javascript",8663
0,https://github.com/bulletphysics/bullet3.git,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.","simulation,robotics,kinematics,virtual-reality,reinforcement-learning,computer-animation,game-development,simulator,pybullet",7899
0,https://github.com/MonoGame/MonoGame.git,One framework for creating powerful cross-platform games.,"xna,monogame,game-framework,gamedev,csharp,cross-platform,open-source,graphics,game-engine,dotnet,hacktoberfest",7513
0,https://github.com/qiao/PathFinding.js.git,A comprehensive path-finding library for grid based games,,7361
0,https://github.com/dolphin-emu/dolphin.git,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.","emulation,gamecube,wii,emulator,cpp",7341
0,https://github.com/openai/universe.git,"{""Universe: a software platform for measuring and training an AI's general intelligence across the world's supply of games, websites and other applications.""}",,7268
0,https://github.com/rwv/chinese-dos-games.git,🎮 Chinese DOS games collections.,"dos,game",5830
0,https://github.com/WhitestormJS/whs.js.git,:rocket: 🌪 Super-fast 3D framework for Web Applications 🥇 & Games 🎮. Based on Three.js,"physics,framework,high-performance,web-development,webpack,component-driven,modular,react,scene-graph",5606
0,https://github.com/AirtestProject/Airtest.git,UI Automation Framework for Games and Apps,"automated-testing,game,unity3d,android,automation,test-automation,test-framework,ios,windows",4965
0,https://github.com/erincatto/box2d.git,Box2D is a 2D physics engine for games,,4896
0,https://github.com/heroiclabs/nakama.git,Distributed server for social and realtime games and apps.,"game-server,realtime,social,multiplayer,chat-server,realtime-games,backend,backend-as-a-service,nakama,game-framework,unreal-engine,unity-engine",4622
0,https://github.com/FormidableLabs/react-game-kit.git,Component library for making games with React  & React Native,"physics-bodies,spritesheet,tilemap,component-tree,game,react,reactjs,physics-engine,sprite-animation,matter",4433
0,https://github.com/google/liquidfun.git,2D physics engine for games,,4212
0,https://github.com/recastnavigation/recastnavigation.git,Navigation-mesh Toolset for Games,,4048
0,https://github.com/googleforgames/agones.git,Dedicated Game Server Hosting and Scaling for Multiplayer Games on Kubernetes,"dedicated-gameservers,kubernetes,game-development,multiplayer,go,golang,game-server,agones,dedicated-game-servers",3781
0,https://github.com/kittykatattack/learningPixi.git,A step-by-step introduction to making games and interactive media with the Pixi.js rendering engine.,,3765
0,https://github.com/egret-labs/egret-core.git,"Egret is a brand new open mobile game and application engine which allows you to quickly build mobile games and apps on Android,iOS and Windows.","typescript,javascript,game-engine,egret,html5-game,html5-canvas,webgl",3551
0,https://github.com/mosra/magnum.git,Lightweight and modular C++11 graphics middleware for games and data visualization,"c-plus-plus-11,opengl,webgl,emscripten,ios,android,graphics-engine,game-engine,c-plus-plus,gamedev,cmake,glfw,sdl,magnum,webassembly,vulkan,3d,game,graphics,spir-v",3482
0,https://github.com/pygame/pygame.git,"pygame (the library) is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. C, Python, Native, OpenGL.","python,pygame,sdl2,sdl,game-development,gamedev,game-dev",3385
0,https://github.com/ultralight-ux/Ultralight.git,Next-generation HTML renderer for apps and games,"html-renderer,desktop-apps,games,gpu,cross-platform,webkit,ultralight,windows,macos,linux,directx-11,opengl,metal,game-development,gamedev",3330
0,https://github.com/gameplay3d/gameplay.git,"Open-source, cross-platform, C++ game engine for creating 2D/3D games.","open-source,cross-platform,c-plus-plus,engine,vulkan",3155
0,https://github.com/turbulenz/turbulenz_engine.git,"Turbulenz is a modular 3D and 2D game framework for making HTML5 powered games for browsers, desktops and mobile devices.",,3152
0,https://github.com/Codeusa/Borderless-Gaming.git,Play your favorite games in a borderless window; no more time consuming alt-tabs. ,"steam,c-sharp,games,borderless,directx",3130
0,https://github.com/JosefNemec/Playnite.git,"Video game library manager with support for wide range of 3rd party libraries and game emulation support, providing one unified interface for your games.","steam,origin,gog,launcher,gaming,uplay,wpf,csharp",3107
0,https://github.com/LibreVR/Revive.git,"Play Oculus-exclusive games on the HTC Vive or Valve Index, scroll down for downloads and installation instructions.","oculus,openvr",3032
0,https://github.com/CharlesPikachu/Games.git,Create interesting games by pure python.,"game,games,python,classic-game,game-development,game-2d,pygame,pygame-games,tank-game,flappy-bird",3021
0,https://github.com/RandyGaul/cute_headers.git,"Collection of cross-platform one-file C/C++ libraries with no dependencies, primarily used for games","c,game,networking,compression,png,audio,opengl,header,library,cross-platform,collision,collision-detection,math",3008
0,https://github.com/playgameservices/play-games-plugin-for-unity.git,Google Play Games plugin for Unity,,2876
0,https://github.com/ClusterM/hakchi2.git,Tool that allows you to add more games to your NES/SNES Classic Mini,,2857
0,https://github.com/nesbox/TIC-80.git,"TIC-80 is a fantasy computer for making, playing and sharing tiny games.","tic80,retro,gamedev,gameengine,tiny,8bit,tic-80,fantasy-console,fantasy-computer",2764
0,https://github.com/deepmind/open_spiel.git,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,"games,reinforcement-learning,multiagent,cpp,python",2720
0,https://github.com/Croteam-official/Serious-Engine.git,An open source version of a game engine developed by Croteam for the classic Serious Sam games.,,2669
0,https://github.com/dsasmblr/game-hacking.git,"Tutorials, tools, and more as related to reverse engineering video games.","game-hacking,reverse-engineering,cheat-engine",2453
0,https://github.com/openai/retro.git,Retro Games in Gym,,2435
0,https://github.com/ValveSoftware/halflife.git,Half-Life 1 engine based games,,2165
0,https://github.com/derrod/legendary.git,Legendary - A free and open-source replacement for the Epic Games Launcher,"epicgames-launcher,epic-games,epic-games-client,epic-games-launcher,linux-gaming",2041
0,https://github.com/networkprotocol/yojimbo.git,A network library for client/server games written in C++,"client-server,udp,protocol,game,multiplayer-game-server",1941
0,https://github.com/crosire/reshade.git,A generic post-processing injector for games and video software.,"post-processing,injector,shaders,d3d9,d3d11,d3d12,opengl,vulkan,spir-v,hlsl,glsl,compiler",1931
0,https://github.com/EpicGames/Signup.git,"Information about signing up for a free Epic Games account, and getting access to UnrealEngine source code.",,1887
0,https://github.com/grantjenks/free-python-games.git,Free Python Games,"free,python,games,education,learning",1824
0,https://github.com/coding-horror/basic-computer-games.git,"An updated version of the classic ""Basic Computer Games"" book, with well-written examples in a variety of common programming languages",basic-computer-games,1798
