,Url,Description,Topics,Stars
0,https://github.com/cooplab/popgen-notes.git,Population genetics notes,,452
0,https://github.com/popgenmethods/lecture_notes.git,Lecture Notes on Computational and Mathematical Population Genetics,,148
0,https://github.com/mfumagalli/ngsTools.git,Programs to analyse NGS data for population genetics purposes,,119
0,https://github.com/broadinstitute/ABC-Enhancer-Gene-Prediction.git,"Cell type specific enhancer-gene predictions using ABC model (Fulco, Nasser et al, Nature Genetics 2019)",,81
0,https://github.com/MesserLab/SLiM.git,"SLiM is a genetically explicit forward simulation software package for population genetics and evolutionary biology.  It is highly flexible, with a built-in scripting language, and has a cross-platform graphical modeling environment called SLiMgui.",slim,79
0,https://github.com/ForestryMC/Binnie.git,"Minecraft addons for the Forestry mod. Extra Bees, Extra Trees, Genetics, and more.","minecraft,minecraft-mod,forestry,minecraft-forge-mod",65
0,https://github.com/grunwaldlab/Population_Genetics_in_R.git,A primer for computational tools to analyze genetics of populations in R,,59
0,https://github.com/labsquare/cutevariant.git,A standalone and free application to explore genetics variations from VCF file,"genetics,variant-call-format,vcf,gui,pyside2,python3",55
0,https://github.com/rivas-lab/covid19.git,"As a part of COVID-19 Host Genetics Initiative, we perform the following set of analyses to better understand the genetic basis of COVID-19 susceptibility and severity.","coronavirus,covid-19,genetics,abo-blood,uk-biobank,hla,polygenic-risk-scores,blood-group,sars-cov-2",41
0,https://github.com/tatumdmortimer/popgen-stats.git,Scripts to calculate population genetics statistics,,38
0,https://github.com/andrewkern/popGenMachineLearningExamples.git,simple examples of using supervised machine learning for population genetics inference,,35
0,https://github.com/imgag/megSAP.git,a Medical Genetics Sequence Analysis Pipeline,,34
0,https://github.com/cran/WGCNA.git,:exclamation:\xa0This\xa0is\xa0a\xa0read-only\xa0mirror\xa0of\xa0the\xa0CRAN\xa0R\xa0package\xa0repository.  WGCNA\xa0—\xa0Weighted\xa0Correlation\xa0Network\xa0Analysis.\xa0Homepage:\xa0http://horvath.genetics.ucla.edu/html/CoexpressionNetwork/Rpackages/WGCNA/  ,,34
0,https://github.com/NachoSoto/swift-genetics.git,First attempt at Genetics Programming (in Swift),,34
0,https://github.com/silastittes/shiny_popgen.git,Shiny apps for teaching Population Genetics,,33
0,https://github.com/pystatgen/sgkit.git,Statistical genetics toolkit,"genetics,statistical-genetics,gwas,pydata,statgen,popgen",29
0,https://github.com/ekfchan/evachan.org-Rscripts.git,Handy genetics-related R scripts,,26
0,https://github.com/tomclegg/get-evidence.git,"Genotype + Environment = Trait Evidence (GET-E) Database: help the Personal Genome Project, the clinical genetics community, and, the general public interpret individual genomes.",,26
0,https://github.com/vinuesa/get_phylomarkers.git,"A pipeline to select optimal markers for microbial phylogenomics, population genetics and genomic taxonomy","phylogenomics,population-genetics,phylogenomics-pipeline,species-trees,markers,genomics,pipeline,phylogenetics,phylogenetic-trees,codon-alignment,maximum-likelihood,orthologues,species-delimitation,microbiology,core-genome,perl,r,bash,clock-hypothesis,recombination",25
0,https://github.com/TheUnderTaker11/GeneticsReborn.git,A remake of the loved Advanced Genetics mod from 1.7.10,,23
0,https://github.com/BoPeng/simuPOP.git,A general-purpose forward-time population genetics simulation environment.,,21
0,https://github.com/biom262/cmm262-2020.git,Quantitative Methods in Genetics and Genomics Course 2020,,20
0,https://github.com/arvkevi/ezancestry.git,Visualize your personal genetics data,"genomics,genomics-visualization,personal-genomics,streamlit,data-visualization,dimensionality-reduction,ancestry,genotypes",19
0,https://github.com/eriqande/sisg_mcmc_course.git,Lecture notes for Eric Anderson and Matthew Stephens SISG course on MCMC for Statistical Genetics,,19
0,https://github.com/tiagoantao/genomics-notebooks.git,IPython notebooks to teach Genomics and Population Genetics,,19
0,https://github.com/kundajelab/training_camp.git,Genetics training camp,,18
0,https://github.com/emmanuelparadis/pegas.git,Population and Evolutionary Genetics Analysis System,,18
0,https://github.com/NESCent/r-popgen-hackathon.git,"Population Genetics Hackathon, to be held at NESCent on March 16-20, 2015",,18
0,https://github.com/vector-engineering/covidcg.git,A COVID-19 CoV Genetics (CG) browser to inform therapeutics development,covid-19,17
0,https://github.com/paubellot/DL-Biobank.git,"Can deep learning improve genomic prediction of complex human traits? by Pau Bellot, Gustavo de los Campos, Miguel Pérez-Enciso, Genetics","deep-learning,genomic-prediction",17
0,https://github.com/kkeenan02/diveRsity.git,"diveRsity: A comprehensive, general purpose population genetics analysis package.",,17
0,https://github.com/Computational-Intelligence-Fall18/Genetics.git,"Genetics (Initialization, Selection, Crossover, Mutation)","computational-intelligence,python,genetics,mutation,crossover,selection,heuristics,mutations,pseudo-random,population,chromosome",16
0,https://github.com/mfumagalli/ngsPopGen.git,Population genetics analyses from NGS data,,16
0,https://github.com/joonanlab/BSMS205_2020Spring.git,BSMS205 Genetics,,15
0,https://github.com/harrisonlab/popgen.git,Population genetics analyses,,15
0,https://github.com/tobyjohnson/gtx.git,Genetics ToolboX R package,,14
0,https://github.com/opentargets/genetics-finemapping.git,Fine-mapping pipeline for Open Targets Genetics,,14
0,https://github.com/kelleyharris/Inferring-demography-from-IBS.git,A python framework for inferring demography from tracts of identity by state as reported in PLoS Genetics by Harris and Nielsen (2013),,14
0,https://github.com/NESCent/popgenInfo.git,Vignettes for Population Genetics in R,,13
0,https://github.com/argriffing/eigensoft.git,principal components population genetics analysis on linux,,13
0,https://github.com/UMCUGenetics/NextflowModules.git,UMCU Genetics Nextflow modules,,13
0,https://github.com/opentargets/genetics-app.git,Open Targets Genetics UI,"react,front-end",13
0,https://github.com/heykeetae/AwesomeImagingGenetics.git,A comprehensive repository for datasets and papers in Imaging Genetics.,,13
0,https://github.com/bcm-uga/TESS3_encho_sen.git,TESS3 is a fast and efficient program for estimating spatial population structure based on geographically constrained non-negative matrix factorization and population genetics.,,13
0,https://github.com/felipealbrecht/Genoogle.git,"Genoogle is a software for fast similar DNA sequence searching. It is a full functional similar genetics searching tool, having a text mode interface with simple scripting language, web interface, and web service interface. Genoogle is fast, easy and completely free. More info at https://www.evernote.com/pub/felipealbrecht/genoogle and http://arxiv.org/abs/1507.02987",,13
0,https://github.com/Flavia95/VGpop.git,Population genetics analysis on VG,"odgi,graphs,gfa",12
0,https://github.com/mfumagalli/Copenhagen.git,Analysis of genotyping and next-generation sequencing data in medical and population genetics,,12
0,https://github.com/sinarueeger/statistical-genetics-resources.git,"Resources (software, data, research article) in the field of statistical genetics","resources,statistical-genetics,guides",12
