,Url,Description,Topics,Stars
0,https://github.com/qgis/QGIS.git,"QGIS is a free, open source, cross platform (lin/win/mac) geographical information system (GIS)",,4609
0,https://github.com/domlysz/BlenderGIS.git,Blender addons to make the bridge between Blender and geographic data,"blender,addon,geospatial,gis,shapefile,delaunay-triangulation,raster,openstreetmap,python,dem,3dgis,map,geodata,georeferencing,importexport,3d,terrain-model,basemap,3d-map",3828
0,https://github.com/geopandas/geopandas.git,Python tools for geographic data,,2616
0,https://github.com/huiyan-fe/mapv.git,a library of geography visualization-地理信息可视化库,,2294
0,https://github.com/Torann/laravel-geoip.git,Determine the geographical location of website visitors based on their IP addresses.,,1766
0,https://github.com/delight-im/FreeGeoDB.git,Free database of geographic place names and corresponding geospatial data,,1576
0,https://github.com/locationtech/geotrellis.git,GeoTrellis is a geographic data processing engine for high performance applications.,,1135
0,https://github.com/carmen-ruby/carmen.git,A repository of geographic regions for Ruby,"ruby,countries,geographic-data,iso3166",1127
0,https://github.com/andrea-cuttone/geoplotlib.git,python toolbox for visualizing geographical data and making maps,,914
0,https://github.com/d3/d3-geo-projection.git,Extended geographic projections for d3-geo.,,911
0,https://github.com/lensh/vue-qq.git,"🎨  Vue family bucket with socket.io and express/koa2 , create a web version of mobile QQ, supporting real-time group chat, real-time private chat, special care, shielding chat,  smart IP geographic location, real-time display  temperature  and other QQ core functions","vue2,vuex,vue-router,axios,koa2,socket-io,es6,es7,webpack2,node,async-await,mysql,express,html5,css3,es8",870
0,https://github.com/openwisp/django-rest-framework-gis.git,Geographic add-ons for Django REST Framework. Maintained by the OpenWISP Project.,"django,django-rest-framework,gis,python,geojson,hacktoberfest",841
0,https://github.com/Toblerity/Fiona.git,Fiona reads and writes geographic data files,"python,gis,vector,gdal,ogr,cli,cython",805
0,https://github.com/kellydunn/golang-geo.git,Geographical calculations in Go.,,757
0,https://github.com/mapbox/geobuf.git,A compact binary encoding for geographic data.,,740
0,https://github.com/d3/d3-geo.git,"Geographic projections, spherical shapes and spherical trigonometry.",,722
0,https://github.com/cjheath/geoip.git,"{""The Ruby gem for querying Maxmind.com's GeoIP database, which returns the geographic location of a server given its IP address""}",,696
