,Url,Description,Topics,Stars
0,https://github.com/cgre-aachen/gempy.git,"GemPy is an open-source, Python-based 3-D structural geological modeling software, which allows the implicit (i.e. automatic) creation of complex geological models from interface and orientation data. It also offers support for stochastic modeling to adress parameter and model uncertainties.","uq,bayesian,interpolation,geology,modeling,python,uncertainty-analysis,theano,uncertainties,complex-geological-models,monte-carlo-simulation,implicit,geological,geoscience",429
0,https://github.com/geodynamics/specfem3d.git,"SPECFEM3D_Cartesian simulates acoustic (fluid), elastic (solid), coupled acoustic/elastic, poroelastic or seismic wave propagation in any type of conforming mesh of hexahedra (structured or not). It can for instance model seismic waves propagating in sedimentary basins or any other regional geological model following earthquakes. It can also be used for non destructive testing or for ocean acoustics.",,198
0,https://github.com/mahmoud/lithoxyl.git,"Application instrumentation and logging, with a geological bent.","composability,logging,instrumentation,performance,pythonic,python",141
0,https://github.com/GeoPyTool/GeoPyTool.git,An application based on Python and designed as a solution for geology related daily work.,"geology,python,chemistry,structual,geochemistry,sedim,sedimentary,cugb",138
0,https://github.com/eleanorlutz/mars_geology_atlas_of_space.git,Code and instructions for making a geologic map of Mars,"cartography,dataviz,astronomy,mars,geology",126
0,https://github.com/usgs/best-practices.git,Documents best practices for software development within the U.S. Geological Survey,,58
0,https://github.com/ringmesh/RINGMesh.git,RINGMesh is a C++ open-source platform for manipulating meshes of geological models.,"brep,mesh,geology,geomodeling,geoscience,geological-models",57
0,https://github.com/ondrolexa/apsg.git,Structural geology package for Python,"python,structural-geology",50
0,https://github.com/dhale/ipf.git,Seismic image processing for geologic faults,,47
0,https://github.com/eleanorlutz/moon_geology_atlas_of_space.git,"Code, data, and instructions for mapping the geology of the moon","cartography,dataviz,astronomy,geology",43
0,https://github.com/cgre-aachen/pynoddy.git,"pynoddy is a python package to write, change, and analyse kinematic geological modelling simulations performed with Noddy.","noddy,python,geological-modeling,geology,kinematic-modeling",40
0,https://github.com/davenquinn/geologic-patterns.git,FGDC geologic map patterns for the web,,39
0,https://github.com/innstereo/innstereo.git,An open source stereographic plotting program for structural geology and based on Mplstereonet.,,37
0,https://github.com/AbnormalDistributions/landsat8_scene_calculator.git,"Creates NDVI, SAVI, RBG, NIR, short wave infrared, agriculture, geology, and bathymetric GeoTIFF files using Landsat8 imagery.","scene,geotiffs,nir,gis,spatial-analysis,geographical-information-system,savi,infrared,bathymetry",37
0,https://github.com/afrigeri/geologic-symbols-qgis.git,Geologic symbols library and development for QGIS,"geology,mapping,qgis,gis,symbology,symbols,planetary-science,earth-science",34
0,https://github.com/oitsjustjose/Geolosys.git,"A logical, geological system in Minecraft",,31
0,https://github.com/rclark/geocarto.git,CartoCSS representation of the FGDC Cartographic Standard for Geologic Maps,,31
0,https://github.com/joferkington/geo_image_processing_tutorial.git,Transform 2020 Geologic Image Processing Tutorial,,30
0,https://github.com/usgs/gems-tools-arcmap.git,Tools for working with the GeMS geologic map database schema in ArcGIS,,26
0,https://github.com/frizatch/2DGeology_in_QGIS.git,Workshop for QGIS NA 2020 introducing geologic maps and cross-sections to the geology hobbyist,,25
0,https://github.com/UW-Macrostrat/geo-timescale.git,A D3.js-based geologic time scale that utilizes the Paleobiology Database,,24
0,https://github.com/MichaelHillier/surfe.git,Surface modelling engine for geological applications,,20
0,https://github.com/ethoms-usgs/Cross-Section.git,Geoprocessing tools for working with geologic cross-sections in ArcGIS,,20
0,https://github.com/david-wilson/colorado-geology-geodjango.git,"{""This is a simple GeoDjango app that uses Colorado geologic data to show the surface geologic unit for the user's location.""}",,20
0,https://github.com/rolandhill/geoscience.git,QGIS plugin for geology and exploration. Drill hole desurvey/display and other utilities.,"qgis,qgis-plugin,geology,drill,drilling,exploration,bore,borehole",20
0,https://github.com/acfaruk/proc-rock.git,Procedural Generation of Realistic-looking Rocks using Geological and Visual Clues,"procedural-generation,mesh-processing,3d-graphics,3d-models,cpp,computer-graphics",20
0,https://github.com/LukasMosser/geogan.git,Conditioning of three-dimensional geological and pore scale generative adversarial networks,"generative-adversarial-network,conditional-gan,geophysics,geology,hydrology",19
0,https://github.com/rgmyr/corebreakout.git,Segmentation and depth-alignment of geological core sample image columns via Mask-RCNN,,17
0,https://github.com/cossatot/slip_rate_calculator.git,Python-based tool for calculating slip rates w/ uncertainties from PDFs of age and offset for geologic features cut by faults.,,16
0,https://github.com/italo-goncalves/geomod3D.git,Implicit 3D geological modeling and geostatistics,"geostatistics,implicit-modeling",15
0,https://github.com/lachlangrose/GeoTrace.git,QGIS Plugin for Semi-Automatic Geological Feature Extraction ,,15
0,https://github.com/mohitkumarahuja/Underwater-Image-Enhancement-by-Wavelength-Compensation-and-Dehazing.git,"ACQUIRING clear images in underwater environments is an important issue in ocean engineering. The quality of underwater images plays a pivotal role in scientific missions such as monitoring sea life, taking census of populations, and assessing geological or biological environments. Capturing images underwater is challenging, mostly due to haze caused by light that is reflected from a surface and is deflected and scattered by water particles, and colour change due to varying degrees of light attenuation for different wavelengths. Light scattering and colour change result in contrast loss and colour deviation in images acquired underwater.",,15
0,https://github.com/cdgiessen/ContourLines.git,Generates Contour Lines from USGS geological survey data,"graphics,opengl,contours,usgs",14
0,https://github.com/DrPlantabyte/Minecraft_Mineralogy.git,A geology-inspired mod for Minecraft that adds various types of real-world rocks.,,14
0,https://github.com/ICWallis/fractoolbox.git,"Python tools for structural geology and borehole image analysis which includes data handling, frequency and geometric analysis, and reservoir geomechanics.   ","geology,structural-geology,fracture-mechanics,fracture,fractures,geomechanics,borehole-image-analysis,python,mplstereonet,geothermal",14
0,https://github.com/ReikaKalseki/GeoStrata.git,A realistic geological world-gen mod.,,13
0,https://github.com/WuZixing/Geo3DML.git,Geo3DML: Three-Dimensional Geological Model Markup Language,,13
0,https://github.com/StraboSpot/strabo-mobile.git,Cross-platform mobile application for geologic field data acquisition.,,13
0,https://github.com/mauroalberti/qProf.git,"Python plugin for QGIS, to create topographic and geological profiles","qgis-plugin,python-plugin,geological-profiles,structural-geology,earth-sciences,geology,cross-section",13
0,https://github.com/msahamed/semantic_segmentation_satellite_image.git,This repository contains all the codes and data for semantic geologic segmentation of Landsat 8 images ,"satellite-imagery,machine-learning,convolutional-neural-networks,deep-neural-networks,gis,gdal",13
0,https://github.com/Python-for-geo-people/Course-information.git,Information about the Python lessons used in the Introduction to Quantitative Geology and Automating GIS processes courses at the University of Helsinki - MATERIALS FOR FUTURE VERSIONS OF THE COURSE AVAILABLE AT THE FOLLOWING SITE,,13
0,https://github.com/LukasMosser/stochastic_seismic_waveform_inversion.git,"Official Implementation of ""Stochastic seismic waveform inversion using generative adversarial networks as a geological prior""","generative-adversarial-network,geophysics,machine-learning,bayesian-inference",12
