,Url,Description,Topics,Stars
0,https://github.com/hammerjs/hammer.js.git,A javascript library for multi-touch gestures :// You can touch this,,22300
0,https://github.com/Baseflow/PhotoView.git,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",,17689
0,https://github.com/framer/motion.git,"Open source, production-ready animation and gesture library for React",,11148
0,https://github.com/taye/interact.js.git,"JavaScript drag and drop, resizing and multi-touch gestures with inertia and snapping for modern browsers (and also IE9+)","drag-and-drop,inertia,snap,vanilla,javascript,multi-touch,drop,typescript,modern-browsers,javascript-drag,mobile,touch",10137
0,https://github.com/ikew0ng/SwipeBackLayout.git,An Android library that help you to build app with swipe back gesture.,,6099
0,https://github.com/forkingdog/FDFullscreenPopGesture.git,"{""A UINavigationController's category to enable fullscreen pop gesture with iOS7+ system style.""}",,5820
0,https://github.com/pmndrs/react-use-gesture.git,👇Bread n butter utility for component-tied mouse/touch gestures in React,"gestures,hooks,drag,pinch,zoom,wheel,scroll,react",4574
0,https://github.com/software-mansion/react-native-gesture-handler.git,Declarative API exposing platform native touch and gesture system to React Native.,"react-native,gesture,javascript",4054
0,https://github.com/natario1/CameraView.git,"📸 A well documented, high-level Android interface that makes capturing pictures and videos easy, addressing all of the common issues and needs. Real-time filters, gestures, watermarks, frame processing, RAW, output of any size.","android,camera,camera-api,high-level,android-library,opengl,camera-control,capture-video,picture,camera-preview,cameraview,camera2-api,camera2,watermarks,frame-processing,real-time-filter,filters,realtime-filter,raw,raw-image",3810
0,https://github.com/ivanvorobei/SwiftUI.git,"Examples projects using SwiftUI released by WWDC2019. Include Layout, UI, Animations, Gestures, Draw and Data.",,3183
0,https://github.com/AlloyTeam/AlloyFinger.git,Super tiny size multi-touch gestures library for the web. \u3000\u3000\u3000You can touch this →,"touch,gesture,alloyfinger,finger",3173
0,https://github.com/bulletmark/libinput-gestures.git,Actions gestures on your touchpad using libinput,"libinput,gestures,touchpad",2992
0,https://github.com/osdnk/react-native-reanimated-bottom-sheet.git,Highly configurable bottom sheet component made with react-native-reanimated and react-native-gesture-handler,,2785
