,Url,Description,Topics,Stars
0,https://github.com/mockery/mockery.git,"Mockery is a simple yet flexible PHP mock object framework for use in unit testing with PHPUnit, PHPSpec or any other testing framework. Its core goal is to offer a test double framework with a succinct API capable of clearly defining all possible object operations and interactions using a human readable Domain Specific Language (DSL).","mockery,phpunit,php,stub,mock,mocking,test-doubles",9806
0,https://github.com/HabitRPG/habitica.git,A habit tracker app which treats your goals like a Role Playing Game.,"habitica,javascript,node,nodejs,mongodb,vue,vuejs,express,css,html",8325
0,https://github.com/slim-template/slim.git,Slim is a template language whose goal is to reduce the syntax to the essential parts without becoming cryptic.,"slim,ruby,template-engines",5037
0,https://github.com/samyk/evercookie.git,"Produces persistent, respawning ""super"" cookies in a browser, abusing over a dozen techniques. Its goal is to identify users after they\'ve removed standard cookies and other privacy data such as Flash cookies (LSOs), HTML5 storage, SilverLight storage, and others.",,4003
0,https://github.com/hybridauth/hybridauth.git,"Open source social sign on PHP Library. HybridAuth goal is to act as an abstract api between your application and various social apis and identities providers such as Facebook, Twitter and Google.","php,social-login,social-networks,facebook,twitter,google,hybridauth",3168
0,https://github.com/AutoFixture/AutoFixture.git,"{""AutoFixture is an open source library for .NET designed to minimize the 'Arrange' phase of your unit tests in order to maximize maintainability. Its primary goal is to allow developers to focus on what is being tested rather than how to setup the test scenario, by making it easier to create object graphs containing test data.""}",,2276
0,https://github.com/shreyashankar/gpt3-sandbox.git,The goal of this project is to enable users to create cool web demos using the newly released OpenAI GPT-3 API with just a few lines of Python.,,2103
0,https://github.com/sarxos/webcam-capture.git,"The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one, which contains required classes, build-in webcam driver compatible with Windows, Linux and Mac OS, which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone, but user is able to replace build-in driver with different one - such as OpenIMAJ, GStreamer, V4L4j, JMF, LTI-CIVIL, FMJ, etc.","webcam,java,webcam-capture",1864
0,https://github.com/Lemoncode/react-typescript-samples.git,"The goal of this project is to provide a set of simple samples, providing and step by step guide to start working with React and Typescript.",,1594
0,https://github.com/openemr/openemr.git,"{""OpenEMR is the most popular open source electronic health records and medical practice management solution. OpenEMR's goal is a superior alternative to its proprietary counterparts.""}","openemr,practice-management,emr,ehr,php,linux,windows,osx,healthcare,hit,medical,health,sponsors,international,proprietary-counterparts,medical-informatics,medical-information,medical-records,fhir,global-health",1559
0,https://github.com/tmsmith/Dapper-Extensions.git,"Dapper Extensions is a small library that complements Dapper by adding basic CRUD operations (Get, Insert, Update, Delete) for your POCOs. For more advanced querying scenarios, Dapper Extensions provides a predicate system. The goal of this library is to keep your POCOs pure by not requiring any attributes or base class inheritance.",,1473
0,https://github.com/onejgordon/flow-dashboard.git,"A goal, task & habit tracker + personal dashboard to focus on what matters","quantified-self,personal-data,habit-tracking,reactjs,gcp,google-appengine,task-management,google-assistant,facebook-messenger,flow,google-fit,goodreads",1398
0,https://github.com/texstudio-org/texstudio.git,TeXstudio is a fully featured LaTeX editor. Our goal is to make writing LaTeX documents as easy and comfortable as possible.,"texstudio,latex,editor,ide,latex-editor,tex",1362
0,https://github.com/microsoft/EconML.git,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variable(s) t on an outcome variable y, controlling for a set of features x.","machine-learning,economics,causal-inference,causality,econometrics,treatment-effects",1344
0,https://github.com/deependersingla/deep_trader.git,This project uses reinforcement learning on stock market and agent tries to learn trading. The goal is to check if the agent can learn to read tape. The project is dedicated to hero in life great Jesse Livermore. ,,1342
0,https://github.com/google/swiftshader.git,SwiftShader is a high-performance CPU-based implementation of the Vulkan graphics API. Its goal is to provide hardware independence for advanced 3D graphics.,,1236
0,https://github.com/api0cradle/UltimateAppLockerByPassList.git,The goal of this repository is to document the most common techniques to bypass AppLocker. ,"applocker,bypass,awl,rules,redteam,blueteam,purpleteam",1220
0,https://github.com/ionescu007/SimpleVisor.git,"SimpleVisor is a simple, portable, Intel VT-x hypervisor with two specific goals: using the least amount of assembly code (10 lines), and having the smallest amount of VMX-related code to support dynamic hyperjacking and unhyperjacking (that is, virtualizing the host state from within the host). It works on Windows and UEFI.",,1177
0,https://github.com/sevagas/macro_pack.git,"macro_pack is a tool by @EmericNasi used to automatize obfuscation and generation of Office documents, VB scripts, shortcuts, and other formats for pentest, demo, and social engineering assessments. The goal of macro_pack is to simplify exploitation, antimalware bypass, and automatize the process from malicious macro and script generation to final document generation. It also provides a lot of helpful features useful for redteam or security research. ","pentest,social-engineering,vba,obfuscation,redteam,msoffice,macros,meterpreter",1172
0,https://github.com/Sergio0694/ComputeSharp.git,"A .NET 5 library to run C# code in parallel on the GPU through DX12 and dynamically generated HLSL compute shaders, with the goal of making GPU computing easy to use for all .NET developers! 🚀","csharp,netstandard,dotnet-core,directx,gpu,hlsl,hlsl-shader,visual-studio,library,performance,gpgpu,computing,shader,nuget",1058
0,https://github.com/Garderoben/MudBlazor.git,"Blazor Component Library based on Material design. The goal is to do more with Blazor, utilizing CSS and keeping Javascript to a bare minimum.","blazor,material,netcore,wasm,blazor-components,blazor-server,blazor-client,blazor-webassembly",1051
0,https://github.com/fanglingsu/vimb.git,"Vimb - the vim like browser is a webkit based web browser that behaves like the vimperator plugin for the firefox and usage paradigms from the great editor vim. The goal of vimb is to build a completely keyboard-driven, efficient and pleasurable browsing-experience.","browser,vim,webkit2gtk,webkit2",981
0,https://github.com/atom0s/Steamless.git,Steamless is a DRM remover of the SteamStub variants.  The goal of Steamless is to make a single solution for unpacking all Steam DRM packed files. Steamless aims to support as many games as possible. ,"drm,steam,steamstub-drm",805
0,https://github.com/luyadev/luya.git,"LUYA is a scalable web framework and content management system with the goal to please developers, clients and users alike.","php,luya,yii2,angular,rest-api,javascript,cms,admin,bootstrap4,hacktoberfest",745
0,https://github.com/EdwinVW/pitstop.git,"This repo contains a sample application based on a Garage Management System for Pitstop - a fictitious garage. The primary goal of this sample is to demonstrate several software-architecture concepts like: Microservices, CQRS, Event Sourcing, Domain Driven Design (DDD), Eventual Consistency.","microservices-architecture,cqrs,event-driven,event-sourcing,ddd,sample-app,message-broker,netcore,docker,docker-compose,rabbitmq,web-api,asp-net-core-mvc,eventual-consistency,kubernetes,istio,service-mesh,linkerd,microservices",744
0,https://github.com/emil-e/rapidcheck.git,QuickCheck clone for C++ with the goal of being simple to use with as little boilerplate as possible.,,735
0,https://github.com/dgtlmoon/changedetection.io.git,"changedetection.io - The best and simplest self-hosted website change detection monitoring service. An alternative to Visualping, Watchtower etc. Designed for simplicity - the main goal is to simply monitor which websites had a text change. Open source web page change detection.","website-monitor,website-monitoring,change-detection,visualping,monitoring,watchtower,docker,self-hosted,change-alert,page-change-alert,change-monitoring,website-change-monitor,open-source,url-monitor,changedetection,website-change-detector,website-change-detection",717
0,https://github.com/Karumi/KataSuperHeroesAndroid.git,Super Heroes Kata for Android Developers. The main goal is to practice UI Testing.,"espresso,dagger,android,marvel,testing,training",683
0,https://github.com/AngoraFuzzer/Angora.git,Angora is a mutation-based fuzzer.  The main goal of Angora is to increase branch coverage by solving path constraints without symbolic execution. ,"fuzzing,security,fuzzer,afl,symbolic-execution,taint-analysis,data-flow-analysis",681
0,https://github.com/luxkun/ReGoap.git,Generic C# GOAP (Goal Oriented Action Planning) library with Unity3d examples,"unity,goap,ai,gamedev",631
0,https://github.com/nuovo/spreadsheet-reader.git,"A PHP spreadsheet reader (Excel XLS and XLSX, OpenOffice ODS, and variously separated text files) with a singular goal of getting the data out, efficiently",,627
