,Url,Description,Topics,Stars
0,https://github.com/hasura/graphql-engine.git,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.","graphql,graphql-server,postgres,hasura,access-control,automatic-api,hacktoberfest",21711
0,https://github.com/kriasoft/react-starter-kit.git,"React Starter Kit — isomorphic web app boilerplate (Node.js, Express, GraphQL, React.js, Babel, PostCSS, Webpack, Browsersync)","react,javascript,graphql,boilerplate,reactjs,webpack,babel,browsersync,flux,redux,nodejs,ssr,i18n",20706
0,https://github.com/graphql/graphql-js.git,A reference implementation of GraphQL for JavaScript,"graphql,graphql-js",17621
0,https://github.com/marmelab/react-admin.git,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6, React and Material Design","material-ui,react,frontend-framework,rest,admin,admin-dashboard,single-page-app,admin-on-rest,react-admin",16817
0,https://github.com/Kong/insomnia.git,"The Open Source API Client and Design Platform for GraphQL, REST and gRPC","electron-app,rest-api,api-client,curl,http-client,graphql,api-design,api,grpc",16327
0,https://github.com/apollographql/apollo-client.git,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server","graphql,graphql-client,typescript,apollo-client,apollographql",16111
0,https://github.com/dgraph-io/dgraph.git,Native GraphQL Database with graph backend,"graph-database,database,distributed,throughput,latency,production,golang,graphdb,go,scale,graphql,graphql-server",16055
0,https://github.com/graphql/graphql-spec.git,GraphQL is a query language and execution engine tied to any backend service.,,13306
0,https://github.com/chentsulin/awesome-graphql.git,Awesome list of GraphQL & Relay,"awesome-list,awesome,list,graphql,relay",12615
0,https://github.com/graphql/graphiql.git,GraphiQL & the GraphQL LSP Reference Ecosystem for building browser & IDE tools.,"graphql,graphiql",12129
0,https://github.com/apollographql/apollo-server.git,"🌍 GraphQL server for Express, Connect, Hapi, Koa and more","graphql,graphql-server,express-graphql,express,koa,hapi,node,restify,apollographql,graphql-schema,resolvers",11430
0,https://github.com/reactioncommerce/reaction.git,"Reaction is an API-first, headless commerce platform built using Node.js, React, GraphQL. Deployed via Docker and Kubernetes. ","ecommerce-platform,ecommerce,commerce,reactioncommerce,e-commerce,javascript,cart,shop,storefront,marketplace,docker,mongodb,headless,graphql,reaction-action",11275
0,https://github.com/spree/spree.git,"Open Source multi-language/multi-currency/multi-store E-commerce platform for Ruby on Rails with a modern UX, PWA frontend, REST API, GraphQL, several official extensions, and 3rd party integrations. ","spree,spreecommerce,rails,ecommerce,e-commerce,ruby,rubyonrails,cart,headless-commerce,ecommerce-platform,store,shop,spree-commerce,graphql",11243
0,https://github.com/mirumee/saleor.git,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.","python,e-commerce,django,storefront,store,commerce,shop,ecommerce-storefront,ecommerce,cart,ecommerce-platform,react,pwa,graphql,headless,headless-ecommerce,headless-commerce,hacktoberfest,multichannel",11086
0,https://github.com/directus/directus.git,Open-Source Data Platform 🐰  — Directus wraps any SQL database with a real-time GraphQL+REST API and an intuitive app for non-technical users.,"api,cms,graphql,content,app,database,dashboard,vue,sqlite,mysql,postgresql,mssql,oracle,directus,headless,realtime,node,headless-cms",10892
0,https://github.com/graphile/postgraphile.git,Execute one command (or mount one Node.js middleware) and get an instant high-performance GraphQL API for your PostgreSQL database!,"graphql,postgres,typescript,postgraphql,schema,graphql-api,automatic-api,graphile,graphql-js,pg,pgsql,postgresql,api,nodejs,node,express,koa2,koa,http,instant",10255
0,https://github.com/relax/relax.git,"New generation CMS on top of React, Redux and GraphQL",,8283
0,https://github.com/VulcanJS/Vulcan.git,"🌋 A toolkit to quickly build apps with React, GraphQL & Meteor","react,graphql,meteor,server-rendering,toolkit,hacktoberfest",8014
0,https://github.com/graphql-go/graphql.git,An implementation of GraphQL for Go / Golang,"graphql,graphql-go,subscriptions",7639
0,https://github.com/howtographql/howtographql.git,The Fullstack Tutorial for GraphQL,"graphql,tutorial,apollographql,prisma",7575
0,https://github.com/graphql/graphql-playground.git,"🎮  GraphQL IDE for better development workflows (GraphQL Subscriptions, interactive docs & collaboration)","graphql,ide,graphiql,prisma,graphql-playground",7202
0,https://github.com/dotansimha/graphql-code-generator.git,"A tool for generating code based on a GraphQL schema and GraphQL operations (query/mutation/subscription), with flexible support for custom plugins. ","graphql,typescript,schema,code-generator,graphql-schema,codegen,resolvers,react,angular,csharp,java,android",6860
0,https://github.com/api-platform/api-platform.git,"Create REST and GraphQL APIs, scaffold Jamstack webapps, stream changes in real-time.","api,framework,rest,graphql,json-ld,hydra-api,hypermedia-api,hypermedia-client,symfony,symfony-bundle,react,javascript,php,graphql-server,graphql-api,vulcain,mercure,openapi,vue,jamstack",6678
0,https://github.com/graphql-python/graphene.git,GraphQL framework for Python,"graphql,python,relay,framework,graphene",6570
0,https://github.com/quicktype/quicktype.git,"Generate types and converters from JSON, Schema, and GraphQL","json,typescript,json-schema,elm,java,swift,graphql,csharp,cplusplus,golang,objective-c,rust,kotlin",6426
0,https://github.com/dotansimha/graphql-yoga.git,"🧘 Fully-featured GraphQL Server with focus on easy setup, performance & great developer experience","graphql,graphql-server,graphql-subscriptions,apollo-server",6390
0,https://github.com/TykTechnologies/tyk.git,"Tyk Open Source API Gateway written in Go, supporting REST, GraphQL, TCP and gRPC protocols","go,api,api-management,api-gateway,tyk,microservices,kubernetes,k8s,graphql,grpc,cloudnative,reverse-proxy",6260
0,https://github.com/MichalLytek/type-graphql.git,"Create GraphQL schema and resolvers with TypeScript, using classes and decorators!","graphql,typescript,decorators,api,controllers,schema,gql,resolvers,graphql-js,graphql-schema",6257
0,https://github.com/APIs-guru/graphql-voyager.git,🛰️ Represent any GraphQL API as an interactive graph,"graphql,api-documentation,visualization,graphviz,graphql-tools",6068
0,https://github.com/99designs/gqlgen.git,go generate based graphql server library,"graphql,subscriptions,schema-first,codegen,gogenerate,golang,dataloader",5977
0,https://github.com/graphql/express-graphql.git,Create a GraphQL HTTP server with Express.,"graphql,express-graphql,express-middleware",5929
0,https://github.com/FormidableLabs/urql.git,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,"graphql,graphql-client,formidable,exchange,graphql-clients,complex-apps",5873
0,https://github.com/mswjs/msw.git,Seamless REST/GraphQL API mocking library for browser and Node.js.,"msw,mock,mocking-framework,service-worker,mock-service-worker,mocking,mocking-library,api-mocking,devtools",5823
0,https://github.com/vuejs/vue-apollo.git,🚀 Apollo/GraphQL integration for VueJS,"vuejs2,apollographql,graphql,vuejs,vue,vue2",5339
0,https://github.com/learnapollo/learnapollo.git,👩🏻\u200d🏫   Learn Apollo - A hands-on tutorial for Apollo GraphQL Client (created by Graphcool),"apollo,graphql,tutorial,react,angular-2,vue,exponent,react-native,ios,apollographql,apollo-ios,graphcool",5283
0,https://github.com/graphql-editor/graphql-editor.git,📺 Visual Editor & GraphQL IDE. Draw GraphQL schemas using visual 🔷 nodes and explore GraphQL API with beautiful UI. Even 🐒 can do that!,"graphql,editor,playground,sandbox,tools,tutorial,learn,ide,ui,react",5201
0,https://github.com/graphql-java/graphql-java.git,GraphQL Java implementation,"graphql,graphql-java,java",4969
0,https://github.com/graphql-dotnet/graphql-dotnet.git,GraphQL for .NET,"graphql,graphql-dotnet,api,graphiql,dotnet-core",4774
0,https://github.com/rmosolgo/graphql-ruby.git,Ruby implementation of GraphQL ,"ruby,graphql,relay,rails,graphql-ruby",4700
0,https://github.com/webiny/webiny-js.git,"Platform for building serverless applications and APIs (Node.js, React, GraphQL)","graphql,react,serverless,nodejs,cms,microservice,javascript,typescript,lambda,spa,lambda-functions,cloud,serverless-framework,serverless-architectures,serverless-applications,headless-cms,aws,aws-lambda",4526
