,Url,Description,Topics,Stars
0,https://github.com/mojs/mojs.git,The motion graphics toolbelt for the web,"web,graphics,motion,toolbelt,mojs,javascript,animation,library,es6,webpack,modern,svg,design,motion-graphics,burst,swirl,shape,timeline,mo-js",16702
0,https://github.com/rough-stuff/rough.git,"Create graphics with a hand-drawn, sketchy, appearance","draw,canvas,graphics,svg,html5-canvas,svg-path",15524
0,https://github.com/fivethirtyeight/data.git,Data and code behind the articles and graphics at FiveThirtyEight,data,14752
0,https://github.com/adobe-webplatform/Snap.svg.git,The JavaScript library for modern SVG graphics.,"javascript,javascript-library,snap,svg,svg-animations",13129
0,https://github.com/paperjs/paper.js.git,"The Swiss Army Knife of Vector Graphics Scripting – Scriptographer ported to JavaScript and the browser, using HTML5 Canvas. Created by @lehni & @puckey",,12420
0,https://github.com/ssloy/tinyrenderer.git,A brief computer graphics / rendering course,"opengl,c-plus-plus,picture,graphics,software-rendering,shaders,rendering,learning,fun,images,pixels,computer-graphics,rasterizer,rendering-engine,rendering-pipeline,engine,tutorial,3d,3d-graphics,cpp",10686
0,https://github.com/bkaradzic/bgfx.git,"Cross-platform, graphics API agnostic, ""Bring Your Own Engine/Framework"" style rendering library.","engine,rendering,graphics,directx,vulkan,metal,opengl,d3d9,d3d11,d3d12,gles,webgl,glfw,sdl,gamedev,directx-11,directx-12,vulkan-api,webgpu,dawn",9356
0,https://github.com/metricsgraphics/metrics-graphics.git,A library optimized for concise and principled data graphics and layouts.,,7412
0,https://github.com/romannurik/AndroidAssetStudio.git,"{""A set of web-based tools for generating graphics and other assets that would eventually be in an Android application's res/ directory.""}",,5904
0,https://github.com/exyte/Macaw.git,Powerful and easy-to-use vector graphics Swift library with SVG support,"ios,ios-animation,drawing,graphics,svg,ui,transition,swift,animation",5603
0,https://github.com/baldurk/renderdoc.git,RenderDoc is a stand-alone graphics debugging tool.,"opengl,vulkan,vulkan-api,directx,direct3d,d3d11,d3d12,graphics-programming,graphics,debugger,renderdoc",5380
0,https://github.com/tidyverse/ggplot2.git,An implementation of the Grammar of Graphics in R,"r,visualisation,data-visualisation",4915
0,https://github.com/SixLabors/ImageSharp.git,":camera: A modern, cross-platform, 2D Graphics library for .NET","image-processing,drawing,c-sharp,jpeg,gif,bmp,png,netcore,exif,graphics,hacktoberfest",4739
0,https://github.com/spritejs/spritejs.git,A cross platform high-performance graphics system.,"webgl,webgl2,3d,2d,rendering,canvas",4469
0,https://github.com/jagenjo/webglstudio.js.git,"A full open source 3D graphics editor in the browser, with scene editor, coding pad, graph editor, virtual file system, and many features more.","3d,webgl,editor,graph-editor,scene-graph,webtool,webapp,rendering,shaders",4348
0,https://github.com/google/draco.git,Draco is a library for compressing and decompressing 3D geometric meshes and point clouds. It is intended to improve the storage and transmission of 3D graphics.,"point-cloud,3d-graphics,compression,mesh",4158
0,https://github.com/konvajs/react-konva.git,React + Canvas = Love. JavaScript library for drawing complex canvas graphics using React.,"konva,draw-graphics,react,canvas,konva-framework,visualization",3947
0,https://github.com/microsoft/DirectX-Graphics-Samples.git,This repo contains the DirectX Graphics samples that demonstrate how to build graphics intensive applications on Windows.,,3772
0,https://github.com/jagregory/abrash-black-book.git,"{""Markdown source for Michael Abrash's Graphics Programming Black Book""}",,3762
0,https://github.com/ssloy/tinyraytracer.git,A brief computer graphics / rendering course,"c-plus-plus,graphics,software-renderer,shaders,rendering,learning,fun,images,computer-graphics,rendering-engine,tutorial,3d,3d-graphics,cpp,raytracer,raytracing,raytracing-engine",3753
0,https://github.com/mosra/magnum.git,Lightweight and modular C++11 graphics middleware for games and data visualization,"c-plus-plus-11,opengl,webgl,emscripten,ios,android,graphics-engine,game-engine,c-plus-plus,gamedev,cmake,glfw,sdl,magnum,webassembly,vulkan,3d,game,graphics,spir-v",3486
