,Url,Description,Topics,Stars
0,https://github.com/airbnb/javascript.git,JavaScript Style Guide,"javascript,eslint,naming-conventions,arrow-functions,style-guide,style-linter,es6,es2015,linting,styleguide,es2016,es2017,es2018,tc39",108946
0,https://github.com/open-guides/og-aws.git,📙 Amazon Web Services — a practical guide,,29459
0,https://github.com/google/styleguide.git,Style guides for Google-originated open-source projects,"cpplint,styleguide,style-guide",27661
0,https://github.com/codepath/android_guides.git,Extensive Open-Source Guides for Android Developers,"android,guides,tutorials,codepath,development",27382
0,https://github.com/standard/standard.git,"🌟 JavaScript Style Guide, with linter & automatic code fixer","eslint,javascript,linter,style-guide,static-code-analysis,development,ecmascript,standard,es6,nodejs",25487
0,https://github.com/johnpapa/angular-styleguide.git,Angular Style Guide: A starting point for Angular development teams to provide consistency through good practices.,,24165
0,https://github.com/alebcay/awesome-shell.git,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php.","awesome-list,awesome,list,zsh,fish,bash,cli,shell",21421
0,https://github.com/MostlyAdequate/mostly-adequate-guide.git,Mostly adequate guide to FP (in javascript),"javascript,functional-programming,tutorial,reactive-programming",20564
0,https://github.com/usablica/intro.js.git,A better way for new feature introduction and step-by-step users guide for your website and project.,"introjs,html,javascript,guide,tour,ux",20207
0,https://github.com/FallibleInc/security-guide-for-developers.git,Security Guide for Developers (实用性开发人员安全须知),"security-checklist,security-book,security,books,api",19671
0,https://github.com/drduh/macOS-Security-and-Privacy-Guide.git,Guide to securing and improving privacy on macOS,"apple,macos,security,privacy,osx,disk-encryption,macos-setup,macos-security,macbook-security,dnscrypt-proxy,macbook-configuration",18054
0,https://github.com/rubocop/ruby-style-guide.git,A community-driven Ruby coding style guide,"ruby,style-guide,rubocop",15618
0,https://github.com/winterbe/java8-tutorial.git,Modern Java - A Guide to Java 8,"java-8,tutorial,lambda-expressions,java,stream,parallel-streams,guide,learning",14711
0,https://github.com/braydie/HowToBeAProgrammer.git,A guide on how to be a Programmer - originally published by Robert L Read,"learning,programming",14667
0,https://github.com/hoanhan101/ultimate-go.git,The Ultimate Go Study Guide,"golang,computer-systems,programming,ebook,study-guide",14255
0,https://github.com/grab/front-end-guide.git,📚 Study guide and introduction to the modern front end stack.,"front-end,grab,engineering,study-plan,javascript,css,react,redux,flowtype,css-modules,eslint,stylelint,babel,yarn,webpack,jest",13642
0,https://github.com/basarat/typescript-book.git,:books: The definitive guide to TypeScript and possibly the best TypeScript book :book:. Free and Open Source 🌹,"typescript,typescript-book,typescript-community,free,open-source",13563
0,https://github.com/interagent/http-api-design.git,HTTP API design guide extracted from work on the Heroku Platform API,,13480
0,https://github.com/rubocop/rubocop.git,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.","ruby,rubocop,linter,static-code-analysis,code-formatter",11428
0,https://github.com/petehunt/react-howto.git,Your guide to the (sometimes overwhelming!) React ecosystem.,,11417
0,https://github.com/raywenderlich/swift-style-guide.git,The official Swift style guide for raywenderlich.com.,,11391
