,Url,Description,Topics,Stars
0,https://github.com/chartjs/Chart.js.git,Simple HTML5 Charts using the <canvas> tag,"javascript,chart,html5,canvas,graph,html5-charts,hacktoberfest",53612
0,https://github.com/pixijs/pixi.js.git,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.","canvas2d,pixijs,javascript,webgl,glsl,canvas,rendering,pixi,game,renderer,rendering-engine,rendering-2d-graphics,data-visualization",32765
0,https://github.com/videojs/video.js.git,Video.js - open source HTML5 & Flash video player,"video,player,flash,hls,javascript,videojs,html,html5-video,html5-audio,html5,dash",31332
0,https://github.com/photonstorm/phaser.git,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.","phaser,phaserjs,javascript,html5-game-development,webgl,game-frameworks,game-development,gamedev,canvas,phaser-development,facebook-instant-games",29596
0,https://github.com/Modernizr/Modernizr.git,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user’s browser.,"modernizr,javascript,css3-features,javascript-library,feature-detection,hacktoberfest",24919
0,https://github.com/sampotts/plyr.git,"A simple HTML5, YouTube and Vimeo player","html5-video,youtube,vimeo,javascript,plyr",19765
0,https://github.com/bilibili/flv.js.git,HTML5 FLV Player,,19676
0,https://github.com/libgdx/libgdx.git,Desktop/Android/HTML5/iOS Java game development framework,"libgdx,java,game,cross-platform,android,ios,html5,windows,linux,macosx,2d,3d,framework",18427
0,https://github.com/eligrey/FileSaver.js.git,An HTML5 saveAs() FileSaver implementation,,16825
0,https://github.com/paperjs/paper.js.git,"The Swiss Army Knife of Vector Graphics Scripting – Scriptographer ported to JavaScript and the browser, using HTML5 Canvas. Created by @lehni & @puckey",,12421
0,https://github.com/DIYgod/DPlayer.git,":lollipop: Wow, such a lovely HTML5 danmaku video player","dplayer,video,player,danmaku,hls,flv,dash,webtorrent",11211
0,https://github.com/browserstate/history.js.git,"History.js gracefully supports the HTML5 History/State APIs (pushState, replaceState, onPopState) in all browsers. Including continued support for data, titles, replaceState. Supports jQuery, MooTools and Prototype.  For HTML5 browsers this means that you can modify the URL directly, without needing to use hashes anymore. For HTML4 browsers it will revert back to using the old onhashchange functionality.","html5-history-api,html5-history,javascript,polyfill,hashchange",10740
0,https://github.com/bradtraversy/vanillawebprojects.git,"Mini projects built with HTML5, CSS & JavaScript. No frameworks or libraries",,10217
0,https://github.com/aFarkas/html5shiv.git,This script is the defacto way to enable use of HTML5 sectioning elements in legacy Internet Explorer.,,9811
0,https://github.com/mozilla/BrowserQuest.git,A HTML5/JavaScript multiplayer game experiment,,8678
0,https://github.com/OnsenUI/OnsenUI.git,"Mobile app development framework and SDK using HTML5 and JavaScript. Create beautiful and performant cross-platform mobile apps. Based on Web Components, and provides bindings for Angular 1, 2, React and Vue.js.","onsen-ui,cordova,react,angular,monaca,hybrid-apps,javascript,webcomponents,customelements,vue,material,android,ios,html,pwa",8342
0,https://github.com/react-dropzone/react-dropzone.git,Simple HTML5 drag-drop zone with React.js.,"react,drag-and-drop,file,file-upload",8136
0,https://github.com/CreateJS/EaselJS.git,"The Easel Javascript library provides a full, hierarchical display list, a core interaction model, and helper classes to make working with the HTML5 Canvas element much easier.",,7800
0,https://github.com/mediaelement/mediaelement.git,"HTML5 <audio> or <video> player with support for MP4, WebM, and MP3 as well as HLS, Dash, YouTube, Facebook, SoundCloud and others with a common HTML5 MediaElement API, enabling a consistent UI in all browsers.","html5-audio,html5-video,hls,video,streaming,html5,flash,dash,mp4,mp3,html5-video-player",7623
0,https://github.com/tsayen/dom-to-image.git,Generates an image from a DOM node using HTML5 canvas,"canvas,html,dom,render,image,raster,vector,javascript,css,svg",7316
0,https://github.com/szimek/signature_pad.git,HTML5 canvas based smooth signature drawing,"signature,signature-pad,canvas,javascript,drawing",6997
0,https://github.com/sbstjn/timesheet.js.git,JavaScript library for HTML5 & CSS3 time sheets,"timesheet,javascript,library,chart,visualization,css,html,charting-library",6844
0,https://github.com/tiff/wysihtml5.git,Open source rich text editor based on HTML5 and the progressive-enhancement approach. Uses a sophisticated security concept and aims to generate fully valid HTML5 markup by preventing unmaintainable tag soups and inline styles.,,6575
0,https://github.com/blasten/turn.js.git,The page flip effect for HTML5,,6462
0,https://github.com/zserge/lorca.git,Build cross-platform modern desktop apps in Go + HTML5,,6331
