,Url,Description,Topics,Stars
0,https://github.com/crschmidt/haitibrowser.git,Browser for Haiti Data,,10
0,https://github.com/wonderchook/MapOSMatic.git,MapOSMatic Modifications for Haiti,,8
0,https://github.com/joshuacronemeyer/OpenNMS-Status-plugin-for-Network-Weathermap.git,"{""Created For Inveneo's RuralNet in Haiti""}",,6
0,https://github.com/enjrolas/HaitiVoiceNeeds.git,recording and transcription service for information coming out of haiti,,5
0,https://github.com/AdrienHalletUCL/HaitiWater.git,"{""Mémoire UCL 2018-2019 - distribution d'eau potable en Haïti""}",,5
0,https://github.com/natea/Haitian-Stories.git,"{""Haitian Stories is a website developed at CrisisCamp Boston to provide a forum for Haitian survivors to tell their story in text, audio or video. It's written in Django.""}",,5
0,https://github.com/digidem/HaitiReporter.git,Database System for reporting gender-based violence in Haiti,,5
0,https://github.com/reactjs/ht.reactjs.org.git,(Work in progress) React documentation website in Haitian Creole,,4
