,Url,Description,Topics,Stars
0,https://github.com/nolimits4web/swiper.git,Most modern mobile touch slider with hardware accelerated transitions,"swipe,swiper,gallery,touch,touch-events,mobile,slider,carousel",27292
0,https://github.com/apache/arrow.git,"Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-independent columnar memory format for flat and hierarchical data, organized for efficient analytic operations on modern hardware. It also provides computational libraries and zero-copy streaming messaging and interprocess communication. Languages currently supported include C, C++, Java, JavaScript, Python, and Ruby.",arrow,7907
0,https://github.com/fulldecent/system-bus-radio.git,Transmits AM radio on computers without radio transmitting hardware.,"radio,equipment,software-defined-radio,exfiltration,security,transmission,transmitter,airgap,low-level,radiation,communication,communication-protocol,electrical-engineering,engineering,microprocessor",5662
0,https://github.com/pervognsen/bitwise.git,Bitwise is an educational project where we create the software/hardware stack for a computer from scratch.,,4785
0,https://github.com/zephyrproject-rtos/zephyr.git,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.","rtos,iot,embedded,real-time,mcu,microcontroller",4515
0,https://github.com/NervanaSystems/neon.git,Intel® Nervana™ reference deep learning framework committed to best performance on all hardware,"deep-learning,python,neon,mkl,performance,fast,neural-network",3852
0,https://github.com/openhardwaremonitor/openhardwaremonitor.git,Open Hardware Monitor,,3707
0,https://github.com/cirosantilli/x86-bare-metal-examples.git,Dozens of minimal operating systems to learn x86 system programming. Tested on Ubuntu 17.10 host in QEMU 2.10 and real hardware. Userland cheat at: https://github.com/cirosantilli/linux-kernel-module-cheat#userland-assembly ARM baremetal setup at: https://github.com/cirosantilli/linux-kernel-module-cheat#baremetal-setup 学习x86系统编程的数十个最小操作系统。 已在QEMU 2.10中的Ubuntu 17.10主机和真实硬件上进行了测试。 Userland作弊网址：https：//github.com/cirosantilli/linux-kernel-module-cheat#userland-assembly ARM裸机安装程序位于：https：//github.com/cirosantilli/linux-kernel-module-cheat#baremetal- 设置,"x86,x64,x86-64,bare-metal,baremetal,assembly",3343
0,https://github.com/alevchuk/vim-clutch.git,A hardware pedal for improved text editing in Vim,,3161
0,https://github.com/blynkkk/blynk-library.git,"Blynk library for embedded hardware. Works with Arduino, ESP8266, Raspberry Pi, Intel Edison/Galileo, LinkIt ONE, Particle Core/Photon, Energia, ARM mbed, etc.","arduino,esp8266,esp32,particle-photon,embedded,hardware,mbed,raspberry-pi,bluetooth,bluetooth-low-energy,serialport,ethernet-shield,gsm,ota,iot,internet-of-things,espressif,iot-platform,wifi",3115
0,https://github.com/bijection/sistine.git,Turn a MacBook into a Touchscreen with $1 of Hardware,"opencv,touchscreen,sistine",3006
0,https://github.com/2factorauth/twofactorauth.git,"List of sites with two factor auth support which includes SMS, email, phone calls, hardware, and software.","twofactorauth,two-factor,security,authentication",2717
0,https://github.com/pytorch/glow.git,Compiler for Neural Network hardware accelerators,,2469
0,https://github.com/oshi/oshi.git,Native Operating System and Hardware Information,"operating-system,hardware-information,java,jna,serialnumbers,cpu-usage,memory-usage,disk-utilization,process-list,system-monitoring,processor,usb-devices,hacktoberfest",2448
0,https://github.com/Kobzol/hardware-effects.git,Demonstration of various hardware effects.,,2388
0,https://github.com/blynkkk/blynk-server.git,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes","java,iot,netty,blynk-server,internet-of-things,arduino,raspberry-pi,mqtt,esp8266,iot-platform,http,websockets,home-automation,ota,blynk,esp32,particle-photon,rest-api,ssl-certificate,hardware",2216
0,https://github.com/openfans-community-offical/Debian-Pi-Aarch64.git,"This is the first 64-bit system in the world to support all Raspberry Pi 64-bit hardware!!! (Include: 4B,3B+,3B,3A+)","pi,raspberry,raspberry-pi-3,arm64,arm64v8,armv8,aarch64,pi-64,pi64,raspberrypi,raspberry-pi,raspberry-pi-3b,raspberry-pi-3b-plus,pi-4b,deepin,raspberry-pi-4,pi4,rpi-4b,pi-64bit,rpi64",2161
0,https://github.com/xoreaxeaxeax/rosenbridge.git,Hardware backdoors in some x86 CPUs,,2126
0,https://github.com/rogerclarkmelbourne/Arduino_STM32.git,"Arduino STM32. Hardware files to support STM32 boards, on Arduino IDE 1.8.x including LeafLabs Maple and other generic STM32F103 boards",,2084
0,https://github.com/autorope/donkeycar.git,Open source hardware and software platform to build a small scale self driving car.,"self-driving-car,raspberry-pi,tensorflow,keras,python,cv2,vision,donkeycar,jetson-nano",2083
0,https://github.com/facebook/Surround360.git,"{""Surround360 is Facebook's open source hardware and software for capturing stereoscopic 3D 360 video for VR. The repo contains hardware designs, as well as software for camera control and rendering.""}",,2081
0,https://github.com/intel/haxm.git,Intel® Hardware Accelerated Execution Manager (Intel® HAXM),,2038
0,https://github.com/apple/swift-corelibs-libdispatch.git,"The libdispatch Project, (a.k.a. Grand Central Dispatch), for concurrency on multicore hardware",,2035
0,https://github.com/Tencent/Hardcoder.git,"Hardcoder is a solution which allows Android APP and Android System to communicate with each other directly, solving the problem that Android APP could only use system standard API rather than the hardware resource of system.","android,mobile,wechat",1844
0,https://github.com/chipsalliance/chisel3.git,Chisel 3: A Modern Hardware Design Language,"chisel,chisel3,scala,firrtl,rtl,chip-generator,verilog",1782
0,https://github.com/google/periph.git,Go·Hardware·Lean,"golang,hardware,1-wire,apa102,beaglebone,bme280,chip,ds18b20,ds2482,gpio,i2c,odroid-c1,raspberry-pi,spi,ssd1306,tm1637,lepton,bmp180,bmp280",1646
0,https://github.com/allegro/ralph.git,Ralph is the CMDB / Asset Management system for data center and back office hardware.,"dcim,django,python3,cmdb,data-center,backoffice,assets-management,inventory-management,inventory,hacktoberfest",1561
0,https://github.com/nicinabox/superslides.git,"A fullscreen, hardware accelerated slider for jQuery.",,1534
0,https://github.com/codyogden/killedbygoogle.git,"{""Part guillotine, part graveyard for Google's doomed apps, services, and hardware.""}","react,google,product,front-end,open-data,json",1478
0,https://github.com/zeffy/wufuc.git,"Disables the ""Unsupported Hardware"" message in Windows Update, and allows you to continue installing updates on Windows 7 and 8.1 systems with Intel Kaby Lake, AMD Ryzen, or other unsupported processors.","windows-7,windows-8-1,windows-server,windows-updates,reverse-engineering,intel,amd,intel-kaby-lake,amd-ryzen",1468
0,https://github.com/greatscottgadgets/ubertooth.git,"Software, firmware and hardware designs for Ubertooth",,1457
0,https://github.com/fossasia/pslab-hardware.git,PSLab Hardware Design and Schematics https://pslab.io,,1445
0,https://github.com/fossasia/susi_linux.git,Hardware for SUSI AI https://susi.ai,"virtual-assistant,artificial-intelligence,raspberry-pi,embedded",1435
0,https://github.com/fossasia/neurolab-hardware.git,Neurolab Hardware,,1397
0,https://github.com/fossasia/pslab-firmware.git,Firmware for PSLab Open Hardware Platform https://pslab.io,,1397
0,https://github.com/fossasia/pslab-test-jig.git,PSLab Test Jig - Boards to test PSLab hardware https://pslab.io,,1373
0,https://github.com/theseus-os/Theseus.git,"Theseus is a modern OS written from scratch in Rust that explores 𝐢𝐧𝐭𝐫𝐚𝐥𝐢𝐧𝐠𝐮𝐚𝐥 𝐝𝐞𝐬𝐢𝐠𝐧, novel OS structure, and state management. It strives to close the semantic gap between compiler and hardware in order to maximally leverage the power of language safety, and thus shift OS responsibilities (resource management) into the compiler.","operating-system,rust,kernel,research,theseus",1350
0,https://github.com/ArcadeRenegade/SidebarDiagnostics.git,A simple sidebar for Windows desktop that displays hardware diagnostic information.,,1346
0,https://github.com/phillipberndt/autorandr.git,Auto-detect the connected display hardware and load the appropriate X11 setup using xrandr,"xrandr,x11,configuration-management",1340
0,https://github.com/j4velin/Pedometer.git,Lightweight pedometer app for Android using the hardware step sensor,,1332
0,https://github.com/fossasia/neurolab-firmware.git,Firmware for Neurolab Hardware,,1331
0,https://github.com/signalwire/freeswitch.git,"FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device.","freeswitch,signalwire,open-source,source-code,voip,webrtc,telephony,sip,iot",1308
0,https://github.com/blinker-iot/blinker-library.git,"An IoT Solution,Blinker library for embedded hardware. Works with Arduino, ESP8266, ESP32.","arduino,esp8266,esp32,blinker,iot,embedded,hardware,wifi,websockets,ble,mqtt,wifiduino,nbiot",1289
0,https://github.com/google/swiftshader.git,SwiftShader is a high-performance CPU-based implementation of the Vulkan graphics API. Its goal is to provide hardware independence for advanced 3D graphics.,,1237
0,https://github.com/mit-han-lab/proxylessnas.git,[ICLR 2019] ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,"automl,specialization,hardware-aware,acceleration,on-device-ai,efficient-model",1233
0,https://github.com/paparazzi/paparazzi.git,Paparazzi is a free and open-source hardware and software project for unmanned (air) vehicles. This is the main software repository.,"paparazzi,uav,uas,pprzlink,drones,autopilot,pprz",1200
0,https://github.com/uraimo/SwiftyGPIO.git,A Swift library for hardware projects on Linux/ARM boards with support for GPIOs/SPI/I2C/PWM/UART/1Wire.,"spi-interface,gpio,iot,swift,pwm,lcd-display,uart,serialport,i2c,1-wire,led-strips,neopixel,spi,led,raspberry-pi",1197
0,https://github.com/scanlime/fadecandy.git,Easy to use open source hardware to drive WS2811 LEDs with high-quality color,,1162
0,https://github.com/rakyll/go-hardware.git,"A directory of hardware related libs, tools, and tutorials for Go","hardware,cgo,tutorials,embedded,go",1158
0,https://github.com/le0pard/pgtune.git,Pgtune - tuning PostgreSQL config by your hardware,"javascript,pgtune,hardware,postgresql,pwa,rdbms,database,tunning,performance,performance-tuning",1127
0,https://github.com/aws/aws-fpga.git,Official repository of the AWS EC2 FPGA Hardware and Software Development Kit,,1112
0,https://github.com/fashiontec/openwash-hardware.git,OpenWash Hardware Schematics,,1099
0,https://github.com/OLIMEX/OLINUXINO.git,"OLINUXINO is Open Source / Open Hardware, low cost from EUR 24 Linux Industrial grade Single Board Computer capable to operate -25+85C",,1095
0,https://github.com/amperka/ino.git,Command line toolkit for working with Arduino hardware,,1088
0,https://github.com/lmirosevic/GBDeviceInfo.git,"Detects the hardware, software and display of the current iOS or Mac OS X device at runtime.",,1073
0,https://github.com/enjoy-digital/litex.git,"Build your hardware, easily!",,1041
0,https://github.com/WICG/webusb.git,Connecting hardware to the web.,,1025
0,https://github.com/upekkha/AppleHardwareTest.git,Apple Hardware Test Download Links,,975
0,https://github.com/jaypipes/ghw.git,Golang hardware discovery/inspection library,"hardware,discovery,golang-hardware-discovery,inspection-library,golang-library",964
0,https://github.com/keroro824/HashingDeepLearning.git,"Codebase for ""SLIDE : In Defense of Smart Algorithms over Hardware Acceleration for Large-Scale Deep Learning Systems""",,956
