,Url,Description,Topics,Stars
0,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials.git,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.","machine-learning,deep-learning,tensorflow,python,pytorch,keras,lua,matplotlib,aws,kaggle,pandas,scikit-learn,torch,artificial-intelligence,neural-network,convolutional-neural-networks,tensorflow-tutorials,python-data,ipython-notebook,capsule-network",2769
0,https://github.com/Project-MONAI/MONAI.git,AI Toolkit for Healthcare Imaging,"healthcare-imaging,deep-learning,medical-image-computing,medical-image-processing,pytorch,python3,monai",1983
0,https://github.com/kakoni/awesome-healthcare.git,"Curated list of awesome open source healthcare software, libraries, tools and resources.","health,awesome,awesome-list,list",1718
0,https://github.com/isaacmg/healthcare_ml.git,A curated list of ML|NLP resources for healthcare.,"healthcare,machine-learning,paper",366
0,https://github.com/nextgenhealthcare/connect.git,The swiss army knife of healthcare integration.,"mirth,mirth-connect,hl7,healthcare,integration,interoperability",354
0,https://github.com/openboxes/openboxes.git,OpenBoxes is a supply chain management system designed to manage inventory and track stock movements for healthcare facilities.,"inventory-management,warehouse-management,shipment-tracking,healthcare,disaster-response,hacktoberfest,grails",317
0,https://github.com/informatici/openhospital.git,Open Hospital is a free and open source software for healthcare data management. This repository is used to build its releases.,"openhospital,healthcare,hacktoberfest",316
0,https://github.com/wanghaisheng/healthcaredatastandard.git,healthcare data standard in China,,288
0,https://github.com/HealthCatalyst/healthcareai-py.git,Python tools for healthcare machine learning,"python,machine-learning,healthcare",270
0,https://github.com/openhealthcare/opal.git,A web framework for building highly usable healthcare applications.,"healthcare,opal,health,python,django,javascript,angular",236
0,https://github.com/OCA/vertical-medical.git,Open Source Healthcare System for Odoo,"medical,odoo,python,emr",222
0,https://github.com/HealthCatalyst/healthcareai-r.git,R tools for healthcare machine learning,"r,machine-learning,healthcare",204
0,https://github.com/llSourcell/How_to_Build_a_healthcare_startup.git,"This is the code for ""How to Build a Healthcare Startup"" by Siraj Raval on Youtube",,201
0,https://github.com/AKSHAYUBHAT/ComputationalHealthcare.git,A platform for analysis & development of machine learning models using large de-identified healthcare datasets.,"healthcare-datasets,data-science,healthcare,machine-learning",182
0,https://github.com/acoravos/healthcare-blockchains.git,Open-source landscape map for healthcare-related blockchains,,178
0,https://github.com/mp2893/retain.git,RETAIN: Interpretable Predictive Model in Healthcare using Reverse Time Attention Mechanism,,155
0,https://github.com/johnuberbacher/flutter_medical.git,Functioning Doctor/Healthcare Catalog App created using Dart with Flutter. Stores and loads data from Firebase Firestore DB.,"flutter,dart,app,android,ios,ios-app,androidstudio,firebase,medical,medical-application,screenshot,firestore,firestore-database,flutter-ui",113
0,https://github.com/llSourcell/AI_for_healthcare.git,"This is the code for ""AI for Healthcare"" By Siraj Raval on Youtube",,109
0,https://github.com/IBM/Medical-Blockchain.git,A healthcare data management platform built on blockchain that stores medical data off-chain ,"blockchain,ibm-cloud,kubernetes,vuejs,redis,docker",94
0,https://github.com/RasaHQ/medicare_locator.git,🏥Medicare Locator - Open source starter pack for developers to build contextual chatbots and AI assistants in healthcare,,92
0,https://github.com/d4l-data4life/covapp.git,"The app lets everyone assess their symptoms using a questionnaire. The app also informs users about next steps, for example, precautionary measures or contacting healthcare providers and health authorities.","covapp,coronavirus,covid-19,charite,questionnaire,webcomponents,stenciljs,typescript",91
0,https://github.com/danicat/datasus.git,An Interface for the Brazilian Public Healthcare Data Repository (DATASUS) for the R Language,,89
0,https://github.com/STRML/Healthcare.gov-Marketplace.git,"{""Community-driven fixes to healthcare.gov's unstable marketplace.""}",,84
0,https://github.com/MLBazaar/Cardea.git,An open source automl library for using machine learning in healthcare.,,82
0,https://github.com/google/android-fhir.git,"The Android FHIR SDK is a Kotlin library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android.","android-fhir-sdk,fhir,fhir-client,kotlin,kotlin-android,kotlin-library,structured-data-capture,sqlite,sqlite-database,sqlite-android,jetpack,jetpack-android,android,android-library,android-development,android-architecture-components",80
0,https://github.com/prasadseemakurthi/Deep-Neural-Networks-HealthCare.git,"Tangible and Practical Deep Learning Projects Repository for Healthcare such as Cancer, Drug Discovery, Genomic and More",,70
0,https://github.com/nickls/awesome-healthcare-datasets.git,A curated list of awesome healthcare datasets in the public domain.,,68
0,https://github.com/microsoft/HealthBotContainerSample.git,Healthcare Bot Container Sample,,60
0,https://github.com/pratik008/HealthCare_Twitter_Analysis.git,Healthcare Twitter Analysis Initial Files,,55
0,https://github.com/instamed/healthcare-payments-blockchain.git,"Healthcare Payments implemented on a HyperLedger Fabric 1.4 private, permission blockchain that uses Convector and HL7 FHIRv4","fhir,hyperledger-fabric,convector,typescript,healthcare,blockchain,nodejs,payment,insttamed",53
0,https://github.com/clinical-meteor/meteor-on-fhir.git,Meteor using Fast Healthcare Interoperability Resources (FHIR),,51
0,https://github.com/HCA-Healthcare/elixir-hl7.git,An Elixir library for working with HL7 v2.x healthcare data ,,47
0,https://github.com/arkhn/pyrog.git,Standardization tool for healthcare data,"react,redux,typescript,fhir,interoperability",45
0,https://github.com/ofermend/medicare-demo.git,A demo of how to use PageRank with Hadoop and SociaLite to identify anomalies in Healthcare Data,,45
0,https://github.com/happywatch/heartbeat.git,a prototype app for the Apple Watch designed for machine learning in healthcare,,45
0,https://github.com/Conservatory/healthcare.gov-2013-10-01.git,Lifeboat for https://github.com/CMSgov/healthcare.gov as of 1 Oct 2013.,,43
0,https://github.com/OfficeDev/Virtual-Health-Templates.git,"SharePoint templates, documentation, and sample code for Office 365 virtual healthcare scenarios","skype,websdk",41
0,https://github.com/chafey/ethereum-hipaa-audit-log.git,A prototype implementation of a healthcare HIPAA audit log using ethereum blockchain and meteor,,39
0,https://github.com/nhs-r-community/NHSRdatasets.git,Free NHS and healthcare related datasets for training and learning R,"r,nhs,nhs-r-community,dataset,nhs-rcommunity,nhs-data",38
0,https://github.com/cds-snc/covid-alert-portal.git,COVID Alert Portal for healthcare providers | Portail Alerte COVID pour les professionnels de la santé,,37
0,https://github.com/IBMStreams/streamsx.health.git,(Incubation) Streams Healthcare Analytics Platform - To enable and inspire the next generation healthcare solutions,"microservice,analytics,healthcare-demo,healthcare,hl7,fhir,ibm-streams,vital-signs,waveform,python,jupyter-notebook,bokeh,stream-processing",36
0,https://github.com/tripleblindai/safe-places.git,Healthcare Tools built on top of Private Kit and COVID Safe Paths,,34
0,https://github.com/chvlyl/ML_in_Biomed.git,Machine Learning in Healthcare and Biomedical Applications,,31
0,https://github.com/GeneSourceCodeChain/AI_Components.git,AI parts on Healthcare and Genetic Data,,31
0,https://github.com/leandromineti/awesome-healthmetrics.git,A curated list of awesome resources at the intersection of healthcare and AI,"awesome,healthcare,artificial-intelligence,machine-learning",31
0,https://github.com/newmediamedicine/CollaboRhythm.git,Redefining healthcare delivery,,30
0,https://github.com/blencorp/HealthCare.gov-Open-Source-Release.git,"This project includes the source code and content for the healthcare.gov website. For more information, please visit https://www.healthcare.gov/developers",,30
0,https://github.com/IBM/node-s2i-openshift.git,"Example Health is a pretend/conceptual healthcare/insurance type company. It has been around a long time, and has 100s of thousands of patient records in an SQL database connected to a mainframe. This repo houses the UI/Service a client/patient would interact with.",,29
0,https://github.com/vsoch/hospital-chargemaster.git,hospital chargemaster lists for open source healthcare,"dinosaur-dataset,continuous-integration,hospital,chargemaster",28
0,https://github.com/GoogleCloudPlatform/dicomweb-wsi-viewer.git,Proof of concept whole slide imaging viewer on top of Google Cloud Healthcare DICOM API.,"dicom,dicomweb,wsi",28
0,https://github.com/AHRQ-CDS/AHRQ-CDS-Connect-Authoring-Tool.git,"{""The CDS Authoring Tool is part of the CDS Connect project https://cds.ahrq.gov/, sponsored by the Agency for Healthcare Research and Quality (AHRQ), and developed under contract with AHRQ by MITRE's CAMH FFRDC.""}","cds,clinical-quality-language,clinical-decision-support,opioid-cds,fhir,cql,smart-on-fhir,cds-hooks",27
0,https://github.com/astorfi/cor-gan.git,:unlock: COR-GAN: Correlation-Capturing Convolutional Neural Networks for Generating Synthetic Healthcare Records,"deep-learning,generative-adversarial-network,pytorch,python,healthcare,synthetic-dataset-generation",26
0,https://github.com/DataKind-SG/healthcare_ASEAN.git,Open data project: Healthcare ASEAN,hacktoberfest,25
0,https://github.com/grfiv/healthcare_twitter_analysis.git,Healthcare Twitter Analysis,,25
0,https://github.com/rahulremanan/HIMA.git,Healthcare Image Analysis,,25
0,https://github.com/dshills/gofhir.git,A Healthcare FHIR client for Go,,25
0,https://github.com/IRCAD/sight.git,Surgical Image Guidance and Healthcare Toolkit,"c-plus-plus-11,medical-imaging,medical-image-processing,medical-application,vtk,itk,vr-render,ogre3d,opencv,qt5,conan",24
0,https://github.com/deephealthproject/eddl.git,European Distributed Deep Learning (EDDL) library. A general-purpose library initially developed to cover deep learning needs in healthcare use cases within the DeepHealth project.,"neural-network,deep-learning,machine-learning,cpp,gpu,autograd,tensor",24
0,https://github.com/microsoft/Industry-Accelerator-Education.git,The Microsoft Higher Education Accelerator is an another Industry Accelerator from Microsoft following the release of the Healthcare Accelerator earlier this summer. Industry Accelerators are foundation components within the Microsoft Power platform and Dynamics 365 that enable ISVs and other solution providers to quickly build industry vertical solutions.,,24
0,https://github.com/aryanveturekar/Health-Care-Chat-Bot.git,"Through chatbots one can communicate with text or voice interface and get reply through artificial intelligence. Typically, a chat bot will communicate with a real person. Chat bots are used in applications such as ecommerce customer service, call centres and Internet gaming. Chatbots are programs built to automatically engage with received messages. Chatbots can be programmed to respond the same way each time, to respond differently to messages containing certain keywords and even to use machine learning to adapt their responses to fit the situation. A developing number of hospitals, nursing homes, and even private centres, presently utilize online Chatbots for human services on their sites. These bots connect with potential patients visiting the site, helping them discover specialists, booking their appointments, and getting them access to the correct treatment. In any case, the utilization of artificial intelligence in an industry where individuals’ lives could be in question, still starts misgivings in individuals. It brings up issues about whether the task mentioned above ought to be assigned to human staff. This healthcare chatbot system will help hospitals to provide healthcare support online 24 x 7, it answers deep as well as general questions. It also helps to generate leads and automatically delivers the information of leads to sales. By asking the questions in series it helps patients by guiding what exactly he/she is looking for. ",,24
0,https://github.com/codefordenver/encorelink.git,Connecting musician volunteers with healthcare centers,,23
0,https://github.com/OpenXAIProject/Mixed-Effect-Composite-RNN-Gaussian-Process.git,Personalized and Reliable Predictive Models for Healthcare (의료 데이터 기반 신뢰 가능한 개인화된 예측(진단) 모델),,23
0,https://github.com/sean-perkins/nativescript-healthcare-app.git,Healthcare example application built with NativeScript Angular. NativeScript template to quickly prototype your own business idea.,"nativescript,healthcare,nativescript-angular,angular,sass,typescript,ngrx-example,nativescript-example",23
0,https://github.com/PacktPublishing/Applied-Machine-Learning-For-Healthcare.git,"Applied Machine Learning For Healthcare, published by Packt",,22
0,https://github.com/avinashkranjan/lifeMEDeasy.git,🩺 lifeMEDeasy - Automating  Healthcare and making Health facilities available to everyone regardless of their limitations⚕,"health-management,patient-data,reactjs,django,medical,patient,facility",22
0,https://github.com/rOpenHealth/rOpenHealth.git,A collaborative project to build R tools facilitating access to quantitative healthcare and public health data,,22
0,https://github.com/digital-asset/ex-healthcare-claims-processing.git,Reference DAML application demonstrating a healthcare use case.,"daml,smart-contracts,dlt,distributed-ledger-technology",19
0,https://github.com/jphall663/diabetes_use_case.git,Sample use case for Xavier AI in Healthcare conference: https://www.xavierhealth.org/ai-summit-day2/,"python,xgboost,healthcare,interpretability,xai,iml,transparency,machine-learning,data-science,data-mining,machine-learning-interpretability,interpretable-ml,interpretable-machine-learning,explainable-ml",19
0,https://github.com/medtorch/awesome-healthcare-ai.git,"A curated list of awesome open source healthcare tools, algorithms, datasets and research papers.","healthcare,healthcare-application,healthcare-datasets,machine-learning,healthcare-privacy,awesome-lists,awesome-list",19
0,https://github.com/amazon-archives/AWS-MIMIC-IIItoOMOP.git,"Demonstrates creating a healthcare data warehouse using the MIMIC-III dataset on Redshift, Spark on EMR and Lambda",,19
0,https://github.com/tanjera/infirmary-integrated.git,Medical device simulator for training healthcare professionals.,"medical,simulating-medical-devices,healthcare-professionals,healthcare-devices,infirmary-integrated,defibrillator,cardiac-monitor,nursing,intra-aortic-balloon-pump,12-lead-ecg,emergency-medicine,critical-care-medicine,open-source",19
0,https://github.com/mingzhu0527/HAR.git,"Code for WWW2019 paper ""A Hierarchical Attention Retrieval Model for Healthcare Question Answering""","information-retrieval,question-answering,healthqa,hierarchical-attention,har,healthcare,healthcare-datasets",19
0,https://github.com/shantanu-deshmukh/vhealth-gatsby.git,Open source Gatsby template for a healthcare startup.,,18
0,https://github.com/PulseTile/PulseTile-AngularJS.git,Leading edge modular UI framework for healthcare. Based on AngularJS. See documentation at http://docs.pulsetile.com/  See plugins at https://github.com/PulseTile-Plugins   ## ,"healthcare,ux,usability,angularjs",18
0,https://github.com/ddediu/AdhereR.git,Computation of adherence to medications from Electronic Healthcare Data in R,"r,medical-databases,adherence-to-medications,medication-histories,visualisation,electronic-healthcare-data,python,sql,hadoop",18
0,https://github.com/nurcinozer/healthcare-startup-landing-page.git,Static website for a healthcare startup built with NextJS and SASS.,,18
