,Url,Description,Topics,Stars
0,https://github.com/klange/toaruos.git,"A completely-from-scratch hobby operating system: bootloader, kernel, drivers, C library, and userspace including a composited graphical UI, dynamic linker, syntax-highlighting text editor, network stack, etc.","operating-system,toaruos,operating-systems,c,c-library,compositor,windowing,window-manager,baremetal,os,bootloader,el-torito,cdrom,kernel,osdev,text-editor,terminal-emulators,terminal-emulator,python,x86",3438
0,https://github.com/intermezzOS/kernel.git,"A hobby operating system, in Rust",,1202
0,https://github.com/skiftOS/skift.git,"🥑 An *hobby* operating system built from scratch in modern C++, featuring a reactive UI library, and a strong emphasis on user experience.","osdev,kernel,userspace,operating-system,skift,c-plus-plus,hobby-os",1173
0,https://github.com/sajal2692/data-science-portfolio.git,"Portfolio of data science projects completed by me for academic, self learning, and hobby purposes.","data-science,portfolio,python,pandas,scikit-learn,keras,machine-learning,nlp",581
0,https://github.com/oeddyo/algorithm.git,Algorithm Problems I solved... as a hobby,,513
0,https://github.com/technoweenie/guillotine.git,URL shortening hobby kit,,462
0,https://github.com/maxdev1/ghost.git,"Ghost, a micro-kernel based hobby operating system for the x86 architecture.","kernel,os,ghost,x86,microkernel,gui,libc",369
0,https://github.com/jzck/kernel-zig.git,:floppy_disk: hobby x86 kernel zig,"zig,kernel,x86",310
0,https://github.com/cloudsec/ajvm.git,"A hobby jvm, just want to know how a java virtual machine works.",,286
0,https://github.com/ookangzheng/blahdns.git,"A small hobby ads block dns project with doh, dot, dnscrypt support.","dns,adblock,dns-server,dns-over-tls,doh,dnscrypt,dnscrypt-server,dns-over-https,opennic",248
0,https://github.com/szhou42/osdev.git,Hobby os project with GUI,,199
0,https://github.com/MQuy/mos.git,A hobby operating system developed from scratch,"os,osdev,hobby-os,operating-system,network-stack,file-system,x86,x-server,c",179
0,https://github.com/willdurand/willOS.git,"{"":floppy_disk: A minimal kernel (just a hobby, won't be big and professional). // Work In Progress""}","operating-system,kernel,x86-64,asm,64-bit",175
0,https://github.com/cstack/osdev.git,Hobby OS,,145
0,https://github.com/arkenthera/YumeEngine.git,My hobby project of learning graphics programming,,114
0,https://github.com/sobolevn/sobole-zsh-theme.git,Minimalistic zsh theme inspired by the old-fashioned hobbies,"zsh,zsh-theme,terminal,terminal-theme,theme",97
0,https://github.com/iurii-kyrylenko/hobbies.git,Keeping track of your hobbies,"nodejs,express,mongodb,jwt-authentication,angular2,vuejs",90
