,Url,Description,Topics,Stars
0,https://github.com/24pullrequests/24pullrequests.git,:christmas_tree: Giving back to open source for the holidays,"pull-requests,ruby,holidays,opensource",1301
0,https://github.com/azuyalabs/yasumi.git,The easy PHP Library for calculating holidays,"php,holiday,countries,calculate-holidays,calculations,api,library,holidays,provider-holidays,yasumi",801
0,https://github.com/holidays/holidays.git,A collection of Ruby methods to deal with statutory and other holidays.  You deserve a holiday!,,625
0,https://github.com/nager/Nager.Date.git,:earth_americas: Worldwide public holiday,"publicholidays,public-holidays,holiday,calculate-holidays,holiday-api,holidays,csharp,bank-holidays,c-sharp,calendar,calendar-api,holiday-calculation,docker,dotnet,holidayapi,docker-container,container-image",588
0,https://github.com/peopledoc/workalendar.git,Worldwide holidays and workdays computational toolkit.,"python,calendar,localization,calendars,peopledoc-opensource",574
0,https://github.com/dr-prodigy/python-holidays.git,Generate and work with holidays in Python,"python,holidays,library,pypi",564
0,https://github.com/commenthol/date-holidays.git,worldwide holidays,"holidays,holiday-api,holidays-ical,countries,region,javascript,world",535
0,https://github.com/joaomatossilva/DateTimeExtensions.git,"This project is a merge of several common DateTime operations on the form of  extensions to System.DateTime, including natural date difference text (precise and human rounded), holidays and working days calculations on several culture locales.",,392
0,https://github.com/bunkat/schedule.git,"{""Automatically schedules tasks, work items, meetings, reservations, etc. Schedule takes into account working hours, holidays/days off, people's work schedule/vacation time, as well as task dependencies.""}",,386
0,https://github.com/955holiday/955.holiday.git,"Similar to 996.ICU, but 955.HOLIDAY.",,307
0,https://github.com/holiday-jp/holiday_jp-ruby.git,Japanese holiday.,,253
0,https://github.com/sethblack/python-gift-exchange.git,pyge: Holiday Gift Exchange Picker,"python,python3,machine-learning,unsupervised-learning,secret-santa,gift-exchange,holidays,random,euclidean-distances,weighted-random",253
0,https://github.com/jolicode/secret-santa.git,":santa: The code behind Secret Santa, the holiday bot for Slack / Discord / Zoom","symfony,secret-santa,happyness,symfony-flex,discord-bot,slack-bot,discord,slack,slack-blockkit,zoom-api",172
0,https://github.com/rickar/cal.git,Go (golang) calendar library for dealing with holidays and work days,"go,holidays,calendar,golang,business-calendar,working-hours,calendar-library",166
0,https://github.com/liaoziyang/HolidayDateTime.git,A php class to check Japanese holiday and weekend. 土日祝日を判定するphpクラス。,"datetime,japanese-holiday",153
0,https://github.com/svendiedrichsen/jollyday.git,Jollyday - A holiday API,"java,holiday-api,holiday-calculation",149
0,https://github.com/officelifehq/officelife.git,OfficeLife manages everything employees do in a company. From projects to holidays to 1 on 1s to ... 🚀 ,"laravel,hr,php,crm,office,management",141
0,https://github.com/Prince25/StockAlertBot.git,"Faced with the scenario of scalpers using bots to hog up all the inventory of popular holiday toys and sell them at ridiculously high markup prices, I decided to put up a fight so we can get our hands on things we need to survive the #Coronavirus quarantine(s).","stock,ps5,newegg,amazon,target,antonline,bestbuy,costco,microcenter,inventory,checker,monitor,ryzen,rtx3080,argos,currys,tesco,proxies,sms,gamestop",125
0,https://github.com/rainx/cn_stock_holidays.git,Holidays of Shanghai and Shenzhen stock exchanges,,115
0,https://github.com/masa16/holiday_japan.git,Calculate National Holidays of Japan,"ruby,holiday-japan,holiday",107
0,https://github.com/martinjw/Holiday.git,Calculate Public Holidays,,100
0,https://github.com/sujitpal/holiday-similarity.git,Finding similar images in the Holidays dataset,,97
0,https://github.com/thinkingmachines/christmAIs.git,Text to abstract art generation for the holidays!,"machine-learning,abstract-art,perception,fasttext-embeddings,xmas",85
0,https://github.com/kodie/moment-holiday.git,A Moment.js plugin for handling holidays. NO LONGER MAINTAINED (DEPRECATED),"moment,momentjs,plugin,holiday,holidays,holiday-calculation",81
0,https://github.com/holidays/definitions.git,Holiday definition files. You deserve a holiday!,,69
0,https://github.com/AustinHasten/PlexHolidays.git,Automatically find holiday episodes on a Plex server and add them to a playlist.,,69
0,https://github.com/osamutake/japanese-holidays-js.git,Provides utilities to manipulate japanese holidays.,,68
0,https://github.com/lambdaclass/holiday_pinger.git,Erlang + ClojureScript app to send holiday reminders,"freelance,holidays,ping,erlang,clojurescript,postgresql,slack,mail,reminders",66
0,https://github.com/sowbug/G35Arduino.git,An Arduino library for GE Color Effects G-35 holiday lights.,,62
0,https://github.com/holiday-jp/holiday_jp.git,Japanese holiday datasets,"dataset,japanese-holiday-datasets",58
