,Url,Description,Topics,Stars
0,https://github.com/home-assistant/core.git,:house_with_garden: Open source home automation that puts local control and privacy first,"python,home-automation,iot,internet-of-things,mqtt,raspberry-pi,asyncio,hacktoberfest",42865
0,https://github.com/deepsyx/home-automation.git,Raspberry Pi 3 based home automation with NodeJS and React Native.,"nodejs,raspberry,phone,javascript,home-automation,react-native",3383
0,https://github.com/esphome/esphome.git,ESPHome is a system to control your ESP8266/ESP32 by simple yet powerful configuration files and control them remotely through Home Automation systems.,"home-automation,iot,esp8266,esp32,home-assistant,mqtt,python,platformio,yaml,hacktoberfest",3368
0,https://github.com/domoticz/domoticz.git,Open source Home Automation System,,2923
0,https://github.com/xoseperez/espurna.git,Home automation firmware for ESP8266-based devices,"esp8266,sonoff,home,automation,espurna,firmware",2523
0,https://github.com/ni-c/heimcontrol.js.git,Home-Automation with node.js and Raspberry PI,,1417
0,https://github.com/bwssytems/ha-bridge.git,"Home automation bridge that emulates a Philips Hue light system and can control other systems such as a Vera, Harmony Hub, Nest, MiLight bulbs or any other system that has an http/https/tcp/udp interface. This is a compact impl to run on small format computers. This is impl started from this project https://github.com/armzilla/amazon-echo-ha-bridge.",,1375
0,https://github.com/loklak/loklak_IBM_Home_Automation.git,IOT update integration for Loklak to be able to receive GENERIC data from IBM Home Automation ibmiotf,,1122
0,https://github.com/basnijholt/home-assistant-config.git,"Home Assistant config files, rewritten to use the latest features, 100+ documented automations, automatically generated ToC :house: :robot:","home-assistant,home-assistant-config,yaml,appdaemon,automation,home-automation,config,philips-hue,iot,internet-of-things,lovelace,lovelace-ui",976
0,https://github.com/synesthesiam/rhasspy.git,Rhasspy voice assistant for offline home automation,"voice-assistant,speech-recognition,home-assistant,hassio,intent-recognition,german,spanish,french,italian,dutch,russian,greek,hindi,mandarin,vietnamese,portuguese,catalan,swedish",862
0,https://github.com/smrtnt/Open-Home-Automation.git,"Open Home Automation with Home Assistant, ESP8266/ESP32 and MQTT","mqtt,home-assistant,esp8266,home-automation,sonoff,diy,domotic,esp32,home-assistant-config,arduino,ble,nfc",827
0,https://github.com/aderusha/HASwitchPlate.git,LCD touchscreen for Home Automation,"homeautomation,homeassistant,oshw,esp8266,mqtt,smarthome,nextion,kicad,sketchup,arduino,esp8266-arduino",674
