,Url,Description,Topics,Stars
0,https://github.com/rsvp/fecon235.git,Notebooks for financial economics. Keywords:  Jupyter notebook pandas Federal Reserve FRED Ferbus GDP CPI PCE inflation unemployment wage income debt Case-Shiller housing asset portfolio equities SPX bonds TIPS rates currency FX euro EUR USD JPY yen XAU gold Brent WTI oil Holt-Winters time-series forecasting statistics econometrics,"jupyter-notebook,pandas,federal-reserve,gdp,inflation,housing,equities,bonds,fx,gold,time-series,econometrics,statistics,asset-pricing,finance,interest-rates,economics,employment,python,fecon236",720
0,https://github.com/free-pdk/easy-pdk-programmer-hardware.git,"Easy PDK programmer for PADAUK microcontroller. EDA, schematic, gerber, bom, housing stl, firmware","padauk,pfs154,pfs173,pmc154,pms154,pmc150,pms150",132
0,https://github.com/ericfischer/housing-inventory.git,San Francisco housing construction history and associated data,,131
0,https://github.com/nycdb/nycdb.git,Database of NYC Housing Data,"nyc,housing,database,psql,python3,data,civic-data,open-data",96
0,https://github.com/csswizardry/inuit.css-web-template.git,Web template for housing the inuit.css framework as submodule,,90
0,https://github.com/segmentio/analytics.js-integrations.git,"{""Monorepo housing Segment's analytics.js integrations""}","javascript,segment,analyticsjs",68
0,https://github.com/rodrigouroz/housing_scrapper.git,A script to scrap housing listings sites,,67
0,https://github.com/housinghq/webpack.config.git,webpack config for Housing Go,,61
0,https://github.com/ualsg/hdb3d-data.git,3D city model of Singapore public housing (HDB) buildings,,56
0,https://github.com/codefordc/housing-insights.git,Bringing open data to affordable housing decision makers in Washington DC. A D3/Javascript based website to visualize data related to affordable housing in Washington DC. Data processing with Python.,,55
0,https://github.com/hadley/data-housing-crisis.git,Clean data related to the housing crisis,,51
0,https://github.com/codefordc/districthousing.git,District Housing lets caseworkers help clients apply for Section 8 housing by automatically filling out multiple PDF applications using one online form. ,,42
0,https://github.com/smartboxchannel/EFEKTA-EINK290-TEMP-HUM-PRES-WEATHER-MINI-STATION-NRF52.git,"New arduino project. Wireless weather mini station with electronic ink display 2.9 inches (GDEH029A1 OR GDEM029T94), very low power consumption,compact size, housing with magnets. The device can use si7020 / 21, sht20 / 21, HTU20/21D or BME280 sensors. Use the MINEW MS50SFA RF module with nRF52832 chips, or the EBYTE E73 module with nRF52840 and nRF52833 chips.",,39
0,https://github.com/enigma-io/ahs-acs.git,A machine-readable mapping of the American Housing Survey to the American Community Survey,,37
0,https://github.com/LeonBlade/BurningDownTheHouse.git,A tool for FFXIV to manipulate housing items,,33
0,https://github.com/hadley/sfhousing.git,Code to download and process SF housing sales data,,30
0,https://github.com/sfbrigade/San-Francisco-in-Progress.git,San Francisco in Progress housing development mapping  project,,29
0,https://github.com/LenzDu/Kaggle-Competition-Sberbank.git,Top 1% rankings (22/3270) code sharing for Kaggle competition Sberbank Russian Housing Market: https://www.kaggle.com/c/sberbank-russian-housing-market,"machine-learning,kaggle,xgboost,lightgbm,python,ensemble-learning,regression-models",29
0,https://github.com/awtrix/AWTRIX-Pro.git,This is the housing for the AWTRIX Pro! ,,29
0,https://github.com/Youngestdev/async-fastapi-mongo.git,Repository housing code for the Testdriven article.,,27
0,https://github.com/LeonBlade/BDTHPlugin.git,A plugin for FFXIVQuickLauncher to help with manipulating housing items.,,26
0,https://github.com/k77torpedo/ForgeAndUnity.git,"{""Provides dungeon instances, player housing and general 'room' features to Forge Networking Remastered.""}",,26
0,https://github.com/ualsg/hdb3d-code.git,Code to generate the 3D city model of Singapore public housing (HDB) buildings from open data,,26
0,https://github.com/KoljaWindeler/CHIP_STATION_PORTABLE.git,PCB to use a PSP housing with a C.H.I.P.,,25
0,https://github.com/SFDigitalServices/sf-dahlia-web.git,DAHLIA is the affordable housing portal for the City and County of San Francisco.,"housing,government,civic,open-source",24
0,https://github.com/hackforla/shared-housing.git,"LA Family Housing, an LA-based non-profit working to end the homelessness crisis, engaged the help of Hack for LA to identify and design a more efficient & effective solution for matching multiple individuals who experience homelessness as potential co-tenants, and placing the matched individuals in suitable shared housing units.","homelessness,homeless,housing,shared-housing,code-for-america,hack-for-la,code-for-all,civictechindex",24
0,https://github.com/CityOfNewYork/ACCESS-NYC.git,"Find help in NYC with food, money, housing, work, and more on ACCESS NYC. Maintained by @nycopportunity","wordpress,nyc,nycopportunity,gov,access-nyc,help,benefits,civic-tech,composer,government,wordpress-site",24
0,https://github.com/greenriver/boston-cas.git,"{""The Boston Coordinated Access System (CAS) project by the City of Boston's Department of Neighborhood Development matches homeless individuals to housing vacancies based on need.  CAS works in conjunction with the HMIS Warehouse (https://github.com/greenriver/hmis-warehouse) to use HMIS data in finding matches.""}",,20
