,Url,Description,Topics,Stars
0,https://github.com/alibaba/p3c.git,Alibaba Java Coding Guidelines pmd implements and IDE plugin,,25320
0,https://github.com/eclipse-theia/theia.git,Eclipse Theia is a cloud & desktop IDE framework implemented in TypeScript.,"ide,editor,language-server-protocol,electron,typescript,cloud-ide",14711
0,https://github.com/lensapp/lens.git,Lens - The Kubernetes IDE,"kubernetes,kubernetes-ui,kubernetes-dashboard,cloud-native,devops,containers",14044
0,https://github.com/graphql/graphiql.git,GraphiQL & the GraphQL LSP Reference Ecosystem for building browser & IDE tools.,"graphql,graphiql",12130
0,https://github.com/LightTable/LightTable.git,The Light Table IDE ⛺,"clojurescript,ide,editor,clojure,lighttable,clojure-development",11538
0,https://github.com/barryvdh/laravel-ide-helper.git,Laravel IDE Helper,"laravel,autocompletion,hacktoberfest",11321
0,https://github.com/codesandbox/codesandbox-client.git,An online IDE for rapid web development,"codesandbox,react,javascript,vue,preact,svelte,angular",10572
0,https://github.com/reactide/reactide.git,Reactide is the first dedicated IDE for React web application development.,"react,redux,devtools,nodejs,javascript,electron,node,desktop-app,reactide",10127
0,https://github.com/yangyangwithgnu/use_vim_as_ide.git,use vim as IDE,,8905
0,https://github.com/facebookarchive/nuclide.git,"An open IDE for web and native mobile development, built on top of Atom ",,7902
0,https://github.com/stackblitz/core.git,Online IDE powered by Visual Studio Code ⚡️,,7882
0,https://github.com/graphql/graphql-playground.git,"🎮  GraphQL IDE for better development workflows (GraphQL Subscriptions, interactive docs & collaboration)","graphql,ide,graphiql,prisma,graphql-playground",7202
0,https://github.com/visualfc/liteide.git,"LiteIDE is a simple, open source, cross-platform Go IDE. ","liteide,cross-platform,ide,golang,go,qt",6436
0,https://github.com/eclipse/che.git,The Kubernetes-Native IDE for Developer Teams,"eclipse,devtools,ide,cloud,cloud-ide,kubernetes,containers",6434
0,https://github.com/decosoftware/deco-ide.git,The React Native IDE,,5850
0,https://github.com/Dman95/SASM.git,"SASM - simple crossplatform IDE for NASM, MASM, GAS and FASM assembly languages","assembly,assembler,assembly-language,ide,nasm,fasm,gas,sasm",5463
