,Url,Description,Topics,Stars
0,https://github.com/Xilinx/IIoT-SPYN.git,"IIoT-SPYN gives users the ability to control, monitor, capture data, visualize and analyze industrial grade motors","python,fpga,sdsoc,pynq,pynq-hardware-overlay",32
0,https://github.com/hashmapinc/Tempus.git,Hashmap IIoT Accelerator Framework,,26
0,https://github.com/kaiwaehner/iiot-integration-apache-plc4x-kafka-connect-ksql-opc-ua-modbus-siemens-s7.git,"Industrial IoT (IIoT) Integration and Data Processing with Apache PLC4X, Kafka Connect, KSQL (OPC-UA, Modbus, Siemens S7)","kafka,kafka-connect,ksql,iiot,iot,iot-platform,iot-framework,modbus,opc-ua,siemens-s7,allen-bradley,integration,middleware",24
0,https://github.com/mendersoftware/deployments.git,Microservice for managing software deployments for IIoT devices within Mender ecosystem.,"mender,iot,ota,updater",18
0,https://github.com/br-automation-com/PahoMQTT_Library.git,Eclipse Paho MQTT Client for IIoT pilot implementations,,18
0,https://github.com/mendersoftware/inventory.git,Microservice for managing inventory data for IIoT devices within Mender ecosystem.,,15
0,https://github.com/PHOENIXCONTACT/MORYX-AbstractionLayer.git,"Hardware Abstraction with IIoT model, digital twin environment and product portfolio management.",moryx,12
0,https://github.com/BiancoRoyal/modbus-iiot-rust.git,The Modbus IIoT Library,,9
0,https://github.com/Hurence/logisland.historian.git,a (big) data historian for IIoT,,8
0,https://github.com/nimbleindustry/device.git,"A fault-tolerant, extensible implementation of an IIoT gateway written in Go (golang)",,7
0,https://github.com/bluetronics-India/IIoT_training.git,"Materials, source codes for the IIoT training with ESP32 - Basics, Interrupts, PWM, ADC, Filters, FFT, IoT nodes, IoT cloud setup, RS485,MODBUS,CAN,I2C,SPI, WiFi, Bluetooth interfacings with Cloud.","iiot,esp32,esp32-arduino,i2c,spi,rs485,opc-ua,iot,cloud",5
0,https://github.com/br-automation-com/AzureSDK_Library.git,Azure IoT-C-SDK for IIoT pilot implementations,,4
0,https://github.com/quanpower/smart-iiot.git,smart-iiot,,4
0,https://github.com/Dasudian/DSDIN.git,"The next-generation block chain for Industrial Internet of Things (IIoT), which is dedicated for massive data processing with AI.",,4
0,https://github.com/hj91/IIoT-Gateway.git,Linux based Open Souce Platform for IIoT Applications,,4
0,https://github.com/br-automation-com/AWS_SDK_Library.git,Amazon Web Services Library for IIoT pilot implementations,,4
0,https://github.com/IndustryFusion/IndustryFusion.git,"{""IndustryFusion is the open source IIoT connectivity solution for smart products and smart factories - it empowers small and medium-sized businesses to participate in tomorrow's connected industry. IndustryFusion instantly creates transparency and added value and enables new business models such as production sharing, pay-per-use machine usage, and CO₂-neutrality monitoring.""}","iiot,industry-40,smart-industry,platform,dashboard,fleet-management,analytics,automation,smart-factory,smart-products,smart-factories,smart-manufacturing",4
0,https://github.com/sudhir-yadav/Chess-Robot.git,"Chess Robot [2018] - Started as a college project. CHESS ROBOT is an IIOT project , which demonstrate interation between web interface and real mechanical devices. Project is still under construction and only web part is currently shared as an open source distribution.","chess,chess-game,js,socket-io,iot,iiot,raspberry-pi,arduino,socket,socketio-client",4
0,https://github.com/jmeisele/PiOT.git,Self Contained IIoT Stack on Raspberry Pi,"docker,docker-compose,shell,bash,influxdb,node-red,grafana,mosquitto,portainer,chronograf",3
0,https://github.com/bonastreyair/iiot-tools.git,This repository tries to keep order on many IIoT code examples using Arduino IDE using the ESP32 as the main device.,,3
0,https://github.com/hashmapinc/tempus-edge.git,Tempus Edge is an edge compute framework for IIoT,"edge,tempus,hashmapinc,apache2,tempus-edge,fog-computing,iofog",3
0,https://github.com/SeppPenner/SparkplugNet.git,SparkplugNet is a library to use the Sparkplug industrial IoT (IIoT) standard in .Net. It uses MQTTnet in the background. The assembly was written and tested in .Net 5.0.,"sparkplug,mqtt,mqttnet,sparkplugnet,sparkplug-b",3
0,https://github.com/Dasudian/dsd-datahub-sdk-embedded-C.git,"An embedded C edition of DSD IoT Datahub SDK for connecting Dasudian IIoT and AI platform with MQTT, which facilitates various devices to be intelligent as an Edge Computing node dedicated for industrial smart applications. (嵌入式C版本的DSD IoT Datahub SDK，专注于让设备安全、高效地连接大数点工业物联网与人工智能平台，帮助设备快速成为智能的边缘计算节点，创建工业智能应用。)",,3
0,https://github.com/cityofeden/cosmic.git,"Cosmic IIoT is a modular set of devices and platform for Industrial, Military and Medical environments.",,2
0,https://github.com/raakeshb/IoT-Project.git,IIOT,,2
0,https://github.com/play-iot/iot-vpn.git,Play-iO IIoT VPN,"vpn,softethervpn,vpn-manager,vertx,qwe,iot",2
0,https://github.com/mhatrep/iiot.git,Industrial Internet of Things (IIoT) and Industry 4.0,,2
0,https://github.com/samuelhuntley/Moxa_AWK_1121.git,The repo contains security issues identified in Industrial router IIoT system Moxa AWK_1121.,,2
0,https://github.com/maloyang/CSU_IIOT_with_Python.git,正修科大分享：IIOT 工業4.0 - 以 Python 實作工廠監控,,2
0,https://github.com/hivemq/hivemq-sparkplug-influxdb-extension.git,"Sparkplug extension, that enables you to monitor device and edge node data in an IIoT Sparkplug environment.",,2
0,https://github.com/Neuw84/bds2k17.git,"Repository containing code for the Big Data Spain 2017 technical talk ""Towards an Unified API for Spark and the IIoT"" Edit","cassandra,spark,structured-streaming,zeppelin,docker,kafka,nifi",2
0,https://github.com/jbarlow-mcafee/node-red-contrib-iiot-opcua.git,IIoT OPC UA toolbox package for Node-RED based on node-opcua.,,1
0,https://github.com/orangegzx/dao-iiot-ui.git,iiot index,,1
0,https://github.com/mhatrep/aws-iot.git,AWS IOT and IIOT,,1
0,https://github.com/sjtu-iiot/iiot-spark.git,Spark Group webpage in IIoT,,1
0,https://github.com/RobinLu1209/Network-Economics.git,Learning in IIOT of SJTU,,1
0,https://github.com/RenatoGomes-BR/IO-Link.git,IIoT project based on IO-Link technology,,1
0,https://github.com/nmarcetic/mainflux-loadtest.git,Distributed  Mainflux IIoT MQTT load testing.,"iot,benchmark,testing,mainflux,mqtt,load-testing,scalability-tests",1
0,https://github.com/jkoutavas/Ionic_DowntimeDemo.git,"{""This Ionic app demonstrates Industrial Intelligence's downtime IIoT services.""}",,1
0,https://github.com/sqlau/AwsomeABCD.git,Awsome resources for AI/BlockChain/Cloud/BIgData/AIoT/II/IIoT,"blockchain,ai,intelligence,data-science,bigdata,iot,industry-40,industry",1
0,https://github.com/Tknika/iombian.git,Raspbian-based operating system for creating IIoT gateways (educationally-oriented),"iiot,mqtt,iot,iot-gateway,node-red,raspberry-pi,raspberrypi,iombian",1
0,https://github.com/IIoT-Fei/PortasAbertas2017.git,Repositório do Fei Portas Abertas 2017 para o laboratório IIoT,,1
0,https://github.com/BiancoRoyal/modbus-iiot-client-rust.git,A client binary using the modbus-iiot-rust library.,,1
0,https://github.com/ChgrCode/moxaiiot-mtc.git,Scripts and tools for MTC IIoT MIL basic course,,1
0,https://github.com/hj91/iiot_gateway_python_sample_code.git,Python code for sample applications that can be run on IIoT Gateway https://sourceforge.net/projects/iiot-gateway/files/20_may_2020/installer_19052020.iso,,1
0,https://github.com/hj91/IIoT-middleware.git,Contains docker code for IIoT Middleware that can be run on Super Container OS,,1
