,Url,Description,Topics,Stars
0,https://github.com/keycloak/keycloak.git,Open Source Identity and Access Management For Modern Applications and Services,"keycloak,oidc,saml",8857
0,https://github.com/dexidp/dex.git,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors,"oidc,kubernetes,idp,identity-provider",5739
0,https://github.com/ory/kratos.git,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, profile management, identity schemas, social sign in, registration, account recovery, service-to-service and IoT auth. Can work as an OAuth2 / OpenID Connect Provider. Golang, headless, API-only - without templating or theming headaches.","identity,identity-management,user-management,users,user,login,registration,profile-management,user-profiles,user-profile,hacktoberfest",3351
0,https://github.com/hybridauth/hybridauth.git,"Open source social sign on PHP Library. HybridAuth goal is to act as an abstract api between your application and various social apis and identities providers such as Facebook, Twitter and Google.","php,social-login,social-networks,facebook,twitter,google,hybridauth",3169
0,https://github.com/mikro-orm/mikro-orm.git,"TypeScript ORM for Node.js based on Data Mapper, Unit of Work and Identity Map patterns. Supports MongoDB, MySQL, MariaDB, PostgreSQL and SQLite databases.","identity-map,datamapper,orm,nodejs,typescript,entities,mongodb,mysql,typescript-orm,sqlite,sqlite3,javascript,unit-of-work,entity,database,postgresql,postgre",2979
0,https://github.com/skoruba/IdentityServer4.Admin.git,The administration for the IdentityServer4 and Asp.Net Core Identity,"identityserver4,asp-net-core,aspnetcore-mvc,asp-net-core-identity,identityserver4-admin,identityserver4-adminui,admin,ui",2671
0,https://github.com/hashicorp/boundary.git,Boundary enables identity-based access management for dynamic infrastructure. ,,2613
0,https://github.com/pomerium/pomerium.git,Pomerium is an identity-aware access proxy.,"reverse-proxy,iam,beyondcorp,identity,go,identity-aware-proxy,zero-trust,gateway,pomerium,vpn",2494
0,https://github.com/ory/oathkeeper.git,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and mutates incoming HTTP(s) requests. Inspired by the BeyondCorp / Zero Trust white paper. Written in Go.",,2205
0,https://github.com/aspnet/Identity.git,"[Archived] ASP.NET Core Identity is the membership system for building ASP.NET Core web applications, including membership, login, and user data. Project moved to https://github.com/aspnet/AspNetCore",aspnet-product,1929
