,Url,Description,Topics,Stars
0,https://github.com/webpack/webpack.git,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","webpack,javascript,module-bundler,loaders,plugins,build-tool,web,web-performance,compiler,javascript-compiler,commonjs,amd,esm,es6,es2015,javascript-modules",58228
0,https://github.com/bumptech/glide.git,An image loading and caching library for Android focused on smooth scrolling,"android,imageloader,gif,disk-cache,glide",31169
0,https://github.com/blueimp/jQuery-File-Upload.git,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",,31033
0,https://github.com/carbon-app/carbon.git,:black_heart: Create and share beautiful images of your source code,"carbon,javascript,beautiful,snippets,github-gist,sharing,education,tweet,presentation",27465
0,https://github.com/wagoodman/dive.git,A tool for exploring each layer in a docker image,"docker,docker-image,inspector,explorer,cli,tui",26144
0,https://github.com/IanLunn/Hover.git,"A collection of CSS3 powered hover effects to be applied to links, buttons, logos, SVG, featured images and so on. Easily apply to your own elements, modify or just use for inspiration. Available in CSS, Sass, and LESS.","css-effects,css,sass",24161
0,https://github.com/SDWebImage/SDWebImage.git,Asynchronous image downloader with cache support as a UIImageView category,"macos,ios,watchos,image,jpeg,png,gif,webp,cache,objective-c,swift,cocoapods,carthage,sdwebimage",23541
0,https://github.com/nagadomi/waifu2x.git,Image Super-Resolution for Anime-Style Art,"waifu2x,torch,super-resolution",21156
0,https://github.com/dimsemenov/PhotoSwipe.git,"JavaScript image gallery for mobile and desktop, modular, framework independent",,21017
0,https://github.com/balena-io/etcher.git,"Flash OS images to SD cards & USB drives, safely and easily.","etcher,sd-cards,cross-platform,usb-drives",20520
0,https://github.com/BradLarson/GPUImage.git,An open source iOS framework for GPU-based image and video processing,,19740
0,https://github.com/lovell/sharp.git,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.","javascript,webp,image-processing,jpeg,png,nodejs,tiff,svg,typical,libvips,exif,icc,image,performance,crop,resize,overlay,sharp,avif",19657
0,https://github.com/onevcat/Kingfisher.git,"A lightweight, pure-Swift library for downloading and caching images from the web.","swift,kingfisher,image,cache,filters,image-processor,xcode,ios,macos",18425
0,https://github.com/square/picasso.git,A powerful image downloading and caching library for Android,,17968
0,https://github.com/nostra13/Android-Universal-Image-Loader.git,"Powerful and flexible library for loading, caching and displaying images on Android.",,16808
0,https://github.com/facebook/fresco.git,An Android library for managing images and the memory they use.,,16572
0,https://github.com/ShareX/ShareX.git,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.","screen-capture,screen-recorder,file-sharing,file-upload,url-shortener,color-picker,region-capture,imgur,dropbox,gif,gif-recorder,ocr,productivity,image-annotation,ftp,share,screenshot,sharex,capture,csharp",16024
0,https://github.com/dropzone/dropzone.git,"{""Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars.""}","dropzone,javascript,drag-and-drop,javascript-library,file-upload",15675
0,https://github.com/aFarkas/lazysizes.git,"High performance and SEO friendly lazy loader for images (responsive and normal), iframes and more, that detects any visibility changes triggered through user interaction, CSS or JavaScript without configuration.","javascript,lazyload,lazy-evaluation,lazysizes,responsive-images,performance",15154
0,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix.git,Image-to-Image Translation in PyTorch,"pytorch,gan,cyclegan,pix2pix,deep-learning,computer-vision,computer-graphics,image-manipulation,image-generation,generative-adversarial-network,gans",14994
0,https://github.com/oblador/react-native-vector-icons.git,Customizable Icons for React Native with support for image source and full styling.,"react-native,icon,icon-pack,ui",14799
0,https://github.com/tzutalin/labelImg.git,🖍️ LabelImg is a graphical image annotation tool and label object bounding boxes in images,"python2,python3,annotations,tools,imagenet,deep-learning,detection,recognition,image-classification",14270
0,https://github.com/jantic/DeOldify.git,A Deep Learning based project for colorizing and restoring old images (and video!),,13535
0,https://github.com/GoogleChromeLabs/squoosh.git,"Make images smaller using best-in-class codecs, right in the browser.",,12938
0,https://github.com/hashicorp/packer.git,Packer is a tool for creating identical machine images for multiple platforms from a single source configuration.,,12838
0,https://github.com/vicc/Chameleon.git,"Color framework for Swift & Objective-C (Gradient colors, hexcode support, colors from images & more).",,12524
0,https://github.com/Curzibn/Luban.git,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法,"luban,android,image-compression",12488
0,https://github.com/zhihu/Matisse.git,:fireworks: A well-designed local image and video selector for Android,"android,android-library,android-image-picker,android-image-selector,video-selector",11962
0,https://github.com/Intervention/image.git,PHP Image Manipulation,"php,laravel,image,manipulation,intervention,gd,imagick,thumbnail,watermark",11875
0,https://github.com/android-hacker/VirtualXposed.git,"A simple app to use Xposed without root, unlock the bootloader or modify system image, etc.","xposed,android,non-root,hook,aop",11698
0,https://github.com/jwagner/smartcrop.js.git,Content aware image cropping,"smartcrop,javascript,nodejs,image-processing",11665
0,https://github.com/leandromoreira/digital_video_introduction.git,"A hands-on introduction to video technology: image, video, codec (av1, vp9, h265) and more (ffmpeg encoding).","video,codec,audio,learning,tutorial,guide,bitstream,video-codec,h264,h265,av1,compression,arithmetic-coding,frame-types,adaptive-streaming,dash,vp9,hls,ffmpeg,handson",11594
0,https://github.com/faressoft/terminalizer.git,🦄 Record your terminal and generate animated gif images or share a web player,"terminal,record,capture,shot,bash,powershell,gif,animated,generate,theme,colors,font,repeat,command-line,shell,zsh,bash-profile,render,tty,pty",11495
0,https://github.com/fogleman/primitive.git,Reproducing images with geometric primitives.,"go,graphics,art,primitives",11429
0,https://github.com/oliver-moran/jimp.git,"An image processing library written entirely in JavaScript for Node, with zero external or native dependencies.",,11171
0,https://github.com/alexjc/neural-enhance.git,Super Resolution for images using deep learning.,,11155
0,https://github.com/aleju/imgaug.git,Image augmentation for machine learning experiments.,"image-augmentation,machine-learning,augmentation,deep-learning,images,affine-transformation,polygon,heatmap,segmentation-maps,keypoints,bounding-boxes,augment-images,crop,contrast",11122
0,https://github.com/AliaksandrSiarohin/first-order-model.git,This repository contains the source code for the paper First Order Motion Model for Image Animation ,"deep-learning,image-animation,generative-model,motion-retargeting",11115
0,https://github.com/alex000kim/nsfw_data_scraper.git,Collection of scripts to aggregate image data for the purposes of training an NSFW Image Classifier,"nsfw-classifier,nsfw,deep-learning,content-moderation,pornography,machine-learning",10761
