,Url,Description,Topics,Stars
0,https://github.com/bitcoin/bitcoin.git,Bitcoin Core integration/staging tree,"bitcoin,c-plus-plus,p2p,cryptocurrency,cryptography",53633
0,https://github.com/strongloop/loopback.git,LoopBack makes it easy to build modern applications that require complex integrations.,,13300
0,https://github.com/barryvdh/laravel-debugbar.git,Laravel Debugbar (Integrates PHP Debug Bar),"laravel,debugbar,hacktoberfest",12672
0,https://github.com/Semantic-Org/Semantic-UI-React.git,The official Semantic-UI-React integration,"react,semantic-ui,component-library,components,javascript-libraries,javascript-library,frontend-framework,frontend-components,react-components,react-library,js-library",12251
0,https://github.com/Eloston/ungoogled-chromium.git,"Google Chromium, sans integration with Google","chromium,inox,iridium,privacy,control,transparency,google-chromium",12057
0,https://github.com/medcl/elasticsearch-analysis-ik.git,"The IK Analysis plugin integrates Lucene IK analyzer into elasticsearch, support customized dictionary.","elasticsearch,ik-analysis,analyzer,java",12019
0,https://github.com/spree/spree.git,"Open Source multi-language/multi-currency/multi-store E-commerce platform for Ruby on Rails with a modern UX, PWA frontend, REST API, GraphQL, several official extensions, and 3rd party integrations. ","spree,spreecommerce,rails,ecommerce,e-commerce,ruby,rubyonrails,cart,headless-commerce,ecommerce-platform,store,shop,spree-commerce,graphql",11244
0,https://github.com/wenzhixin/bootstrap-table.git,"An extended table to integration with some of the most widely used CSS frameworks. (Supports Bootstrap, Semantic UI, Bulma, Material Design, Foundation, Vue.js)","bootstrap,table,pagination,checkbox,radio,datatables,css,css-framework,semantic-ui,bulma,material-design,materialize,foundation,semantic,material,vuejs,vuejs2,vue,bootstrap-table",10819
0,https://github.com/howdyai/botkit.git,"Botkit is an open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.","botkit,botkit-studio,microsoft-bot-framework,bot-application,slack,facebook,twilio,cisco-spark,bots,sms,conversational-ui,workplacebyfacebook,microsoft-teams,bot,facebook-bot,facebook-messenger,glitch,making-bots,web-bot,chatbot",10336
0,https://github.com/JessYanCoding/MVPArms.git,"⚔️ A common architecture for Android applications developing based on MVP, integrates many open source projects, to make your developing quicker and easier (一个整合了大量主流开源项目高度可配置化的 Android MVP 快速集成框架). ","mvp,rxjava,retrofit2,dagger2,architectural,wiki-documentation,android,android-library,android-application,android-architecture,architecture,model-view-presenter,presenter,mvp-library,mvp-architecture,butterknife,mvp-android,mvp-pattern,mvparms,arms",10033
