,Url,Description,Topics,Stars
0,https://github.com/taosdata/TDengine.git,An open-source big data platform designed and optimized for the Internet of Things (IoT).,"iot,bigdata,time-series,database,industrial-iot,connected-vehicles,full-stack,monitoring",14876
0,https://github.com/hybridgroup/gobot.git,"Golang framework for robotics, drones, and the Internet of Things (IoT)","robotics,iot,drone,go,robot,uav,arduino,raspberry-pi,beaglebone,beaglebone-black,intel-joule,sphero,bluetooth,gpio,i2c,internet-of-things,intel-edison,hardware,mqtt,bluetooth-le",7147
0,https://github.com/jerryscript-project/jerryscript.git,Ultra-lightweight JavaScript engine for the Internet of Things.,"javascript-engine,javascript,jerryscript,internet-of-things,iot",5828
0,https://github.com/hybridgroup/cylon.git,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)","javascript,arduino,beaglebone-black,raspberry-pi,gpio,i2c,sphero,chip,iot,internet-of-things,intel-joule,intel-edison,bluetooth-low-energy,robotics,drones",3802
0,https://github.com/ARMmbed/mbed-os.git,Arm Mbed OS is a platform operating system designed for the internet of things,,3760
0,https://github.com/contiki-os/contiki.git,"The official git repository for Contiki, the open source OS for the Internet of Things",,3341
0,https://github.com/jerryscript-project/iotjs.git,Platform for Internet of Things with JavaScript http://www.iotjs.net ,,2405
0,https://github.com/blynkkk/blynk-server.git,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes","java,iot,netty,blynk-server,internet-of-things,arduino,raspberry-pi,mqtt,esp8266,iot-platform,http,websockets,home-automation,ota,blynk,esp32,particle-photon,rest-api,ssl-certificate,hardware",2216
0,https://github.com/HQarroum/awesome-iot.git,🤖 A curated list of awesome Internet of Things projects and resources.,"awesome-list,internet-of-things",2133
0,https://github.com/phodal/designiot.git,教你设计物联网系统。构建自己的Internet of Things 。,"iot,iot-design,desing-iot,internet-of-things,mqtt,coap,github-books",1926
0,https://github.com/hybridgroup/artoo.git,"Ruby framework for robotics, drones, and the Internet of Things (IoT)",,1536
0,https://github.com/lelylan/lelylan.git,Open Source Lightweight Microservices Architecture for the Internet of Things. For developers.,"iot,lelylan,microservice,architecture,docker,hardware",1497
0,https://github.com/kaaproject/kaa.git,"Kaa Internet of Things platform for device management, data collection, analytics and visualization, remote control, software updates and more","iot,platform,embedded,kaa-platform",1274
0,https://github.com/phodal/iot.git,"IoT, 这是一个最小Internet of Things ，一个Internet of Things相关的毕业设计产生的一个简化的物联网系统。 。","iot,python,laravel,php,interner-of-things,iot-projects,iot-framework",987
0,https://github.com/iobridge/thingspeak.git,"ThingSpeak is an open source “Internet of Things” application and API to store and retrieve data from things using HTTP over the Internet or via a Local Area Network. With ThingSpeak, you can create sensor logging applications, location tracking applications, and a social network of things with status updates.",,973
0,https://github.com/sitewhere/sitewhere.git,"SiteWhere is an industrial strength open-source application enablement platform for the Internet of Things (IoT). It provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture.  SiteWhere provides REST APIs for all system functionality.  SiteWhere provides SDKs for many common device platforms including Android, iOS, Arduino, and any Java-capable platform such as Raspberry Pi rapidly accelerating the speed of innovation.","sitewhere,internet-of-things,integration,device-management,iot,iot-platform,platform,mqtt,iot-framework,java,arduino,raspberry-pi,android,open-source,aws,kafka,zookeeper,microservices,kubernetes,helm",808
0,https://github.com/dathlin/HslCommunication.git,"A very popular industrial Internet of Things communication plug-in. Using this dll can be very convenient, stable, and fast to obtain data from PLC equipment of multiple brands, and also supports redis, mqtt, websocket, etc., which can let your data on the network Free transmission, reducing enterprise development costs.","modbus,siemens,hslcommunication,redis,melsec,panasonic,omron,allen-bradley",634
0,https://github.com/microsoft/Windows-iotcore-samples.git,Official code samples repository for Windows 10 Internet of Things (IoT),"ms-iot,iot,internet-of-things",590
0,https://github.com/phodal/lan.git,"Internet of Things Server Layer with CoAP, WebSocket, MQTT, HTTP Protocol.",,526
