,Url,Description,Topics,Stars
0,https://github.com/adammck/terraform-inventory.git,Terraform State → Ansible Dynamic Inventory,"go,ansible,terraform",1513
0,https://github.com/nexB/scancode-toolkit.git,":mag_right: ScanCode detects licenses, copyrights, package manifests & dependencies and more by scanning code ... to discover and inventory open source and third-party packages used in your code.","license,copyright,packages,dependencies,foss,license-management,spdx,provenance,license-scan,package-scan,copyright-scan,licensing,spdx-licenses,spdx-license,open-source-licensing,oss-compliance,compliance,license-checking,software-composition-analysis,open-source-tooling",1173
0,https://github.com/partkeepr/PartKeepr.git,Open Source Inventory Management,"javascript,php,partkeepr,inventory",876
0,https://github.com/nornir-automation/nornir.git,Pluggable multi-threaded framework with inventory management to help operate collections of devices,,815
0,https://github.com/Nuklon/Steam-Economy-Enhancer.git,Enhances the Steam Inventory and Steam Market.,"steam-economy-enhancer,steam-market,steam-inventory",778
0,https://github.com/msikma/pokesprite.git,Database project of box and inventory sprites from the Pokémon core series games,"icons,sprites,pokemon,pokedex",503
0,https://github.com/byt3bl33d3r/WitnessMe.git,"Web Inventory tool, takes screenshots of webpages using Pyppeteer (headless Chrome/Chromium) and provides some extra bells & whistles to make life easier.","security-tools,web-inventory,screenshots,osint,python3,chromium,chromium-headless,reconnaissance,security",459
0,https://github.com/mantl/terraform.py.git,Ansible dynamic inventory script for parsing Terraform state files,,404
0,https://github.com/mauricecalhoun/inventory.git,Inventory Management for Laravel 4 / 5,,389
0,https://github.com/wagoodman/bridgy.git,cloud inventory + ssh + tmux + sshfs,"aws,ec2,ssh,tmux,sshfs,inventory",377
0,https://github.com/freeCodeCamp/pantry-for-good.git,An open source food bank logistics and inventory management tool,"opensourceforgood,food-banks,food,nonprofit,nonprofits,nonprofit-organizations,charity,inventory-management",351
0,https://github.com/devops-israel/aws-inventory.git,AWS Inventory in a single HTML file using JS AWS-SDK & Bootstrap,"aws,aws-sdk-js",345
0,https://github.com/Orange-Cyberdefense/arsenal.git,Arsenal is just a quick inventory and launcher for hacking programs,,345
0,https://github.com/dropbox/nsot.git,Network Source of Truth is an open source IPAM and network inventory database,"python,ipam,network-inventory,source-of-truth,ssot,networking,network-engineers,network-admin,network-monitoring,django,django-rest-framework,ip-address",341
0,https://github.com/SocketCluster/sc-crud-sample.git,Sample real-time CRUD inventory tracking app built with SocketCluster,"rethinkdb,socketcluster,polymer,real-time,realtime,rest,crud",323
0,https://github.com/go2ismail/Asp.Net-Core-Inventory-Order-Management-System.git,"Project example Asp.Net Core Mvc implementation of inventory order management system. warehouse, product, vendor, customer, purchase order, sales order, shipment, goods receive and more.","asp-net-core,entity-framework-core,adminlte,inventory-management,order-management,supply-chain-management,vendor,customer,purchase-order,sales-order,shipment,receiving,syncfusion,project-example",318
0,https://github.com/inventree/InvenTree.git,Open Source Inventory Management System,,317
0,https://github.com/openboxes/openboxes.git,OpenBoxes is a supply chain management system designed to manage inventory and track stock movements for healthcare facilities.,"inventory-management,warehouse-management,shipment-tracking,healthcare,disaster-response,hacktoberfest,grails",317
0,https://github.com/amirsanni/Mini-Inventory-and-Sales-Management-System.git,An Inventory and Sales Management System written in PHP (codeIgniter) with support for MySQL and Sqlite3 databases,"inventory,php,mysql,sqlite3-database,codeigniter",283
0,https://github.com/nbering/terraform-provider-ansible.git,"""Logical"" provider for integrating with an Ansible Dynamic Inventory script.","terraform,terraform-provider,ansible-inventory",277
0,https://github.com/magento/inventory.git,Magento Inventory Project (a.k.a MSI),"inventory,magento2,magento,cataloginventory,cqrs,php,msi,magentomsi",275
0,https://github.com/awslabs/aws-perspective.git,"AWS Perspective is a solution to visualize AWS Cloud workloads. Using Perspective you can build, customize, and share detailed architecture diagrams of your workloads based on live data from AWS. Perspective works by maintaining an inventory of the AWS resources across your accounts and regions, mapping relationships between them and displaying them in the Web User Interface (Web UI). When you need to make changes to a resource, Perspective saves time by providing a link to the resource in the AWS Console.","aws,architecture-visualization,architecture-diagram",257
