,Url,Description,Topics,Stars
0,https://github.com/alvarcarto/url-to-pdf-api.git,"Web page PDF/PNG rendering done right. Self-hosted service for rendering receipts, invoices, or any content.","pdf,chrome,receipt,heroku,puppeteer,invoice,heroku-button,html,headless,headless-chrome",6413
0,https://github.com/invoiceninja/invoiceninja.git,"Invoices, Expenses and Tasks built with Laravel and Flutter","php,expenses,javascript,invoices,tasks,laravel,payments,time-tracker,kanban,proposals,invoice,flutter",5882
0,https://github.com/hql287/Manta.git,🎉 Flexible invoicing desktop app with beautiful & customizable templates.,"invoice,invoice-pdf,invoice-generator,invoice-template,invoicing-application,invoicing-software,electron-app,electronjs,react,reactjs,react-redux,electron-react,react-app,webpack,freelancer,electron,customizable-templates,freelancing,taxes,receipt",5111
0,https://github.com/bytefury/crater.git,Free & Open Source Invoice App for Freelancers & Small Businesses,"invoices,php,laravel,javascript,vue,payment,laravel-framework",3893
0,https://github.com/Dolibarr/dolibarr.git,"{""Dolibarr ERP CRM is a modern software package to manage your company or foundation activity (contacts, suppliers, invoices, orders, stocks, agenda, accounting, ...).It's opensource software (wrote with PHP language) designed for small and medium companies, foundation and freelances. You can freely install, use and distribute it as a standalone application or as a web application to use it from every internet access and media.""}","erp,crm,accounting,quotations,invoicing,stocks,agenda,human-resource-managment,php,mysql,postgresql,suppliers,orders,proposal,sales,purchase,invoice,stock,hacktoberfest,invoices",2470
0,https://github.com/InvoicePlane/InvoicePlane.git,"A self-hosted open source application for managing your invoices, clients and payments.","php,invoices,invoicing,open-source,crm,billing,invoiceplane,codeigniter",1826
0,https://github.com/naiveHobo/InvoiceNet.git,Deep neural network to extract intelligent information from invoice documents.,"invoice,invoice-management,invoices,invoice-insight,classification,deep-learning,deep-neural-networks,deeplearning,keras,keras-tensorflow,keras-neural-networks,invoice-pdf,invoice-parser,invoice-software,information-retrieval,information-extraction,billing",1728
0,https://github.com/kevinpapst/kimai2.git,"Kimai v2 is a web-based multiuser time-tracking application. Free for everyone: freelancers, agencies, companies, organizations - all can track their times, generate invoices and more. SaaS version available at https://www.kimai.cloud","timetracker,timetracking,symfony4,doctrine,twig,adminlte,kimai,symfony-application,time-tracker,time-tracking,invoice,symfony,php,php7,multilanguage,user-management,self-hosted,freelancers,invoicing",1275
0,https://github.com/sparksuite/simple-html-invoice-template.git,"A modern, clean, and very simple responsive HTML invoice template","invoice,html-template,css",1014
0,https://github.com/delight-im/HTML-Sheets-of-Paper.git,"Word processor in your browser using HTML and CSS (for invoices, legal notices, etc.)",,1011
0,https://github.com/invoice-x/invoice2data.git,Extract structured data from PDF invoices,"python,data-mining",986
0,https://github.com/invoiceninja/admin-portal.git,Invoice Ninja client built with Flutter,"flutter,invoice-ninja,mobile,ios,android,invoice,redux",949
0,https://github.com/cmichi/latex-template-collection.git,"Collection of different LaTeX/XeTeX templates (cv, invoices, timesheets, letters, etc.).",,910
0,https://github.com/strzibny/invoice_printer.git,Super simple PDF invoicing,"pdf-invoice,invoice-pdf,pdf-generation,prawn,invoice,server,command-line-tool",689
0,https://github.com/metaware/angular-invoicing.git,Create free and unlimited one off invoices using this little Invoicing app made with Angular JS,,654
0,https://github.com/mrzool/invoice-boilerplate.git,Simple automated LaTeX invoicing system,"latex,pandoc,makefile,yaml,typesetting,pdf",610
0,https://github.com/vteams/open-source-billing.git,Open Source Billing a super simple way to create and send invoices and receive payments online. ,,594
0,https://github.com/LaravelDaily/laravel-invoices.git,Laravel package to generate PDF invoices from various customizable parameters,,390
0,https://github.com/tlhunter/neoinvoice.git,DEFUNCT: PHP/MySQL: Multi-Tenant Invoice Web App,,388
0,https://github.com/SolidInvoice/SolidInvoice.git,Simple and elegant invoicing solution.,"invoice,quotes,billing,invoicing,billing-application,invoicing-application,hacktoberfest",306
0,https://github.com/ConsoleTVs/Invoices.git,Generate PDF invoices for your customers in laravel,"laravel,pdf,generate,invoice,pdf-invoice,download,modern",305
0,https://github.com/siwapp/siwapp.git,Online Invoice Management in Ruby On Rails.,"invoice,invoice-pdf,ruby,heroku,rails,invoicing-application,invoicing",300
0,https://github.com/tony-landis/agilebill.git,Open source billing and invoicing,,295
0,https://github.com/Invoiced/invoice-generator-api.git,A free API for generating invoice PDFs,"invoice-generator,invoice-pdfs,invoice-template",284
0,https://github.com/PunitGr/QuickBill.git,Create unlimited invoices for free.,"quickbill,reactjs,react-router,react-redux,webpack,es6,javascript,progressive-web-app,invoice-generator,invoice,invoice-pdf,flowtype,unlimited-invoices,pdf",281
0,https://github.com/excid3/receipts.git,Easy receipts and invoices for your Rails applications,"receipt,ruby,pdf,pdf-receipt,rails-application",265
0,https://github.com/substack/invoicer.git,generate pdf invoices from json,,259
0,https://github.com/madisvain/upcount.git,Invoicing for freelancers & small businesses,"invoicing,electron,cross-platform,offline-first,react,hacktoberfest",247
0,https://github.com/TheWebFosters/project-camp.git,"Open source Project Management, CRM, Support & Invoicing application. Developed using Laravel PHP framework, Vuetify VueJS",,240
0,https://github.com/tophermade/sprInvoice.git,"A simple, fully responsive, & easy to use static invoice template.",,230
0,https://github.com/simpleinvoices/simpleinvoices.git,"{""Making invoicing rock since '05.""}",,223
0,https://github.com/iloire/asp.net-mvc-example-invoicing-app.git,Example invoicing application in ASP.NET MVC3,,219
0,https://github.com/poowf/invoiceneko.git,An Open Sourced Invoice System developed for anyone who needs to generate out an invoice and manage clients,"laravel,accounting,invoicing,software,invoice-management,invoice-software,php,billing,payments,invoice,invoiceneko,quote",209
0,https://github.com/ept/invoicing.git,Ruby invoicing framework gem,,206
0,https://github.com/invoiceninja/dockerfiles.git,Docker files for Invoice Ninja,"invoice-ninja,dockerfile,docker,docker-compose,invoiceninja",204
0,https://github.com/mokuappio/serverless-invoices.git,Create and manage invoices in your browser. Serverless Invoices is a free invoicing tool for freelancers and small businesses. Made with Vue.js.,"serverless-invoices,moku,invocing,invoice-generator,invoice-maker,invoicing-software,vue",183
0,https://github.com/huerlisi/bookyt.git,"Bookyt is a bookkeeping/ERP application designed for small-to-medium-sized companies. It can handle debit invoices, credit invoices, projects with timelogs, swiss salary management, and much more.",,183
0,https://github.com/inshopgroup/inshop-crm-api.git,"{""Inshop CRM / ERP API. It's powerful framework allows to build systems for business with different workflows. It has on board multi language support, clients management, projects & tasks, documents, simple accounting, inventory management, orders & invoice management, possibilities to integrate with third party software, REST API, and many other features.""}","symfony,api-platform,erp,crm,php,elasticsearch,postgresql",183
0,https://github.com/bytefury/crater-mobile.git,Crater Invoice App mobile app built with React Native,"react,react-native,expo,crater,android,ios,invoice",179
0,https://github.com/simonluijk/django-invoice.git,Django invoicing app,,160
0,https://github.com/derekallard/BambooInvoice.git,"No longer maintained. BambooInvoice is free Open Source invoicing software intended for small businesses and independent contractors. Built on CodeIgniter, its priorities are ease of use, user-interface, and beautiful code.",,155
0,https://github.com/ianmurrays/active_invoices.git,Very simple invoicing application built with Ruby on Rails and ActiveAdmin,,152
0,https://github.com/inshopgroup/inshop-crm-client.git,"{""Inshop CRM / ERP Client. It's powerful framework allows to build systems for business with different workflows. It has on board multi language support, clients management, projects & tasks, documents, simple accounting, inventory management, orders & invoice management, possibilities to integrate with third party software, REST API, and many other features.""}","vue,vuex,rest-api,crm,erp,vuetify,javascript",145
0,https://github.com/mkropat/dapper-invoice.git,A billable-time invoice featuring style over substance,"latex,invoice",138
0,https://github.com/OCA/account-invoicing.git,Odoo Invoicing Extension Addons,,137
0,https://github.com/appcoda/Print2PDF.git,An invoice demo showing you how to create PDF documents using HTML templates in iOS,,130
0,https://github.com/sandervanhooft/laravel-invoicable.git,Easy invoice creation for Laravel,"laravel,invoice,invoice-pdf,eloquent",122
0,https://github.com/Invoicebus/html-invoice-generator.git,JavaScript tool that will transform your HTML invoice template to fully functional invoice editor,,122
0,https://github.com/beigirad/ZigzagView.git,a zigzag view  for using for ticket or invoice ,"android,customview,canvas,invoice,zigzag,invoiceview,ticket",121
0,https://github.com/ETDA/e-TaxInvoice-PDFgen.git,e-Tax Invoice by Email - PDF Generator on PC,,113
0,https://github.com/samber/invoice-as-a-service.git,💰 Simple invoicing service (REST API): from JSON to PDF,"invoice,saas,api,hosted,laravel,pdf,stripe,braintree,paypal,paymentwall,self-hosted,json,rest,nocode",112
