,Url,Description,Topics,Stars
0,https://github.com/MohGovIL/hamagen-react-native.git,"{""Israel's Ministry of Health's COVID-19 Exposure Prevention App""}","covid-19,coronavirus",513
0,https://github.com/eshaham/israeli-bank-scrapers.git,Provide scrapers for all major Israeli banks and credit card companies,,289
0,https://github.com/JonathanDn/vue-companies-israel.git,A curated list of Israeli product companies/product companies who hire Israelis - who work with Vue JS (Sorted alphabetically),,117
0,https://github.com/lirantal/awesome-opensource-israel.git,"A curated list of Israeli-made projects, events, and individuals","awesome,awesome-list,open-source,israel,israeli,opensource",110
0,https://github.com/cubicle-vdo/xbmc-israel.git,XBMC Israeli streaming repo for streaming sites,,91
0,https://github.com/barzik/web-dev-il-resources.git,My Israeli Web Dev Sources List,,71
0,https://github.com/hasadna/open-bus.git,"{"":bus: Analysing Israel's public transport data""}","transport,open-data,gtfs,siri,transit,transit-data",55
0,https://github.com/eladnava/redalert-android.git,An Android app that provides real-time rocket alerts for Israeli citizens.,,51
0,https://github.com/idandrd/israel-covid19-data.git,Simple charts of COVID-19 spread in Israel,,50
0,https://github.com/IsraelHikingMap/Site.git,This repository holds the files needed for running the Israel Hiking Map site and apps.,"hacktoberfest,navigation,app,maps",44
0,https://github.com/baruchiro/israeli-bank-scrapers-desktop.git,Secure desktop app for retriving your transactions from all israeli banks and credit cards,"israeli-bank-scrapers,credit-cards,electron,vue,transactions,finance,scraper,banking-applications",39
0,https://github.com/oferb/israelcoronamap.git,A website that shows Coronavirus cases in Israel,,36
0,https://github.com/eshaham/israeli-ynab-updater.git,A tool for updating YNAB using israeli-bank-scrapers,,32
0,https://github.com/OpenBudget/BudgetKey.git,Opening the Israeli Budget!,,30
0,https://github.com/sugarso/MappedInIsrael.git,"{""Israel's tech jobs, startups, incubators and investors iOS App""}",,30
0,https://github.com/ypeleg/Deep-Learning-Keras-Tensorflow-PyCon-Israel-2017.git,Long live PyCon Israel!,,28
0,https://github.com/IsraelHikingMap/Map.git,:warning:This repository is not actively maintained after the transition to vector maps.:warning:    The repository holds the code for the old Israel Hiking and MTB raster maps.,,27
0,https://github.com/brafdlog/hiuvi.git,Automated budget tracking from Israeli financial institutions,"ynab,budget-tracking,israeli,finance-management,budget,finance",26
0,https://github.com/GuyLewin/israel-finance-telegram-bot.git,Telegram bot that scrapes and sends notifications about bank and credit card charges using using israeli-bank-scrapers,,25
0,https://github.com/justinfx/tutorials.git,Collection repository for tutorials authored by Justin Israel,,23
0,https://github.com/elad661/curlbus.git,Terminal based UI for Israeli public transit data,"ascii-art,unicode-art,transit,public-transport",23
0,https://github.com/vue-js-israel/awesome-vuejs-israel.git,A curated list of Israeli companies & organisations who chose Vue JS,,21
0,https://github.com/guytepper/better-rail.git,An alternative mobile client for Israel Railways,"israel,public-transport,react-native",21
0,https://github.com/YoavRamon/post-check.git,Scraper that checks if your package arrived at the Israeli Post office,"scraper,israel,post",21
0,https://github.com/hasadna/OpenTrainCommunity.git, Opentrain repository for community data analysis of Israel Railways train delay data.,,21
0,https://github.com/amiram/Elections.git,Israeli elections analyzer,,20
0,https://github.com/Sealights/israeli-queue.git,in-memory israeli-queue data structure influenced by:,"priority-queue,mutation-testing,queue,data-structures,israel",19
0,https://github.com/OpenBudget/open-budget-frontend.git,Israeli budget web apps,,17
0,https://github.com/MichalPorag/IsraelTechWriters.git,"This repo aim to gather all Israelis tech writer, feel free to open Pull Request and add your self❤️",,17
0,https://github.com/hasadna/open_pension.git,":chart_with_upwards_trend: Open Pension is a ""Hasadna"" project, that aimed to revealing the secrets behind the Israeli pension market.",,16
0,https://github.com/david35008/Israel-Map-Game.git,"Google map game in which the user gets a random israeli city, village or settlement and the user needs to pin point the location in a live map (with no labels).",,16
0,https://github.com/Zontex/red-alert.git,Israeli Pikud Haoref Missle detection API,"irondome,israel,security,alerts,redalert,il,gaza,gazastrip,python,requests,safe,siren",15
0,https://github.com/akariv/gov-watch.git,Israeli Government watch - for more accountability and less excuses...,,14
0,https://github.com/SgtTepper/RedAlert.git,A notebook to collect and process data on rocket launching alerts in Israel.,,14
0,https://github.com/lirantal/women-of-open-source-israel.git,WOSI - Women of Open Source Israel 🇮🇱,,13
0,https://github.com/dibaunaumh/Ecclesia.git,"A social/political platform, developed for the Israeli Movement for Direct Democracy",,13
0,https://github.com/devops-israel/dockerfiles.git,Dockerfiles used by Devops Israel.,,12
0,https://github.com/georgybu/IID_Generator.git,Israel ID Generator and validator,,12
0,https://github.com/erasta/CovidDataIsrael.git,Analyze Covid-19 data from ministery of health in Israel,"covid-19,python,israel,health,javascript,react,leaflet,chartjs",12
0,https://github.com/intval/phpguide.git,The code for the Israel php community (phpguide),,11
0,https://github.com/maorcc/citymind_water_meter.git,"Home Assistant Integration with cp.city-mind.com, an Israeli water meters reading service","home-assistant,water-meter,israel",11
0,https://github.com/nodejsil/lecture-topics.git,Lecture topics for the Israeli Node.js community monthly meetups,,11
0,https://github.com/dancarmoz/israel_moh_covid_dashboard_data.git,"{""Data pulled from the Israeli Minsitry of Health's COVID-19 dashboard's API.""}",,10
0,https://github.com/EasyKayzey/CASprzak.git,CASprzak is a Computer Algebra System by EasyKayzey (Erez Israeli Miller and Michael Kasprzak),"math,cas,parsing,computer-algebra-system,differentiation,integration,hacktoberfest",10
0,https://github.com/yonicd/supermarketprices.git,read daily suprmarket data in all israel stores,,10
0,https://github.com/akariv/geostatil.git,Get detailed statistical data on any point in Israel.,,10
0,https://github.com/arikfe/IRTadiran.git,IRTadiran is an extention for IRRemote for Tadiran AC devices common in israel,,10
0,https://github.com/tylerbarnum/perchlorate-metagenome-2018.git,"Scripts used in the publication Tyler P. Barnum, Israel A. Figueroa, Charlotte I. Carlström, Lauren N. Lucas, Anna L. Engelbrektson, and John D. Coates. (2018)\xa0Genome-resolved metagenomics identifies genetic mobility, metabolic interactions, and\xa0unexpected\xa0diversity\xa0in perchlorate-reducing communities.",,10
0,https://github.com/atlanteh/israeli-id-validator.git,Israeli ID validator,,9
0,https://github.com/hasadna/openlaw-bot.git,Israel updated book of laws,,9
0,https://github.com/Urigo/israeli-bank-scrapers-modern-schemas.git,A new architecture for Poalim bank scraper to hopefully merge into Israeli-bank-scrapers when they are ready,,9
0,https://github.com/ravignir/Ancient-Civilizations.git,"{""(Update 11.01.21) Ravignir's Ancient Civilizations mod for unciv. 11 new civs (Sumeria, Israel, Phoenicia, the Hittites, Armenia, Macrobia, Olmec, Nok, Himyar, Epirus and Scythia)""}",unciv-mod,9
0,https://github.com/royts/israel-cities.git,list if cities in israel,,8
0,https://github.com/hasadna/knesset-data.git,APIs and documentation to allow getting data from the Israeli Parliament (Knesset),,8
0,https://github.com/kodi-il/radio-il.git,Radio-IL: Israeli Radio Stations Playlist,,8
0,https://github.com/Midburn/Volunteers.git,A module for managing volunteers at Midburn – the Israeli Burning Man community,,8
0,https://github.com/Sharonio/VideoThat.git,DataHack 2019 Israel,,8
0,https://github.com/eranshmil/angular-companies-israel.git,A curated list (sorted alphabetically) of Israeli companies (or remote positions from Israel) that uses Angular.,"israel,angular,company,list,javascript,work",8
0,https://github.com/yoavram/PyConIL2016.git,How to Study Evolution Using Scientific Python - PyCon Israel 2016,,8
0,https://github.com/yuvadm/geolocations-il.git,A single .geojson file with the geolocation of all the major cities and towns in Israel,,8
0,https://github.com/dvircohen/kan-for-kodi.git,This is a tiny add-on for Kodi that allow you to watch Kan (Israeli TV channel) Youtube videos,,8
0,https://github.com/benyaming/israel_bus_info_bot.git,Telegram bot for Israel that provides real time of bus arrivenings,,8
0,https://github.com/israelcoin/Isracoin.git,Isracoin - The Israeli Cryptocurrency,,7
0,https://github.com/ya7gisa0/Unity-Visual-Effects-Graph-Practice.git,"Project data of my artwork ""Demographics of Israel: Data Sculpture""",,7
0,https://github.com/simpulton/falafel-manager.git,A falafel kiosk manager build with AngularJS and Firebase for ngConf Israel.,,7
0,https://github.com/mderazon/csu-il.git,Computer Science Unplugged Israel,,7
0,https://github.com/nonZero/js-itm.git,An old javascript library to convert between Israel Transverse Mercator and GPS (wgs84),,7
0,https://github.com/oferb/OpenTrains.git,Towards improving Israel Railways punctuality by making train delay information publicly accessible,,7
0,https://github.com/YoavRamon/Speech-Recognition-Israel.git,The repository for Speech Recognition Israel meetup group. It is used to material collection and sharing.,,7
0,https://github.com/abebual/Predicting-ICU-Patient-Clinical-Deterioration---Report.git,"For this project, I used publicly available Electronic Health Records (EHRs) datasets. The MIT Media Lab for Computational Physiology has developed MIMIC-IIIv1.4 dataset based on 46,520 patients who stayed in critical care units of the Beth Israel Deaconess Medical Center of Boston between 2001 and 2012. MIMIC-IIIv1.4 dataset is freely available to researchers across the world. A formal request should be made directly to www.mimic.physionet.org, to gain access to the data. There is a required course on human research ‘Data or Specimens Only Research’ prior to data access request. I have secured one here -www.citiprogram.org/verify/?kb6607b78-5821-4de5-8cad-daf929f7fbbf-33486907.  We built flexible and better performing model using the same 17 variables used in the SAPS II severity prediction model. The question ‘Can we improve the prediction performance of widely used severity scores using a more flexible model?’ is the central question of our project.  I used the exact 17 variables used to develop the SAPS II severity prediction algorithm. These are 13 physiological variables, three underlying (chronic) disease variables and one admission variable.  The physiological variables includes demographic (age), vital (Glasgow Comma Scale, systolic blood pressure, Oxygenation, Renal, White blood cells count, serum bicarbonate level, blood sodium level, blood potassium level, and blood bilirubin level). The three underlying disease variables includes Acquired Immunodeficiency Syndrome (AIDS), metastatic cancer, and hematologic malignancy. Finally, whether admission was scheduled surgical or unscheduled surgical was included in the model.  The dataset has 26 relational tables including patient’s hospital admission, callout information when patient was ready for discharge, caregiver information, electronic charted events including vital signs and any additional information relevant to patient care, patient demographic data, list of services the patient was admitted or transferred under, ICU stay types, diagnoses types, laboratory measurments, microbiology tests and sensitivity, prescription data and billing information.  Although I have full access to the MIMIC-IIIv1.4 datasets, I can not share any part of the data publicly. If you are interested to learn more about the data, there is a MIMIC III Demo dataset based on 100 patients https://mimic.physionet.org/gettingstarted/demo/. If you are interested to requesting access to the data - https://mimic.physionet.org/gettingstarted/access/.   Linked repositories: Exploratory-Data-Analysis-Clinical-Deterioration, Data-Wrangling-MIMICIII-Database, Clinical-Deterioration-Prediction-Model--Inferential-Statistics, Clinical-Deterioration-Prediction-Model--Ensemble-Algorithms-, Clinical-Deterioration-Prediction-Model--Logistic-Regression, Clinical-Deterioration-Prediction-Model---KNN  © 2020 GitHub, Inc.",,7
0,https://github.com/lutzky/TransportDroidIL.git,An android application to query Israeli transportation information,,6
0,https://github.com/kenegozi/kalah-prolog.git,"PROLOG implementation for the kalah game. Created as a project for ""PROLOG - aspects for AI"" of the Israeli Open University ",,6
0,https://github.com/fluhus/prices.git,Collects and parses price data from Israeli supermarkets.,,6
0,https://github.com/haggaishachar/kneset_20_21.git,A deep learning model to analyze the Israeli 20/21 election systems,,6
0,https://github.com/GabiGrin/10bisjs.git,Node.js wrapper for 10bis (Israeli food delivery aggregator) internal API-s,,6
0,https://github.com/a8m/gotips-talk-2018.git,"""Did you know that..."" talk. Go-Israel meetup, Jan 2018",,6
0,https://github.com/RooiGevaar19/RPNCalculator.git,:uk::poland::israel::denmark: Reverse Polish Notation (RPN) Calculator and interpreter of PapajScript language,"papajscript,rpn-calculator,freepascal,pascal,pascal-programming,pascal-language,lazarus,cross-platform,mathematics,computational,language,fpc",6
0,https://github.com/pyotam/Dataframe-Validation.git,"Jupyter Notebooks containing code examples from the PyCon Israel 2018 lecture: ""DataFrame Validation in Python - A Practical Introduction""",,6
0,https://github.com/akariv/obudget2.git,Open the Israeli Budget(s),,5
0,https://github.com/sh0oki/israel-rail-api.git,A Python wrapping of the Israeli Rail API,,5
0,https://github.com/soryy708/il-bank-account-validator.git,JavaScript module for Israeli Bank Account validation (sanity checking) if an account number is valid for a particular Israeli bank and branch.,,5
0,https://github.com/shlook/Wevote-IL.git,Israel Direct Party Voting System,,5
0,https://github.com/nedlir/bursapy.git,A simple python script to follow Israeli stock market papers in your portfolio.,"stock,market,israel,python,script,bursa,gmail,mail,whatsapp,wapp,sms,twilio,notification,notifier,porfolio,financial,israeli,stock-market",5
0,https://github.com/DeanLa/imoh.git,"{""Crawling Israel's Ministry of Health's epidemiological weekly reports""}","health,epidemiology,charts",5
0,https://github.com/GabMic/israeli-cities-and-streets-list.git,"Israel streets and cities list, in JSON file. updated to 07/2019 רשימת ערים ושמות רחובות של ישראל","israel,json,json-data,list",5
0,https://github.com/facn2/path-18-app.git, :mortar_board: Exposing career paths to young people in Israel,,5
0,https://github.com/NationalLibraryofIsrael/API.git,"{""National Library of Israel's APIs - Search API and IIIF APIs""}",,5
0,https://github.com/attogram/currency-exchange-rates.git,"Currency Exchange Rates Website with data from: The European Central Bank, The Swiss National Bank, The Bank of Israel, The Central Bank of the Russian Federation, and The Reserve Bank of Australia. PHP7/SQLite","currency-exchange-rates,currency-rates,currency-api,currency",5
0,https://github.com/idoivri/israel-municipalities-polygons.git,"{""Israel municipalities' geojson polygones""}",,4
0,https://github.com/solebox/WaysOfTime.git,mappy maps for national library of israel,,4
0,https://github.com/hrossman/Covid19-Survey.git,Data for the 2019 Novel Coronavirus COVID-19 Israel Survey ,,4
0,https://github.com/KaplanOpenSource/qgis-open-data.git,QGIS plugin to quickly add Israeli open data spatial resources,"qgis,opendata,israel,gis,qgis-plugin,open-data,spatial-data",4
0,https://github.com/bigShai/mikud.git,Gets an Israeli zipcode by address. lightweight & simple.,,4
0,https://github.com/ofekashery/the-channels.git,📺  An app for accessing the Israeli TV guide,"flutter,flutter-app,dart,tv-guide,israel,android,ios",4
0,https://github.com/pickeld/hassio_IsraelRails.git,Israel Rails component for HomeAssistant,,4
0,https://github.com/COVID-19-Israel/Covid-19-data.git,Covid-19-Israel data repository,"covid-19,covid-19-israel,covid19-data,covid19",4
0,https://github.com/romansky/radarpusht.git,speed traffic camera proximity alarm for Israel,,4
0,https://github.com/adav/HotOrNotCityProblems.git,Israel Tech Challenge Hackathon on Smart Cities,,4
0,https://github.com/blumzi/ASCOM.Wise40.git,"ASCOM drivers for Wise 40"" observatory at Mizpe Ramon, Israel.",,4
0,https://github.com/MarceloTerra0/Notepad.git,"A simple notepad made with PySimpleGUI, heavily inspired by https://github.com/israel-dryer",,4
0,https://github.com/fcr/HTM_Talk_Pycon_Israel_2019.git,The slides and demos for the talk at Pycon Israel 2019,,4
0,https://github.com/michaeldorman/R-Spatial-Workshop-at-CBS-2021.git,"Using R for Spatial Data Analysis, Israel Central Bureau of Statistics, 2021-01-19",,4
0,https://github.com/daonb/obudget.git,A project for opening the Israeli Budget ,,3
0,https://github.com/Israelstem/ISRAEL-STEM.git,ISRAEL STEM,"israel-stem,israel,nwo",3
0,https://github.com/kodi-il/logos-il.git,Logos-IL: Israeli TV & Radio Channels Logos for PVR Server,,3
0,https://github.com/Binternet/israel-cities.git,JSON file with all the cities in Israel,,3
0,https://github.com/CIOIL/QGIS-plugins.git,Contributed by Survey of Israel,,3
0,https://github.com/eyalfink/GovInspector.git,"{""Shares the Israeli Chief Inspector's reports in a simple, clean way.""}",,3
0,https://github.com/deepspace221/xmltv-israel.git,"xmltv epg grabbing for Israel (Yes, Hot, 4W)",,3
0,https://github.com/allenai/break-evaluator.git,Evaluator for the Break dataset (AI2 Israel),,3
0,https://github.com/rust-tlv/companies.git,Israeli companies working with Rust,,3
0,https://github.com/tsherif/gaza-data.git,Open JSON and CSV formatted data documenting the Palestinian and Israeli lives lost in the July 2014 attack on Gaza.,,3
0,https://github.com/ruby-underground-israel/ruby-underground.git,The Israeli Ruby and Rails Community,,3
0,https://github.com/GilZ/politibot.git,Create tweets that sound like Israeli politicians,,3
0,https://github.com/tddpirate/teuria.git,Prepare for the Israeli driving theory test using the Android,,3
