,Url,Description,Topics,Stars
0,https://github.com/TensorSpeech/TensorFlowTTS.git,":stuck_out_tongue_closed_eyes: TensorFlowTTS: Real-Time State-of-the-art Speech Synthesis for Tensorflow 2 (supported including English, Korean, Chinese, German and Easy to adapt for other languages)","speech-synthesis,text-to-speech,tensorflow2,melgan,fastspeech,real-time,tts,vocoder,multi-speaker-tts,fastspeech2,multiband-melgan,tacotron2,parallel-wavegan,tflite,mobile-tts,voice-cloning,zh-tts,chinese-tts,korea-tts,german-tts",1875
0,https://github.com/mandatoryprogrammer/NorthKoreaDNSLeak.git,"{""Snapshot of North Korea's DNS data taken from zone transfers.""}",,1518
0,https://github.com/konlpy/konlpy.git,Python package for Korean natural language processing.,"python,nlp,text-mining,korean,morphology,korean-nlp,hacktoberfest",1117
0,https://github.com/google/budou.git,"Budou is an automatic organizer tool for beautiful line breaking in CJK (Chinese, Japanese, and Korean).","natural-language-processing,python,web-development,cjk",980
0,https://github.com/javascript-tutorial/ko.javascript.info.git,Modern JavaScript Tutorial in Korean (모던 JavaScript 튜토리얼),"javascript,tutorial,korean,learning",884
0,https://github.com/twitter/twitter-korean-text.git,Korean tokenizer,,763
0,https://github.com/ClintJang/awesome-swift-korean-lecture.git,"훌륭한 Swift 세션 동영상(강좌), 한글 자막있는 혹은 한국어 강의 정보 링크 모음 (Awesome Swift Korean lecture information)","swift,video-lecture,korean,video-lectures-page,lecture-notes,swift-ios,ios-swift,realm,rxswift,ios,apple-swift,swift-programming,swift-learning,apple,tdd,xcode,wwdc,lldb",696
0,https://github.com/reactkr/learn-react-in-korean.git,"{""Let's learn React in Korean!!! (⚛ + 🇰🇷 = 😈 😈 😈)""}","react,redux,webpack,korean,hangul,translation",693
0,https://github.com/SKTBrain/KoBERT.git,Korean BERT pre-trained cased (KoBERT),"korean-nlp,language-model",627
0,https://github.com/datanada/Awesome-Korean-NLP.git,A curated list of resources for NLP (Natural Language Processing) for Korean,"korean-nlp,natural-language-processing,nlp",552
