,Url,Description,Topics,Stars
0,https://github.com/golang/go.git,The Go programming language,"programming-language,language,go,golang",85644
0,https://github.com/ant-design/ant-design.git,🌈  A UI Design Language and React UI library,"react,ui-kit,typescript,antd,ant-design,design-systems,ui-library",70995
0,https://github.com/apple/swift.git,The Swift Programming Language,,55999
0,https://github.com/Semantic-Org/Semantic-UI.git,Semantic is a UI component framework based around useful principles from natural language.,"ui,ui-components,flexbox,css-framework,dropdown,button,popup,sidebar,tooltip,semantic",49244
0,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","python,ansible,hacktoberfest",48181
0,https://github.com/huggingface/transformers.git,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,"nlp,natural-language-processing,natural-language-understanding,pytorch,language-model,natural-language-generation,tensorflow,bert,gpt,xlnet,language-models,xlm,transformer-xl,pytorch-transformers,hacktoberfest-accepted,nlp-library,transformer,model-hub,pretrained-models",46049
0,https://github.com/python/cpython.git,The Python programming language,,37964
0,https://github.com/JetBrains/kotlin.git,The Kotlin Programming Language. Join Kotlin release event: https://kotl.in/15-event,"kotlin,programming-language,compiler,gradle-plugin,maven-plugin,kotlin-library,intellij-plugin",36461
0,https://github.com/karan/Projects.git,:page_with_curl: A list of practical projects that anyone can solve in any programming language.,,35210
0,https://github.com/JuliaLang/julia.git,The Julia Programming Language,"julia-language,julia,scientific,hpc,numerical,machine-learning,programming-language,science",33693
