,Url,Description,Topics,Stars
0,https://github.com/chamilo/chamilo-lms.git,Chamilo is a learning management system focused on ease of use and accessibility,"chamilo,twig,php,elearning,lms,skills",563
0,https://github.com/pupilfirst/pupilfirst.git,"A learning management system (LMS) that lets you run an asynchronous online school, where learning is achieved through focused tasks, directed feedback, an iterative workflow, and community interaction.","lms,ruby-on-rails,reason-react,vle,graphql,rescript,pupilfirst",397
0,https://github.com/LMS-Laravel/OLD-LMS-Laravel.git,Laravel Learning Management System (LMS),"laravel,lms,learning-management-system,learning-management,cms,course",260
0,https://github.com/unruledboy/DevelopmentStack.git,"System development basics, analysis, project/planning, documentation, wireframe/mockup, design/modeling, implementation, quality, management, build, testing, deployment, maintenance, troubleshooting, learning",,236
0,https://github.com/claroline/Claroline.git,Learning management system,claroline,213
0,https://github.com/atutor/ATutor.git,"NO LONGER USER LEVEL SUPPORTED. CONTRIBUTING DEVELOPERS INTERESTED IN MAINTAINING ATUTOR, SHOULD REQUEST COLLABORATOR ACCESS. : ATutor is an Open Source Web-based Learning Management System (LMS) used to develop and deliver online courses. Administrators can install or update ATutor in minutes, develop custom themes to give ATutor a new look, and easily extend its functionality with feature modules. Educators can quickly assemble, package, and redistribute standardized Web-based instructional content, easily import prepackaged content, and conduct their courses online. Students learn in an accessible, adaptive, social learning environment.","lms,open-source,php,elearning,management,content-management-system",166
0,https://github.com/LMS-Laravel/LMS-Laravel.git,Laravel Learning Management System (LMS),"laravel,lms,learning-management-system",160
0,https://github.com/OpenOLAT/OpenOLAT.git,Learning Management System OpenOlat,"elearning,lms,java,education,assessment,content,lecture,teaching,training,responsive-design,rollcall,curriculum-management,qti,imscp,scorm,questionnaire-survey,openolat",146
0,https://github.com/LaravelDaily/QuickLMS.git,Simple Learning Management System based on Laravel 5.4.,,126
0,https://github.com/f213/education-backend.git,Django-based backend for my Learning Management System,"django,python,django-rest-framework,django-application,pytest,lms",110
0,https://github.com/dhodges47/SCORM-LearningManagementSystem.git,Open Source SCORM Learning Management System demo,"scorm,elearning-application,lms,dotnet-core",72
0,https://github.com/Courseware/coursewa.re.git,Open Source Learning Management System,,64
0,https://github.com/zhashkevych/creatly-backend.git,🚀 LMS (Learning Management System) backend app for my personal info-products & SaaS platform,"backend,golang,go,mongodb,docker,docker-compose,github-actions,gin-gonic,payment-integration,sendpulse",58
0,https://github.com/mikehelmick/CascadeLMS.git,CascadeLMS - Cascade Learning Management System,,43
0,https://github.com/Mazbaul/Online-Learning-And-Course-Management-System.git,"An Online learning ,course And Exam Management System","laravel-framework,php,online-learning,exam-management,course-management-system,exam,learning-management-system,lms",42
0,https://github.com/tahanakabi/DRL-for-microgrid-energy-management.git,"We study the performance of various deep reinforcement learning algorithms for the problem of microgrid’s energy management system. We propose a novel microgrid model that consists of a wind turbine generator, an energy storage system, a population of thermostatically controlled loads, a population of price-responsive loads, and a connection to the main grid. The proposed energy management system is designed to coordinate between the different sources of flexibility by defining the priority resources, the direct demand control signals and the electricity prices. Seven deep reinforcement learning algorithms are implemented and empirically compared in this paper. The numerical results show a significant difference between the different deep reinforcement learning algorithms in their ability to converge to optimal policies. By adding an experience replay and a second semi-deterministic training phase to the well-known Asynchronous advantage actor critic algorithm, we achieved considerably better performance and converged to superior policies in terms of energy efficiency and economic value.",,42
0,https://github.com/microsoft/Learn-LTI.git,Access Microsoft Learn Catalog in Learning Management Systems through an LTI application,"lti-tool,lti-application,lms,educators,microsoft,azure",39
0,https://github.com/ci-oc/basic-lms-laravel.git,Basic Laravel Learning Management System,"online-judge,learning-management-system,laravel,plagiarism,quiz,moss",33
0,https://github.com/HackSoftware/Loki.git,"{""Loki is the Learning Management System for HackBulgaria's courses""}","python,loki,celery,grader,education,hackbulgaria",32
0,https://github.com/arpan65/Scanned-document-classification-using-deep-learning.git,"BFSI sectors deal with lots of unstructured scanned documents which are archived in document management systems for further use.For example in Insurance sector, when a policy goes for underwriting, underwriters attached several raw notes with the policy, Insureds also attach various kind of scanned documents like identity card, bank statement, letters etc. In later parts of the policy life cycle if claims are made on a policy, releted scanned documents also archeived.Now it becomes a tedious job to identify a particular document from this vast repository. The goal of this case study is to develop a deep learning based solution which can automatically classify scanned documents.",,31
0,https://github.com/adityashirodkar/E-Learning.git,Learning Management System designed in PHP and MySQL,,26
0,https://github.com/Luci-Lawless/node-lms.git,"E-Learning Management System App - Stack: Node.js, Express, MongoDB","nodejs,expressjs,mongodb,mongoose,handlebarsjs",26
0,https://github.com/adeora/Python-LMS.git,A Learning Management System created in Python using the Flask Framework,,26
0,https://github.com/edwinmah/node-lms.git, A Learning Management System (LMS) that makes it easy to create a sequence of lessons or steps for a single course or assignment,"node,lms,educators,jquery,mongodb,markdown",26
0,https://github.com/hypothesis/lms.git,LTI app for integrating with learning management systems,,25
0,https://github.com/ucfopen/lti-template-flask.git,LTI template written in Python using the Flask framework.  Quickly create a new application that can be launched through your Learning Management System using the LTI protocol.  Uses standard configurable Key & Secret to launch.,"lti,lti-tool,canvas-lms,python,flask",25
0,https://github.com/HackSoftware/Odin.git,Learning management system for HackBulgaria / HackSoft Academy,,24
0,https://github.com/riedayme/Kurteyki.git,LMS (Learning Management System) & Blog,"php,codeigniter3,lms,blog",23
0,https://github.com/sanchit2107/Flight-Management-System.git,This consists of the Flight Management System using Spring Boot and Angular 9. A complete example of learning Full-stack Development along with implementation,"angular9,java,spring-boot,jpa-hibernate,rest-api,flight-management,oracle,database-management,bootstrap4,javascript,typescript,css,html5,angular-material",23
0,https://github.com/project-sunbird/sunbird-lms-service.git,API services for Learning management system of sunbird,,22
0,https://github.com/FenixEdu/fenixedu-learning.git,FenixEdu Academic is open source Learning Management System ,,20
0,https://github.com/davepartner/laravel-course-learning-management-system.git,This is a learning management system built with Laravel,,19
0,https://github.com/kodeplay/kodelearn.git,Online Learning Management System based on Kohana Framework,,19
0,https://github.com/kcargile/neddle.git,Neddle is a scalable learning management system built using .NET Core.,"lms,learning",18
0,https://github.com/codeanit/til.git,Github `Issues` used as learning management system.,"learn,learning,learning-by-doing",17
0,https://github.com/WSU-HELPLAB/OSBLE.git,"OSBLE (Online Studio-Based Learning Environment, pronounced ""Oz-bull"") is a learning management system that supports teaching and learning communities rooted in the studio-based learning model.",,17
0,https://github.com/williamscollege/lti.git,"This is a collection of LTI applications that we built, maintain and use within our Instructure Canvas learning management system (LMS).",,17
0,https://github.com/lamsfoundation/lams.git,The Learning Activity Management System (LAMS) - ,,16
0,https://github.com/intelliboard/intelliboard.git,"IntelliBoard.net offers analytic and reporting services to education communities and institutions who use Moodle as their Learning Management System. We help extract the statistical data gathered available in Moodle and present it on a single dashboard in the form of printable charts, graphs, and multiple formatted reports.",,16
0,https://github.com/opentok/opentok-elearning-samples.git,Sample applications highlighting integrations between OpenTok and Learning Management Systems (LMS),"elearning,elearning-application,opentok,lms,webrtc,javascript,nodejs,tokbox",14
0,https://github.com/cbrom/Go-LMS.git,A rewrite of pupilfirst (Learning management system) in golang for the purpose of learning a software development process.,"lms,golang,reactjs",14
0,https://github.com/calda/T-Squared.git,"{"":books: Native iOS client for Georgia Tech's T-Square learning management system""}",,14
0,https://github.com/FitzyCodesThings/core-lms.git,An open source online learning management system project in ASP.Net Core MVC. Explores many best practices and patterns in modern software development.,,14
0,https://github.com/ucfopen/lti-template-rails.git,LTI template written in Ruby on Rails.  Quickly create a new application that can be launched through your Learning Management System using the LTI protocol.,"lti,lti-tool,ruby-on-rails,canvas-lms",14
