,Url,Description,Topics,Stars
0,https://github.com/sindresorhus/awesome.git,😎 Awesome lists about all kinds of interesting topics,"awesome,awesome-list,unicorns,lists,resources",161017
0,https://github.com/redis/redis.git,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",,48913
0,https://github.com/Hack-with-Github/Awesome-Hacking.git,"A collection of various awesome lists for hackers, pentesters and security researchers","hacking,security,bug-bounty,awesome,android,fuzzing,penetration-testing,pentesting-windows,reverse-engineering",44196
0,https://github.com/DopplerHQ/awesome-interview-questions.git,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: ,"awesome-list,awesomeness,interview-questions,interviewing,interview-practice,ruby,javascript,awesome,list,python-interview-questions,rails-interview,javascript-interview-questions,angularjs-interview-questions,android-interview-questions",40623
0,https://github.com/trimstray/the-book-of-secret-knowledge.git,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.","awesome,awesome-list,lists,manuals,resources,howtos,hacks,search-engines,one-liners,cheatsheets,guidelines,sysops,devops,pentesters,security-researchers,linux,bsd,security,hacking",39974
0,https://github.com/danielmiessler/SecLists.git,"{""SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.""}",,31526
0,https://github.com/atlassian/react-beautiful-dnd.git,Beautiful and accessible drag and drop for lists with React,"react,drag-and-drop,drag,dnd,sortable,reordering",23659
0,https://github.com/SortableJS/Sortable.git,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery required.,"drag,sortable,reordering,sort,drag-and-drop,drag-drop,ui,draggable,droppable,touch",22453
0,https://github.com/bvaughn/react-virtualized.git,React components for efficiently rendering large lists and tabular data,"react,react-components,windowing,virtualization,list,grid,listview,tabular-data,performance",21710
0,https://github.com/selectize/selectize.js.git,"{""Selectize is the hybrid of a textbox and <select> box. It's jQuery based and it has autocomplete and native-feeling keyboard navigation; useful for tagging, contact lists, etc.""}","tagging,input,select",12624
0,https://github.com/Instagram/IGListKit.git,A data-driven UICollectionView framework for building fast and flexible lists.,"uicollectionview,ios,objective-c,diffing,instagram",11860
0,https://github.com/javve/list.js.git,"The perfect library for adding search, sort, filters and flexibility to tables, lists and various HTML elements. Built to be invisible and work on existing HTML.","search,sort,fuzzy-search,pagination,easy-to-use,javascript,filters,flexibility",10494
0,https://github.com/bvaughn/react-window.git,React components for efficiently rendering large lists and tabular data,,10428
0,https://github.com/emirpasic/gods.git,"GoDS (Go Data Structures). Containers (Sets, Lists, Stacks, Maps, Trees), Sets (HashSet, TreeSet, LinkedHashSet), Lists (ArrayList, SinglyLinkedList, DoublyLinkedList), Stacks (LinkedListStack, ArrayStack), Maps (HashMap, TreeMap, HashBidiMap, TreeBidiMap, LinkedHashMap), Trees (RedBlackTree, AVLTree, BTree, BinaryHeap), Comparators, Iterators, Enumerables, Sort, JSON","go,golang,data-structure,map,tree,set,list,stack,iterator,enumerable,sort,avl-tree,red-black-tree,b-tree,binary-heap",9957
