,Url,Description,Topics,Stars
0,https://github.com/cartographer-project/cartographer.git,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,"slam,mapping,localization,robotics,self-driving",5499
0,https://github.com/globalizejs/globalize.git,A JavaScript library for internationalization and localization that leverages the official Unicode CLDR JSON data,"cldr,cldr-data,cldr-json,i18n,intl,l10n,formatter,parser",4514
0,https://github.com/clauderic/react-infinite-calendar.git,"✨ Infinite scrolling date-picker built with React, with localization, range selection, themes, keyboard support, and more.","react,calendar,datepicker,infinite,infinite-scroll,component,date,range",3744
0,https://github.com/esimov/pigo.git,"Fast face detection, pupil/eyes localization and facial landmark points detection library in pure Go.","face-detection,computer-vision,machine-learning,golang,opencv,pixel-intensity-comparison,pupil-detection,eye-detection,facial-landmarks,wasm,webassembly",3204
0,https://github.com/mcamara/laravel-localization.git,Easy localization for Laravel,"laravel-localization,laravel,laravel-package,php,language-selector",2683
0,https://github.com/marmelroy/Localize-Swift.git,Swift friendly localization and i18n with in-app language switching,,2638
0,https://github.com/WeblateOrg/weblate.git,Web based localization tool with tight version control integration.,"localization,internationalization,gettext,django,crowdsourcing,continuous-localization,python,l10n,i18n,translation,hacktoberfest",2407
0,https://github.com/symfony/intl.git,A PHP replacement layer for the C intl extension that also provides access to the localization data of the ICU library.,"php,symfony,component,symfony-component,intl",2195
0,https://github.com/fastlane-old/snapshot.git,Automate taking localized screenshots of your iOS app on every device,,1994
0,https://github.com/glebm/i18n-tasks.git,"Manage translation and localization with static analysis, for Ruby i18n","static-analysis,static-code-analysis,ruby,i18n,translation-management",1695
0,https://github.com/chongyangtao/Awesome-Scene-Text-Recognition.git,A curated list of resources dedicated to scene text localization and recognition,"text-recognition,text-detection,scene-texts,natural-images",1624
0,https://github.com/zoontek/react-native-localize.git,🌍 A toolbox for your React Native app localization,"react-native,globalization,internationalization,i18n,language-detection,ios,android",1531
0,https://github.com/AlloyTeam/AlloyLever.git,"1kb js library contains development debugging, error monitoring and reporting, user problem localization features - 1KB代码搞定开发调试发布，错误监控上报，用户问题定位","vconsole,alloylever,badjs,error",1350
0,https://github.com/JiriTrecak/Laurine.git,Laurine - Localization code generator written in Swift. Sweet!,,1266
0,https://github.com/jsbroks/coco-annotator.git,":pencil2: Web-based image segmentation tool for object detection, localization, and keypoints","machine-learning,coco,datasets,annotate-images,computer-vision,deep-learning,image-labeling,coco-annotator,image-annotation,image-segmentation,coco-format,detection,label",1218
0,https://github.com/willpowell8/LocalizationKit_iOS.git,"Realtime Dynamic localization translation delivery system for iOS and Mac OSX in Swift. Create and update texts from localization.com without needing to recompile or redeploy. Cocapod for iOS devices (iPad, iPhone, iPod Touch and Mac)","localization,realtime,cocoapods,language,translation,localization-kit",1209
0,https://github.com/mdeff/cnn_graph.git,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,"convolutional-neural-networks,deep-learning,graphs,graph-signal-processing,graph-neural-networks",1126
0,https://github.com/igorkulman/iOSLocalizationEditor.git,Simple macOS editor app to help you manage iOS and macOS app localizations by allowing you to edit all the translations side by side,"macos-app,localization,xcode,translation,ios,missing-translations,swift,translations-side,macos",1100
0,https://github.com/cvg/Hierarchical-Localization.git,Visual localization made easy with hloc,"deep-learning,visual-localization,feature-matching,image-retrieval,structure-from-motion,pose-estimation,superglue",1069
