,Url,Description,Topics,Stars
0,https://github.com/Tamsiree/RxTool.git,Android开发人员不得不收集的工具类集合 | 支付宝支付 | 微信支付（统一下单） | 微信分享 | Zip4j压缩（支持分卷压缩与加密） | 一键集成UCrop选择圆形头像 | 一键集成二维码和条形码的扫描与生成 | 常用Dialog | WebView的封装可播放视频 | 仿斗鱼滑动验证码 | Toast封装 | 震动 | GPS | Location定位 | 图片缩放 | Exif 图片添加地理位置信息（经纬度） | 蛛网等级 | 颜色选择器 | ArcGis | VTPK | 编译运行一下说不定会找到惊喜,"dialog,progressbar,toast,seat,shoppingview,likeview,java,tools,utils,qrcode,barcode,sidebar,netspeed,alipay,wxpay,wechatpay,share,zip4j",11379
0,https://github.com/kaldi-asr/kaldi.git,kaldi-asr/kaldi is the official location of the Kaldi project.,"kaldi,c-plus-plus,cuda,shell,speech-recognition,speech-to-text,speaker-verification,speaker-id,speech",10444
0,https://github.com/lionsoul2014/ip2region.git,"Ip2region is a offline IP location library with accuracy rate of 99.9% and 0.0x millseconds searching performance. DB file is ONLY a few megabytes with all IP address stored. binding for Java,PHP,C,Python,Nodejs,Golang,C#,lua. Binary,B-tree,Memory searching algorithm","java,php,clang,python,nodejs,golang,ip-address,ip-lookup,ip-location,c,lua,rust,lua-bindings,php-extension,lua-extension,nginx-extensions",9235
0,https://github.com/cncf/landscape.git,"🌄The Cloud Native Interactive Landscape filters and sorts hundreds of projects and products, and shows details including GitHub stars, funding or market cap, first and last commits, contributor counts, headquarters location, and recent tweets.","cloud-native,landscape,cncf,svg,logo,serverless,crunchbase",7408
0,https://github.com/dillidon/alerts-and-pickers.git,"Advanced usage of UIAlertController and pickers based on it: Telegram, Contacts, Location, PhotoLibrary, Country, Phone Code, Currency, Date...","uialertcontroller,picker,image-picker,pickerview,textfield,datepicker,swift,uitextfield,alert,color-picker,login,signin,country-picker,currency-picker,phonecode,telegram-picker,telegram,contacts,location,map",5127
0,https://github.com/xhzengAIB/MessageDisplayKit.git,"An IM App like WeChat App has to send text, pictures, audio, video, location messaging, managing local address book, share a circle of friends, drifting friends, shake a fun and more interesting features.",,4302
0,https://github.com/google/open-location-code.git,"Open Location Code is a library to generate short codes, called ""plus codes"", that can be used as digital addresses where street addresses don\'t exist.","geo,gps,c,cplusplus,dart,golang,javascript,java,python,ruby,rust,openlocationcode,pluscode,latitude,longitude,street-address",3406
0,https://github.com/malcommac/SwiftLocation.git,"🛰 CoreLocation Made Easy - Efficient & Easy Location Tracker, IP Location, Gecoder, Geofence, Autocomplete, Beacon Ranging, Broadcaster and Visits Monitoring","location-services,cllocationmanager,swift-library,ibeacon,autocomplete-search,geocoding-library,locationtracking,location-tracker",2923
0,https://github.com/intuit/LocationManager.git,"{""Easily get the device's current location on iOS.""}",,2536
0,https://github.com/CartoDB/cartodb.git,Location Intelligence & Data Visualization tool,"geolocation,geospatial,location-services,postgis,carto",2506
0,https://github.com/android/location-samples.git,Multiple samples showing the best practices in location APIs on Android.,,2335
0,https://github.com/AR-js-org/AR.js.git,"Image tracking, Location Based AR, Marker tracking. All on the Web.","augmented-reality,webar,ar,aframe,threejs,hacktoberfest,hacktoberfest2020",2305
0,https://github.com/Kelin-Hong/ScrollablePanel.git,"{""A flexible view for providing a limited rect window into a large data set,just like a two-dimensional RecyclerView.  It different from RecyclerView is that it's two-dimensional(just like a Panel) and it pin the itemView of first row and first column in their original location.""}",,2026
0,https://github.com/luka1199/geo-heatmap.git,:world_map: Generate an interactive geo heatmap from your Google location data,"heatmap,heatmaps,google-location-history,openstreetmap,folium,google,python,geo-heatmap",1825
0,https://github.com/Torann/laravel-geoip.git,Determine the geographical location of website visitors based on their IP addresses.,,1768
0,https://github.com/mrmans0n/smart-location-lib.git,Android library project that lets you manage the location updates to be as painless as possible,"android,android-library,geofences,activity,location",1581
0,https://github.com/geokit/geokit.git,Official Geokit Gem. Geokit gem provides geocoding and distance/heading calculations. Pair with the geokit-rails plugin for full-fledged location-based app functionality.,,1556
0,https://github.com/geokit/geokit-rails.git,Official Geokit plugin for Rails/ActiveRecord. Provides location-based goodness for your Rails app. Requires the Geokit gem.,,1489
0,https://github.com/comyar/Sol.git,:sunny: Sol° beautifully displays weather information so you can plan your day accordingly. Check the weather in your current location or any city around the world. Implemented in Objective-C.,"sol,weather,objective-c,wunderground,iphone,ios,ios-app",1427
0,https://github.com/PyCQA/prospector.git,"Inspects Python source files and provides information about type and location of classes, methods etc",,1423
0,https://github.com/sobri909/LocoKit.git,"Location, motion, and activity recording framework for iOS","ios,framework,swift,location,gps,corelocation,coremotion",1363
0,https://github.com/firebase/geofire-js.git,GeoFire for JavaScript - Realtime location queries with Firebase,,1332
0,https://github.com/KrauseFx/detect.location.git,"{""An easy way to access the user's iOS location data without actually having access""}",,1238
0,https://github.com/Lerist/FakeLocation.git,Fake Location,,1186
0,https://github.com/CSTR-Edinburgh/merlin.git,This is now the official location of the Merlin project.,"merlin,speech-synthesis,text-to-speech,voice-conversion,deep-learning,python,theano,tensorflow,keras",1181
0,https://github.com/shoes/shoes-deprecated.git,Former repo for Shoes... see README for up to date locations!,,1170
0,https://github.com/symfony/class-loader.git,[DEPRECATED] The ClassLoader component provides tools to autoload your classes and cache their locations for performance.,"php,symfony,component,symfony-component",1129
0,https://github.com/GhostFlying/LocationReportEnabler.git,"A simple android app to enable Google Location Report, Google Now and related functions in China mainland or somewhere like.","xposed,android",1021
0,https://github.com/iobridge/thingspeak.git,"ThingSpeak is an open source “Internet of Things” application and API to store and retrieve data from things using HTTP over the Internet or via a Local Area Network. With ThingSpeak, you can create sensor logging applications, location tracking applications, and a social network of things with status updates.",,973
0,https://github.com/jd-alexander/Google-Directions-Android.git,This project allows you to  calculate the route between two locations and displays it on a map.,,963
0,https://github.com/18601949127/DiDiCallCar.git,"这是我自己做的一个类似滴滴打车的Android出行项目，主要针对滴滴等出行平台一直饱受质疑的“人车不符”问题，以及当前越发火热的或计划和出海战略，给出行项目增加了下面几个功能：  1. RFID识别验证功能：在司机证件或者车内识别硬件嵌入RFID识别芯片，乘客使用手机读取到芯片信息，并且通过网络发送到出行平台数据库进行验证（我用JNI加了一个C语言的MD5加密算法对识别到的信息进行了加密）。如果不是合规的“人”或“车”，则不能完成订单并向平台或监管单位汇报当前位置。（为了方便读者测试，可以使用手机读取任何一个加密或非加密RFID芯片，比如银行卡、公交卡等，我在代码中的验证前阶段把芯片信息都换成我自己的司机信息，确保读者测试时可以收到服务器的回复） 2. 海外版功能：点击切换当前语言。 3. 司机证件号码识别功能：读取司机证件上的证件号码，也可以用来与出行平台数据库的接单司机信息进行。I complete this whole project on my own . Including Android application programming，web server ( Apache + PHP + MySQL),  and UI.  1．Map route planing。You can use mobile phone choose pick up & destination address，application provide address name hint and draw optimized route for user , then call car for you. 2．RFID authentication function：User can use application to scan driver license or other RFID hardware, then use NDK MD5 algorithm encrypt RFID number, and send it to Web Server Database, check with driver information and authenticate ID number , if ID number coherent with driver info , send back driver information to User and continue call car order . record user location  and alert if ID not coherent. 3．Driver License Number Recognition : Application can recognize driver license digit number ,and also can send to web server for authentication & feed back result to user. ","android,rfid,nfc,mobile,uber,didi,ocr,map,car,call,java",951
0,https://github.com/mermaidjs/mermaid-live-editor.git,Location has moved to https://github.com/mermaid-js/mermaid-live-editor,mermaid,928
0,https://github.com/schollz/find-lf.git,Track the location of every Wi-Fi device (:iphone:) in your house using Raspberry Pis and FIND,"tracking,wifi,smarthome,smartphone",904
0,https://github.com/hubert3/iSniff-GPS.git,Passive sniffing tool for capturing and visualising WiFi location data disclosed by iOS devices,,898
0,https://github.com/lensh/vue-qq.git,"🎨  Vue family bucket with socket.io and express/koa2 , create a web version of mobile QQ, supporting real-time group chat, real-time private chat, special care, shielding chat,  smart IP geographic location, real-time display  temperature  and other QQ core functions","vue2,vuex,vue-router,axios,koa2,socket-io,es6,es7,webpack2,node,async-await,mysql,express,html5,css3,es8",870
0,https://github.com/daviddias/awesome-hacking-locations.git,":computer: :coffee: List of Awesome Hacking Locations, organised by Country and City, listing if it features power and wifi","awesome-list,awesome-lists",849
0,https://github.com/NordicSemiconductor/Android-nRF-Toolbox.git,The nRF Toolbox is a container app that stores your Nordic Semiconductor apps for Bluetooth Low Energy in one location.,,833
0,https://github.com/eddiesigner/sketch-map-generator.git,Sketch plugin to fill a shape with a map generated from a given location using Google Maps and Mapbox,"sketchapp,sketch-plugin,google-maps,maps,google,mapbox",829
0,https://github.com/monkeecreate/jquery.simpleWeather.git,"{""A simple jQuery plugin to display current weather data for any location and doesn't get in your way. Now supports HTML5 GeoLocation!""}",,790
0,https://github.com/timfpark/react-native-location.git,React Native plug-in that provides GPS location information,,759
0,https://github.com/RefugeRestrooms/refugerestrooms.git,"REFUGE restrooms indexes and maps safe restroom locations for trans, intersex, and gender nonconforming individuals. ","refuge,safe-restrooms,refuge-restrooms,lgbt,trans,transgender",746
0,https://github.com/jdonsec/AllThingsSSRF.git,"This is a collection of writeups, cheatsheets, videos, books related to SSRF in one single location",,746
0,https://github.com/Lyokone/flutterlocation.git,A Flutter plugin to easily handle realtime location in iOS and Android. Provides settings for optimizing performance or battery.,"flutter-plugin,dart,ios,android,flutter",740
0,https://github.com/yayaa/LocationManager.git,"{""Simplify getting user's location for Android""}","android,locationmanager,gps,google-play-services,network,location-services,location-picker",739
0,https://github.com/Snapworks/LocationManager.git,"CLLocationManager wrapper in Swift, performs location update, geocoding and reverse geocoding using Apple and Google service",,718
0,https://github.com/arank/marauders-map.git,"{""A chrome extension to creepily map your friends' locations from FB messenger""}",,713
