,Url,Description,Topics,Stars
0,https://github.com/coopcycle/coopcycle-web.git,Logistics & marketplace platform. Only for worker-owned business.,"symfony,apiplatform,coop,platformcoop",426
0,https://github.com/freeCodeCamp/pantry-for-good.git,An open source food bank logistics and inventory management tool,"opensourceforgood,food-banks,food,nonprofit,nonprofits,nonprofit-organizations,charity,inventory-management",351
0,https://github.com/JoshData/hackathon.guide.git,A logistics guide to running a successful hackathon.,,169
0,https://github.com/finecho/logistics.git,Logistics query extension package,"logistics,logistics-company",164
0,https://github.com/anselleeyy/logistics-front.git,物流管理系统前端项目，基于 Layui-2.3.0，后端项目传送门：https://github.com/anselleeyy/logistics-back,,152
0,https://github.com/HyperledgerHandsOn/trade-finance-logistics.git,Trade Finance and Logistics based on Letter of Credit and Proof of Shipment,,131
0,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world.git,This Gazebo world is well suited for organizations who are building and testing robot applications for warehouse and logistics use cases.,"ros,gazebo",94
0,https://github.com/dheerajpreddy/Research-Starter-Kit.git,Basically listing out how to get some basic logistics out of the way,,93
0,https://github.com/rinde/RinSim.git,"RinSim is a logistics simulator written in Java. RinSim supports (de)centralized algorithms for dynamic pickup-and-delivery problems (PDP). The simulator is developed at the imec-DistriNet group at the dept. of Computer Science, KU Leuven, Belgium. ","java,rinsim,simulator,logistics,agents,optimization,logistics-simulator,operational-research",93
0,https://github.com/OpenLMIS/open-lmis.git,"-PREVIOUS VERSION- OpenLMIS (Open Logistics Management Information System) version 2 core software for a shared, open source solution for managing medical commodity distribution in low- and middle-income countries. Technical forum: https://groups.google.com/forum/#!forum/openlmis-dev.",,92
0,https://github.com/IBM-Cloud/logistics-wizard.git,"The Logistics Wizard is an end-to-end, smart supply chain management solution that showcases how to execute hybrid cloud, microservices, and predictive data analytics in the real world.","bluemix,microservices,openwhisk,serverless,cloudfoundry,react,loopback,python,nodejs,ibm-cloud-solutions",90
0,https://github.com/learning-unlimited/ESP-Website.git,"A website to help manage the logistics of large, short-term educational programs",,73
0,https://github.com/ciribob/DCS-CTLD.git,Complete Troops and Logistics Deployment for DCS World,,63
0,https://github.com/usnistgov/NEMO.git,"NEMO is a laboratory logistics web application. Use it to schedule reservations, control tool access, track maintenance issues, and more.","lims,laboratory,nanofabrication,user-facility,python,django",58
0,https://github.com/alibaba/drl_binpacking.git,"3D bin packing is a classical and challenging combinatorial optimization problem in logistics and production systems. An effective bin packing algorithm means the reduction of total packing cost and increase in utilization of resources.  Because the cost of packing materials, which is mainly determined by their surface area, occupies the most part of packing cost, and in many real business scenarios there is no bin with fixed size, so AI Department of Cainiao proposed a new type of 3D bin packing problem. The objective of this new type of 3D bin packing problem is to pack all items into a bin with minimized surface area. And a DRL method based on the sequence-to-sequence model is proposed to solve the problem. This is the research paper link: https://arxiv.org/abs/1708.05930. Source code of this method can be found in the project.",,56
0,https://github.com/tig-nl/postnl-magento2.git,This is the official Magento 2 extension for the logistics company PostNL. Add shipping options and parcelshops to your checkout. Create labels with track and trace functionality from the backend. https://tig.nl/postnl-magento-extensies/,"official-postnl-extension,magento-2,shipping-service,tig,total-internet-group,magento-extensions,delivery-options,postoffice-pick-up-locations,onestepcheckout-compatibility",44
0,https://github.com/IBM/acme-freight.git,"{""Acme Freight's Logistics Wizard application is composed of several microservices, including three Cloud Foundry applications, LoopBack, API Connect, and multiple Cloud Function actions.""}","microservices,microservices-architecture,apis,loopback,erp,enterprise-architect,ibmcode",43
0,https://github.com/Pabilo8/ImmersiveIntelligence.git,"An addon for Immersive Engineering focused on Electronics, Warfare, Logistics and Intelligence","minecraft-mod,minecraft-forge-mod,immersive-engineering,minecraft-modification",39
0,https://github.com/anoutsider/advanced-logistics-system.git,"A Factorio Mod, that offers a detailed overview of your logistics network and the items within it.",,37
0,https://github.com/Samsung/qaboard.git,"{""Algorithm engineering is hard enough: don't spend your time with logistics. QA-Board organizes your runs and lets you visualize, compare and share results.""}","visualizations,algorithms,continuous-quality,performance-engineering,mlops",34
0,https://github.com/nirbhayph/Logistics-Management-System.git,Logistics Management System: An android application to manage an optimized solution for local logistics and transportation needs for both businesses and consumers in the urban areas.,,28
0,https://github.com/codeRIT/hackathon-manager.git,All-in-one platform for hackathon registration & logistics.,"hackathons,ruby-on-rails,mymlh,registration,admissions,dashboard",26
0,https://github.com/rajatdhoot123/indian-courier-api.git,API to track parcel from various Indian Logistics Providers,"courier,indian-courier,courier-tracking,tracking,ekart,delhivery,ecom,dtdc,gati,parcel,parcel-tracking,trackingid,couriers,xpressbees,shadowfax,api,dhl,maruti",26
0,https://github.com/datreant/MDSynthesis.git,a logistics and persistence engine for the analysis of molecular dynamics trajectories,"molecular-dynamics-simulation,mdanalysis,python,science,database",25
0,https://github.com/blockfreight/go-bftx.git,Blockfreight™ Node (MIT) Global Logistics Network in Go https://blockfreight.com/,"blockfreight,logistics,blockchain",23
0,https://github.com/berkeley-scf/r-bootcamp-2018.git,"Materials for the 2018 R bootcamp at UC Berkeley. See below (under the listing of files) for information about the bootcamp, including logistics, how to get the course content, and how to install the software you need for the bootcamp on your laptop.",,23
0,https://github.com/potassco/asprilo.git,"🤖 ASPRILO, an intra-logistics benchmark suite for answer set programming",,22
0,https://github.com/SonarSonic/Practical-Logistics.git,New Version - https://github.com/SonarSonic/Practical-Logistics-2,"mod,practical-logistics,sonarcore,ollielansdell,forge,minecraft",20
0,https://github.com/berkeley-scf/r-bootcamp-fall-2020.git,"Materials for the August 2020 virtual R bootcamp at UC Berkeley. See below (under the listing of files) for information about the bootcamp, including logistics, how to get the course content, and how to install the software you need for the bootcamp on your laptop.",,20
0,https://github.com/berkeley-scf/r-bootcamp-fall-2019.git,"Materials for the August 2019 R bootcamp at UC Berkeley. See below (under the listing of files) for information about the bootcamp, including logistics, how to get the course content, and how to install the software you need for the bootcamp on your laptop.",,20
0,https://github.com/rain9441/factorio-tls.git,Train Logistics System,,19
0,https://github.com/Tuhljin/Automagy.git,"An addon for the excellent Minecraft mod known as Thaumcraft. Automation, logistics, and other toys.",,18
0,https://github.com/razuswe/PrimaIndianDiabetesprediction.git,"I used six classification techniques, artificial neural network (ANN), Support Vector Machine (SVM), Decision tree (DT), random forest (RF), Logistics Regression (LR) and Naïve Bayes (NB)","python,machine-learning,supervised-learning-algorithms,diabetes-prediction,disease",18
0,https://github.com/Esri/network-analysis-services.git,"Geoprocessing tools to publish directions, routing, and logistics services available on ArcGIS Online to your own ArcGIS for Server site",,18
0,https://github.com/doublechaintech/lsc-biz-suite.git,Logistics Supply Chain - 一个聚焦物流（运输）服务供应链平台,,17
0,https://github.com/subteno-it/stock_scanner.git,Moved to https://github.com/OCA/stock-logistics-barcode - WorkFlow engine for hardware scanner using SSH client,,16
0,https://github.com/seattleflu/id3c.git,Data logistics system enabling real-time pathogen surveillance. Built for the Seattle Flu Study.,"postgres,postgresql,python,infectious-disease,data-distribution,sqitch,fhir,seattle-flu-study,scan-study,rest-api,cli,id3c,plpgsql,sql,etl,redcap",16
0,https://github.com/Path-Check/vaccine-diary.git,"{""A compilation of Trusted Pandemic Technologies' efforts to design digital solutions that engage citizens in four core areas — Logistics, Health Outcomes, User-centric impact, and Communication.""}",,16
0,https://github.com/washingtonpost/data-1033-program.git,"Agency-level data current to September 30, 2015. Source: Department of Defense, Defense Logistics Agency.",,15
0,https://github.com/IBM-Cloud/logistics-wizard-erp.git,Defines the API used by the Logistics Wizard to access data from an ERP system. Also provides a default implementation to be used as a simulator.,ibm-cloud-solutions,15
0,https://github.com/RoelantVos/DIRECT.git,"DIRECT, the Data Integration Run-time Execution Control Tool, is a data logistics framework that can be used to monitor, log, audit and control data integration / ETL processes.","etl,etl-framework,etl-pipeline,etl-automation,datawarehouse,datawarehouseautomation",15
0,https://github.com/LogisticsImpactModel/LIMO.git,The Logistics Impact Model (LIMO) provides involved companies in logistics chains with a central point of information on which costs they make on the regulatory burden and how costs can be reduced or eliminated. ,,14
0,https://github.com/tum-fml/loco.git,"Home of LOCO, the first scene understanding dataset for logistics.",,13
0,https://github.com/tig-nl/postnl-magento1.git,This is the official Magento 1 extension for the logistics company PostNL. https://tig.nl/postnl-magento-extensies/,"postnl-magento-extension,tig,total-internet-group,track-and-trace,shipping-serivce,parcelshops,shipping-labels",13
0,https://github.com/fladdimir/csa-streetmap.git,"Urban logistics network simulation in Python w/ SimPy, OSMnx & Leaflet.js",,13
0,https://github.com/tempkaridc/gf.git,"{""Girls' Frontline Logistics Calculator""}",,12
0,https://github.com/IBM-Cloud/logistics-wizard-toolchain.git,Toolchain configuration files for the logistics-wizard demo,"toolchain,ibm-bluemix,logistics,ibm-cloud-solutions",12
0,https://github.com/IBM-Cloud/logistics-wizard-webui.git,"Web UI for Logistics Wizard Showcase demo. The Logistics Wizard is an end-to-end, smart supply chain management solution that showcases how to execute hybrid cloud, microservices, and predictive data analytics in the real world.",ibm-cloud-solutions,12
0,https://github.com/kubernetes-pune/kubernetes-cncf-pune.git,This is a repo to maintain artefacts and meetup logistics for Kubernetes & Cloud Native Computing Pune Meetup (https://www.meetup.com/Kubernetes-Pune/),"kubernetes,cloud,cloud-native,cncf,cloud-native-computing,pune,meetup",12
0,https://github.com/xinyandai/logistics.git,An express logistics system.,,11
0,https://github.com/SAP-samples/logistics-business-network-gtt-samples.git,"This code example contains sample scenario applications that will show how to use SAP Logistics Business Network, global track and trace option to build a tracking application.","sample,sample-code,sap-logistics-business-network,global-track-and-trace,lbn,gtt,sales-order-fulfillment",11
0,https://github.com/HNaga/logistics.git,Logistics Management for ERPNext,,10
0,https://github.com/QuickenLoans/MassTestingPlatform.git,"Scheduling, Logistics, and Data Orchestration software for mass drive through pandemic testing.",,10
0,https://github.com/webapix/mygls-sdk.git,An unofficial lightweight PHP SDK for the MyGLS (GLS logistics) REST API.,"mygls,php,gls",10
0,https://github.com/ishelo/Logistics-Demand-Forecasting-By-Python.git,物流需求预测法的python实现（Logistics Demand Forecasting By Python），含移动平均法、指数平滑法、平滑系数的确认、结果输出到excel表、误差分析等,"python,python3,logistics",10
0,https://github.com/sofyansitorus/Woongkir.git,"WooCommerce shipping rates calculator for Indonesia domestic and international shipment: JNE, POS Indonesia, TIKI, PCP Express, RPX, Pandu Logistics, Wahana Express, SiCepat Express, J&T Express, Pahala Express, SAP Express, JET Express, Solusi Ekspres, 21 Express, Nusantara Card Semesta, Star Cargo, Lion Parcel, Ninja Xpress, Indotama Domestik Lestari, Royal Express Indonesia, Indah Logistic, Expedito.",,10
0,https://github.com/robocup-logistics/gazebo-rcll.git,"Gazebo Models, Plugins, and World Files for the RoboCup Logistics League",,9
0,https://github.com/dcentrum/Project-HLF-Logistics.git,Hyperledger Fabric based solution for consortium of logistics companies in any distribution or supply-chain industries,"hyperledger,hyperledger-fabric,logisticsystem,blockchain-technology,distributed-ledger",9
0,https://github.com/XYZWorks/ELMSParent.git,An C/S-Style Express Logistics Management System written in Java,"erp,client-server",9
0,https://github.com/StefanoSaffran/fastfeet.git,FastFeet -  A fictitious logistics company,"nodejs,reactjs,react-native,omnistack,rocketseat,javascript",9
0,https://github.com/teholabs/tehoLogistics.git,logistics for electronics part sourcing,,9
0,https://github.com/johnpelquingua/freightbit-logistics.git,"Ernest Logistics Service started in April of 2009 as a trucking business providing containerized hauling of cargoes for the domestic market but the young businessman has a larger vision and greater determination to expand his business which eventually lead to the launching of its freight management and domestic forwarding services in the very same year. Difficulties and disappointments in starting the business were encountered and eventually were understandable but Jan Ernest Go, the young entrepreneur only showed optimism and relentless determination.  His idea was to provide genuine services guided through excellence and dedication further creating solid partnerships and business relations and in March of 2012 the company has emerged and incorporated to become Ernest Logistics Corporation.  Our company provides not only freight management and domestic freight forwarding but primarily Options and Solutions custom fit to our clients’ needs and requirements.",,9
