,Url,Description,Topics,Stars
0,https://github.com/ddddxxx/LyricsX.git,🎶 Ultimate lyrics app for macOS.,"lyrics,itunes,spotify,vox,menubar,download-lyrics,apple-music,audirvana,swinsian,macos-app,music",2811
0,https://github.com/Dsiner/UIUtil.git,"UIUtil for Android, Lyrics, Tick animations, Comparisons, Satellite menus, Praise, Slide buttons, TAB indicators, Contact sorting, Drag sorting, Skidding deletes, Shadow effects, RecyclerView nesting RecyclerView, Map list Poi/Drawer effects, Progress settings, Clock set, Damping, Progress, Album, Snap, Progress, CircleDownload, AdvertSwitcher, Carousel ad, FlowLayout, Tag...; 歌词控件、打勾动画、对比、卫星菜单、点赞、滑动按钮、TAB指示器、联系人排序、拖曳排序、侧滑删除、阴影效果.、RecyclerView嵌套RecyclerView.、地图列表Poi/抽屉效果、进度设置、时钟设置、滑动阻尼、相册媒体快照、圆形下载进度，轮播广告, 流式布局，标签...","lrc,vs,reply,tick,sorted-lists,button-switch,tabindicator,arcmenu,indicator,sidebar,drag,skid,shadow,recyclerview-nested-recyclerview,map,poi,drawer-effects,progress,clock,damping",1044
0,https://github.com/AllToMP3/alltomp3-app.git,"Download and Convert YouTube, SoundCloud & Spotify in MP3 with full tags (title, artist, genre, cover, lyrics 🔥)","alltomp3,music,download,youtube,mp3,application,lyrics,tags,electron,angular,desktop-application,spotify,deezer,soundcloud,ffmpeg,id3,id3v2,nodejs",953
0,https://github.com/fr31/spotifylyrics.git,Fetches and displays lyrics to currently playing song in Spotify.,,729
0,https://github.com/asr-pub/LyricViewDemo.git,LyricView is a powerful and flexible custom view to display lyrics within music player under Android,"musicplayer,lyrics,android",649
0,https://github.com/emilioastarita/lyricfier.git,a Spotify Lyrics alternative app | New updates at https://github.com/emilioastarita/lyricfier2 (a faster version in golang),"spotify,lyrics,typescript,vuejs,songs",597
0,https://github.com/johnwmillr/LyricsGenius.git,Download song lyrics and metadata from Genius.com 🎶🎤,"genius-lyrics,genius-api,song-lyrics,lyrics,scraping-lyrics,download-lyrics,python",550
0,https://github.com/MichaelRow/Lyrics.git,Swift-based iTunes plug-in to display lyrics on the desktop.,,433
0,https://github.com/QuickLyric/QuickLyric.git,Android app that instantly fetches your lyrics for you.,"lyrics,android,java,material",416
0,https://github.com/LudySu/Synology-LrcPlugin.git,Lyrics plugin for Synology Audio Station/DS Audio,"ds-audio,synology-audio-station,lyrics-plugin,synology-lyric",364
0,https://github.com/dyelax/encore.ai.git,Generate new lyrics in the style of any artist using LSTMs and TensorFlow.,,280
0,https://github.com/SKempin/Lyrics-King-React-Native.git,"Lyrics King is\xa0React Native\xa0song lyrics search app, built with\xa0Expo. Designed with Adobe XD.","react-native,react,expo,lyrics,lyrics-search,apis,design,adobexd,react-navigation,amplitude,segmentio,es8,javascript,es6,es7,async-await,flexbox,flexbox-css,opensource,open-source-project",263
