,Url,Description,Topics,Stars
0,https://github.com/kubernetes/kubernetes.git,Production-Grade Container Scheduling and Management,"kubernetes,go,cncf,containers",77289
0,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","python,ansible,hacktoberfest",48183
0,https://github.com/vuejs/vuex.git,🗃️ Centralized State Management for Vue.js.,"vue,javascript,vuex,state-management,time-travel",26226
0,https://github.com/ctripcorp/apollo.git,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,"configuration-management,spring-boot,config-management,microservices,spring-cloud,distributed-configuration",24588
0,https://github.com/mobxjs/mobx.git,"Simple, scalable state management.","mobx,reactive-programming,react,typescript,javascript",23722
0,https://github.com/pyenv/pyenv.git,Simple Python version management,,23426
0,https://github.com/hashicorp/vault.git,"A tool for secrets management, encryption as a service, and privileged access management","vault,go,secrets",20685
0,https://github.com/uglide/RedisDesktopManager.git,:wrench: Cross-platform GUI management tool for Redis,"redis,database-gui,redis-gui,redis-gui-client",18241
0,https://github.com/portainer/portainer.git,Making Docker and Kubernetes management easy.,"docker,docker-swarm,ui,docker-deployment,docker-compose,docker-container,docker-image,portainer,docker-ui,dockerfile,moby,hacktoberfest",18149
0,https://github.com/alibaba/nacos.git,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.","nacos,dubbo,alibaba,kubernetes,istio,spring-cloud,microservices,service-mesh,configuration-management,distributed-configuration,dns,service-discovery,config",17720
0,https://github.com/ehang-io/nps.git,"一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal.","socks,tcp,gzip,udp,snnapy,go,nat,firewall,tunnel,ssh,dns,http,https,socks5,nps",16900
0,https://github.com/rancher/rancher.git,Complete container management platform,"rancher,docker,kubernetes,orchestration,cattle,containers",16673
0,https://github.com/coreybutler/nvm-windows.git,A node.js version management utility for Windows. Ironically written in Go.,"node,versioning,management,version-manager,windows,nodejs,version,nvm,go,switch",16023
0,https://github.com/iview/iview-admin.git,Vue 2.0 admin management system template based on iView,"vue,iview,vue-admin,admin-template,vuex,vue-cli,webpack2,admin,axios",15696
0,https://github.com/python-poetry/poetry.git,Python dependency management and packaging made easy.,"python,dependency-manager,package-manager,packaging,hacktoberfest",15055
0,https://github.com/tj/n.git,Node version management,,14563
0,https://github.com/spotify/luigi.git,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in. ","python,luigi,orchestration-framework,scheduling,hadoop",14541
0,https://github.com/photoprism/photoprism.git,Open-Source Photo Management powered by Go and Google TensorFlow,"golang,tensorflow,photography,geocoding,deep-learning,private-cloud,hacktoberfest,google-photos",13797
0,https://github.com/golang/dep.git,Go dependency management tool experiment (deprecated),"golang,dependency-manager,package-manager,toolchain",13179
0,https://github.com/kubernetes/kops.git,"Kubernetes Operations (kops) - Production Grade K8s Installation, Upgrades, and Management","kubernetes,go,cncf,containers,kops",12944
0,https://github.com/facebookexperimental/Recoil.git,"Recoil is an experimental state management library for React apps. It provides several capabilities that are difficult to achieve with React alone, while being compatible with the newest features of React.",,12875
0,https://github.com/semantic-release/semantic-release.git,:package::rocket: Fully automated version management and package publishing,"automation,changelog,package,publish,release,release-workflow,release-automation,semver,semver-release,version,semantic-release,semantic-version",12701
0,https://github.com/docker/kitematic.git,Visual Docker Container Management on Mac & Windows,"docker,kitematic,containers,electron,electron-app,toolbox",12200
0,https://github.com/saltstack/salt.git,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt software package repository here: ,"python,configuration-management,remote-execution,infrastructure-management,zeromq,event-stream,event-management,cloud-providers,cloud-management,cloud-provisioning,infrasructure,infrastructure-automation,infrastructure-as-code,infrastructure-as-a-code,iot,edge,cloud",11722
0,https://github.com/pinpoint-apm/pinpoint.git,"APM, (Application Performance Management) tool for large-scale distributed systems. ","apm,monitoring,performance,agent,distributed-tracing,tracing",11391
0,https://github.com/RasaHQ/rasa.git,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants","nlp,machine-learning,machine-learning-library,bot,bots,botkit,rasa,wit,nlu,conversational-bots,conversational-agents,conversational-ai,spacy,mitie,chatbot,chatbots,chatbots-framework,bot-framework,natural-language-processing,conversation-driven-development",11340
0,https://github.com/wagtail/wagtail.git,A Django content management system focused on flexibility and user experience,"python,django,cms,wagtail,hacktoberfest",10621
0,https://github.com/luin/medis.git,"💻 Medis is a beautiful, easy-to-use Mac database management application for Redis.","redis,gui,mac,electron",10095
0,https://github.com/jordansissel/fpm.git,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity.",packaging,9957
0,https://github.com/foambubble/foam.git,A personal knowledge management and sharing system for VSCode,"graph-visualisation,markdown,markdown-editor,pkm,zettelkasten,note-taking,vscode,notes-app,personal-knowledge-base",9830
0,https://github.com/thoughtbot/paperclip.git,Easy file attachment management for ActiveRecord,,9063
0,https://github.com/keycloak/keycloak.git,Open Source Identity and Access Management For Modern Applications and Services,"keycloak,oidc,saml",8858
0,https://github.com/boardgameio/boardgame.io.git,State Management for Turn-Based Games,"boardgames,game-engine,tabletop,react,react-native,javascript",8667
