,Url,Description,Topics,Stars
0,https://github.com/CarlosGS/Cyclone-PCB-Factory.git,Cyclone (Circuit Cloner) is a CNC mill intended for PCB manufacturing.,,1082
0,https://github.com/ronanguilloux/IsoCodes.git,"PHP library - Validators for standards from ISO, International Finance, Public Administrations, GS1, Manufacturing Industry, Phone numbers & Zipcodes for many countries","gtin,php,international-finance,administrations,isocodes,gs1",727
0,https://github.com/inoerp/inoERP.git,"inoERP is a PHP-based open source enterprise management system that can be used with several databases - such as Oracle 12c, MariaDB, MySQL. The ERP system contains all the functionalities required for running any manufacturing, service or distribution organization. The features are very similar to Oracle R12/ Fusion Application and SAP. It also contains a lightweight CMS, which seamlessly integrates with the ERP system",,547
0,https://github.com/qcadoo/mes.git,qcadoo MES - friendly web manufacturing software,"java,web-application,manufacturing,mrp,tomcat",428
0,https://github.com/apache/ofbiz-framework.git,"Apache OFBiz is an open source product for the automation of enterprise processes. It includes framework components and business applications for ERP, CRM, E-Business/E-Commerce, Supply Chain Management and Manufacturing Resource Planning. OFBiz provides a foundation and starting point for reliable, secure and scalable enterprise solutions.","geospatial,ofbiz,web-framework,java,xml,content,database,network-server,groovy,javascript,plugins,https",341
0,https://github.com/IgrikXD/Easy-SDR.git,This project is about creation of affordable and easy-to-manufacture prototypes of PCBs which are used to expand the capabilities of existing low-cost SDR receivers based on RTL2832U chip.,"sdr,rtl-sdr,radio,rtl2832,sdr-receiver,antenna-mini-whip,hf-upconverter,attenuator,lna,pcb,bias-tee,airspy,sdrplay,smd,sdr-receivers,hackrf,antenna-switch,easyeda",282
0,https://github.com/aewallin/opencamlib.git,open source computer aided manufacturing algorithms library,,239
0,https://github.com/sparkfun/Arduino_Boards.git,"Board definitions for SparkFun-manufactured AVR, ARM, and ESP-based Arduino boards.","arduino-boards,arduino-ide,boards-manager,sparkfun-boards,bootloader,arm,avr",195
0,https://github.com/hzeller/ldgraphy.git,Simple Laser Direct Lithography / Laser Direct Imaging for PCB manufacturing,,184
0,https://github.com/Swirrl/grafter.git,Linked Data & RDF Manufacturing Tools in Clojure,"clojure,etl,linked-data,rdf,semantic-web,data,grafter",175
0,https://github.com/jukbot/smart-industry.git,🏭 Open Source Manufacturing Execution System for JobShop type manufacturer.,"firebase,webcomponents,web-components,industry,factory,progressive-web-app,manufacturing,smart-industry,scheduling,imes,production-scheduling-algorithms,jobshop",147
0,https://github.com/3MFConsortium/lib3mf.git,lib3mf is an implementation of the 3D Manufacturing Format file standard,,139
0,https://github.com/ricaun/ArduinoUniqueID.git,"Arduino Library to gets the Manufacture Serial Number from the Atmel AVR, SAM, SAMD, STM32, and ESP Microcontroller.","arduino,uniqueid,uid,serialid,arduinouniqueid,chip,avr-microcontroller,unique,id",137
0,https://github.com/ricefishtech/industry4.0-mes.git,开源MES，生产制造管理系统，Manufacturing Execution System,,136
0,https://github.com/OCA/manufacture.git,Odoo Manufacturing Addons,,110
0,https://github.com/ptresearch/mmdetect.git,Intel ME Manufacturing Mode Detection Tools,,99
0,https://github.com/Telecominfraproject/OpenCellular.git,"OpenCellular (OC) is open source access platform with main focus on rural connectivity. OC is an eco-system of open-source project(s) focusing on hardware, software, testing automation, manufacturing and building tools for ease of deployments and operations.",,98
0,https://github.com/firepick-delta/firepick-delta.git,Design and Manufacturing Specifications for FirePick Delta,,97
0,https://github.com/osess/mes.git,MES is a Manufacturing Execution System based on django,,88
0,https://github.com/apache/ofbiz-plugins.git,"Apache OFBiz is an open source product for the automation of enterprise processes. It includes framework components and business applications for ERP, CRM, E-Business/E-Commerce, Supply Chain Management and Manufacturing Resource Planning. OFBiz provides a foundation and starting point for reliable, secure and scalable enterprise solutions.","geospatial,ofbiz,web-framework,java,xml,content,database,network-server,groovy,javascript,plugins,https",86
0,https://github.com/jakobwenzel/MensaGuthaben.git,This app allows you to read the current balance of cards manufactured by Intercard and Magnacarta via NFC.,,81
0,https://github.com/dojoe/Twonkie.git,"{""A USB-PD sniffer/injector/sink based on Google's Twinkie, re-designed to be manufactured by mere mortals.""}",,75
0,https://github.com/Traumflug/Visolate.git,"{""Visolate is an application for calculating machining toolpaths (G-code) for manufacturing printed circuit boards (PCBs) by isolation milling. As an outstanding feature, this calculation is done on the computer's screen, using the features of 3D graphics drivers.""}",,71
0,https://github.com/KyleAMathews/react-icon-factory.git,Simply add icon SVGs and the react icon factory will manufacture a custom icon component!,,67
0,https://github.com/cloud-mes/cloud-mes.git,Manufacturing Execution System for cloud era on Rails 5,,63
0,https://github.com/IBM/iot-predictive-analytics.git,"Method for Predicting failures in Equipment using Sensor data. Sensors mounted on devices like IoT devices, Automated manufacturing like Robot arms, Process monitoring and Control equipment etc., collect and transmit data on a continuous basis which is Time stamped.","ibmcode,sensor-data,data-science,jupyter-notebook,prediction-model,iot",63
0,https://github.com/BigCorvus/Retina-Display-eDP-Adapter-For-UP-Board.git,This project contains the design files for an eDP adapter and backlight driver for ipad 3 retina displays. A .brd file for a connector for CN31 is included too which can be manufactured by OSH Park flex service and costs next to nothing.,,63
0,https://github.com/Autodesk-Forge/forge-digital-twin.git,"Autodesk Forge application demonstrating various use cases in manufacturing, specifically in context of digital twins.","nodejs,autodesk,manufacturing,digital-twin,expressjs,jquery,autodesk-forge,autodesk-viewer,autodesk-model,autodesk-data-management",54
0,https://github.com/AndyEveritt/ASMBL.git,Additive & Subtractive Manufacturing By Layer for the E3D ToolChanging platform,"fusion-360,simplify3d,cam,toolchanger,3dprinting,additive-manufacturing,subtractive,asmbl",52
0,https://github.com/Danila89/kaggle_mercedes.git,The 11th place solution of Mercedes-Benz Greener Manufacturing competition on Kaggle,,49
0,https://github.com/manufactured-solutions/MASA.git,Method of Manufactured Solutions Repository,"manufactured-solutions,analytical-solution,partial-differential-equations,automatic-differentiation",40
0,https://github.com/tilery/utilery.git,Micro vector tile manufacturing from PostGIS.,,39
0,https://github.com/Attriumph/A-Content-Management-System.git,:hear_no_evil: A content management system to improve the efficiency of switch process in automobile manufacturing companies by solving the disordered steps and communication in a switch process,"java,jigloo,uml,oom",38
0,https://github.com/anushuk/Electric-vehicle-battery-range-prediction.git,"Predict remaining useful lifetime of an electric car accurately to help drive owner satisfaction and future purchases. This solution comprises analyzing the vast quantity of telemetry data over time and building a Machine Learning model to predict the remaining useful life(RUL) of an electric vehicles EVs at each point in time of the operation of said vehicle. The customer is the largest automotive manufacturing company in India, by market share. The customer designs, builds, and delivers electric vehicles (EVs).",,36
0,https://github.com/mingliangliang/mes.git,"Manufacturing Execution System (MES) is a management information service located between the top program management system and the underlying industrial controlled workshop. MES is committed to solving the communication between the upper planning system and the lower control system. Enterprises are able to produce real-time information to optimize the allocation of production capacity, improving manufacturing efficiency and the disposition of resource by setting up their execution system.",,34
0,https://github.com/icub-tech-iit/ventilator-FI5.git,FI5: Rapidly Manufactured Ventilator System,"ventilators,covid19,rapid-prototyping,rapid-development,simulink",32
0,https://github.com/ESS-LLP/process-manufacturing.git,PROCESS MANUFACTURING,,29
0,https://github.com/flux3dp/flux-studio.git,Web-based 2d/3d editing application for FLUX desktop manufacturing products,"3d,3d-printing,flux-studio,javascript,curaengine,slic3r",29
0,https://github.com/raspberrypi/scriptexecutor.git,Simple buildroot based system for executing a remote script for manufacture programming,,28
0,https://github.com/popupcad/code_popupcad.git,"popupCAD is a software package which facilitates the development of laminate  devices, popup mechanisms, and flat foldable structures.\xa0 The Software is  designed to provide a foundation for common  mathematical operations, with  many higher-level plugins available for automating the design process,  analyzing manufacturability, and generating the structures used to fabricate  such devices.",,27
0,https://github.com/BCN3D/BCN3DSigma-Process.git,Open Source Manufacturing process of the BCN3D Sigma ,,26
0,https://github.com/joyent/manufacturing.git,Manufacturing specifications,,25
0,https://github.com/zhangyaqi1989/Gcode-Reader.git,"A Python library that can read, analysis, plot G-code files used in Additive Manufacturing (AM).","additive-manufacturing,animation,gcode,gcode-visualizer,python3",25
0,https://github.com/ciyam/ciyam.git,CIYAM Software Manufacturing Environment,,23
0,https://github.com/daitan-innovation/ethereum-supply-chain.git,An Ethereum implementation for a simple car manufacturing supply chain,,23
0,https://github.com/xionluhnis/neural_inverse_knitting.git,Code for Neural Inverse Knitting: From Images to Manufacturing Instructions,,23
0,https://github.com/libreobjet/libreobjet.github.io.git," :package: As a group of industrial and graphic designers, hackers and artists, gathered together under the name Libre Objet, we all share a common question about open source industrial design, processes and products resulting from our work, with the aim of providing tools for accessing a free philosophy applied to the manufacture of objects.","open-source-product-design,product-design,libre-objet,collection",23
0,https://github.com/elenacuoco/bosch-kaggle-competition-spark.git,Bosch Kaggle competion: Reduce manufacturing failures (https://www.kaggle.com/c/bosch-production-line-performance) ,,22
0,https://github.com/aerele/apparelo.git,Frappe application to manage the manufacturing workflows in the garment industry. Reach us out at hello@aerele.in,"frappe,garment,apparel,garments,manufacturing,erpnext,erp,inventory-management",22
0,https://github.com/aws-samples/iot-provisioning-secretfree.git,"This solution enables you to define a process to decouple manufacturing from the provisioning process while assuring that private secrets do not have the opportunity to be exposed at any point throughout supply chain, manufacturing, and on-boarding.",,22
0,https://github.com/sa-mw-dach/manuela.git,MANUfacturing Edge Lightweight Accelerator,,21
0,https://github.com/trinamic/T-Bone.git,Electronic for up to 5 axes DIY desktop manufacturing platforms,,21
0,https://github.com/HPInc/go3mf.git,3D Manufacturing Format (3MF) implementation for Go,"3mf,3d,3dprint,mesh,go,golang",21
0,https://github.com/ankitkanojia/eCommerce_Shop.git,"eCommerceShop renowned stylish, affordable, new and original fashion to you. our product mainly focuses on women wear’s, but it also offers men\'s apparel, children clothes, accessories, shoes, bags and other fashion items.  BossKinds manufacture and supplier of leisurewear, workwear and school uniforms. we understood the importance of making good impression ""Let your uniform do the talking"" with in-house embroidery and print facility. we can customize any garment by providing range of high-quality logo application solution with perfect results. our range of products makes us to go to people when it comes to promotional, industrial clothing, leisure wear and sportswear.","mvc-framework,bootstrap,css,ajax,mssql",21
0,https://github.com/Azure-Samples/iot-edge-for-iiot.git,Learn how to use a hierarchy of Azure IoT Edge devices in a manufacturing environment to extract data from industrial assets and upload it to the Cloud while meeting the strict requirements of the Purdue network model.,,20
0,https://github.com/usnistgov/DT4SM.git,Digital Thread for Smart Manufacturing,,19
0,https://github.com/IBM-Blockchain/vehicle-manufacture.git,A sample for IBM Blockchain Platform that demonstrates a vehicle manufacturing use case,,19
0,https://github.com/FABtotum/FABlin.git,"The FABtotum Personal Fabricator Firmware, a Marlin derivate made to support hybrid manufacturing and digital acquisition","fabtotum,3d-printer-firmware,marlin,3d-printing",19
0,https://github.com/Meena-Mani/SECOM_class_imbalance.git,Approaches for the class imbalance problem (in semicondutor manufacturing process line data),,19
0,https://github.com/AndreasKuhnle/SimRLFab.git,Simulation and reinforcement learning framework for production planning and control of complex job shop manufacturing systems,,19
0,https://github.com/intel-iot-devkit/motor-defect-detector-python.git,"Predict performance issues with manufacturing equipment motors. Perform local or cloud analytics of the issues found, and then display the data on a user interface to determine when failures might arise.","reference-implementation,deep-learning,inference,computer-vision,edge-computing,edge,edge-ai,image-recognition,object-detection,intel,openvino,machine-learning,real-time,live-demo,pretrained-models,video",19
0,https://github.com/pinobatch/holy-mapperel.git,NES cartridge PCB manufacturing test,,18
0,https://github.com/slightlynybbled/manufacturing.git,"Six Sigma based analysis of manufacturing data for trends, Cpk/Ppk.",,18
0,https://github.com/DeeptiChevvuri/Predictive-Maintenance-Modelling-Datasets.git,"This model comprises of Manufacturing units dataset , sources are telemetry , machine failure , error logs , maintenance and machines configuration(age).",,18
0,https://github.com/adipandas/one-shot-steel-surfaces.git,One-Shot Recognition of Manufacturing Defects in Steel Surfaces,"python,pytorch,siamese-network,manufacturing,quality-control,steel-defect,deep-learning,few-shot-learning,one-shot-learning",18
0,https://github.com/ayyoob/mudgee.git,This tool is used for generating Manufacture Usage Description(MUD) from Device Traffic Trace(PCAP),,17
0,https://github.com/kipe/miplant.git,A Python-library for reading cheap plant monitoring sensors manufactured by Xiaomi.,,17
0,https://github.com/helm-compiler/carpentry-compiler.git,Our carpentry compiler converts high-level geometric designs made by users to low-level fabrication instructions that can be directly followed to manufacture parts. The compiler performs multi-objective optimization on the low-level instructions to generate Pareto-optimal candidates.,,17
0,https://github.com/rarnaout/Covidswab.git,New home of the Covid19-NP-Swab NP-swab manufacturing project,,16
0,https://github.com/jorgehas/smart-defect-inspection.git,Simple python script for industrial defect inspection( counting the number of pills during manufacturing),,16
0,https://github.com/sumitsinha/Deep_Learning_for_Manufacturing.git,Bayesian Deep Learning and Deep Reinforcement Learning for Object Shape Error Response and Correction of Manufacturing Systems,"deep-learning,manufacturing,3d-point-clouds,3d-convolutional-network,transfer-learning,continual-learning,deep-reinforcement-learning,assembly-systems,u-net,attention",16
0,https://github.com/tedyapo/gerber-renderer.git,3D PCB renderer for checking gerber files before manufacture,,16
0,https://github.com/Tcat1024/SPC.git,"An UserControl used to show the data about manufacture in database and compute the CPK  of the data you choose. Later may can be used to do SPC, now only show :)",,16
0,https://github.com/blueseerERP/blueseer.git,A Free ERP for the manufacturing community,"erp,opensource,java,manufacturing,business-solutions,accounting-software",15
0,https://github.com/Azure/cortana-intelligence-quality-assurance.git,Solution for Quality Assurance in the manufacturing industry built on the Cortana Intellligence Suite.,,15
0,https://github.com/tdmms/tdmms.git,Two-dimensional materials manufacturing system,"materials-science,computer-vision,robotics,2d-crystals,deep-learning",15
0,https://github.com/thotypous/mikroe-uhb.git,USB HID Bootloader programming tool for devices manufactured by MikroElektronika,"development-kit,bootloader,embedded,flash-memory,microcontroller",15
0,https://github.com/ORNL-AMO/AMO-Tools-Suite.git,AMO-Tools-Suite is an energy efficiency calculation library in C++ with optional Nan Node add-on bindings for the Department of Energy Advanced Manufacturing Office (DOE AMO) Desktop. Currently in beta.,"energy,modeling,industrial,steam,pump,fans,furnace,process-heating",15
0,https://github.com/sharmaroshan/SECOM-Detecting-Defected-Items.git,"Anamoly Detection for Detecting Defected Manufactured Semi-Conductors, as in this case  of Classification, the Defected Chips would be very less in comparison to perfect Chips so we have apply either Over-Sampling or Under-Sampling.","sampling-methods,outlier-detection,machine-learning,classification,precision-recall-curve,anamoly-detection,data-visualization,feature-extraction",15
0,https://github.com/lb5tr/usbasp-zhifengsoft.git,"{""Zhifengsoft manufactures cheap and almost compatible with usbasp avr programmer. Unfortunately, original firmware doesn't work with avrdude (even VendorID and ProductID are incompatible). This repository contains usbasp tailored to this funky device.""}",,15
0,https://github.com/m-hoff/simantha.git,Simulation of Manufacturing Systems,"simulation,manufacturing,maintenance",14
0,https://github.com/Swerim/FAME.git,Free Additive Manufacturing Enhancer,,14
0,https://github.com/wikihouseproject/Owl.git,A CNC-manufactured internal door kit,,14
0,https://github.com/The-Exchange-Fannie-Mae/theexchange-python3-clients.git,"The python3 client library includes code samples to authenticate, authorize, submit, and process requests for the Manufactured Housing, Loan Limits, and Housing Pulse products on The Exchange® by Fannie Mae.",,14
0,https://github.com/avanzosc/mrp-addons.git,Manufacturing related Odoo modules,"odoo,mrp,manufacturing",13
0,https://github.com/hiousi/erpnext-spp.git,simplified manufacturing process for erpnext,,13
0,https://github.com/PO-LAB/Intelligent-Manufacturing-Systems.git,NCKU 成功大學-Intelligent Manufacturing Systems & Data Science in Manufacturing 智慧型製造系統 & 製造數據科學,"ncku,matlab,polab",13
0,https://github.com/OpenActuator/OpenCoilWinder.git,Coil Winder (Open Source Manufacture),,13
0,https://github.com/Spooky-Manufacturing/QubitDuino.git,"{""Spooky Manufacturing's single qubit quantum arduino shield""}","quantum-computing,quantum-optics,arduino-uno,arduino,electronics-projects",13
0,https://github.com/usnistgov/smstestbed.git,NIST Smart Manufacturing Systems Test Bed,,12
0,https://github.com/DE3000/Manufacry-kt.git,Manufacturing based mod for Mindustry,"mindustry,mindustry-mod,kotlin",12
0,https://github.com/united-manufacturing-hub/united-manufacturing-hub.git,"The United Manufacturing Hub is an open-source industrial IoT and manufacturing application platform enabling users to connect, store, and access all relevant data sources in industrial manufacturing sites and build user-centric dashboards and applications.","oee,mqtt",12
0,https://github.com/akshaydnicator/Twitter-Sentiment-Analysis-NLP-Hackathon.git,"Problem Statement: Given the tweets from customers about various tech firms who manufacture and sell mobiles, computers, laptops, etc, the task is to identify if the tweets have a negative sentiment towards such companies or products.","twitter,nlp,hackathon,analytics-vidhya,pre-processing,punctuation-marks,lemmetization,sentiment-analysis,spacy,bert-embeddings,elmo-vectors,features-extraction,sklearn-library,keras-tensorflow,neural-networks,machine-learning,deep-learning,cnn-classification,cross-validation,wordvectors",12
0,https://github.com/ZKis-ZK/RNA-vaccine-drug-substance-production-techno-economic-modelling.git,"Modelling files related to the journal article titled ""Rapid development and deployment of high-volume vaccines for pandemic response"" published in the Journal of Advanced Manufacturing and Processing (JAMP), Year: 2020. Article Authors: Zoltán Kis, Cleo Kontoravdi, Antu K. Dey, Robin Shattock, Nilay Shah",,12
