,Url,Description,Topics,Stars
0,https://github.com/google/leveldb.git,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,,24982
0,https://github.com/ipader/SwiftGuide.git,Swift Featured Projects in brain Mapping,"swift,swift-programming-language",15438
0,https://github.com/lettier/3d-game-shaders-for-beginners.git,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game.","shaders,3d,graphics,panda3d,game-development,glsl,glsl-shaders,graphics-programming,3d-graphics,hlsl,unity,godot,gamedev,glsl-shader,shader,unity3d,indiedev,opengl,webgl,vulkan",10233
0,https://github.com/hanxiao/bert-as-service.git,Mapping a variable-length sentence to a fixed-length vector using BERT model,"nlp,bert,sentence-encoding,natural-language-processing,natural-language-understanding,tensorflow,word-embedding,deep-learning,deep-neural-networks,machine-learning,ai",9244
0,https://github.com/tristanhimmelman/ObjectMapper.git,Simple JSON Object mapping written in Swift,,8734
0,https://github.com/geektutu/7days-golang.git,"7 days golang programs from scratch (web framework Gee, distributed cache GeeCache, object relational mapping ORM framework GeeORM, rpc framework GeeRPC etc)  7天用Go动手写/从零实现系列","learning,starter-project,golang,scratch",7289
0,https://github.com/facebookresearch/DensePose.git,A real-time approach for mapping all human pixels of 2D RGB images to a 3D surface-based model of the body,,6006
0,https://github.com/cartographer-project/cartographer.git,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,"slam,mapping,localization,robotics,self-driving",5500
0,https://github.com/OWASP/Amass.git,In-depth Attack Surface Mapping and Asset Discovery,"go,dns,subdomain,enumeration,recon,osint,osint-reconnaissance,network-security,owasp,maltego,attack-surfaces,information-gathering",5223
0,https://github.com/gajus/react-css-modules.git,Seamless mapping of class names to CSS modules inside of React components.,,5209
0,https://github.com/elixir-ecto/ecto.git,A toolkit for data mapping and language integrated query.,,5090
0,https://github.com/hibernate/hibernate-orm.git,"{""Hibernate's core Object/Relational Mapping functionality""}","hibernate,java,orm,jpa,jdbc,database,gradle,unitofwork,envers,java8,java8-times",4623
0,https://github.com/dresende/node-orm2.git,Object Relational Mapping,"database,orm,mysql,postgresql,redshift,sqlite,mongodb",3049
0,https://github.com/mapnik/mapnik.git,Mapnik is an open source toolkit for developing mapping applications,"mapnik,c-plus-plus,mapping,cartography,gis,wiki,python,rendering,beautiful-maps",2925
0,https://github.com/tpope/vim-unimpaired.git,unimpaired.vim: Pairs of handy bracket mappings,,2526
0,https://github.com/calebmadrigal/trackerjacker.git,"{""Like nmap for mapping wifi networks you're not connected to, plus device tracking""}","hacking,wireless,python,scapy,network,packets",2260
0,https://github.com/drichard/mindmaps.git,"An open source, offline capable, mind mapping application leveraging HTML5 technologies","mindmap,javascript,html5",2212
0,https://github.com/gkz/LiveScript.git,"LiveScript is a language which compiles to JavaScript. It has a straightforward mapping to JavaScript and allows you to write expressive code devoid of repetitive boilerplate. While LiveScript adds many features to assist in functional style programming, it also has many improvements for object oriented and imperative programming. ",,2197
0,https://github.com/vuex-orm/vuex-orm.git,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,"vue,vuex,vuex-plugin,orm,vuex-orm",2184
0,https://github.com/hizzgdev/jsmind.git,Javascript version of mind mapping ,"javascript,html5-canvas,jsmind-bsd,mind-mapping,mind-map,web-application",2041
0,https://github.com/rom-rb/rom.git,Data mapping and persistence toolkit for Ruby,"ruby,databases,data-access-layer,sql,nosql,toolkit,rom-rb,ddd,persistence-toolkit,data-mapping",1922
0,https://github.com/modelmapper/modelmapper.git,Intelligent object mapping,,1752
0,https://github.com/xmindltd/xmind.git,The most popular mind mapping software,"xmind,mindmap,eclipse",1724
0,https://github.com/caffix/amass.git,In-depth Attack Surface Mapping and Asset Discovery,"go,dns,subdomain,enumeration,recon,maltego,owasp",1668
0,https://github.com/ethz-asl/maplab.git,An open visual-inertial mapping framework.,"mapping,slam,not-matlab",1613
0,https://github.com/evilsocket/xray.git,"XRay is a tool for recon, mapping and OSINT gathering from public networks.","osint,security,network,shodan,intelligence,mapping",1583
0,https://github.com/zhoubolei/CAM.git,Class Activation Mapping,,1477
0,https://github.com/Kungsgeten/org-brain.git,Org-mode wiki + concept-mapping,"emacs,org-mode,wiki,concept-map",1455
0,https://github.com/soveran/ohm.git,Object-Hash Mapping for Redis,"ohm,redis,ruby,lesscode",1387
0,https://github.com/tylermorganwall/rayshader.git,R Package for 2D and 3D mapping and data visualization,,1374
0,https://github.com/jvm-profiling-tools/perf-map-agent.git,A java agent to generate method mappings to use with the linux `perf` tool,,1354
0,https://github.com/arguman/arguman.org.git,Argument mapping and analysis platform,"critical-thinking,django,computational-linguistics,python,arguman",1298
0,https://github.com/shuxinqin/Chloe.git,A lightweight and high-performance Object/Relational Mapping(ORM) library for .NET  --C#,"orm,chloe,c-sharp,dotnet,dotnetcore,mysql,oracle,sqlite,poco,postgresql",1263
