,Url,Description,Topics,Stars
0,https://github.com/lbryio/lbry-desktop.git,"A browser and wallet for LBRY, the decentralized, user-controlled content marketplace.","lbry,electron,blockchain,ui,javascript,translation,react,cool",3585
0,https://github.com/NebulousLabs/Sia.git,Blockchain-based marketplace for file storage. Project has moved to GitLab: https://gitlab.com/NebulousLabs/Sia,"cloud,blockchain,decentralized,distributed,sia,storage",2722
0,https://github.com/sharetribe/sharetribe.git,"Sharetribe Go is a source available marketplace software, also available as a hosted, no-code SaaS product. For a headless, API-first marketplace solution, check out Sharetribe Flex: https://www.sharetribe.com/flex.","marketplace,platform",2112
0,https://github.com/solana-labs/solana.git,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.","ledger,blockchain,solana,performance-blockchain,rustc,bitcoin,rust",2028
0,https://github.com/alexellis/arkade.git,Open Source Kubernetes Marketplace,"arkade,kubernetes,k8s,k3s,apps,istio,openfaas,helm,cert-manager,nginx,cli,devops,automation,learning,cka,ckad,inlets,oss",1786
0,https://github.com/ever-co/ever-demand.git,Ever® Demand™ - Open-Source Commerce Platform for On-Demand Economy and Digital Marketplaces,"ecommerce-platform,ecommerce,commerce,e-commerce,on-demand,javascript,typescript,shop,storefront,marketplace,platform,ionic,angular,nodejs,commerce-platform,shopping-website,graphql,framework,headless,multivendor",1033
0,https://github.com/codota/tabnine-vscode.git,Visual Studio Code client for Tabnine. https://marketplace.visualstudio.com/items?itemName=TabNine.tabnine-vscode,"vscode,vscode-extension,autocomplete,gpt-2,artificial-intelligence,javascript,python,typescript,rust,java,c,cpp,swift,ruby,php,lua,bash,golang",825
0,https://github.com/PKief/vscode-material-icon-theme.git,Available on the VSCode Marketplace,"vscode-extension,material-icons,vscode,vscode-theme,vscode-icons,material-icon-theme",814
0,https://github.com/Cocolabs-SAS/cocorico.git,"👐 Cocorico is an open source marketplace solution for services and rentals. More information right here: https://www.cocorico.io/en/ 🚀 Cocorico is also available in an off-the-shelf SaaS package, check out https://www.hatch.li to launch your platform today. 😍 We are hiring (telecommute welcome 🏡): https://www.welcometothejungle.com/en/companies/cocorico/jobs/candidatures-spontanees#apply","virtual,roadmap,mongodb,dll,fill,linux,database,marketplace,php,symfony,ecommerce-platform,sharing-economy,open-source,service-marketplace,platform,cocorico,cocolabs",775
0,https://github.com/enuchi/React-Google-Apps-Script.git,"{""This is your boilerplate project for developing React apps inside Google Sheets, Docs, Forms and Slides projects. It's perfect for personal projects and for publishing complex add-ons in the Google Workspace Marketplace.""}",,681
