,Url,Description,Topics,Stars
0,https://github.com/Freeboard/freeboard.git,"A damn-sexy, open source real-time dashboard builder for IOT and other web mashups. A free open-source alternative to Geckoboard.",,6107
0,https://github.com/fossar/selfoss.git,"multipurpose rss reader, live stream, mashup, aggregation web application","rss-reader,news-feed,self-hosted,php,selfoss,mashup,aggregator,webbased,hacktoberfest",1999
0,https://github.com/kencrocken/FiraCodeiScript.git,Mashup Font of FiraCode and Script12,,934
